科目,2007年1-3月,2007年1-6月,2007年1-9月,2007年度,2008年1-3月,2008年1-6月,2008年1-9月,2008年度,2009年1-3月,2009年1-6月,2009年1-9月,2009年度,2010年1-3月,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月
支付给职工以及为职工支付的现金,"328,380,383.81","444,282,717.94","690,758,281.50","959,652,101.82","283,358,302.33","552,813,520.54","817,997,128.88","1,039,719,810.55","232,560,112.49","504,186,200.56","867,251,557.41","1,058,324,775.17","280,160,077.91","580,334,822.20","841,889,568.08","1,103,096,338.47","302,040,952.08","892,657,872.31","973,005,787.03"
取得借款收到的现金,"840,000,000.00","1,608,259,389.19","2,347,433,687.23","4,084,818,387.23","235,983,029.88","1,257,859,854.69","2,130,441,997.02","4,219,601,415.92","600,000,000.00","700,000,000.00","1,150,000,000.00","1,228,687,140.70","1,040,000,000.00","1,400,000,000.00","1,750,000,000.00","2,386,884,640.63","973,759,500.00","1,072,199,700.80","1,433,445,172.90"
支付的各项税费,"369,279,297.61","836,283,929.55","1,457,124,797.91","1,829,273,380.09","692,567,785.67","1,296,152,681.51","1,815,165,666.53","2,005,927,491.05","574,875,706.70","735,917,226.81","1,107,655,669.03","1,285,455,254.11","562,997,322.59","721,249,483.43","864,479,956.34","1,037,277,527.76","445,609,891.45","566,970,023.18","734,958,791.30"
收到其他与筹资活动有关的现金,,,,,"2,000,000,000.00",,,,,,,,,,,"7,000,000.00",,,
支付其他与经营活动有关的现金,"124,028,003.62","166,311,998.43","295,081,853.04","209,776,780.00","130,616,145.38","232,723,256.13","255,143,640.36","357,066,805.99","128,144,453.31","172,799,832.81","251,205,803.95","601,306,467.18","113,929,983.18","256,061,248.10","391,372,102.19","487,897,174.48","139,282,963.47","245,344,577.63","354,469,439.43"
筹资活动现金流入小计,"840,000,000.00","1,608,259,389.19","2,347,433,687.23","4,084,818,387.23","2,235,983,029.88","3,257,859,854.69","4,130,441,997.02","4,222,101,415.92","600,000,000.00","700,000,000.00","1,150,000,000.00","1,228,687,140.70","1,040,000,000.00","1,400,000,000.00","1,750,000,000.00","2,393,884,640.63","973,759,500.00","1,072,199,700.80","1,433,445,172.90"
经营活动现金流出小计,"2,684,287,923.30","7,841,401,450.67","15,204,493,120.06","19,375,289,772.74","7,102,988,947.14","15,400,965,444.30","22,563,144,289.06","23,048,317,484.36","2,485,855,395.16","5,438,914,968.39","12,426,668,256.08","17,793,397,871.81","5,279,691,241.04","9,712,757,405.44","15,850,933,796.30","23,013,172,467.67","5,709,763,020.49","9,853,294,602.63","15,998,427,974.19"
偿还债务支付的现金,"588,350,000.00","1,221,300,362.17","1,886,759,443.32","3,400,304,400.00","142,000,000.00","2,044,760,155.73","2,558,027,078.58","3,149,778,482.56","50,000,000.00","595,441,420.39","1,025,441,420.39","1,751,901,308.07","540,000,000.00","854,625,408.78","1,770,436,214.99","2,862,921,771.59","851,000,000.00","1,448,433,870.54","2,783,243,223.09"
经营活动产生的现金流量净额,"62,425,768.61","746,544,482.64","918,578,589.34","1,689,537,186.49","121,446,548.22","308,135,762.67","464,029,599.37","666,714,415.24","226,664,947.69","1,397,018,012.39","1,323,237,142.73","2,296,061,098.43","23,217,086.22","337,865.32","704,413,790.50","2,212,393,470.26","-91,136,967.20","229,381,211.28","1,276,639,577.83"
分配股利、利润或偿还利息支付的现金,"73,831,576.53","536,133,537.21","617,314,297.64","713,173,588.86","92,908,966.06","746,375,063.41","826,532,310.52","925,483,845.82","204,802,436.01","456,688,646.77","521,739,540.76","585,572,373.57","184,354,060.81","303,387,630.89","363,002,636.88","439,679,151.22","175,998,358.00","283,368,610.57","308,573,286.99"
收回投资收到的现金,,,,,,,,,,,,,,,,,,,
支付其他与筹资活动有关的现金,,"1,694,099.48","1,827,885.62",,"21,787,347.16","34,363,147.00","42,659,580.29","10,072,326.23",,,,,,,,"15,323,715.00",,,
取得投资收益收到的现金,"4,000,000.00","4,000,000.00","6,750,000.00","8,000,000.00",,,"3,000,000.00","3,000,000.00",,"1,000,000.00","1,000,000.00","1,000,000.00",,,,,,,
筹资活动现金流出小计,"662,181,576.53","1,759,127,998.86","2,505,901,626.58","4,113,477,988.86","256,696,313.22","2,825,498,366.14","3,427,218,969.39","4,085,334,654.61","254,802,436.01","1,052,130,067.16","1,547,180,961.15","2,337,473,681.64","724,354,060.81","1,158,013,039.67","2,133,438,851.87","3,317,924,637.81","1,026,998,358.00","1,731,802,481.11","3,091,816,510.08"
处置固定资产、无形资产和其他长期资产收回的现金净额,"1,458,880.00","1,753,990.04","1,907,853.00","2,175,289.50","310,786.15","46,790,933.80","47,957,193.34","87,640.00","28,400.00","81,806.40","1,176,746.40","1,785,525.11",,,,,,"762,454.83","766,108.83"
筹资活动产生的现金流量净额,"177,818,423.47","-150,868,609.67","-158,467,939.35","-28,659,601.63","1,979,286,716.66","432,361,488.55","703,223,027.63","136,766,761.31","345,197,563.99","-352,130,067.16","-397,180,961.15","-1,108,786,540.94","315,645,939.19","241,986,960.33","-383,438,851.87","-924,039,997.18","-53,238,858.00","-659,602,780.31","-1,658,371,337.18"
处置子公司及其他营业单位收到的现金净额,,,,,,,,,,,,,,,,,,,
四、汇率变动对现金的影响,"-208,953.85","-4,229,737.54","-5,106,158.31","-7,416,799.36","-4,040,339.38","-8,806,285.78","-13,140,159.72","-29,531,985.14","394,588.03","497,669.33","137,781.96","-24,190.74","-158,487.29","-384,456.15","-2,328,776.84","-3,701,074.30","-2,478,724.93","-4,164,933.85","-5,280,685.53"
收到其他与投资活动有关的现金,,,,,,,,"43,437.47",,,,,,,,,,,
四(2)、其他原因对现金的影响,,,,,,,,,,,,,,,,,,,
投资活动现金流入小计,"5,458,880.00","5,753,990.04","8,657,853.00","10,175,289.50","310,786.15","46,790,933.80","50,957,193.34","3,131,077.47","28,400.00","1,081,806.40","2,176,746.40","2,785,525.11",,,,,,"762,454.83","766,108.83"
五、现金及现金等价物净增加额,"-68,827,260.14","32,051,489.81","-213,383,969.28","334,639,697.04","1,807,286,134.05","185,695,082.20","412,613,270.24","-507,669,759.24","367,531,925.04","761,734,280.23","11,582,143.09","69,935,884.54","148,422,119.22","-61,330,423.86","-99,792,491.65","640,799,541.78","-307,846,284.82","-735,708,259.37","-907,440,042.82"
购建固定资产、无形资产和其他长期资产支付的现金,"314,321,378.37","539,072,301.15","947,611,624.82","1,294,839,388.82","289,717,577.60","592,786,817.04","792,456,390.38","1,284,750,028.12","204,753,574.67","281,264,529.44","913,319,955.56","1,116,631,396.03","190,282,418.90","301,492,524.15","416,660,384.23","642,074,587.79","160,991,734.69","302,084,211.32","351,193,706.77"
期初现金及现金等价物余额,"894,680,016.58","894,680,016.58","894,680,016.58","894,680,016.58","1,229,319,713.62","1,229,319,713.62","1,229,319,713.62","1,229,319,713.62","721,649,954.38","721,649,954.38","721,649,954.38","721,649,954.38","870,420,838.92","791,585,838.92","791,585,838.92","791,585,838.92","1,432,385,380.70","1,432,385,380.70","1,432,385,380.70"
投资支付的现金,,"26,076,334.51","29,434,689.14","34,156,989.14",,,,,,"3,468,611.29","3,468,611.29","3,468,611.29",,"1,778,269.21","1,778,269.21","1,778,269.21",,,"170,000,000.00"
期末现金及现金等价物余额,"825,852,756.44","926,731,506.39","681,296,047.30","1,229,319,713.62","3,036,605,847.67","1,415,014,795.82","1,641,932,983.86","721,649,954.38","1,089,181,879.42","1,483,384,234.61","733,232,097.47","791,585,838.92","1,018,842,958.14","730,255,415.06","691,793,347.27","1,432,385,380.70","1,124,539,095.88","696,677,121.33","524,945,337.88"
