科目,2007-12-31,2008-12-31,2009-12-31,2010-06-30,2010-09-30,2010-12-31,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31
其他流动资产,,,,,,,,,,,,,,,,,,,,,,"489,609,681.77","513,584,586.52","261,204,093.63","583,119,447.76","489,603,544.79","379,549,710.63","502,818,434.34","494,756,783.73","375,905,986.24","389,242,006.19","465,777,638.68","499,657,144.99","536,351,276.83","585,131,505.26","409,768,542.05","297,374,814.74","266,358,668.18","478,064,468.48"
其他流动负债,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
流动资产合计,"113,537,961.74","105,995,802.26","213,443,338.81","122,776,892.71","140,182,157.42","903,500,305.18","899,808,893.23","919,468,724.73","925,904,365.22","902,687,323.80","907,726,235.71","821,972,423.21","768,523,815.03","660,369,621.87","671,979,385.69","596,158,385.26","570,142,681.47","469,129,343.91","794,498,825.07","835,335,388.48","758,690,691.38","840,245,443.33","914,146,893.18","1,024,919,252.71","941,379,122.92","859,891,235.66","683,800,787.05","803,909,298.69","757,662,195.16","685,488,115.72","1,149,891,227.05","999,652,286.88","1,128,644,785.86","1,307,688,394.27","1,311,208,091.50","1,262,582,604.31","1,155,792,737.06","1,331,414,617.80","1,344,619,497.46"
流动负债合计,"172,392,605.86","164,564,273.46","225,788,511.21","115,304,657.51","110,436,102.36","109,019,177.64","81,414,424.84","100,057,348.97","106,273,640.26","159,948,791.80","146,583,923.37","170,181,127.79","117,415,501.13","174,667,534.88","198,180,104.38","309,694,350.81","302,287,435.52","218,263,799.81","238,679,614.51","339,582,197.83","268,900,689.65","366,218,151.23","423,502,984.45","556,006,946.34","449,634,763.90","429,126,207.91","324,758,921.76","395,801,754.41","296,982,304.74","323,109,336.06","343,121,593.53","304,032,025.73","500,819,463.11","569,946,892.43","458,656,714.52","505,037,650.94","463,177,908.38","688,841,796.33","723,597,050.51"
可供出售金融资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
长期借款,,,,"23,000,000.00","23,000,000.00",,,,,,,,,,,,,,,,,,,,,,,,"104,033,500.00","156,033,500.00","222,376,706.00","237,076,706.00","237,076,706.00","237,076,706.00","237,076,706.00","237,076,706.00","237,076,706.00","237,076,706.00","237,076,706.00"
持有至到期投资,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应付债券,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
长期应收款,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
长期应付款,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"137,480,000.00","120,196,008.56","105,259,518.08","163,450,344.55","163,450,344.55"
长期股权投资,,,,,,,,,,,,,"15,000,000.00","74,894,912.08","74,018,206.79","97,288,362.83","97,057,862.90","101,710,293.02","104,193,788.47","105,484,834.58","104,232,727.50","107,707,387.71","102,363,478.90","102,140,802.71","101,523,212.46","101,275,304.25","100,435,597.76","99,904,815.17","99,938,246.39","100,291,937.27","102,901,100.94","102,685,361.94","102,195,135.89","97,702,813.04","97,437,245.93","97,069,913.83","96,277,122.06","93,313,919.38","93,039,488.37"
专项应付款,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
