科目,2007-12-31,2008-12-31,2009-09-30,2009-12-31,2010-03-31,2010-06-30,2010-09-30,2010-12-31,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30
商誉,,,,,,,,"337,158.92","337,158.92","337,158.92","337,158.92",,,"56,121,003.53","55,600,760.30","55,600,760.30","156,864,094.51","145,449,335.43","145,876,573.82","144,843,132.66","144,843,132.66","144,843,132.66","144,843,132.66","145,143,132.66","145,143,132.66","145,143,132.66","145,143,132.66","687,297,245.88","687,297,245.88","687,297,245.88","687,297,245.88","687,297,245.88","6,226,527,881.38","6,219,825,646.63","6,282,825,646.62","6,372,984,246.45","6,372,984,671.99","6,372,984,246.45"
未分配利润,"9,527,537.24","45,393,362.77","34,702,280.93","45,861,657.04","49,394,946.68","47,957,425.77","53,612,303.54","59,317,965.50","64,867,704.86","57,522,027.49","62,690,214.16","69,847,817.90","75,235,700.53","73,154,818.89","83,309,024.14","90,338,153.20","94,683,284.62","103,689,547.63","107,804,616.88","131,554,394.15","136,624,047.24","145,490,607.18","159,335,262.96","178,542,984.01","184,217,958.77","193,340,750.39","208,754,533.58","225,098,177.83","231,282,396.06","264,279,841.04","289,646,186.43","325,143,230.48","331,694,076.30","500,169,623.41","643,166,857.17","803,408,670.04","923,033,769.57","1,101,562,622.05"
长期待摊费用,,"1,700,000.00","1,250,000.00","1,100,000.00","950,000.00","800,000.00","650,000.00","500,000.00","350,000.00","701,000.00","644,247.86","666,631.34","630,918.95","629,279.05","591,522.31","553,765.57","518,012.41","480,016.37","442,120.34","404,224.31","366,328.28","328,432.25","290,536.22","252,640.19","839,335.79","768,784.04","698,232.29","2,993,777.54","1,156,281.20","2,789,026.77","4,308,292.01","13,183,331.08","13,617,841.54","13,135,984.95","12,944,683.00","16,184,352.47","15,324,966.79","14,096,762.52"
少数股东权益,"98,362.59","192,909.56",,,,,"4,863,731.18","4,926,207.68","4,560,140.56","4,892,847.10","4,146,260.93","534,914.24","831,014.03","12,967,051.58","14,219,325.50","21,548,240.87","24,305,581.53","24,371,153.44","24,208,393.63","31,907,656.15","30,583,056.39","34,414,633.77","36,917,280.76","43,555,244.84","43,487,789.98","198,336,351.33","197,372,839.31","196,979,546.58","199,074,365.88","197,926,290.56","209,398,401.71","205,912,024.98","209,671,702.97","57,578,305.45","60,417,738.93","65,838,500.87","69,169,635.36","73,249,275.19"
递延所得税资产,"9,381.69","457,143.12","397,299.78","694,915.92","694,915.92","694,915.92","694,915.92","1,306,458.93","1,120,798.62","1,540,293.47","1,509,793.03","1,103,588.12","1,102,733.33","1,175,920.19","2,341,973.28","3,280,715.67","3,249,477.31","4,357,788.97","4,349,527.96","7,477,136.40","6,520,898.93","6,034,041.10","5,327,943.05","8,620,838.93","7,656,878.80","7,231,848.61","6,723,938.53","10,124,571.31","10,173,864.74","8,002,965.49","8,504,298.36","13,812,177.91","13,185,850.69","12,660,160.27","14,015,949.96","29,741,797.79","24,832,653.84","22,562,488.56"
外币报表折算价差,,,,,,,,,,,,,,,,"7,705.08","-10,437.10","-32,247.07","-23,621.35","-39,563.97","18,114.99","-211,503.30","86,624.08",,,,,,,,,,,,,,,
其他非流动资产,,,,,,,,,,,,,,,,,,,,,,,,"22,500,000.00","54,600,000.00","49,513,100.00","96,786,038.94","98,261,682.55","127,272,548.30","153,824,562.00","156,913,557.76",,"6,340.46","6,226.83","1,452,987.38","1,888,643.44","1,957,966.47","2,051,761.89"
非正常经营项目收益调整,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
非流动资产合计,"12,696,528.46","13,515,790.38","39,209,862.84","42,796,760.77","48,501,326.63","86,936,343.99","89,719,932.86","131,984,174.46","147,186,409.37","179,283,884.33","185,475,477.42","173,714,639.14","178,515,580.13","225,881,308.75","254,787,450.13","254,664,733.23","359,919,711.55","344,803,209.59","348,884,776.80","359,604,425.25","356,643,008.28","378,288,658.58","384,155,530.64","411,372,254.74","453,083,704.72","577,387,684.23","625,056,928.68","1,289,510,271.92","1,340,745,559.43","1,388,354,852.01","1,400,935,160.35","1,494,730,598.90","7,105,171,741.07","7,227,059,550.30","7,317,622,174.52","7,696,694,703.16","7,756,903,968.91","7,871,760,250.66"
所有者权益(或股东权益)合计,"23,540,198.58","103,186,358.67","155,860,807.00","722,807,021.11","726,340,310.75","724,902,789.84","736,441,125.14","745,637,950.51","750,821,622.75","743,808,651.92","748,230,252.42","755,234,144.50","761,449,726.92","771,425,142.83","782,831,622.00","801,175,889.77","974,301,582.17","983,351,607.12","1,002,264,542.28","1,039,264,288.60","1,043,067,020.89","1,055,535,539.92","1,071,824,970.07","1,104,830,310.64","1,110,437,830.54","1,339,599,792.38","1,354,050,063.55","2,078,164,025.96","2,086,401,803.81","2,118,347,440.32","2,155,203,630.89","2,168,521,306.22","6,378,797,267.89","6,280,922,783.81","9,735,672,446.94","9,952,690,870.35","10,043,263,238.77","10,268,175,081.84"
资产总计,"48,526,237.29","196,131,052.93","321,475,661.13","917,542,688.23","895,803,573.82","904,344,341.68","998,623,770.41","1,069,102,582.99","984,245,755.82","1,067,952,246.71","1,134,738,889.27","1,045,703,291.33","1,073,973,359.89","1,175,985,937.03","1,119,283,378.77","1,155,431,089.51","1,314,173,090.84","1,455,866,559.36","1,542,715,844.99","1,596,459,847.34","1,590,437,288.64","1,684,010,083.16","1,797,090,253.56","1,889,205,107.13","2,067,532,028.10","2,248,924,438.87","2,353,392,267.86","3,022,755,303.18","2,991,844,165.61","3,029,489,481.62","3,268,430,920.65","3,947,026,509.67","10,482,836,003.40","10,448,668,195.57","11,869,987,642.16","12,039,093,027.12","12,256,163,420.56","12,403,195,601.46"
负债和所有者(或股东权益)合计,"48,526,237.29","196,131,052.93","321,475,661.13","917,542,688.23","895,803,573.82","904,344,341.68","998,623,770.41","1,069,102,582.99","984,245,755.82","1,067,952,246.71","1,134,738,889.27","1,045,703,291.33","1,073,973,359.89","1,175,985,937.03","1,119,283,378.77","1,155,431,089.51","1,314,173,090.84","1,455,866,559.36","1,542,715,844.99","1,596,459,847.34","1,590,437,288.64","1,684,010,083.16","1,797,090,253.56","1,889,205,107.13","2,067,532,028.10","2,248,924,438.87","2,353,392,267.86","3,022,755,303.18","2,991,844,165.61","3,029,489,481.62","3,268,430,920.65","3,947,026,509.67","10,482,836,003.40","10,448,668,195.57","11,869,987,642.16","12,039,093,027.12","12,256,163,420.56","12,403,195,601.46"
