科目,2007年1-6月,2007年度,2008年1-6月,2008年度,2009年1-6月,2009年度,2010年1-6月,2010年度,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度
支付给职工以及为职工支付的现金,"8,921,996.86","21,143,019.30","15,086,427.66","36,675,495.66","23,316,057.18","47,115,195.97","25,802,792.84","55,773,960.84","37,499,849.37","57,184,222.50","75,724,923.45","18,920,357.50","37,627,851.10","60,192,785.74","86,016,605.48","29,226,068.28","62,673,612.37","99,060,423.20","135,904,461.62","45,369,229.92","84,707,194.56","127,825,911.07","182,445,843.34","74,773,252.95","139,427,723.53","223,629,596.38","312,597,202.12","90,504,891.96","175,904,239.56","279,403,380.43","396,051,805.38","125,834,596.89","252,650,522.40","385,167,666.57","538,435,163.42"
取得借款收到的现金,,"30,000,000.00","35,000,000.00","65,000,000.00","15,000,000.00","50,000,000.00","32,000,000.00","32,000,000.00","32,000,000.00","32,000,000.00","32,000,000.00",,"2,000,000.00","2,000,000.00","2,000,000.00",,"2,000,000.00","2,000,000.00","2,000,000.00",,"2,000,000.00","2,000,000.00","2,000,000.00",,"7,200,000.00","7,200,000.00","7,200,000.00",,"510,000.00","510,000.00","510,000.00",,"9,150,000.00","18,150,000.00","18,150,000.00"
支付的各项税费,"3,315,472.05","7,374,458.77","7,954,305.98","19,963,666.75","22,794,686.46","32,221,632.85","18,494,612.48","44,017,429.53","29,396,452.29","36,648,015.36","52,108,509.80","10,263,858.96","37,256,533.59","49,035,590.91","53,992,204.18","15,471,132.12","27,855,379.12","41,330,248.91","61,619,698.10","17,886,931.37","30,969,688.97","63,055,754.54","103,159,565.07","43,376,959.52","63,092,563.12","84,409,386.63","139,115,472.36","70,594,697.91","84,843,929.33","115,030,563.09","159,661,158.92","71,732,963.81","99,500,727.43","146,144,973.14","204,638,850.55"
收到其他与筹资活动有关的现金,"391,000.05","391,000.05","349,672.50","1,571,572.50",,"1,990,965.00","850,000.00","3,326,407.50",,,"2,000,000.00","160,000.00","451,940.00","481,940.00","890,000.00",,,,,,,,,,,,"5,348,309.23","4,377.96","18,189,564.34","510,902.59","11,220.48","2,729.43","4,235.15","7,185.22","8,715.53"
支付其他与经营活动有关的现金,"13,263,097.55","32,068,419.50","18,901,959.84","49,080,626.75","27,453,704.96","74,048,422.81","32,415,211.71","85,722,926.01","47,627,869.41","88,609,825.28","126,407,999.52","37,913,039.07","73,128,723.95","110,371,699.36","175,089,154.63","36,027,056.08","76,287,964.54","140,894,762.61","220,866,857.20","42,859,296.73","124,418,970.71","179,078,173.36","295,212,522.92","56,727,412.64","142,281,970.15","267,248,779.20","435,790,994.76","96,385,730.75","192,970,115.24","325,630,710.49","495,608,338.56","99,123,408.02","218,038,956.12","371,035,169.89","546,665,351.02"
筹资活动现金流入小计,"391,000.05","35,291,000.05","35,349,672.50","66,571,572.50","15,000,000.00","51,990,965.00","32,850,000.00","35,326,407.50","32,000,000.00","32,000,000.00","562,800,000.00","160,000.00","2,451,940.00","2,481,940.00","2,890,000.00",,"2,000,000.00","9,750,000.00","20,992,340.98","1,804,964.95","11,357,032.19","13,562,071.19","24,531,458.95","8,197,041.26","105,124,852.76","134,679,239.39","236,659,916.63","9,238,690.02","31,988,243.95","31,464,057.80","36,659,364.99","220,294,938.58","237,089,975.60","740,991,551.07","746,630,328.38"
经营活动现金流出小计,"82,576,488.40","254,445,498.84","151,019,194.51","272,795,473.21","168,324,766.29","343,998,659.82","175,613,496.54","378,019,605.73","228,262,922.28","354,271,748.90","506,159,401.51","120,865,813.89","266,594,463.58","387,838,084.86","572,224,092.41","169,994,862.64","352,942,917.07","551,550,359.79","801,774,519.07","235,796,242.43","489,527,038.41","772,099,663.72","1,146,648,132.46","338,394,160.61","647,923,518.36","1,007,638,352.27","1,533,341,846.95","414,116,326.70","761,289,307.57","1,215,609,706.07","1,872,188,714.67","531,144,659.81","960,054,339.81","1,511,130,676.01","2,300,017,964.61"
偿还债务支付的现金,"11,850,000.00","24,800,000.00","25,000,000.00","80,000,000.00","15,000,000.00","30,000,000.00","35,000,000.00","65,000,000.00","2,000,000.00","2,000,000.00","32,000,000.00",,"2,000,000.00","2,000,000.00","2,000,000.00",,"2,000,000.00","2,000,000.00","2,000,000.00",,"2,000,000.00","2,000,000.00","2,000,000.00",,"2,100,000.00","3,300,000.00","8,290,000.00",,"2,110,000.00","2,110,000.00","2,110,000.00",,"510,000.00","510,000.00","510,000.00"
经营活动产生的现金流量净额,"32,777,041.52","42,250,126.39","-48,274,305.21","10,467,818.32","-56,197,285.45","66,667,207.48","-55,461,275.83","56,980,500.31","-100,802,195.42","-122,854,711.74","-39,763,325.46","-31,882,981.97","-61,579,049.25","-74,197,266.68","90,852,994.64","-94,632,719.12","-172,028,511.52","-169,801,644.13","-11,861,128.95","-134,620,917.65","-42,149,232.06","-33,293,709.61","288,761,055.33","-167,720,773.13","-200,801,399.70","-138,328,759.76","349,825,716.60","-188,068,506.79","-190,097,197.85","-246,473,672.55","237,220,809.69","-276,047,978.67","-314,489,366.67","-430,762,315.60","491,523,303.34"
分配股利、利润或偿还利息支付的现金,"500,991.75","946,262.70","1,595,405.07","5,658,860.04","206,040.00","1,144,020.00","172,731.00","968,396.33","54,948.00","536,616.00","1,107,504.99","66,109,418.33","100,137,028.35","100,171,193.68","111,121,711.66","36,000.00","27,708,992.58","29,709,600.00","29,746,000.00","36,000.00","20,867,073.26","22,413,065.47","22,449,465.47","36,000.00","14,376,664.68","14,499,604.01","15,319,856.23","32,069,115.62","32,122,234.96","32,128,811.58","32,135,316.71","6,433.65","32,219,023.05","33,880,190.07","53,149,406.36"
收回投资收到的现金,,,,,,,,,,,,,,,,,,,,,,,,,,,"10,050,000.00",,,,,,,,
支付其他与筹资活动有关的现金,,"44,700.00","67,275.00","52,425.00",,,,,,,"9,588,592.40",,,,,,,,,,,,"1,000,000.00","750,000.00","929,970.43","929,970.43","46,406,065.96","7,992,661.95","7,324,170.23","8,507,097.10","6,857,858.35","48,066.50","60,395.80","723,612.51","861,149.25"
取得投资收益收到的现金,,,,"404,002.82",,,,,,,,,,,,,,,,,,,,,,,"704,801.22",,,,,,,,
筹资活动现金流出小计,"12,350,991.75","25,790,962.70","26,662,680.07","85,711,285.04","15,206,040.00","31,144,020.00","35,172,731.00","65,968,396.33","2,054,948.00","2,536,616.00","42,696,097.39","66,109,418.33","102,137,028.35","102,171,193.68","113,121,711.66","36,000.00","29,708,992.58","31,709,600.00","31,746,000.00","36,000.00","22,867,073.26","24,413,065.47","25,449,465.47","786,000.00","17,406,635.11","18,729,574.44","70,015,922.19","40,061,777.57","41,556,405.19","42,745,908.68","41,103,175.06","54,500.15","32,789,418.85","35,113,802.58","54,520,555.61"
处置固定资产、无形资产和其他长期资产收回的现金净额,,,"12,000.00","12,000.00",,,"20,000.00","20,000.00","52,500.00","52,500.00","52,500.00",,"22,000.00","22,000.00","22,000.00",,,,,"16,673.07","16,673.07","97,873.07","177,873.07","1,869.61","1,869.61","58,119.61","272,119.61","28,000.00","224,000.00","233,000.00","235,652.00","22,800.00","22,800.00","82,800.00","114,566.96"
筹资活动产生的现金流量净额,"-11,959,991.70","9,500,037.35","8,686,992.43","-19,139,712.54","-206,040.00","20,846,945.00","-2,322,731.00","-30,641,988.83","29,945,052.00","29,463,384.00","520,103,902.61","-65,949,418.33","-99,685,088.35","-99,689,253.68","-110,231,711.66","-36,000.00","-27,708,992.58","-21,959,600.00","-10,753,659.02","1,768,964.95","-11,510,041.07","-10,850,994.28","-918,006.52","7,411,041.26","87,718,217.65","115,949,664.95","166,643,994.44","-30,823,087.55","-9,568,161.24","-11,281,850.88","-4,443,810.07","220,240,438.43","204,300,556.75","705,877,748.49","692,109,772.77"
处置子公司及其他营业单位收到的现金净额,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"81,602.00",,,,"1,464,119.57"
四、汇率变动对现金的影响,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
收到其他与投资活动有关的现金,,,,,,,,,,,,,,,,,,,,"45,517.34",,,,,,,"6,000,000.00",,,,,,,,"1,000,000.00"
四(2)、其他原因对现金的影响,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
投资活动现金流入小计,,,"12,000.00","416,002.82",,,"20,000.00","20,000.00","52,500.00","52,500.00","52,500.00",,"22,000.00","22,000.00","22,000.00",,,,,"62,190.41","16,673.07","97,873.07","177,873.07","1,869.61","1,869.61","58,119.61","17,026,920.83","28,000.00","224,000.00","233,000.00","317,254.00","22,800.00","22,800.00","82,800.00","2,578,686.53"
五、现金及现金等价物净增加额,"15,101,844.52","30,841,127.16","-49,240,902.70","-20,446,050.16","-60,535,767.44","73,812,344.47","-66,662,174.93","7,711,912.90","-82,527,824.87","-111,915,511.96","449,514,949.73","-113,547,100.40","-198,008,993.47","-231,451,258.07","-109,863,334.03","-109,165,055.73","-242,875,001.28","-252,571,510.49","-114,998,204.88","-160,172,499.61","-135,415,114.66","-163,502,238.53","108,440,823.66","-213,384,179.32","-283,156,866.25","-242,290,097.64","255,117,360.76","-335,937,404.70","-349,535,173.74","-447,832,646.24","8,542,434.94","-152,707,773.36","-250,136,657.74","-294,527,623.30","488,913,081.63"
购建固定资产、无形资产和其他长期资产支付的现金,"5,715,205.30","20,909,036.58","9,665,589.92","12,190,158.76","4,132,441.99","13,701,808.01","8,898,168.10","18,646,598.58","11,723,181.45","18,576,684.22","30,878,127.42","15,714,700.10","33,679,742.79","54,499,624.63","87,419,503.93","14,496,336.61","43,137,497.18","60,810,266.36","92,383,416.91","27,382,737.32","81,772,514.60","119,455,407.71","149,580,098.22","21,604,067.06","53,998,887.49","99,892,456.12","132,327,327.29","39,606,060.36","72,626,064.65","112,842,372.81","147,084,068.68","32,983,033.12","61,030,647.82","102,486,748.81","151,071,652.99"
期初现金及现金等价物余额,"90,183,486.27","90,183,486.27","121,024,613.43","121,024,613.43","100,578,563.27","100,578,563.27","174,390,907.74","174,390,907.74","182,102,820.64","182,102,820.64","182,102,820.64","631,617,770.37","631,617,770.37","631,617,770.37","631,617,770.37","521,754,436.34","521,754,436.34","521,754,436.34","521,754,436.34","406,756,231.46","406,756,231.46","410,740,289.46","406,756,231.46","570,738,949.77","515,197,055.12","515,197,055.12","515,197,055.12","770,314,415.88","770,314,415.88","770,314,415.88","770,314,415.88","778,856,850.82","778,856,850.82","778,856,850.82","778,856,850.82"
投资支付的现金,,,,,,,,,,,,,,,,,,,,,,,"30,000,000.00",,,,"10,000,000.00",,,,,,"5,000,000.00","35,000,000.00","35,000,000.00"
期末现金及现金等价物余额,"105,285,330.79","121,024,613.43","71,783,710.73","100,578,563.27","40,042,795.83","174,390,907.74","107,728,732.81","182,102,820.64","99,574,995.77","70,187,308.68","631,617,770.37","518,070,669.97","433,608,776.90","400,166,512.30","521,754,436.34","412,589,380.61","278,879,435.06","269,182,925.85","406,756,231.46","246,583,731.85","271,341,116.80","247,238,050.93","515,197,055.12","357,354,770.45","232,040,188.87","272,906,957.48","770,314,415.88","434,377,011.18","420,779,242.14","322,481,769.64","778,856,850.82","626,149,077.46","528,720,193.08","484,329,227.52","1,267,769,932.45"
