科目,2007年1-3月,2007年1-6月,2007年1-9月,2007年度,2008年1-3月,2008年1-6月,2008年1-9月,2008年度,2009年1-3月,2009年1-6月,2009年1-9月,2009年度,2010年1-3月,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月
收回投资收到的现金,"82,037,031.88","128,618,653.75","142,558,235.03","195,823,170.00","4,599,055.00","17,974,980.00","20,613,625.00","20,613,625.00",,,,,,,,"20,524,348.42","1,836.99",,,"20,457,723.44",,,,"11,432,440.12",,,,,,,,"5,814,180.00",,,,,,,,,,"23,078,320.00","23,078,320.00","32,738,320.00",,
支付其他与筹资活动有关的现金,,,,,,,,,,,,"1,331,800.00",,,,,,,,,,,"1,789,740.00","81,000,309.51","423,493.15","5,620,744.84","8,218,169.50","14,139,597.69","6,390,136.99","10,745,608.26","13,343,032.92","15,565,810.92","80,941,095.89","80,989,404.22","182,448,102.85","185,254,452.06","1,608,750.00","3,761,150.00","253,768,870.82","777,933,282.20",,,"556,637,137.50","558,898,975.65",,"202,400.00"
取得投资收益收到的现金,,"2,000,000.00","2,000,000.00","103,732,380.01","2,882,639.36","46,803,686.30","48,637,794.51","49,311,641.69",,"30,000,000.00","31,175,600.00","31,175,600.00",,"60,000,000.00","81,615,610.00","81,615,610.00","41,092,023.67","60,000,000.00","60,783,740.00","60,783,740.00","40,000,000.00","40,708,000.00","40,708,000.00","40,708,000.00","1,416,000.00","31,416,000.00","31,416,000.00","31,416,000.00","16,000,000.00","36,708,000.00","36,708,000.00","36,910,016.52",,"20,000,000.00","43,600,000.00","43,600,000.00","2,124,000.00","22,124,000.00","44,764,000.00","45,530,588.22",,"20,000,000.00","20,000,000.00","24,642,988.27",,"20,000,000.00"
筹资活动现金流出小计,"91,272,246.95","197,555,313.36","389,526,707.59","504,075,490.35","77,632,836.94","155,395,830.05","313,862,152.18","515,549,467.21","227,367,707.86","240,504,362.74","373,483,403.63","384,405,526.61","156,078,186.13","299,966,633.16","417,537,865.62","447,852,630.95","77,841,132.65","214,092,220.39","478,077,857.28","591,284,854.17","113,876,113.31","418,419,081.26","960,389,181.79","1,739,397,457.47","67,251,972.35","637,359,483.86","745,909,200.86","1,331,286,582.81","174,858,221.35","561,053,497.28","590,628,865.90","664,532,089.80","195,021,361.66","1,174,489,279.04","1,871,237,384.42","1,951,369,968.43","418,593,184.68","1,304,571,944.00","2,365,565,535.47","4,647,938,359.64","603,724,151.07","729,329,738.20","2,468,288,897.73","4,377,631,384.98","1,088,419,852.34","2,626,263,781.02"
处置固定资产、无形资产和其他长期资产收回的现金净额,"75,000.00","75,000.00","246,204.00","405,896.70","104,300.00","742,253.67","834,071.67","885,995.67","70,080.00","87,465.00","157,173.47","343,467.00","51,525.00","63,658.16","6,002,388.16","6,443,388.16",,"58,926.00","63,915.00","67,565.00","109,076.12","135,462.48","401,611.85","2,755,221.63","34,225.59","84,717.09","127,042.59","1,093,601.13","245,979.62","521,130.67","604,129.65","1,557,369.24","78,647.19","126,573.69","250,512.44","858,342.66","198,214.40","456,253.88","582,007.92","1,164,839.70","14,203.88","37,891.88","37,891.88","21,984,498.08","7,003.00","71,658.00"
筹资活动产生的现金流量净额,"9,732,753.05","-388,063.36","-3,020,257.59","17,324,059.65","21,963,563.06","-38,113,495.98","-38,952,558.11","-258,325,807.21","-5,810,456.54","118,658,888.58","734,167,993.69","766,237,098.42","-87,815,186.13","-95,144,633.16","-212,715,865.62","-160,767,430.95","-74,841,132.65","185,659,522.11","265,159,685.22","344,147,731.33","36,364,227.72","1,075,863,888.33","1,129,783,596.03","1,333,872,600.35","183,504,027.65","10,991,665.66","79,870,948.66","117,308,046.71","67,249,079.84","-313,833,460.08","-320,160,756.20","-149,157,230.10","84,554,649.34","-445,702,073.04","-624,955,826.22","115,021,602.07","76,423,086.32","798,558,792.09","643,396,947.79","-183,464,467.00","1,661,247,499.39","2,550,775,269.07","3,455,676,804.64","2,348,733,012.98","1,233,140,353.91","2,572,459,342.73"
处置子公司及其他营业单位收到的现金净额,,,,,,,,,,,"16,187,001.63","12,825,330.46",,,"20,808.30",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
四、汇率变动对现金的影响,"-137,871.86","-640,162.08","-779,930.26","-1,378,547.40","-319,099.10","-1,486,881.63","-2,213,691.56","-3,972,867.43","-714,516.61","427,932.47","591,708.37","-50,765.05","-721,188.80","-2,998,006.55","-2,395,403.11","-3,269,566.09","1,807,006.50","1,995,857.55","1,201,698.63","81,514.63","2,334,168.02","4,044,560.61","4,162,989.48","4,416,882.67","-843,911.76","-447,548.44","-1,361,178.97","-5,376,020.39","1,653,514.80","1,262,531.12","-1,856,488.13","-4,484,814.42","-6,837,622.53","-19,721,685.10","-12,153,048.08","2,465,647.57","4,548,038.54","23,615,238.26","23,217,587.85","28,243,703.24","-2,927,537.04","-16,147,986.79","-28,838,180.85","-40,297,711.28","-36,942,614.54","33,115,115.82"
收到其他与投资活动有关的现金,,,,,,,,,,,,"2,468,300.19",,,,,"82,068,890.05","82,068,890.05","82,068,890.05","82,068,890.05",,,,,,,,"239,663,005.80","500,000.00","19,972,878.99","19,972,878.99","55,233,775.11",,,,"20,400,000.00","45,000,000.00","46,552,767.84","47,235,143.30","45,000,000.00",,,,,"310,000,000.00","1,021,244,137.69"
四(2)、其他原因对现金的影响,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
投资活动现金流入小计,"82,112,031.88","130,693,653.75","144,804,439.03","299,961,446.71","7,585,994.36","65,520,919.97","70,085,491.18","70,811,262.36","70,080.00","30,087,465.00","47,519,775.10","46,812,697.65","51,525.00","60,063,658.16","87,638,806.46","108,583,346.58","123,162,750.71","142,127,816.05","142,916,545.05","163,377,918.49","40,109,076.12","40,843,462.48","41,109,611.85","54,895,661.75","1,450,225.59","31,500,717.09","31,543,042.59","272,172,606.93","16,745,979.62","57,202,009.66","57,285,008.64","99,515,340.87","78,647.19","20,126,573.69","43,850,512.44","64,858,342.66","47,322,214.40","69,133,021.72","92,581,151.22","91,695,427.92","14,203.88","43,116,211.88","43,116,211.88","79,365,806.35","310,007,003.00","1,041,315,795.69"
五、现金及现金等价物净增加额,"-163,234,135.35","-76,950,119.67","-170,823,737.77","337,037,014.96","-351,594,228.38","-346,236,432.42","-391,104,302.73","-165,699,665.41","-524,022,702.02","-576,516,344.33","-1,574,203.22","635,649,472.12","-744,795,625.81","-945,898,939.23","-891,762,901.59","-262,283,981.26","-866,913,675.21","-353,621,980.49","-846,516,004.16","502,546,551.01","-981,416,206.11","-296,431,631.24","-146,769,410.50","1,435,447,747.50","-1,138,613,063.19","-1,759,857,216.99","-1,268,157,382.25","302,055,411.11","-703,538,992.03","-1,246,731,297.77","-1,400,238,325.13","268,573,938.12","-883,507,696.70","-1,259,068,944.43","-1,681,370,635.37","8,479,081.35","-2,284,222,173.01","-1,627,647,407.03","-1,897,821,626.73","-644,495,032.57","-636,592,010.23","-256,916,310.98","592,015,496.93","1,677,722,331.27","-2,872,666,339.40","-1,992,147,180.71"
购建固定资产、无形资产和其他长期资产支付的现金,"11,579,500.43","29,005,416.00","44,057,277.62","85,013,834.93","31,982,109.59","62,345,146.79","112,798,716.73","190,472,098.68","94,987,466.33","164,634,642.29","193,297,256.91","241,903,138.14","77,610,285.15","124,772,507.16","166,641,322.48","295,569,435.70","53,537,071.59","116,782,889.02","176,614,923.94","234,157,428.59","49,441,139.95","121,580,208.98","188,692,404.07","253,231,313.78","106,573,866.44","184,924,424.39","277,355,312.00","383,946,987.09","78,907,464.64","203,850,951.94","313,898,429.05","383,464,756.92","110,036,166.06","261,837,712.89","437,410,252.32","631,806,701.27","241,462,438.11","516,982,908.34","681,060,729.95","861,909,253.84","143,374,224.10","327,767,478.17","504,749,953.34","845,187,765.62","267,786,596.35","502,044,994.10"
期初现金及现金等价物余额,"1,021,948,561.62","1,021,948,561.62","1,021,948,561.62","1,021,948,561.62","1,358,985,576.58","1,358,985,576.58","1,358,985,576.58","1,358,985,576.58","1,197,092,301.17","1,197,092,301.17","1,197,092,301.17","1,193,285,911.17","1,830,028,383.29","1,830,028,383.29","1,830,028,383.29","1,828,935,383.29","1,569,156,753.03","1,569,156,753.03","1,569,156,753.03","1,566,651,402.03","2,076,448,846.50","2,076,448,846.50","2,076,448,846.50","2,069,197,953.04","3,512,090,348.31","3,504,645,700.54","3,504,645,700.54","3,504,645,700.54","3,806,701,111.65","3,806,701,111.65","3,806,701,111.65","3,806,701,111.65","4,075,275,049.77","4,075,275,049.77","4,075,275,049.77","4,075,310,199.57","4,083,789,280.92","4,083,789,280.92","4,083,789,280.92","4,083,789,280.92","3,439,294,248.35","3,439,294,248.35","3,439,294,248.35","3,439,294,248.35","5,117,016,579.62","5,117,016,579.62"
投资支付的现金,,"12,802,207.94","12,802,207.94","106,270,665.00","4,599,055.00","17,974,980.00","20,613,625.00","22,613,625.00",,,,"199,584,714.96",,,"20,000,000.00","29,622,221.00",,"1,000,000.00","21,000,000.00","59,136,326.50",,,"6,000,000.00","31,356,400.00","50,228,000.00","54,728,000.00","54,728,000.00","54,728,000.00","10,807,146.53","11,707,177.50",,,,,"100,000,000.00","169,680,000.00","40,935,400.00","208,129,000.00","210,029,000.00","66,900,000.00",,"10,000,000.00","46,650,000.00","121,650,000.00",,"4,000,000.00"
期末现金及现金等价物余额,"858,714,426.27","944,998,441.95","851,124,823.85","1,358,985,576.58","1,007,391,348.20","1,012,749,144.16","967,881,273.85","1,193,285,911.17","673,069,599.15","620,575,956.84","1,195,518,097.95","1,828,935,383.29","1,085,232,757.48","884,129,444.06","938,265,481.70","1,566,651,402.03","702,243,077.82","1,215,534,772.54","722,640,748.87","2,069,197,953.04","1,095,032,640.39","1,780,017,215.26","1,929,679,436.00","3,504,645,700.54","2,373,477,285.12","1,744,788,483.55","2,236,488,318.29","3,806,701,111.65","3,103,162,119.62","2,559,969,813.88","2,406,462,786.52","4,075,275,049.77","3,191,767,353.07","2,816,206,105.34","2,393,904,414.40","4,083,789,280.92","1,799,567,107.91","2,456,141,873.89","2,185,967,654.19","3,439,294,248.35","2,802,702,238.12","3,182,377,937.37","4,031,309,745.28","5,117,016,579.62","2,244,350,240.22","3,124,869,398.91"
