科目,2007年1-3月,2007年1-6月,2007年1-9月,2007年度,2008年1-3月,2008年1-6月,2008年1-9月,2008年度,2009年1-3月,2009年1-6月,2009年1-9月,2009年度,2010年1-3月,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月,2018年1-9月,2018年度,2019年1-3月
收回投资收到的现金,"5,137,346.15","12,193,800.53","24,855,200.21","829,180.18",,"34,618.16","136,162.00",,"5,077,796.97","2,440,905.00","4,322,110.00","1,120,475.00","859,820.00","4,089,925.00","14,237,268.90","4,750,819.67","329,890.00","193,412.43","193,412.43","450,620.58","10,114,972.71","3,573,063.13","6,062,911.99","33,931,411.46","1,169,062.96","1,169,062.96","7,964,260.07","32,275,959.94","903,341.00","4,844,285.84","7,515,763.55","7,435,284.25","10,154,208.13","31,790,284.39","238,355,724.07","28,150,225.77","809,969,311.78","822,257,639.54","827,228,731.13","1,124,635,886.92","4,566,135.71","104,563,950.71","606,085,267.61","1,016,800,260.40","210,020,630.00","510,048,170.00","1,020,584,408.83","1,549,399,907.32","300,000,000.00"
支付其他与筹资活动有关的现金,"69,871.46",,,,,,,,,"1,800,000.00","1,800,000.00",,,,"87,623.28","2,451,764.24",,,,,,,,"500,000.00",,,,,"1,042,460.00","1,042,460.00","1,042,460.00","1,042,460.00",,"350,000.00","350,000.00","356,592.92",,,,,,,,"474,490.27",,,,"1,591,407.36",
取得投资收益收到的现金,"645,810.18","1,146,293.32","2,496,014.03","10,033,693.87","1,030,497.30","6,097,505.35","4,526,550.71","5,658,613.89",,"5,741,774.65","6,039,269.36","11,309,810.27","146,016.65","1,485,040.49","4,621,410.63","6,035,645.02","355,919.03","4,639,681.89","4,153,721.83","2,635,570.44","111,301.77","4,221,701.96","5,986,149.71","4,051,781.94",,"352,603.62","10,989,097.82","14,574,157.74",,"2,128,777.58","11,548,779.30","12,161,795.92","5,079,478.04","24,822,400.92","28,507,264.23","39,104,131.40","660,826.68","33,626,266.39","45,079,478.05","45,566,552.41","13,144,646.18","13,695,257.89","25,444,121.12","56,134,577.03","9,172,493.46","17,688,600.74","46,638,761.06","93,127,928.90","430,571.43"
筹资活动现金流出小计,"264,281,578.51","449,745,451.89","717,131,517.11","971,731,247.07","378,430,603.91","740,285,406.34","992,660,587.10","1,308,653,875.24","374,375,328.69","710,440,669.57","986,912,447.51","1,449,478,114.34","474,485,032.11","1,027,206,748.64","1,495,683,947.34","1,963,441,573.16","608,885,469.69","1,199,762,188.30","1,779,711,846.90","2,465,036,584.30","776,937,938.06","1,453,305,965.23","2,386,901,818.38","3,119,032,718.53","1,124,320,752.71","2,255,391,080.32","3,756,675,052.94","5,331,273,454.42","1,791,779,814.53","3,090,003,686.88","4,533,358,653.02","5,671,919,151.06","1,304,637,151.44","2,399,559,081.01","3,980,427,138.70","5,441,525,159.99","889,756,496.38","1,726,308,759.17","2,952,422,386.12","5,359,216,570.71","1,242,722,090.26","2,651,914,574.52","4,674,904,170.25","6,912,329,598.64","1,105,284,619.50","2,487,145,011.49","4,319,761,539.94","5,823,360,295.00","1,349,732,673.16"
处置固定资产、无形资产和其他长期资产收回的现金净额,"19,300.00","440,881.46","382,170.53","2,999,212.75","39,550.00","56,150.00","191,350.00","262,374.60",500.00,"133,467.70","435,451.85","473,548.65","827,758.00","177,064.35","7,493,276.63","6,908,578.63","81,541.54","527,851.71","275,462.50","300,508.22",,"8,100.00","11,342.31","2,340,194.59","31,200.00","161,961.00","163,411.00","420,023.50","36,667.53","167,014.63","409,514.63","1,310,345.75","30,465,463.00","30,481,863.00","30,824,927.00","30,578,124.38","24,100.00","32,594.66","43,122.35","1,211,831.11","9,160.00","168,330.94","138,300.84","8,527,615.73",,"256,795.99","165,066.99","740,771.10","1,368,412.00"
筹资活动产生的现金流量净额,"35,848,421.49","82,084,548.11","29,698,482.89","4,298,752.93","69,269,396.09","164,414,593.66","140,589,412.90","-46,453,875.24","186,624,671.31","144,559,330.43","177,087,552.49","23,846,885.66","585,514,967.89","622,143,251.36","631,666,052.66","409,153,426.84","548,114,530.31","481,237,811.70","557,638,153.10","399,063,415.70","179,062,061.94","201,694,034.77","247,338,181.62","66,207,281.47","497,679,247.29","163,808,919.68","60,524,947.06","-522,073,454.42","512,220,185.47","-269,621,566.88","-176,987,826.59","-631,010,829.75","573,990,343.50","-161,733,319.21","-809,025,557.16","-844,206,978.06","835,541,931.40","127,365,480.83","1,125,480,193.88","1,089,199,223.14","-115,118,090.26","-522,307,840.78","-1,031,792,918.57","-1,769,355,322.55","609,872,070.50","792,149,964.51","727,303,888.43","766,614,600.00","2,102,267,326.84"
处置子公司及其他营业单位收到的现金净额,,,,,,,,"-461,250.22",,"376,966.85","376,966.85","3,051,871.61",,,,"-3,890,178.01",,,,"120,792.21",,,,"884,987.65",,,,,,,,,,,,,,,,,,,,,,,,"1,292,249.87",
四、汇率变动对现金的影响,"-97,320.49","-244,415.37","-556,494.12","-837,898.41","-501,059.32","-687,952.98","-761,035.21","-777,690.82","-22,570.61","-109,528.75","-149,822.64","-180,689.58","-16,347.21","-145,499.01","-216,369.16","-654,907.24","-235,741.76","-607,119.43","-782,293.85","-452,639.77","-113,474.72","36,637.24","241,868.73","-177,981.65","-196,399.78","-1,304,479.59","-1,475,203.67","-816,432.80","115,991.82","429,043.80","278,996.81","-2,154,659.50","339,202.60","1,202,171.71","4,218,907.42","4,049,108.83","1,191,339.72","2,897,027.32","4,380,363.63","1,677,544.31","345,204.24","-1,012,011.50","-996,837.46","-8,585,227.38","-4,755,753.24","-6,649,262.88","-6,423,243.92","389,472.44","5,207,198.57"
收到其他与投资活动有关的现金,,,,,,"828,089.00",,,,,,,,"1,209.88",,,,,,,,,,"3,665,150.88",,,,,,,,,,,,,,,,,,,,,,,,,
四(2)、其他原因对现金的影响,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
