科目,2011-12-31,2012-12-31,2013-12-31,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31
流动负债合计,"201,824,662.83","287,714,174.62","404,595,571.30","353,764,103.61","354,513,513.04","296,087,059.72","233,656,836.57","181,208,247.72","173,557,875.57","145,241,010.26","135,624,239.85","174,009,415.55","224,516,155.26","158,008,702.25","165,102,769.70","160,354,543.79","309,982,297.14","417,020,104.80"
可供出售金融资产,,,,,,,,,,,,,"41,390,000.00",,,,,
长期借款,,"65,500,000.00","78,990,000.00","55,125,000.00","35,000,000.00","19,912,054.11",,,,,,,,,,,,
持有至到期投资,,,,,,,,,,,,,,,,,,
应付债券,,,,,,,,,,,,,,,,,,
长期应收款,,,,,,,,,,,,,,,,,,
长期应付款,,,,,,,,,,,,,,,,,,
长期股权投资,"7,246,461.64","8,278,419.62","9,201,306.66","10,290,286.49","10,532,788.46","10,977,082.96","11,539,523.00","11,316,206.27","42,175,776.11","52,618,008.89","53,147,129.16","52,600,965.94","12,708,036.36","13,089,735.97","13,891,218.70","14,386,778.69","60,643,391.80","105,976,589.95"
专项应付款,,,,,,,,,,,,,,,,,,
投资性房地产,,,"9,054,460.59","29,797,303.13","30,281,531.64","29,337,656.33","29,786,858.28","29,539,521.60","29,292,184.92","8,125,063.62","8,630,769.52","8,509,989.91","8,389,210.30","8,268,430.69","8,147,651.08","8,026,871.47","7,906,091.88","7,785,312.30"
预计负债,,,,,,,,,,,,,,,,,,
固定资产,"48,896,941.17","63,530,082.84","193,774,860.38","260,999,775.22","267,021,038.85","264,813,240.39","262,268,151.75","258,864,374.14","258,833,564.00","274,057,049.05","272,032,925.98","272,746,252.67","288,769,783.66","278,232,636.52","275,032,574.43","273,782,071.83","272,386,071.86","269,639,306.46"
递延所得税负债,,,,,,,,,,,,,,,,,,
在建工程,"11,985,684.95","120,430,365.50","65,906,967.43","10,788,896.07","8,062,200.05","10,590,873.88","13,374,038.60","14,742,482.41","17,149,039.34","18,278,729.15","19,721,355.80","21,880,302.68","14,726,783.99","17,004,139.61","17,143,416.38","20,371,909.91","18,820,625.86","17,569,159.09"
其他非流动负债,,,,,,,,,,,,,,,,,,
工程物资,,,,,,,,,,,,,,,,,,
非流动负债合计,,"67,942,907.69","85,958,285.90","71,356,061.08","49,691,480.68","34,395,740.67","14,034,637.42","13,812,843.30","12,727,494.16","12,399,072.53","12,070,650.90","11,742,229.27","10,923,807.64","10,595,386.01","10,266,964.38","9,938,542.75","15,105,869.50","14,568,748.56"
固定资产清理,,,,,,,,,,,,,,,,,,
负债合计,"201,824,662.83","355,657,082.31","490,553,857.20","425,120,164.69","404,204,993.72","330,482,800.39","247,691,473.99","195,021,091.02","186,285,369.73","157,640,082.79","147,694,890.75","185,751,644.82","235,439,962.90","168,604,088.26","175,369,734.08","170,293,086.54","325,088,166.64","431,588,853.36"
生产性生物资产,,,,,,,,,,,,,,,,,,
实收资本(或股本),"99,800,000.00","99,800,000.00","99,800,000.00","99,800,000.00","99,800,000.00","99,800,000.00","133,070,000.00","133,070,000.00","133,070,000.00","133,070,000.00","133,070,000.00","133,070,000.00","133,070,000.00","133,070,000.00","133,070,000.00","239,988,992.00","239,988,992.00","239,988,992.00"
油气资产,,,,,,,,,,,,,,,,,,
资本公积,"371,788.67","371,788.67","371,788.67","371,788.67","371,788.67","371,788.67","303,128,885.44","303,128,885.44","303,128,885.44","303,128,885.44","303,128,885.44","303,128,885.44","303,128,885.44","303,128,885.44","303,128,885.44","208,650,703.44","210,195,128.23","210,811,196.55"
无形资产,"36,037,410.33","47,905,491.74","45,925,103.78","42,933,676.94","42,811,655.27","42,886,456.24","42,274,958.90","41,712,363.69","41,200,095.48","44,473,096.10","43,922,523.50","43,371,950.94","43,033,344.16","49,249,766.69","48,546,733.01","47,818,183.72","104,847,213.84","103,156,519.35"
盈余公积,"16,740,452.39","23,747,717.34","27,488,539.59","27,488,539.59","31,090,064.16","31,045,064.16","31,045,064.16","31,262,992.95","33,389,542.60","33,389,542.60","33,389,542.60","33,389,542.60","36,869,629.48","36,869,629.48","37,069,693.91","36,869,629.48","45,287,632.64","45,287,632.64"
开发支出,,,,,,,"862,730.76","1,196,561.16","1,325,647.10","1,890,665.78","9,370,733.15","14,411,055.07","17,199,044.11","20,056,060.20","21,278,311.98","25,757,309.23","14,984,614.70","20,085,235.14"
减:库存股,,,,,,,,,,,,,,,,,"12,440,810.00","12,440,810.00"
