科目,2013年度,2014年度,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月
支付给职工以及为职工支付的现金,"739,867,546.48","729,040,968.76","796,997,501.78","293,492,327.42","458,026,033.21","631,550,120.19","833,079,163.49","307,826,336.36","487,067,045.71","651,398,003.92","862,234,494.55","382,544,248.63","602,827,277.51"
取得借款收到的现金,"85,000,000.00","50,000,000.00",,,,,,,,,,,
支付的各项税费,"295,693,648.39","101,117,967.78","122,514,330.02","46,482,886.76","96,947,781.83","105,344,265.09","145,619,786.24","45,726,425.21","87,374,681.25","100,110,556.68","118,673,819.23","33,572,084.53","61,008,916.48"
收到其他与筹资活动有关的现金,,,,,"12,012,050.26","25,012,050.26","18,962,050.26",,"123,573.81","1,050,000.00","10,423,573.81",,"12,545.29"
支付其他与经营活动有关的现金,"806,895,748.50","805,672,279.70","899,052,245.11","203,016,225.86","407,198,231.95","626,963,288.73","893,336,852.35","252,495,454.62","438,251,382.95","566,874,190.10","1,078,656,656.15","261,021,251.57","443,694,889.05"
筹资活动现金流入小计,"102,150,000.00","50,000,000.00","4,500,000.00",,"19,512,050.26","682,067,250.26","681,277,250.26",,"123,573.81","1,050,000.00","10,423,573.81",,"667,545.29"
经营活动现金流出小计,"5,434,024,069.06","5,199,754,611.38","5,359,158,167.04","1,269,910,502.86","2,549,837,206.25","4,127,542,177.27","6,133,277,402.06","1,583,560,354.31","3,248,258,775.60","5,175,889,699.06","7,170,829,585.33","1,583,258,148.99","3,109,673,533.49"
偿还债务支付的现金,"208,000,000.00","229,003,014.76","50,000,000.00",,,,,,,,,,
经营活动产生的现金流量净额,"268,939,212.43","875,983,963.09","1,016,650,228.40","-198,131,387.71","99,727,804.31","129,462,668.32","683,427,278.33","-147,724,596.74","-37,004,326.02","96,813,857.81","345,621,870.44","-153,188,800.44","443,268,453.07"
分配股利、利润或偿还利息支付的现金,"358,024,183.36","346,181,350.16","342,747,637.27",,"130,966.60","130,966.60","237,702,136.60","118,545,715.60","370,152,300.00","502,733,430.00","502,733,430.03","202,228.29","249,250,981.29"
收回投资收到的现金,"1,302,860,376.00","3,374,469,851.69","1,021,892,000.00","135,281,397.80","355,050,000.00","898,311,301.80","1,851,710,332.00","599,192,500.00","1,663,713,845.99","2,078,315,386.94","2,834,752,682.94","477,989,639.86","1,326,246,610.95"
支付其他与筹资活动有关的现金,,,,,,,"8,640,101.94",,"48,489,700.00","69,271,000.00","69,271,000.00",,
取得投资收益收到的现金,"60,275,371.62","67,368,518.79","75,865,000.78","3,687,499.11","25,418,381.02","52,848,720.44","58,370,805.09","16,970,438.93","67,290,090.51","78,209,242.91","92,781,341.62","7,191,696.34","55,335,759.20"
筹资活动现金流出小计,"566,024,183.36","583,864,364.92","451,131,537.27",,"130,966.60","130,966.60","246,342,238.54","118,545,715.60","418,642,000.00","572,004,430.00","572,004,430.03","202,228.29","249,250,981.29"
处置固定资产、无形资产和其他长期资产收回的现金净额,"25,654,465.60","4,427,603.90","129,293,337.13","334,441.89","1,784,201.50","2,150,326.80","1,538,222.04","52,143.36","509,150.56","1,182,576.37","948,697.97","16,961.50","2,359,355.43"
筹资活动产生的现金流量净额,"-463,874,183.36","-533,864,364.92","-446,631,537.27",,"19,381,083.66","681,936,283.66","434,935,011.72","-118,545,715.60","-418,518,426.19","-570,954,430.00","-561,580,856.22","-202,228.29","-248,583,436.00"
处置子公司及其他营业单位收到的现金净额,"3,380,000.00","680,000.00",,,,,,,"133,011,272.71","199,958,056.98","66,946,783.23","389,334.87",
四、汇率变动对现金的影响,,,,,,,,,,,,,
收到其他与投资活动有关的现金,"206,865,036.48","125,824,031.16","105,434,000.00","77,329,974.49","120,529,974.49","120,840,900.22","84,513,400.50","121,250,819.19","151,392,643.48","155,352,459.49","151,392,643.48","15,703,462.05","20,000,000.00"
四(2)、其他原因对现金的影响,,,,,,,,,,,,,
投资活动现金流入小计,"1,602,468,627.67","3,610,606,687.00","1,348,629,632.76","218,498,813.29","502,782,557.01","1,074,151,249.26","1,996,132,759.63","737,465,901.48","2,015,917,003.25","2,513,017,722.69","3,146,822,149.24","501,291,094.62","1,403,941,725.58"
五、现金及现金等价物净增加额,"-567,906,048.10","-70,929,095.86","478,652,396.34","-323,011,015.10","-735,567,393.17","70,072,472.49","-190,190,989.93","112,693,078.82","98,233,149.98","254,894,094.51","191,405,391.45","-281,142,943.60","186,656,045.09"
购建固定资产、无形资产和其他长期资产支付的现金,"449,375,165.46","196,587,836.97","198,311,602.98","66,619,970.51","135,935,331.96","205,052,826.95","341,657,330.79","71,248,692.32","123,579,873.30","185,781,208.02","245,938,614.43","18,904,918.01","54,974,881.07"
期初现金及现金等价物余额,"1,984,540,995.25","1,416,634,947.15","1,345,705,851.29","1,824,358,247.63","1,824,358,247.63","1,824,358,247.63","1,824,358,247.63","1,634,167,257.70","1,634,167,257.70","1,634,167,257.70","1,634,167,257.70","1,825,572,649.15","1,825,572,649.15"
投资支付的现金,"1,319,000,000.00","3,655,069,477.69","1,161,484,324.57","233,458,470.17","1,147,123,506.19","1,486,824,992.74","2,649,200,169.84","287,253,818.00","1,241,635,734.89","1,550,520,878.42","2,493,519,157.58","610,138,091.48","1,356,995,816.49"
期末现金及现金等价物余额,"1,416,634,947.15","1,345,705,851.29","1,824,358,247.63","1,501,347,232.53","1,088,790,854.46","1,894,430,720.12","1,634,167,257.70","1,746,860,336.52","1,732,400,407.68","1,889,061,352.21","1,825,572,649.15","1,544,429,705.55","2,012,228,694.24"
