科目,2007年1-6月,2007年度,2008年1-6月,2008年1-9月,2008年度,2009年1-3月,2009年1-6月,2009年1-9月,2009年度,2010年1-3月,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月,2018年1-9月,2018年度,2019年1-3月
支付给职工以及为职工支付的现金,"12,800,745.46","28,656,099.98","29,430,556.19","41,204,048.83","60,749,094.09","14,631,537.95","29,758,796.69","46,476,500.95","64,797,155.66","19,950,498.26","38,545,128.48","57,976,347.32","76,270,136.45","27,911,493.92","54,876,604.32","86,829,295.42","115,181,530.88","32,166,315.27","69,931,237.59","107,384,650.28","146,360,533.01","42,291,186.19","70,829,027.94","114,859,409.10","138,520,550.73","47,161,316.19","93,914,264.26","138,337,785.69","168,524,499.31","47,810,258.36","87,658,872.27","124,992,695.69","177,126,682.16","49,367,637.09","92,841,136.59","134,800,348.56","179,030,514.42","50,654,951.31","90,104,606.59","136,161,014.71","200,743,148.54","55,181,718.53","112,898,649.71","158,390,653.98","212,633,888.07","62,604,263.41"
取得借款收到的现金,,"45,000,000.00","29,000,000.00",,"79,000,000.00","50,000,000.00","50,000,000.00","130,000,000.00","150,000,000.00","110,000,000.00","116,414,160.50","244,414,160.50","406,583,538.39","130,000,000.00","131,500,000.00","131,500,000.00","130,000,000.00","160,000,000.00","258,724,500.00","368,724,500.00","607,724,500.00","161,000,000.00","200,000,000.00","675,310,152.07","1,195,926,014.39","334,000,000.00","973,559,360.00","1,523,559,360.00","1,973,559,360.00","330,000,000.00","766,000,000.00","1,590,000,000.00","1,650,000,000.00","628,000,000.00","1,038,000,000.00","1,138,000,000.00","1,408,000,000.00","366,600,000.00","539,500,000.00","778,976,853.19","1,128,699,771.21","260,000,000.00","650,422,400.00","850,422,400.00","1,457,036,600.00","328,500,000.00"
支付的各项税费,"15,468,831.36","35,689,462.29","5,101,881.50","14,837,124.64","38,622,865.42","11,390,969.33","27,416,188.15","48,792,378.14","53,872,933.84","31,366,338.19","62,789,904.36","82,938,876.88","99,511,528.45","47,360,300.53","60,481,821.21","92,111,111.36","130,177,444.82","28,452,854.17","47,923,106.37","79,482,722.13","116,033,129.96","8,362,103.80","22,752,421.95","28,414,290.66","60,334,395.62","3,339,371.41","15,519,412.94","18,638,466.17","31,400,569.48","5,745,021.96","17,067,952.71","20,978,069.50","31,891,931.67","16,308,083.38","33,105,276.80","38,987,313.79","49,861,283.88","12,417,540.51","32,475,434.76","39,907,950.35","50,843,905.51","24,470,617.70","49,561,936.19","69,809,493.59","75,453,674.79","11,632,462.41"
收到其他与筹资活动有关的现金,,,,,,,,"21,190,000.00","21,190,000.00",,"61,950,000.00",,"34,900,000.00",,,,"107,275,000.00","7,016.67",,"7,016.67","4,100,000.00",,,"20,000,000.00",,,,,"40,523,200.94",,,"1,000,000.00",,"76,000,000.00","104,839,706.05","104,839,706.05","5,259,548.02",,,"124,184,918.70","101,454,638.73",,"147,118,692.55","247,174,543.20","286,019,077.96",
支付其他与经营活动有关的现金,"33,849,149.96","47,885,097.66","32,503,906.07","48,971,522.40","42,877,694.09","13,341,628.52","27,161,367.70","46,380,984.83","67,132,805.47","23,555,800.93","17,725,904.94","35,511,681.27","131,548,521.30","174,124,662.68","116,709,077.04","140,323,761.48","111,848,762.09","94,603,612.50","93,150,930.27","143,325,139.31","127,508,191.94","66,890,869.45","95,862,576.63","158,517,119.55","135,602,720.38","73,132,592.49","122,442,092.02","182,703,512.72","174,662,711.10","41,893,097.72","92,812,298.73","258,152,592.03","195,258,070.36","46,584,752.30","105,459,593.53","174,014,023.23","284,913,248.87","63,765,496.85","127,516,753.43","185,846,740.05","337,132,308.60","68,479,016.51","82,000,546.03","121,503,958.56","283,828,213.62","73,349,899.10"
筹资活动现金流入小计,"32,030,000.00","144,975,000.00","29,000,000.00","494,234,540.00","582,951,107.40","50,000,000.00","50,000,000.00","160,990,000.00","180,990,000.00","110,000,000.00","181,864,160.50","329,055,160.50","526,124,538.39","220,000,000.00","131,500,000.00","131,500,000.00","272,275,000.00","160,007,016.67","258,724,500.00","368,731,516.67","611,824,500.00","161,000,000.00","1,061,999,994.70","1,557,310,146.77","2,057,926,009.09","334,000,000.00","973,559,360.00","2,080,984,862.80","2,571,508,063.74","330,000,000.00","766,000,000.00","1,591,000,000.00","1,654,900,000.00","704,000,000.00","1,142,839,706.05","1,247,739,706.05","1,467,876,529.15","366,600,000.00","539,500,000.00","1,108,315,526.56","1,711,581,302.75","260,000,000.00","1,076,485,674.45","1,376,541,525.10","1,982,272,950.45","328,500,000.00"
经营活动现金流出小计,"272,617,229.79","551,556,559.77","415,093,843.23","486,697,926.22","687,826,477.02","154,225,594.66","280,794,734.85","567,537,399.13","673,574,171.25","223,050,302.97","393,390,669.19","578,750,502.09","971,232,124.00","517,328,196.42","538,892,925.27","737,080,079.18","1,367,703,691.37","272,990,053.88","448,404,907.10","739,258,219.88","988,875,876.33","276,210,014.39","520,079,303.41","780,562,098.25","894,095,925.89","315,851,380.59","543,356,576.28","819,265,390.25","1,074,766,494.71","254,246,361.31","503,970,135.55","794,843,676.66","982,757,947.26","238,003,874.74","487,292,496.03","730,624,861.66","989,368,339.60","306,574,796.79","588,538,529.77","836,662,824.59","1,238,144,794.25","352,637,528.46","615,795,449.23","924,639,349.57","1,342,073,882.12","401,067,826.43"
偿还债务支付的现金,,"15,000,000.00",,"15,000,000.00","124,000,000.00",,,,,"50,000,000.00","50,000,000.00","143,726,470.00","306,583,538.39","50,531,000.00","112,031,000.00","152,031,000.00","220,000,000.00","100,000,000.00","150,000,000.00","233,000,000.00","370,000,000.00","145,000,000.00","377,724,500.00","478,034,652.07","478,034,652.07","245,000,000.00","525,000,000.00","1,229,000,000.00","1,899,175,222.32","200,000,000.00","420,000,000.00","1,200,000,000.00","1,540,000,000.00","580,000,000.00","830,000,000.00","930,000,000.00","1,328,000,000.00","310,000,000.00","340,000,000.00","644,500,000.00","824,500,000.00","290,000,000.00","715,000,000.00","928,158,600.00","1,667,568,400.00","288,021,200.00"
经营活动产生的现金流量净额,"-14,067,913.06","27,865,966.78","-57,566,897.31","-119,034,909.10","1,976,757.04","-23,159,742.00","-79,325,343.85","-245,749,487.05","-224,142,785.28","-122,050,269.09","-125,701,183.86","-125,079,151.66","-83,950,513.23","-71,754,356.56","69,684,887.21","42,496,137.23","67,978,053.54","43,462,798.60","25,495,502.89","-20,882,237.37","82,247,978.44","-83,389,830.84","-104,352,197.87","-136,011,584.86","-100,969,530.18","-126,885,339.78","-165,806,796.83","-122,227,861.61","-81,767,313.10","95,850,875.26","55,899,126.31","31,001,416.53","120,740,006.53","-25,310,258.32","84,490,877.30","158,206,091.56","715,490,321.26","155,559,691.29","84,205,071.97","82,636,349.57","291,813,744.06","-118,499,263.88","-179,149,241.41","-184,760,258.79","14,868,311.98","-52,780,718.91"
分配股利、利润或偿还利息支付的现金,"485,265.00","1,141,530.00","2,124,543.50","3,610,342.00","4,053,082.00",,"30,587,351.55","31,485,626.55","36,371,482.50","1,947,000.00","34,562,915.04","37,344,232.32","42,168,269.01","4,283,716.12","38,185,825.38","39,564,868.78","49,713,838.51","1,324,831.04","37,596,076.84","40,371,621.28","50,502,947.93","3,531,582.22","9,660,339.91","46,679,605.96","55,566,398.53","15,314,428.00","35,284,890.71","59,480,014.33","92,314,621.95","16,124,084.76","40,344,751.88","80,307,965.43","94,185,838.02","10,318,343.96","27,405,917.72","59,367,845.31","71,632,901.14","12,645,644.38","27,732,228.36","63,024,807.62","78,450,652.16","14,089,574.99","38,847,981.49","75,483,266.12","101,780,188.00","14,594,581.93"
收回投资收到的现金,,,,,,,,,,,,,,,,,"17,398,061.18",,,,"51,695.32",,,,"975,178,839.20",,,"344,000,000.00","1,150,803,184.92","227,500,000.00","337,500,000.00","714,500,000.00","1,187,487,800.00","876,602,200.00","1,400,301,200.00","1,724,518,432.88","2,240,217,100.00","535,859,084.85","1,361,059,084.85","2,059,158,043.72","3,216,571,971.04","1,049,503,728.56","1,839,340,675.04","2,089,852,203.82","2,928,979,095.22","599,306,378.50"
支付其他与筹资活动有关的现金,,,,"4,690,181.17",,,,,,,"30,280,000.00",,"1,050,000.00",,,,"20,000,000.00",,,,"4,000,000.00",,"2,570,710.98","42,756,562.48","64,879,161.92",,"20,285,250.00","24,673,045.64","25,807,077.18",,"50,000,000.00","123,500,000.00",,,"75,000,000.00","75,000,000.00",,,"11,250,288.64","186,135,833.65","130,901,402.03",,"980,812.97","38,800,398.20","168,344,861.80",
取得投资收益收到的现金,"319,039.15","325,365.45",,,,,,,,,,,,,"6,949.80","6,949.80","6,949.80","426,317.79",,,"1,442,440.87","52,922.04","349,772.67",,"9,070,354.37","3,055.80",,"741,084.94","2,655,988.32","22,695,281.28","22,901,360.81","135,141,656.30","135,503,343.14","340,790.69","15,246,848.36","15,741,220.39","16,261,737.28","1,203,682.73","17,810,191.40","32,648,015.08","34,125,395.72","2,304,797.44","31,275,576.50","32,513,897.67","35,129,373.89","2,254,637.54"
筹资活动现金流出小计,"485,265.00","16,141,530.00","2,124,543.50","23,300,523.17","128,053,082.00",,"30,587,351.55","31,485,626.55","36,371,482.50","51,947,000.00","114,842,915.04","181,070,702.32","349,801,807.40","54,814,716.12","150,216,825.38","191,595,868.78","289,713,838.51","101,324,831.04","187,596,076.84","273,371,621.28","424,502,947.93","148,531,582.22","389,955,550.89","567,470,820.51","598,480,212.52","260,314,428.00","580,570,140.71","1,313,153,059.97","2,017,296,921.45","216,124,084.76","510,344,751.88","1,403,807,965.43","1,634,185,838.02","590,318,343.96","932,405,917.72","1,064,367,845.31","1,399,632,901.14","322,645,644.38","378,982,517.00","893,660,641.27","1,033,852,054.19","304,089,574.99","754,828,794.46","1,042,442,264.32","1,937,693,449.80","302,615,781.93"
处置固定资产、无形资产和其他长期资产收回的现金净额,"897,718.66","980,782.62","50,400.00","395,400.00","895,400.00","20,000.00","60,000.00","34,529.75","352,449.83",,,,,,"1,350.00","31,350.00","267,296.16",,"33,653.85","34,463.85","91,810.00",,"1,333,982.91","2,229,504.82","1,400,521.37",,,"47,000.00","151,176.94",,,,"30,505,545.96","5,000,000.00","6,705,000.00","6,751,524.34","20,754,654.78","1,050,000.00","3,030,000.00","4,111,000.00","4,148,337.47",,"67,469,401.13","76,518,650.51","435,552,194.49","7,350,166.48"
筹资活动产生的现金流量净额,"31,544,735.00","128,833,470.00","26,875,456.50","470,934,016.83","454,898,025.40","50,000,000.00","19,412,648.45","129,504,373.45","144,618,517.50","58,053,000.00","67,021,245.46","147,984,458.18","176,322,730.99","165,185,283.88","-18,716,825.38","-60,095,868.78","-17,438,838.51","58,682,185.63","71,128,423.16","95,359,895.39","187,321,552.07","12,468,417.78","672,044,443.81","989,839,326.26","1,459,445,796.57","73,685,572.00","392,989,219.29","767,831,802.83","554,211,142.29","113,875,915.24","255,655,248.12","187,192,034.57","20,714,161.98","113,681,656.04","210,433,788.33","183,371,860.74","68,243,628.01","43,954,355.62","160,517,483.00","214,654,885.29","677,729,248.56","-44,089,574.99","321,656,879.99","334,099,260.78","44,579,500.65","25,884,218.07"
处置子公司及其他营业单位收到的现金净额,,,,,,,,,,,,,,,"44,535,300.00","44,535,300.00","21,498,615.93",,,,,,,"1,333,982.91",,,,,,,,,,,,,,,,,"96,315,789.37",,"172,000,000.00","186,000,000.00",,
四、汇率变动对现金的影响,-194.21,-680.91,,-339.34,"-276,123.96",,,"440,956.80","2,039,447.36","190,532.70","-4,732,877.83",,"-5,907,986.77",,"-195,777.11","1,158,207.66","2,471,260.33",,"37,843.54","284,030.87","-1,281,379.62",,"-233,071.96","-224,279.99","-2,325,159.70","-3,763,099.97","2,877,295.62","2,507,886.08","-5,001,124.05","45,527.64","2,461,752.75","1,957,096.64","21,721.65","123,174.49","4,619,805.38","5,788,143.46","6,179,153.44","-555,582.30","-5,942,133.97","-11,578,844.66","-33,951,040.08","-11,828,673.08","16,159,198.52","47,234,183.53","102,754,526.66","-10,184,048.04"
收到其他与投资活动有关的现金,"403,628.99","1,019,417.49","909,108.09","2,310,742.05","13,305,412.60","551,836.00","1,038,062.32","9,454,403.14","40,366,559.15",,"14,637,024.11","19,441,732.27","18,040,371.13",,"67,866.85","371,816.75","353,759,471.61","120,026,926.03","184,358,581.26","191,915,740.01","12,700,000.00","135,113,946.57","125,000,000.00","353,217,465.75","40,600,000.00",,"784,372.00","800,952.87","904,372.00",,"1,464,000.00",,,,"3,000,000.00","3,000,000.00","48,703,812.68",,"103,558,245.10","153,993,073.00","224,030,228.00",,,,"17,125,296.00",
四(2)、其他原因对现金的影响,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
投资活动现金流入小计,"1,620,386.80","2,325,565.56","959,508.09","2,706,142.05","14,200,812.60","571,836.00","1,098,062.32","9,488,932.89","40,719,008.98",,"14,637,024.11","19,441,732.27","18,040,371.13",,"44,611,466.65","44,945,416.55","392,930,394.68","120,453,243.82","184,392,235.11","191,950,203.86","14,285,946.19","135,166,868.61","126,683,755.58","356,780,953.48","1,026,249,714.94","3,055.80","784,372.00","345,589,037.81","1,154,514,722.18","250,195,281.28","361,865,360.81","849,641,656.30","1,353,496,689.10","881,942,990.69","1,425,253,048.36","1,750,011,177.61","2,325,937,304.74","538,112,767.58","1,485,457,521.35","2,249,910,131.80","3,575,191,721.60","1,051,808,526.00","2,110,085,652.67","2,384,884,752.00","3,416,785,959.60","608,911,182.52"
五、现金及现金等价物净增加额,"-21,514,265.28","37,730,267.35","-52,631,136.79","268,589,564.81","293,500,538.85","707,201.96","-107,564,830.37","-181,781,660.04","-150,197,467.63","-107,418,340.87","-136,765,586.79","2,628,132.08","-23,930,237.91","-95,127,029.36","-26,640,941.00","-109,676,975.70","-33,973,637.49","41,654,800.09","-8,676,410.63","-64,914,889.70","-60,392,908.84","-11,034,956.55","125,727,335.10","117,478,157.61","473,400,992.74","-78,952,561.16","-287,439,339.70","-277,098,122.77","-410,853,054.81","-36,473.89","-38,608,000.63","6,766,203.97","-7,441,332.04","47,452,140.76","43,513,929.03","116,795,121.15","211,067,821.36","-19,702,853.39","7,536,937.16","-31,525,069.30","303,056,471.21","-314,519,272.61","74,548,414.96","88,432,107.43","225,764,477.48","-116,393,381.61"
购建固定资产、无形资产和其他长期资产支付的现金,"40,611,279.81","121,294,054.08","22,899,204.07","86,015,345.63","163,652,325.57","26,704,892.04","48,750,197.29","75,466,436.13","80,927,105.69","12,111,604.48","87,989,794.67","39,718,906.71","93,434,840.03","19,107,956.68","33,046,092.37","49,202,268.36","86,696,513.11","38,168,627.96","104,295,943.33","145,876,074.45","243,478,474.92","9,774,069.10","93,218,142.46","135,795,696.12","284,766,528.28","21,992,749.21","93,093,429.78","125,608,987.88","143,560,482.11","44,179,113.85","89,687,854.56","119,181,484.39","177,778,531.07","39,746,172.14","63,389,646.53","95,124,570.92","208,222,601.00","62,030,163.58","119,999,433.19","236,973,894.30","576,431,289.06","384,301,426.66","419,765,815.30","481,155,030.54","605,240,323.46","58,979,303.84"
期初现金及现金等价物余额,"85,285,061.99","85,285,061.99","123,015,329.34","121,266,219.06","123,015,329.34","416,515,868.29","416,515,868.29","416,515,868.29","416,515,868.29","264,499,378.32","266,318,400.66","266,318,400.66","266,318,400.66","242,388,162.75","242,388,162.75","242,388,162.75","242,388,162.75","208,414,525.26","208,414,525.26","208,414,525.26","208,844,025.26","148,451,116.42","148,451,116.42","148,451,116.42","148,451,116.42","621,852,109.16","621,852,109.16","621,852,109.16","621,852,109.16","210,999,054.35","210,999,054.35","210,999,054.35","210,999,054.35","203,557,722.31","203,557,722.31","203,557,722.31","203,557,722.31","414,625,543.67","414,625,543.67","414,625,543.67","414,625,543.67","717,682,014.88","717,682,014.88","717,682,014.95","717,682,014.88","943,446,492.36"
投资支付的现金,,,,,,,,,,"31,500,000.00",,,,,"11,528,600.00","11,528,600.00","11,631,517.00","4,774,800.00",,"316,236.00","4,488,531.00","1,506,343.00","5,197,452.00","265,197,452.00","949,197,452.00",,"420,000,000.00","1,140,000,000.00","1,858,000,000.02","377,290,000.00","574,609,624.60","894,112,506.22","1,205,145,567.58","749,200,000.00","1,477,356,100.00","1,744,919,737.49","2,418,954,900.00","694,743,922.00","1,596,701,572.00","2,330,173,697.00","3,556,404,681.71","807,608,860.00","1,774,438,259.51","2,011,870,799.55","2,668,185,634.72","597,994,284.00"
期末现金及现金等价物余额,"63,770,796.71","123,015,329.34","70,384,192.55","389,855,783.87","416,515,868.19","417,223,070.25","308,951,037.92","234,734,208.25","266,318,400.66","157,081,037.45","129,552,813.87","268,946,532.74","242,388,162.75","147,261,133.39","215,747,221.75","132,711,187.05","208,414,525.26","250,069,325.35","199,738,114.63","143,499,635.56","148,451,116.42","137,416,159.87","274,178,451.52","265,929,274.03","621,852,109.16","542,899,548.00","334,412,769.46","344,753,986.39","210,999,054.35","210,962,580.46","172,391,053.72","217,765,258.32","203,557,722.31","251,009,863.07","247,071,651.34","320,352,843.46","414,625,543.67","394,922,690.28","422,162,480.83","383,100,474.37","717,682,014.88","403,162,742.27","792,230,429.84","806,114,122.38","943,446,492.36","827,053,110.75"
