科目,2011年度,2012年度,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月,2018年1-9月,2018年度,2019年1-3月
堪探费用,,,,,,,,,,,,,,,,,,,,,,,,
加:影响利润总额的其他科目,,,,,,,,,,,,,,,,,,,,,,,,
财务费用,"2,832,575.83","2,646,175.15","3,838,283.47","1,605,978.76","3,877,387.24","4,135,949.09","2,987,606.14","-528,109.69","-1,906,224.66","-2,765,770.19","-3,523,265.41","-433,043.91","-1,903,695.03","-2,732,343.22","-4,228,793.71","-2,198,876.17","-3,224,269.52","-9,810,508.59","-13,648,398.51","-2,475,638.83","-5,230,219.64","-5,314,646.05","-4,044,611.58","2,543,780.05"
三、利润总额,"122,467,047.17","113,878,317.57","122,900,576.15","42,460,708.82","57,112,964.74","87,320,473.64","112,488,701.15","37,954,243.04","56,604,731.22","105,675,775.26","127,973,980.99","60,908,160.10","143,406,644.89","222,939,228.61","244,117,979.37","81,765,387.82","139,534,777.97","174,520,856.44","200,453,209.84","88,374,814.82","96,467,445.81","149,082,725.94","224,105,245.69","107,898,878.37"
资产减值损失,"203,386.47","1,257,969.43","1,413,801.92","4,481,812.45","1,523,154.26","2,370,272.89","4,767,044.73","875,360.37","2,065,191.65","1,405,523.24","194,465.82","-155,890.52","633,558.10","1,319,636.30","13,715,577.72","2,107,703.68","4,426,804.31","2,864,789.25","887,008.82","7,481,160.68","12,311,177.47","4,097,828.12","8,242,394.17","-7,872,897.07"
减:所得税,"6,131,623.66","6,100,425.17","6,565,626.78","3,317,447.47","3,956,809.50","7,034,894.56","8,975,144.15","4,360,458.90","6,576,981.41","11,629,501.50","11,733,062.21","5,056,982.84","9,553,453.44","15,469,999.87","9,599,833.08","2,514,226.62","1,666,880.16","1,681,463.13","2,030,101.75","2,018,687.64","661,355.86","4,539,611.25","18,417,531.48","11,249,133.26"
加:公允价值变动净收益,,,,,,,,,,,,,,,,,,,,,,,,
加:影响净利润的其他科目,,,,,,,,,,,,,,,,,,,,,,,,
投资收益,"3,289,758.57","9,738,419.65",,,,,"1,092,594.52","1,542,945.20","2,975,835.61","4,322,136.98","5,278,575.34","1,512,605.48","3,868,824.66","6,688,317.82","8,549,304.13","124,273.97","897,356.15","897,356.15","1,247,164.36","551,863.01","661,753.42","661,753.42","661,753.42",
四、净利润,"116,335,423.51","107,777,892.40","116,334,949.37","39,143,261.35","53,156,155.24","80,285,579.08","103,513,557.00","33,593,784.14","50,027,749.81","94,046,273.76","116,240,918.78","55,851,177.26","133,853,191.45","207,469,228.74","234,518,146.29","79,251,161.20","137,867,897.81","172,839,393.31","198,423,108.09","86,356,127.18","95,806,089.95","144,543,114.69","205,687,714.21","96,649,745.11"
其中:对联营企业和合营企业的投资权益,,,,,,,,,,,,,,,,,,,,,,,,
归属于母公司所有者的净利润,"117,272,818.80","106,694,517.28","116,246,562.92","39,262,173.54","51,947,391.27","79,381,565.03","102,361,765.72","32,967,386.22","49,459,456.24","92,834,396.97","115,833,796.32","55,255,584.74","132,855,587.14","205,800,039.53","232,754,370.15","77,319,674.83","133,196,635.56","165,083,666.18","188,120,962.51","78,780,965.90","86,784,412.38","127,273,402.71","177,056,070.27","80,277,180.96"
影响营业利润的其他科目,,,,,,,,,,,,,,,,,,,,,,,,
少数股东损益,"-937,395.29","1,083,375.12","88,386.45","-118,912.19","1,208,763.97","904,014.05","1,151,791.28","626,397.92","568,293.57","1,211,876.79","407,122.46","595,592.52","997,604.31","1,669,189.21","1,763,776.14","1,931,486.37","4,671,262.25","7,755,727.13","10,302,145.58","7,575,161.28","9,021,677.57","17,269,711.98","28,631,643.94","16,372,564.15"
