科目,2007年1-3月,2007年1-6月,2007年1-9月,2007年度,2008年1-3月,2008年1-6月,2008年1-9月,2008年度,2009年1-3月,2009年1-6月,2009年1-9月,2009年度,2010年1-3月,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月
处置子公司及其他营业单位收到的现金净额,,,,,,,,"-1,765,866.04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
四、汇率变动对现金的影响,"-2,652.88","-8,813.34","-7,931.77","4,187.53","-12,590.57","-6,906.87","-35,404.67",,"-2,131.83","15,553.23","7,125.51","-114,232.06","-2,378.91","63,630.32","5,114.37","-257,773.99","-15,245.85","-53,128.26","-80,014.26","-1,410,577.49","-120,418.85","45,495.92","11,093.72","102,243.99","-102,638.55","-153,369.43","-174,872.21","902,441.57","28,244.14","-290,601.82","-524,365.56","-2,007,572.40","887,650.26","-1,674,656.98","-2,402,052.15","-3,462,829.32","140,842.47","355,057.49","496,885.57","-8,413,010.97","-292,589.54","-3,676,718.62","-5,345,384.22"
收到其他与投资活动有关的现金,,,,,,,,,,,,,,,,"4,052.52",,,,,,,,,,,,,,,,,,,,,,,,,,,"6,000,000.00"
四(2)、其他原因对现金的影响,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
投资活动现金流入小计,,,,427.35,,"35,150.00","35,150.00","-1,730,716.04",,,"3,000.00","26,961,782.31",,,"92,511.75","2,299,166.64",,,"72,370.00","142,847.72","83,000.00","230,886.67","231,936.67","8,687,742.21","51,534,273.33","51,534,273.33","102,667,978.89","163,996,905.04","132,421,333.33","132,421,693.33","139,501,857.05","142,501,013.99","88,092,229.54","213,778,881.10","228,118,817.02","260,931,415.17","204,779,227.78","206,029,269.09","206,296,184.42","363,113,746.78","74,510,806.49","134,522,476.29","153,576,432.89"
五、现金及现金等价物净增加额,"-65,674,362.37","-122,926,519.63","-82,732,640.62","-42,540,487.18","-74,382,939.60","-74,906,377.98","-118,281,514.80","-108,426,593.99","-5,573,543.83","-25,689,782.96","-14,884,913.31","37,441,349.58","-23,268,015.68","-22,807,846.30","-29,687,703.78","29,404,056.76","-61,563,928.97","-90,920,288.46","-97,971,925.93","-14,258,858.61","-35,861,580.86","-11,955,927.09","-85,072,864.73","39,001,984.70","-135,370,965.97","-156,465,567.12","-29,780,070.24","38,443,625.26","-19,257,335.62","-95,958,819.56","-71,112,540.46","314,509,404.11","-273,788,860.67","-195,353,597.59","-389,279,672.82","-64,512,681.95","73,830,805.68","3,592,309.74","103,023,838.61","194,377,375.96","-389,430,617.75","-614,229,097.59","-598,788,356.47"
购建固定资产、无形资产和其他长期资产支付的现金,"2,239,245.77","27,585,061.61","33,170,749.10","51,715,794.13","60,967,152.52","65,788,188.48","66,793,617.55","47,129,391.75","3,858,676.81","6,481,013.66","10,604,767.32","19,304,286.84","8,048,886.06","23,357,969.88","33,666,229.67","71,739,321.29","16,958,713.68","37,517,147.87","40,841,202.51","66,054,208.51","11,317,816.98","16,989,120.71","25,222,535.53","43,608,806.66","7,674,162.23","39,361,904.29","146,493,724.12","162,148,350.20","2,742,844.44","4,628,317.13","6,502,512.61","20,837,833.56","9,135,418.00","21,892,665.67","31,241,362.45","51,140,145.03","4,480,060.50","28,161,887.02","29,614,152.89","47,762,464.94","466,090.68","844,940.69","1,806,303.69"
期初现金及现金等价物余额,"305,935,423.85","305,935,423.85","305,935,423.85","305,935,423.85","263,394,936.67","263,394,936.67","263,394,936.67","263,394,936.67","154,968,342.68","154,968,342.68","154,968,342.68","154,968,342.68","192,409,692.26","192,409,692.26","192,409,692.26","192,409,692.26","221,813,749.02","221,813,749.02","222,483,749.02","221,813,749.02","207,554,890.41","207,554,890.41","207,554,890.41","207,554,890.41","246,556,875.11","246,556,875.11","246,556,875.11","246,556,875.11","285,000,500.37","285,000,500.37","285,000,500.37","285,000,500.37","599,509,904.48","599,509,904.48","599,509,904.48","599,509,904.48","534,997,222.53","534,997,222.53","534,997,222.53","534,997,222.53","729,374,598.49","729,374,598.49","729,374,598.49"
投资支付的现金,,,,,,,,,,,,,"9,000,000.00","10,500,000.00","26,000,000.00",,,"3,000,000.00","3,000,000.00","3,000,000.00","50,000,000.00","50,000,000.00","118,634,100.00","148,000,000.00","140,000,000.00","140,000,000.00","140,000,000.00","140,000,000.00","80,000,000.00","200,000,000.00","200,000,000.00","200,000,000.00","201,000,000.00","203,500,000.00","393,500,000.00","263,970,000.00","16,020,000.00",,,"359,230,000.00","54,300,000.00","166,800,000.00","190,100,000.00"
期末现金及现金等价物余额,"240,261,061.48","183,008,904.22","223,202,783.23","263,394,936.67","189,011,997.07","188,488,558.69","145,113,421.87","154,968,342.68","149,394,798.85","129,278,559.72","140,083,429.37","192,409,692.26","169,141,676.58","169,601,845.96","162,721,988.48","221,813,749.02","160,249,820.05","130,893,460.56","124,511,823.09","207,554,890.41","171,693,309.55","195,598,963.32","122,482,025.68","246,556,875.11","111,185,909.14","90,091,307.99","216,776,804.87","285,000,500.37","265,743,164.75","189,041,680.81","213,887,959.91","599,509,904.48","325,721,043.81","404,156,306.89","210,230,231.66","534,997,222.53","608,828,028.21","538,589,532.27","638,021,061.14","729,374,598.49","339,943,980.74","115,145,500.90","130,586,242.02"
