科目,2007年度,2008年1-6月,2008年1-9月,2008年度,2009年1-3月,2009年1-6月,2009年1-9月,2009年度,2010年1-3月,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月
筹资活动现金流出小计,"75,320,334.34","51,972,051.05","113,882,779.58","196,145,338.11","6,001,661.38","79,800,831.34","89,583,149.86","93,732,622.44","117,210,077.68","206,760,688.30","207,505,651.81","237,012,766.57","10,614,053.76","51,872,330.04","68,286,211.96","74,990,429.42","17,180,534.99","117,705,266.09","180,129,814.98","250,544,270.32","25,767,622.20","72,751,084.83","99,242,788.27","99,959,265.79","113,892,883.35","171,155,850.02","228,262,416.69","326,504,455.59","63,109,027.77","253,401,638.70","274,872,585.65","328,647,066.78","39,441,050.57","40,206,728.36","61,060,453.37","62,283,586.37","61,306,157.07","62,831,413.78","81,721,770.46","82,723,236.99","90,362,414.55","91,591,003.44"
处置固定资产、无形资产和其他长期资产收回的现金净额,"9,550,815.00","110,350.00","110,350.00","111,000.00",,"5,000.00","5,000.00","5,000.00","5,880.00","5,880.00","1,011,940.00","899,814.50",,"8,800.00","11,000,000.00","8,800.00",,"1,200.00","89,200.00","104,600.00","19,172,690.00",,"19,337,690.00","14,548,811.00","1,255,800.00","1,357,200.00","1,458,200.00","4,592,927.00",,,,"25,000.00",,,,,"1,950.00","1,950.00","9,696.00","135,754.00","564,100.00","564,100.00"
筹资活动产生的现金流量净额,"33,179,665.66","20,127,948.95","239,937,220.42","188,074,661.89","73,498,338.62","44,199,168.66","52,416,850.14","48,267,377.56","148,389,922.32","99,339,311.70","98,594,348.19","96,787,233.43","-614,053.76","28,127,669.96","19,713,788.04","26,509,570.58","529,999,465.01","489,474,733.91","502,058,185.02","431,643,729.68","14,232,377.80","-22,751,084.83","75,757,211.73","145,040,734.21","9,107,116.65","-2,155,850.02","-39,262,416.69","-89,004,455.59","112,581,585.82","-77,711,025.11","-79,181,972.06","-82,956,453.19","558,949.43","19,793,271.64","16,939,546.63","15,716,413.63","-1,306,157.07","-1,831,413.78","-20,721,770.46","7,676,763.01","9,957,585.45","36,100,712.56"
处置子公司及其他营业单位收到的现金净额,"6,477,578.00",,,,,,,,,,,,,,,"9,258,527.17",,,,,,"19,337,690.00","12,754.48","6,237,854.48",,,,,,,,,,,,,,,,,,
四、汇率变动对现金的影响,,,,,,,,,,,,,,,,,,,,"-155,239.40","-172,905.36","-750,844.57","-841,837.70","-1,050,749.83","-35,088.74","-76,945.93","-127,164.21","-308,769.40","147,217.48","70,935.20","831,458.15","678,796.34","-50,322.26","209,928.49","268,724.69","695,930.46","-167,621.82","-456,143.15","-914,513.52","-1,988,173.63","-1,822,791.34","852,397.19"
收到其他与投资活动有关的现金,,,,,,,,,,,,,,,,,,,,,,,,,,,,"10,308,787.60",,,,,,,,,,,,,,
四(2)、其他原因对现金的影响,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
投资活动现金流入小计,"16,028,393.00","110,350.00","110,350.00","111,000.00",,"5,000.00","5,000.00","5,000.00","5,880.00","5,880.00","1,011,940.00","899,814.50",,"15,200.00","12,936,933.12","16,862,847.58",,"1,200.00","89,200.00","104,600.00","19,172,690.00","19,337,690.00","19,350,444.48","20,786,665.48","1,645,068.27","1,833,100.86","1,934,100.86","14,901,714.60",,,,"98,306.68",,,,"285,797.82","1,950.00","1,950.00","9,696.00","135,754.00","564,100.00","564,100.00"
五、现金及现金等价物净增加额,"52,182,289.07","-15,791,793.48","154,627,605.59","61,440,868.25","26,723,259.78","-19,165,409.53","-37,644,709.36","-64,582,481.37","129,707,537.92","41,908,967.18","27,850,463.98","47,875,944.80","-12,110,587.42","-14,687,178.55","-56,283,004.55","-73,751,495.60","481,484,987.50","394,926,096.07","334,381,315.47","317,681,739.02","1,769,924.54","-76,693,071.22","-77,489,719.72","24,474,536.77","7,134,927.26","-63,136,431.26","-98,225,755.33","-138,639,653.93","73,202,374.12","-113,354,808.19","-76,354,138.51","-100,665,974.14","-703,523.93","-6,437,067.43","-28,722,018.46","19,132,173.32","-11,701,967.03","-8,988,014.58","-65,180,066.87","5,032,992.96","-19,180,947.96","61,570,670.22"
购建固定资产、无形资产和其他长期资产支付的现金,"28,136,155.53","44,867,815.20","58,928,690.66","114,914,336.93","19,541,461.77","40,506,694.69","78,322,062.06","111,952,424.21","17,856,936.13","35,679,734.08","51,812,211.71","63,313,817.52","8,552,060.54","27,392,689.85","42,563,860.24","53,186,581.89","5,124,635.84","47,698,742.76","74,407,462.23","92,848,489.63","21,731,232.87","38,355,156.57","42,626,265.01","50,221,659.19","13,982,285.12","17,126,049.52","20,650,200.03","19,713,257.81","6,652,239.50","8,749,455.50","10,505,281.80","12,775,873.23","276,204.97","1,409,109.47","1,630,369.47","1,793,309.47","196,208.00","1,882,484.65","3,886,999.20","5,151,261.53","6,119,276.85","6,380,201.54"
期初现金及现金等价物余额,"36,063,673.64","88,245,962.71","88,245,962.71","88,245,962.71","149,686,830.96","149,686,830.96","149,686,830.96","149,686,830.96","85,104,349.59","85,104,349.59","85,104,349.59","85,104,349.59","132,980,294.39","125,198,902.51","125,198,902.51","125,198,902.51","51,447,406.91","51,447,406.91","51,447,406.91","51,447,406.91","369,129,145.93","369,129,145.93","369,129,145.93","369,129,145.93","393,603,682.70","393,603,682.70","393,603,682.70","393,603,682.70","254,964,028.77","254,964,028.77","254,964,028.77","254,964,028.77","154,298,054.63","154,298,054.63","154,298,054.63","154,298,054.63","231,430,462.80","173,430,227.95","173,430,227.95","173,430,227.95","178,463,220.91","178,463,220.91"
投资支付的现金,,,,,,,,,,,,,"2,000,000.00","2,000,000.00","2,000,000.00","2,000,000.00",,,,"3,500,000.00",,,,,,,,,,,,,,,,,,,,,,
期末现金及现金等价物余额,"88,245,962.71","72,454,169.23","242,873,568.30","149,686,830.96","176,410,090.74","130,521,421.43","112,042,121.60","85,104,349.59","214,811,887.51","127,013,316.77","112,954,813.57","132,980,294.39","120,869,706.97","110,511,723.96","68,915,897.96","51,447,406.91","532,932,394.41","446,373,502.98","385,828,722.38","369,129,145.93","370,899,070.47","292,436,074.71","291,639,426.21","393,603,682.70","400,738,609.96","330,467,251.44","295,377,927.37","254,964,028.77","328,166,402.89","141,609,220.58","178,609,890.26","154,298,054.63","153,594,530.70","147,860,987.20","125,576,036.17","173,430,227.95","219,728,495.77","164,442,213.37","108,250,161.08","178,463,220.91","159,282,272.95","240,033,891.13"
