科目,2007年1-3月,2007年1-6月,2007年1-9月,2007年度,2008年1-3月,2008年1-6月,2008年1-9月,2008年度,2009年1-3月,2009年1-6月,2009年1-9月,2009年度,2010年1-3月,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2015年度
支付其他与经营活动有关的现金,"10,216,693.24","333,221,592.02","336,107,052.14","458,003,656.11","39,185,533.52","88,937,642.95","128,739,904.64","147,525,296.41","54,347,497.18","58,382,966.46","69,360,088.91","112,432,851.92","164,644,244.76","266,906,472.35","449,604,401.23","1,146,821,503.83","113,567,000.65","265,956,848.61","320,962,285.42","796,955,690.26","31,388,459.66","35,977,041.46","140,735,783.86","293,364,444.78","52,268,370.86","33,564,280.02","43,683,231.52","926,977,398.30","58,234,279.86","49,444,485.47"
筹资活动现金流入小计,,,"28,000,000.00","45,000,000.00",,,,"45,000,000.00",,,,"2,122,820,000.00","173,000,000.00","203,000,000.00","275,000,000.00","292,000,000.00","10,000,000.00","110,000,000.00","110,000,000.00","160,000,000.00","23,000,000.00","23,000,000.00","23,000,000.00","55,000,000.00","5,000,000.00","5,000,000.00","5,000,000.00","5,000,000.00",,
经营活动现金流出小计,"15,231,327.29","428,848,043.34","476,936,904.55","552,128,280.76","63,208,335.91","122,618,619.17","205,127,061.32","297,645,629.32","144,014,065.66","174,554,579.21","339,487,557.18","535,067,734.72","467,971,100.43","1,119,684,926.07","2,731,627,044.18","3,763,992,732.89","534,321,299.59","1,327,621,052.76","1,599,756,333.15","3,071,821,745.22","263,048,500.80","484,126,892.61","421,668,655.94","954,741,280.40","75,900,513.60","60,604,936.80","174,624,109.71","1,177,960,932.48","64,458,649.31","65,707,071.97"
偿还债务支付的现金,,"8,600,000.00","46,100,000.00","46,600,000.00",,,"23,800,000.00","51,800,000.00","45,058,313.92","45,058,313.92","50,170,000.00","62,170,000.00","16,000,000.00","16,000,000.00","16,000,000.00","16,000,000.00","170,000,000.00","262,000,000.00","262,000,000.00","262,000,000.00",,"4,919.87","102,490,908.09","109,959,549.35",,"32,000,000.00","32,000,000.00","37,000,000.00",,"81,050,679.18"
经营活动产生的现金流量净额,"20,974,454.25","-250,146,389.48","-240,960,269.65","-274,126,557.06","20,100,989.31","-235,920.35","-41,681,044.16","-69,307,408.35","-36,364,640.34","-2,979,679.65","9,942,571.63","60,678,154.11","186,203,245.77","129,582,184.34","-497,884,530.83","-382,496,378.50","-38,463,561.20","27,655,884.24","50,440,380.95","-311,843,888.50","-28,815,677.54","-26,234,241.41","29,156,657.99","496,649,861.75","1,145,613.82","40,248,818.38","41,172,117.04","-809,973,763.07","-8,979,579.89","-43,520,179.86"
分配股利、利润或偿还利息支付的现金,"680,589.32","1,812,663.03","2,884,406.56","5,094,984.29","829,237.50","1,688,287.50","2,547,752.50","3,187,768.19","728,444.36","728,444.36","3,496,758.28","5,959,736.49","291,138.85","3,741,573.10","8,549,087.35","14,973,441.00","3,733,725.93","5,386,150.93","7,400,344.27","11,880,214.73","769,398.47","2,690,857.94","5,285,291.09","8,595,824.19","2,426,487.43","2,426,487.43","2,426,487.43","2,426,487.43",,"40,616,215.50"
收回投资收到的现金,,,,,,,,,,,,,,,"4,991,144.00","4,991,144.00",,,,"42,000,000.00",,"14,000,000.00","14,000,000.00","14,000,000.00",,,,"6,095,054.15",,"167,511,360.00"
支付其他与筹资活动有关的现金,,,,,,,,,,,,,,,,,,,,,,"399,928.36","399,928.36","40,000,000.00",,,,,,
取得投资收益收到的现金,,,,"5,823,205.31",,,,,,,,,,,"482,996.32","459,705.09",,,,"48,672.98",,,,,,,,,,
筹资活动现金流出小计,"680,589.32","10,412,663.03","48,984,406.56","51,694,984.29","829,237.50","1,688,287.50","26,347,752.50","54,987,768.19","45,786,758.28","45,786,758.28","53,666,758.28","68,129,736.49","16,291,138.85","19,741,573.10","24,549,087.35","30,973,441.00","173,733,725.93","267,386,150.93","269,400,344.27","273,880,214.73","769,398.47","3,095,706.17","108,176,127.54","158,555,373.54","2,426,487.43","34,426,487.43","34,426,487.43","39,426,487.43",,"121,666,894.68"
处置固定资产、无形资产和其他长期资产收回的现金净额,,,,"750,000.00",,,,,,"221,231.99",,,"57,000.00","57,000.00","57,000.00","57,000.00",,"10,000.00","10,000.00","10,000.00",,,,,,,,,"4,877,859.00","145,000.00"
筹资活动产生的现金流量净额,"-680,589.32","-10,412,663.03","-20,984,406.56","-6,694,984.29","-829,237.50","-1,688,287.50","-26,347,752.50","-9,987,768.19","-45,786,758.28","-45,786,758.28","-53,666,758.28","2,054,690,263.51","156,708,861.15","183,258,426.90","250,450,912.65","261,026,559.00","-163,733,725.93","-157,386,150.93","-159,400,344.27","-113,880,214.73","22,230,601.53","19,904,293.83","-85,176,127.54","-103,555,373.54","2,573,512.57","-29,426,487.43","-29,426,487.43","-34,426,487.43",,"-121,666,894.68"
处置子公司及其他营业单位收到的现金净额,,"284,305,350.73","284,305,350.73","272,137,268.02",,,"-12,002,922.66","75,823,261.91","221,231.99",,"221,231.99","221,231.99",,,,,,,,,,,,"50,742,138.79",,,,,,
四、汇率变动对现金的影响,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
收到其他与投资活动有关的现金,,"77,000,000.00","77,000,000.00","77,000,000.00",,,,,,,,,,,,"3,427,271.02",,,,,,,,"264,800,000.00",,,,,,
四(2)、其他原因对现金的影响,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
投资活动现金流入小计,,"361,305,350.73","361,305,350.73","355,710,473.33",,,"-12,002,922.66","75,823,261.91","221,231.99","221,231.99","221,231.99","221,231.99","57,000.00","57,000.00","5,531,140.32","8,935,120.11",,"10,000.00","10,000.00","42,058,672.98",,"14,000,000.00","14,000,000.00","329,542,138.79",,,,"6,095,054.15","4,877,859.00","167,656,360.00"
五、现金及现金等价物净增加额,"20,293,864.93","100,492,598.22","81,192,204.35","56,644,461.81","19,255,051.81","-1,940,907.85","-80,115,105.32","-3,612,476.63","-81,934,046.63","-48,564,885.94","-46,158,791.92","1,365,669,985.03","20,813,623.22","37,887,511.27","-527,743,055.81","-564,844,372.53","-209,246,923.02","-211,265,873.25","-253,765,755.78","-756,671,169.27","-15,559,519.45","57,220,535.39","6,857,627.21","708,751,817.09","1,866,629.07","9,297,491.71","10,120,350.37","-838,918,231.87","-5,503,820.89","2,381,704.59"
购建固定资产、无形资产和其他长期资产支付的现金,,"253,700.00","18,168,470.17","18,244,470.17","16,700.00","16,700.00","83,386.00","140,562.00","3,880.00","19,680.00","2,655,837.26","409,750,467.24","317,155,854.76","283,437,320.99","294,253,413.74","381,074,879.77","7,049,635.89","81,545,606.56","144,715,792.46","317,005,739.02","4,720,693.01","-57,808,344.18","-57,134,957.97","13,884,809.91","1,852,497.32","1,524,839.24","1,625,279.24","613,035.52","1,402,100.00",
期初现金及现金等价物余额,"51,271,611.77","51,271,611.77","51,271,611.77","51,271,611.77","107,916,073.58","107,916,073.58","107,916,073.58","107,916,073.58","104,303,596.95","104,303,596.95","104,303,596.95","104,303,596.95","1,469,973,581.98","1,459,973,581.98","1,472,544,435.18","1,469,973,581.98","980,675,541.89","980,675,541.89","980,675,541.89","905,129,209.45","195,429,488.46","195,429,488.46","195,429,488.46","148,458,040.18","857,784,588.90","857,784,588.90","857,784,588.90","857,209,857.27","18,866,357.03","1,194,633.07"
投资支付的现金,,,,,,,,,,,,,"4,991,144.00","4,991,565.06","4,991,144.00","4,991,144.00",,,,"56,000,000.00",,,,,,,,,,
期末现金及现金等价物余额,"71,565,476.70","151,764,209.99","132,463,816.12","107,916,073.58","127,171,125.39","105,975,165.73","27,800,968.26","104,303,596.95","22,369,550.32","55,738,711.01","58,144,805.03","1,469,973,581.98","1,490,787,205.20","1,497,861,093.25","944,801,379.37","905,129,209.45","771,428,618.87","769,409,668.64","726,909,786.11","148,458,040.18","179,869,969.01","252,650,023.85","202,287,115.67","857,209,857.27","859,651,217.97","867,082,080.61","867,904,939.27","18,291,625.40","13,362,536.14","3,576,337.66"
