科目,2007年1-3月,2007年1-6月,2007年度,2008年1-3月,2008年1-6月,2008年1-9月,2008年度,2009年1-3月,2009年1-6月,2009年1-9月,2009年度,2010年1-3月,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月
收回投资收到的现金,,,,,,,,,,,,,,,,,,,,,,,"4,560,000.00",,,,"602,000,000.00",,"248,008,246.58","343,008,246.58","65,000,000.00",,,,"193,000,000.00",,,,"40,000,000.00",,,
支付其他与筹资活动有关的现金,,,,,,,,,"16,500.00",,"13,593,361.40",,,,,,,,,,,,,,,,,,,,,,,,,,"3,129,360.00","3,129,360.00","3,459,562.47",,,
取得投资收益收到的现金,,,,,,,,,,,,,,,,,,,,,,,,,,"1,359,650.15","2,744,762.48","973,578.08","2,819,304.10","3,593,605.47","746,465.75",,,,"3,080,958.90",,,,,,,
筹资活动现金流出小计,"16,363,100.00","16,744,516.13","61,044,789.99","10,640,655.00","36,356,558.75","36,866,830.00","36,866,830.00","501,282.50","22,233,172.50","22,216,672.50","35,810,033.91",,"17,903,878.38","10,857,695.00","24,451,056.40",,"3,022,312.05","10,857,695.00","10,857,695.00",,"4,061,014.30","10,857,695.00","10,857,695.00",,"4,598,329.72","10,857,695.00","10,857,695.00",,"10,717,634.95","10,954,434.95","11,463,695.00","288,000.00","582,400.00","23,823,426.39","34,196,168.00",,"3,129,360.00","7,544,781.94","7,874,984.41",,"935,937.86","2,384,324.00"
处置固定资产、无形资产和其他长期资产收回的现金净额,,,,,,800.00,"1,000.00",,,150.00,,,"1,000.00","2,480.00","4,330.00",,-963.07,"1,250.00","91,250.00",,,,"65,000.00",,,,,,,"365,000.00","365,000.00",,,,"1,300.00","2,000.00","1,160.00","1,360.00","21,560.00","2,482.00","2,482.00","2,482.00"
筹资活动产生的现金流量净额,"-16,363,100.00","-2,744,516.13","-11,044,789.99","-10,640,655.00","339,039,266.41","338,528,995.16","339,028,995.16","-501,282.50","-22,233,172.50","-22,216,672.50","-22,216,672.51",,"-17,903,878.38","-10,720,264.51","-10,857,695.00","500,000.00","-2,522,312.05","-10,357,695.00","-246,667.23",,"-4,061,014.30","-10,857,695.00","-2,808,683.70",,"-3,377,329.72","-9,636,695.00","216,667.45",,"-9,108,976.15","5,229,216.35","12,335,550.21","3,056,001.37","2,915,838.83","-20,322,037.56","-6,713,379.76","4,704,507.24","5,577,271.22","657,090.48","2,387,491.05",,"-935,937.86","27,615,676.00"
处置子公司及其他营业单位收到的现金净额,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
四、汇率变动对现金的影响,,-343.16,-945.57,,"-112,967.97","-1,550.03",-520.16,163.99,"-7,800.63","-8,069.56",-120.30,-250.43,"-1,648.79","-4,033.39","-6,284.21","7,960.33","2,569.33","-11,398.76","-23,784.06","-42,407.05","-41,449.51","13,655.34","11,524.06","-1,271.98","-5,618.54","-7,014.28","-2,739.06","-5,882.95","-5,724.65","-6,249.93","-19,041.43","1,483.10",-90.94,"12,614.49",-993.77,934.84,"4,226.08","6,331.12","168,362.97",-758.09,"-33,071.46","-6,497.40"
收到其他与投资活动有关的现金,,,,,,,"219,629,221.82","25,198,234.45","266,919,184.45","157,039,309.45","37,130,079.17",,"90,223,142.64","106,804,997.99","42,571,943.63",,,"65,327,412.53","109,384,890.00","23,768,262.63","149,033,612.42","259,901,106.86","342,352,095.56","40,000,000.00","267,002,263.74","469,591,234.15","95,591,234.15","118,079,854.29","15,570,550.45","69,736,824.20","3,790,000.00","174,135,593.06","181,614,306.66","255,808,696.73","17,850,000.00","604,565.28","60,716,130.60","60,716,130.60","3,366,000.00","13,506.85",,
四(2)、其他原因对现金的影响,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
投资活动现金流入小计,,,,,,800.00,"219,630,221.82","25,198,234.45","266,919,184.45","157,039,459.45","37,130,079.17",,"90,224,142.64","106,807,477.99","42,576,273.63",,-963.07,"65,328,662.53","109,476,140.00","23,768,262.63","149,033,612.42","259,901,106.86","346,977,095.56","40,000,000.00","267,002,263.74","470,950,884.30","700,335,996.63","119,053,432.37","266,398,101.13","416,703,676.25","69,901,465.75","174,135,593.06","181,614,306.66","255,808,696.73","213,932,258.90","606,565.28","60,717,290.60","60,717,490.60","43,387,560.00","15,988.85","2,482.00","2,482.00"
五、现金及现金等价物净增加额,"-31,733,537.39","-31,439,063.38","8,990,459.97","-41,257,259.70","290,226,945.01","290,612,819.61","11,433,429.42","-11,378,159.21","-17,526,443.02","-26,325,697.05","11,356,580.53","-20,472,324.43","-36,111,286.94","-54,060,985.67","-41,055,799.62","-18,030,835.91","-25,786,006.27","-21,996,567.16","20,689,519.67","-21,473,650.09","8,412,742.00","6,455,348.09","52,881,141.01","-65,916,298.87","-72,376,173.93","-68,127,372.28","47,161,814.22","-85,105,161.60","-37,316,497.90","-86,064,982.74","21,193,642.54","-16,537,692.47","-24,800,778.52","-63,627,997.52","-12,534,075.43","-99,956,252.80","-90,363,594.07","-104,963,785.59","-22,439,633.78","-33,133,290.60","-70,206,718.21","-75,632,019.98"
购建固定资产、无形资产和其他长期资产支付的现金,"201,581.20","14,256,270.00","14,705,677.44","1,398,995.33","2,283,326.06","3,859,530.84","15,649,854.48","5,190,781.44","6,194,827.13","19,297,963.56","23,987,289.16","5,495,435.46","13,588,620.22","19,925,303.64","31,578,381.73","6,627,204.89","15,455,932.30","37,574,970.60","47,681,288.90","2,199,076.41","2,962,261.69","3,364,624.19","3,681,639.29","6,346,732.18","7,510,256.23","9,107,545.49","23,025,577.01","388,029.28","9,346,381.10","7,829,158.62","39,203,845.16","1,319,972.26","12,807,616.13","12,859,035.68","24,893,509.55","1,090,293.83","1,832,437.09","2,676,992.12","17,177,502.69","15,960,250.65","25,497,224.38","45,099,247.01"
期初现金及现金等价物余额,,,"51,226,701.53",,"60,217,161.50","60,217,161.50","60,217,161.50","71,650,590.92","71,650,590.92","71,650,590.92","71,650,590.92","83,007,171.45","83,007,171.45","83,007,171.45","83,007,171.45","43,838,995.54","43,838,995.54","43,900,257.39","41,951,371.83","62,640,891.50","62,640,891.50","62,640,891.50","62,640,891.50","115,522,032.51","115,522,032.51","115,522,032.51","115,522,032.51","162,683,846.73","162,683,846.73","123,013,654.11","162,683,846.73","184,207,296.65","184,207,296.65","184,207,296.65","183,877,489.27","171,343,413.84","171,343,413.84","171,343,413.84","171,343,413.84","149,233,982.53","149,233,982.53","149,233,982.53"
投资支付的现金,,,,,,,,,,,,,,,"8,500,000.00",,,,,,,,,,,,"667,000,000.00",,"203,000,000.00","271,500,000.00","10,000,000.00",,,,"223,000,000.00","8,632.48",,,"10,000,000.00",,,
期末现金及现金等价物余额,,"-31,439,063.38","60,217,161.50",,"350,444,106.51","350,829,981.11","71,650,590.92","60,272,431.71","54,124,147.90","45,324,893.87","83,007,171.45","62,534,847.02","46,895,884.51","28,946,185.78","41,951,371.83","25,808,159.63","18,052,989.27","21,903,690.23","62,640,891.50","41,167,241.41","71,053,633.50","69,096,239.59","115,522,032.51","49,605,733.64","43,145,858.58","47,394,660.23","162,683,846.73","77,578,685.13","125,367,348.83","36,948,671.37","183,877,489.27","167,669,604.18","159,406,518.13","120,579,299.13","171,343,413.84","71,387,161.04","80,979,819.77","66,379,628.25","148,903,780.06","116,100,691.93","79,027,264.32","73,601,962.55"
