科目,2007年度,2008年度,2009年度,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月
支付其他与经营活动有关的现金,"12,032,015.52","35,431,114.45","57,483,329.20","42,723,034.05","52,969,112.64","18,946,851.53","39,447,116.45","62,392,237.31","82,192,600.08","19,043,116.37","42,582,075.21","54,732,602.71","77,983,725.32","15,524,510.37","32,036,047.35","50,547,297.10","58,978,633.56","13,501,796.81","32,082,829.35","48,677,701.54","64,259,814.90","18,994,295.22","31,237,114.55","49,984,264.25","55,733,410.89","10,255,049.84","24,361,556.95","40,745,648.03","56,656,697.55","11,203,361.66","25,419,178.21","46,845,721.31"
筹资活动现金流入小计,"3,000,000.00","24,750,000.00","43,039,177.96",,"1,015,260,000.00",,,,,,,,"2,450,000.00",,,,,,,"24,670,843.44","24,476,000.00",,"2,431,360.00","33,850,400.00","33,850,400.00",,"902,727.00","902,727.00","902,727.00",,,
经营活动现金流出小计,"120,554,187.35","242,421,250.27","373,567,222.27","404,352,859.64","538,686,328.85","133,870,699.93","311,973,372.85","484,955,100.04","653,822,332.92","170,918,963.49","305,734,757.15","442,127,437.51","593,106,192.66","85,375,167.80","204,641,412.39","340,844,177.84","485,526,890.72","103,579,941.15","278,789,061.62","384,203,238.31","479,926,216.90","118,136,878.45","225,534,009.16","342,323,869.19","423,301,259.69","81,110,102.59","194,870,986.83","296,873,746.50","380,591,254.38","102,404,572.55","242,525,158.62","368,918,192.45"
偿还债务支付的现金,,,,,,,,,,,,,,,,,,,,,,,"24,476,000.00","24,476,000.00","24,476,000.00",,,"198,831.00","198,831.00",,,
经营活动产生的现金流量净额,"-2,666,068.19","27,600,712.73","55,132,459.43","31,968,224.66","56,821,334.97","-6,299,894.88","20,221,475.20","35,416,043.32","42,650,311.33","-34,842,895.69","-2,026,680.05","7,078,576.30","49,684,455.18","61,655,067.77","116,806,031.97","149,967,001.79","170,255,321.36","29,826,630.09","40,849,422.36","73,169,265.94","93,657,712.62","5,485,906.12","20,884,516.44","7,358,445.88","44,790,344.87","39,426,950.57","68,109,951.53","116,974,317.31","175,376,990.55","52,951,325.09","122,820,829.87","144,222,538.63"
分配股利、利润或偿还利息支付的现金,,,,,,,"52,242,828.55","52,242,828.55","52,242,828.55",,"20,925,139.50","20,925,139.50","20,925,139.50",,"41,577,859.65","41,577,859.65","42,294,330.27",,"43,796,041.00","43,796,041.00","44,906,945.23",,"67,251,180.35","67,251,180.35","67,283,292.42",,"67,050,000.00","67,050,258.08","67,050,258.08",,,"67,050,000.00"
收回投资收到的现金,"300,000.00","9,900,000.00","1,058,125.71",,,,,,,,,,,,,,"10,000,000.00","46,041,950.00","96,041,950.00","96,041,950.00","243,024,016.30","70,000,000.00","159,120,174.34","159,120,174.34","159,120,174.34","104,392,000.50","213,392,010.43","323,392,010.43","323,892,020.36",,,"180,000,000.00"
支付其他与筹资活动有关的现金,,,,,"3,084,875.00",,,,,,,,,,,,,,,,"200,003.00","24,838,841.19","200,000.00","200,000.00","34,355,460.00",,,,"1,000,000.00",,,
取得投资收益收到的现金,"79,069.91","130,776.93",,,,,,,,,,,,,,,"57,863.01","499,821.92","1,806,671.24","1,806,671.24","8,447,264.75","1,000,679.45","1,621,865.23","1,621,865.23","1,621,865.23","2,604,334.12","3,565,923.16","4,108,388.91","4,109,577.61",,,"1,311,780.82"
筹资活动现金流出小计,,,,,"3,084,875.00",,"52,242,828.55","52,242,828.55","52,242,828.55",,"20,925,139.50","20,925,139.50","20,925,139.50",,"41,577,859.65","41,577,859.65","42,294,330.27",,"43,796,041.00","43,796,041.00","45,106,948.23","24,838,841.19","91,927,180.35","91,927,180.35","126,114,752.42",,"67,050,000.00","67,249,089.08","68,249,089.08",,,"67,050,000.00"
处置固定资产、无形资产和其他长期资产收回的现金净额,"46,000.00",,,,,"50,000.00","95,000.00","95,000.00","95,000.00",500.00,500.00,"10,000.00","185,020.00",,"16,446.40","23,450.80","23,450.80","146,845.60","305,714.60","305,714.60","317,589.60",,"46,000.00","80,727.00","437,580.40",,"81,000.00","81,000.00","111,500.00",,,750.00
筹资活动产生的现金流量净额,"3,000,000.00","24,750,000.00","43,039,177.96",,"1,012,175,125.00",,"-52,242,828.55","-52,242,828.55","-52,242,828.55",,"-20,925,139.50","-20,925,139.50","-18,475,139.50",,"-41,577,859.65","-41,577,859.65","-42,294,330.27",,"-43,796,041.00","-19,125,197.56","-20,630,948.23","-24,838,841.19","-89,495,820.35","-58,076,780.35","-92,264,352.42",,"-66,147,273.00","-66,346,362.08","-67,346,362.08",,,"-67,050,000.00"
处置子公司及其他营业单位收到的现金净额,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"22,000.00","22,000.00"
四、汇率变动对现金的影响,"-88,350.11","-154,675.76","7,839.58","-214,020.47","-540,870.55","-137,195.84","-400,446.40","-679,332.42","-794,917.08","-8,132.87","71,499.49","1,266.90","-527,625.99","-564,279.61","-888,187.98","-1,302,435.99","-2,541,000.71",-232.95,"-84,452.10","-208,651.90","321,567.85","-1,418,834.27","-2,571,886.81","8,183,111.51","14,704,687.50","-5,802,963.45","6,461,045.21","10,287,102.39","32,519,244.08","-3,323,016.21","-18,155,071.95","-34,156,866.83"
收到其他与投资活动有关的现金,,,,,,,,,"570,998.37",,,,,,,,,,,,,,,,,,,,,,,
四(2)、其他原因对现金的影响,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
投资活动现金流入小计,"425,069.91","10,030,776.93","1,058,125.71",,,"50,000.00","95,000.00","95,000.00","665,998.37",500.00,500.00,"10,000.00","185,020.00",,"16,446.40","23,450.80","10,081,313.81","46,688,617.52","98,154,335.84","98,154,335.84","251,788,870.65","71,000,679.45","160,788,039.57","160,822,766.57","161,179,619.97","106,996,334.62","217,038,933.59","327,581,399.34","328,113,097.97",,"22,000.00","181,334,530.82"
五、现金及现金等价物净增加额,"-3,238,878.94","39,694,295.87","92,335,547.81","6,350,148.68","1,039,331,118.81","-10,986,183.38","-45,800,751.49","-51,262,459.65","-66,747,525.10","-53,855,024.55","-57,183,338.10","-56,680,327.96","-25,465,853.81","57,270,456.56","58,345,775.20","48,206,967.05","-41,060,582.42","20,513,628.17","-15,111,378.80","40,127,387.12","93,273,903.54","8,029,929.41","47,198,851.64","74,697,224.11","-19,978,587.07","30,775,179.23","114,745,363.00","164,363,548.62","244,196,239.18","49,070,469.02","11,872,678.47","-197,574,648.43"
购建固定资产、无形资产和其他长期资产支付的现金,"2,609,530.55","12,666,663.02","6,902,054.87","25,404,055.51","29,124,470.61","4,599,092.66","14,044,950.11","34,422,340.37","57,026,089.17","19,004,495.99","34,303,518.04","42,845,031.66","56,332,563.50","3,820,331.60","16,010,655.54","18,903,189.90","23,561,886.61","2,941,886.49","5,215,143.90","6,842,862.20","9,903,299.35","2,198,980.70","2,405,997.21","3,590,319.50","3,996,886.49","845,142.51","1,717,294.33","4,632,908.34","4,966,731.34","557,839.86","797,986.14","1,059,957.74"
期初现金及现金等价物余额,"11,146,021.14","7,907,142.20","47,601,438.07","139,936,985.88","139,936,985.88","1,178,642,769.40","1,179,268,104.69","1,179,268,104.69","1,179,268,104.69","1,112,520,579.59","1,112,520,579.59","1,107,036,966.43","1,112,520,579.59","1,087,050,459.06","1,087,054,725.78","1,087,054,725.78","1,087,054,725.78","1,044,872,496.91","1,045,994,143.36","1,045,994,143.36","1,045,994,143.36","1,139,268,046.90","1,139,268,046.90","1,139,268,046.90","1,139,268,046.90","1,119,289,459.83","1,119,289,459.83","1,119,289,459.83","1,119,289,459.83","1,364,485,699.01","1,364,485,699.01","1,364,485,699.01"
投资支付的现金,"1,300,000.00","9,865,855.01",,,,,,,,,,,,,,"40,000,000.00","153,000,000.00","53,059,500.00","105,019,500.00","105,019,503.00","221,960,000.00","40,000,000.00","40,000,000.00","40,000,000.00","144,392,000.50","109,000,000.00","109,000,000.00","219,500,000.00","219,500,000.00",,"110,000,000.00","403,700,000.00"
期末现金及现金等价物余额,"7,907,142.20","47,601,438.07","139,936,985.88","146,287,134.56","1,179,268,104.69","1,167,656,586.02","1,133,467,353.20","1,128,005,645.04","1,112,520,579.59","1,058,665,555.04","1,055,337,241.49","1,050,356,638.47","1,087,054,725.78","1,144,320,915.62","1,145,400,500.98","1,135,261,692.83","1,045,994,143.36","1,065,386,125.08","1,030,882,764.56","1,086,121,530.48","1,139,268,046.90","1,147,297,976.31","1,186,466,898.54","1,213,965,271.01","1,119,289,459.83","1,150,064,639.06","1,234,034,822.83","1,283,653,008.45","1,363,485,699.01","1,413,556,168.03","1,376,358,377.48","1,166,911,050.58"
