科目,2014-12-31,2015-12-31,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30
非流动负债合计,"156,373.75","391,651.85","233,333.33","2,610,691.75","4,268,804.89","6,930,302.57","437,472.59","3,468,983.55","5,664,844.27"
固定资产清理,,,,,,,,,
负债合计,"46,720,291.69","49,532,827.75","53,306,672.65","72,360,172.06","68,890,240.32","84,105,563.68","70,738,959.20","92,553,457.11","102,115,168.91"
生产性生物资产,,,,,,,,,
实收资本(或股本),"64,350,000.00","64,350,000.00","64,350,000.00","85,800,000.00","85,800,000.00","85,800,000.00","85,800,000.00","85,800,000.00","87,010,000.00"
油气资产,,,,,,,,,
资本公积,"98,657,278.56","98,657,278.56","98,657,278.56","249,910,988.38","249,910,988.38","249,910,988.38","249,916,884.60","249,916,884.60","263,246,446.27"
无形资产,"2,052,373.25","1,574,125.04","1,156,551.40","1,052,657.95","917,247.31","818,084.62","2,524,050.14","2,312,066.93","2,062,347.86"
盈余公积,"10,835,245.98","14,193,864.61","17,129,916.99","17,129,916.99","17,129,916.99","17,129,916.99","22,262,550.23","22,262,550.23","22,262,550.23"
开发支出,,,,,,,,,
减:库存股,,,,,,,,,"13,624,600.00"
商誉,,,,,,,,,
未分配利润,"64,211,990.66","56,145,978.68","65,254,652.40","74,593,013.58","69,507,813.67","85,811,391.23","95,158,632.36","106,964,774.04","104,002,692.23"
长期待摊费用,"15,917,265.97","13,654,854.00","17,570,387.29","16,545,322.59","18,021,237.43","19,397,125.95","23,889,898.21","23,403,247.83","27,395,530.78"
少数股东权益,,,,,,,,"3,949,031.02","3,827,861.21"
递延所得税资产,"1,956,648.19","2,394,199.01","2,167,385.43","2,017,269.91","2,131,384.76","2,166,646.34","2,284,696.90","2,705,802.24","2,588,034.98"
外币报表折算价差,,,,,,,,,
其他非流动资产,,"896,837.61","2,044,347.70","2,149,965.90","2,244,581.28","2,260,196.07","1,916,677.74","3,106,886.84","4,580,172.20"
非正常经营项目收益调整,,,,,,,,,
非流动资产合计,"65,221,117.92","61,982,111.71","65,811,643.87","64,245,692.94","65,857,247.60","67,840,431.85","73,012,419.42","74,887,966.69","93,003,517.14"
所有者权益(或股东权益)合计,"238,054,515.20","233,347,121.85","245,391,847.95","427,433,918.95","422,348,719.04","438,652,296.60","453,130,020.09","468,718,107.84","467,891,493.47"
资产总计,"284,774,806.89","282,879,949.60","298,698,520.60","499,794,091.01","491,238,959.36","522,757,860.28","523,868,979.29","561,271,564.95","570,006,662.38"
负债和所有者(或股东权益)合计,"284,774,806.89","282,879,949.60","298,698,520.60","499,794,091.01","491,238,959.36","522,757,860.28","523,868,979.29","561,271,564.95","570,006,662.38"
