科目,2010年度,2011年度,2012年度,2013年1-6月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月
偿还债务支付的现金,"41,530,000.00","126,510,000.00","76,280,000.00",,"69,040,000.00",,"5,200,000.00","23,390,000.00","69,040,000.00",,"5,200,000.00","55,790,000.00","95,790,000.00",,"27,000,000.00","70,000,000.00","120,000,000.00",,"12,000,000.00","40,000,000.00"
经营活动产生的现金流量净额,"31,357,199.11","73,795,037.52","70,015,794.55","6,654,638.59","25,462,578.02","-19,060,370.62","-953,698.28","14,477,646.27","37,390,566.21","-3,617,600.29","-2,227,568.37","33,111,627.98","154,599,391.84","-91,335,233.29","-60,804,116.27","-15,592,194.33","38,145,122.30","-44,671,387.34","-61,571,709.82","-28,359,007.87"
分配股利、利润或偿还利息支付的现金,"31,705,576.08","28,452,455.60","4,275,566.54","2,092,377.83","1,949,472.24","759,350.00","1,209,054.60","12,374,450.58","12,939,087.75","697,974.88","1,062,044.66","9,658,516.87","10,562,176.68","784,656.95","16,456,187.76","16,050,249.16","16,996,237.50",,"1,333,238.72","6,699,985.99"
收回投资收到的现金,,,,,,,,,,,,,,,,,,,,
支付其他与筹资活动有关的现金,,"3,054,807.12","3,683,200.00","4,296,000.00","380,370.19",,"4,027,830.16","4,027,830.16","5,463,538.50",,"6,684,010.16",,"2,552,113.78","434,700.00","434,700.00","434,700.00","572,355.00","260,820.00",,"6,897,763.00"
取得投资收益收到的现金,,,,,,,"1,410,555.56","3,537,486.11","4,852,298.51","2,517,620.54","4,858,580.55","7,866,796.16","11,977,590.94","2,107,258.02","4,497,572.00","7,159,431.73","9,122,524.77","268,273.97","2,294,277.81","4,800,572.60"
筹资活动现金流出小计,"73,235,576.08","158,017,262.72","84,238,766.54","6,388,377.83","71,369,842.43","759,350.00","10,436,884.76","39,792,280.74","87,442,626.25","697,974.88","12,946,054.82","65,448,516.87","108,904,290.46","1,219,356.95","43,890,887.76","86,484,949.16","137,568,592.50","260,820.00","13,333,238.72","53,597,748.99"
处置固定资产、无形资产和其他长期资产收回的现金净额,"2,134,215.66",,,,,,,,,,,,"609,495.17",,,,"236,305.53",,,"20,430.00"
筹资活动产生的现金流量净额,"13,274,423.92","-34,943,222.72","-12,143,959.42","-973,977.83","-2,329,842.43","303,353,906.00","293,986,980.09","278,121,584.11","284,960,629.75","422,911,534.62","493,833,751.38","411,851,354.47","436,700,379.04","-1,219,356.95","-32,224,787.76","-51,818,849.16","-94,897,652.50","39,739,180.00","26,666,761.28","1,402,251.01"
处置子公司及其他营业单位收到的现金净额,,,,,,,,,,,,,,,,,,,,
四、汇率变动对现金的影响,,,,,,,,,,,,,,,,,,,,
收到其他与投资活动有关的现金,,,,,,,,,,,,,"1,399,800,000.00",,"10,000,000.00","10,000,000.00","1,523,860,000.00","40,000,000.00","302,550,698.64","553,500,000.00"
四(2)、其他原因对现金的影响,,,,,,,,,,,,,,,,,,,,
投资活动现金流入小计,"2,134,215.66",,,,,,"1,410,555.56","3,537,486.11","4,852,298.51","2,517,620.54","4,858,580.55","7,866,796.16","1,412,387,086.11","2,107,258.02","14,497,572.00","17,159,431.73","1,533,218,830.30","40,268,273.97","304,844,976.45","558,321,002.60"
五、现金及现金等价物净增加额,"32,963,367.21","22,136,186.26","47,939,931.91","1,459,703.79","15,481,421.88","283,753,642.04","89,803,402.36","44,039,941.41","96,971,575.78","77,772,720.70","77,372,804.03","46,976,539.76","487,046,637.85","-93,751,982.77","-125,370,209.07","-355,046,291.97","-210,898,763.30","-240,219,545.38","-291,123,882.04","-369,736,071.97"
购建固定资产、无形资产和其他长期资产支付的现金,"13,802,471.48","16,715,628.54","9,931,903.22","4,220,956.97","7,651,313.71","539,893.34","4,640,435.01","7,096,775.08","19,517,632.69","1,053,464.31","6,093,834.08","11,678,165.56","50,546,477.72","3,304,650.55","6,838,877.04","9,970,261.66","35,149,229.81","11,014,823.02","11,663,909.95","38,892,798.05"
期初现金及现金等价物余额,"15,867,786.85","48,831,154.06","70,967,340.32","118,907,272.23","118,907,272.23","134,388,694.11","134,388,694.11","134,388,694.11","134,388,694.11","231,360,269.89","231,360,269.89","231,360,269.89","231,360,269.89","718,406,907.74","718,406,907.74","718,406,907.74","718,406,907.74","507,508,144.44","507,508,144.44","507,508,144.44"
投资支付的现金,,,,,,,,,"25,714,286.00","298,000,000.00","298,000,000.00",,,,,,"138,000,000.00",,,
期末现金及现金等价物余额,"48,831,154.06","70,967,340.32","118,907,272.23","120,366,976.02","134,388,694.11","418,142,336.15","224,192,096.47","178,428,635.52","231,360,269.89","309,132,990.59","308,733,073.92","278,336,809.65","718,406,907.74","624,654,924.97","593,036,698.67","363,360,615.77","507,508,144.44","267,288,599.06","216,384,262.40","137,772,072.47"
