科目,2009年度,2010年度,2011年度,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度
经营活动产生的现金流量净额,"21,948,300.13","26,585,753.47","38,691,550.47","8,108,715.07","21,333,031.60","14,982,519.34","3,276,895.60","13,084,056.60","45,954,519.40","77,099,586.17","-17,155,763.25","-4,712,295.62","14,920,156.16","43,660,896.56","26,193,082.60","51,500,931.75","68,786,741.92","185,732,093.34","-24,225,003.05","21,384,346.03","58,793,357.17","191,910,992.34","88,989,020.53","110,080,902.84","138,681,437.10","314,970,861.81"
分配股利、利润或偿还利息支付的现金,,,"300,000.00","652,437.43","652,437.43","681,775.54",,"43,025,185.42","43,122,069.68","43,122,069.68",,"43,147,401.78","43,917,290.08","46,038,967.80","2,043,970.05","46,227,023.96","47,464,055.61","47,839,764.72","5,196,302.13","53,140,563.30","59,900,733.70","59,121,705.17","1,596,068.52","3,457,875.17","56,116,208.50","62,347,312.98"
收回投资收到的现金,"5,000,000.00",,"127,864,117.00",,,,,,,,,,"210,000.00","521,987,023.19",,"78,500,000.00","80,873,945.69","357,035,454.94","8,000,000.00","189,000,000.00","322,850,216.45","563,504,737.68","130,240,000.00","337,703,400.00","595,110,119.47","661,223,845.51"
支付其他与筹资活动有关的现金,,,,,"6,086,601.00",,,,,,,,,"101,870,179.54",,,,,"22,500,000.00",,,"30,112,250.44","1,495,263.10","1,461,914.13","2,307,909.33","25,272,369.85"
取得投资收益收到的现金,"1,025.60","26,066.67","709,562.37",,,,,,,"449,167.00",,"1,142,136.99","1,142,136.99","5,059,352.95","93,901.44","610,158.91","619,888.20","992,818.08","31,757.88","1,862,921.57","2,517,450.38","22,173,935.21","49,945.55","14,842,947.07","37,663,788.68","55,973,069.53"
筹资活动现金流出小计,,,"300,000.00","652,437.43","6,739,038.43","681,775.54",,"43,025,185.42","43,122,069.68","43,122,069.68",,"43,147,401.78","167,267,290.08","191,684,406.79","271,279,970.05","322,310,641.68","319,700,055.61","339,289,827.18","35,398,579.86","120,051,019.75","278,998,903.79","467,998,547.28","82,796,466.99","76,742,480.75","130,246,809.28","375,181,868.70"
处置固定资产、无形资产和其他长期资产收回的现金净额,,"1,500,114.63","68,161.65",,,564.00,,"1,974.63","6,280.59","6,601.99",,"1,806.00","2,646.00","5,607.14",,"176,659.07","7,019,313.91","2,728,597.71","90,852.12","4,674,915.12","4,927,878.54","13,023,012.03",,"126,596.00","139,915.51","7,847,379.90"
筹资活动产生的现金流量净额,,"19,290,406.51","-55,000.00","-652,437.43","474,431,940.57","482,799,203.46","400,000.00","-41,083,917.76","-41,180,802.02","-40,877,115.48","49,208,252.18","7,335,612.22","108,565,842.18","122,957,690.56","-248,779,970.05","-286,003,441.68","-90,601,992.57","14,104,130.06","448,901,410.78","372,000,170.89","338,188,911.60","485,711,074.59","-6,123,186.99","664,123,143.55","698,245,734.48","702,341,223.23"
处置子公司及其他营业单位收到的现金净额,,,,,,,,,,,,,,"210,000.00","6,000,000.00","6,000,000.00","6,000,000.00","5,227,731.16",,,,,,,"891,980.00","18,202,093.70"
四、汇率变动对现金的影响,"-52,962.03","-86,625.36","-6,200.34","-241,518.00","-399,023.22","-3,687.84","-332,102.45","-714,748.76","-1,198,301.37","-2,097,410.59","-449,252.72","100,328.66","-236,492.29","770,943.30","412,287.12","251,168.16","464,977.67","11,701,331.92","-2,027,558.51","1,375,059.84","6,400,470.40","14,557,394.09","-302,242.18","-2,272,507.85","-7,707,838.91","-9,327,550.79"
收到其他与投资活动有关的现金,,,"3,243,961.50",,,,,,,,"6,000,000.00","78,000,000.00","78,000,000.00",,"22,373,945.69",,,,,,,,,,,
四(2)、其他原因对现金的影响,,,,,,,,,,,,,,,,,,,,,,,,,,
投资活动现金流入小计,"5,001,025.60","1,526,181.30","131,885,802.52",,,564.00,,"1,974.63","6,280.59","455,768.99","6,000,000.00","79,143,942.99","79,354,782.99","527,261,983.28","28,467,847.13","85,286,817.98","94,513,147.80","365,984,601.89","8,122,610.00","195,537,836.69","330,295,545.37","598,701,684.92","130,289,945.55","352,672,943.07","633,805,803.66","743,246,388.64"
五、现金及现金等价物净增加额,"-12,269,899.21","25,025,475.95","43,275,291.15","-2,612,144.19","471,674,854.13","475,088,905.58","-22,872,922.30","-83,429,716.45","-38,099,431.57","-105,629,019.35","-24,807,361.60","-40,626,961.36","-276,292,547.22","-52,068,948.20","-286,886,611.56","-277,941,391.06","-257,144,145.94","-201,647,460.28","94,144,054.69","119,558,832.79","118,395,610.60","162,177,310.06","70,849,383.56","212,828,521.44","106,990,034.75","161,579,861.28"
购建固定资产、无形资产和其他长期资产支付的现金,"13,878,740.34","8,290,239.97","16,240,861.50","9,826,903.83","23,691,094.82","21,689,693.38","19,984,457.85","19,787,081.16","16,751,128.17","37,446,167.48","7,052,297.12","21,245,372.07","60,051,168.04","38,103,892.50","16,178,166.30","15,912,265.84","32,143,982.15","87,080,737.31","3,439,502.76","17,030,393.61","28,517,579.54","61,659,170.73","6,008,878.58","30,556,779.79","44,446,150.55","45,963,450.23"
期初现金及现金等价物余额,"29,694,673.31","17,424,774.10","42,450,250.05","85,725,541.20","85,725,541.20","85,725,541.20","560,814,446.78","560,814,446.78","560,814,446.78","560,814,446.78","455,185,427.43","455,185,427.43","455,185,427.43","455,185,427.43","403,116,479.23","403,116,479.23","403,116,479.23","403,116,479.23","201,469,018.95","201,469,018.95","201,469,018.95","201,469,018.95","363,646,329.01","363,646,329.01","363,646,329.01","363,646,329.01"
投资支付的现金,"2,500,000.00","14,000,000.00","111,000,000.00",,,"1,000,000.00","6,233,257.60","34,930,000.00","24,930,000.00","18,930,000.00","55,358,300.69","82,645,508.74","27,700,000.00","509,753,353.36","16,050,000.00","95,902,201.43","98,244,673.00","528,315,101.71","230,905,591.77","348,450,164.84","481,507,072.19","979,166,861.17","97,225,274.77","325,573,813.35","673,516,087.00","1,007,716,778.74"
期末现金及现金等价物余额,"17,424,774.10","42,450,250.05","85,725,541.20","83,113,397.01","557,400,395.33","560,814,446.78","537,941,524.48","477,384,730.33","522,715,015.21","455,185,427.43","430,378,065.83","414,558,466.07","178,892,880.21","403,116,479.23","116,229,867.67","125,175,088.17","145,972,333.29","201,469,018.95","295,613,073.64","321,027,851.74","319,864,629.55","363,646,329.01","434,495,712.57","576,474,850.45","470,636,363.76","525,226,190.29"
