科目,2013年度,2014年度,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度
经营活动现金流出小计,"246,551,583.79","233,233,288.67","209,408,164.97","45,451,699.33","104,311,399.04","164,469,933.22","214,986,697.48","44,279,886.03","98,253,076.90","152,153,977.52","199,762,661.38"
偿还债务支付的现金,"25,000,000.00","45,050,000.00",,,,,,,"20,000,000.00","20,000,000.00","28,000,000.00"
经营活动产生的现金流量净额,"14,034,479.21","12,998,593.79","30,417,151.26","662,464.60","1,741,621.27","10,304,012.79","31,455,081.77","6,387,766.90","22,713,081.16","26,437,033.17","34,515,028.15"
分配股利、利润或偿还利息支付的现金,"243,278.56","142,413.22",,,,,,,"8,204.58","3,658,967.89","6,406,854.56"
收回投资收到的现金,,,,,,,,"138,209,986.10","221,259,076.84","386,765,639.75","443,988,611.76"
支付其他与筹资活动有关的现金,,,,,"27,625,301.83","36,278,611.56",,,,,
取得投资收益收到的现金,,,,,,,,,"3,668.01","542,849.32","65,127.21"
筹资活动现金流出小计,"25,243,278.56","45,192,413.22",,,"27,625,301.83","36,278,611.56",,,"20,008,204.58","23,658,967.89","34,406,854.56"
处置固定资产、无形资产和其他长期资产收回的现金净额,"2,140.28","169,764.26","95,860.00",,,"31,529.95","72,970.88",,"10,650.00","21,260.00","31,590.00"
筹资活动产生的现金流量净额,"-143,278.56","-242,413.22",,,"197,574,698.17","189,064,275.13","188,922,083.00",,"-8,204.58","4,341,032.11","-6,406,854.56"
处置子公司及其他营业单位收到的现金净额,,,,,,,,,,,
四、汇率变动对现金的影响,-15.22,"-15,188.17","340,304.36","-127,412.07","450,061.35","651,688.61","2,383,075.39","-282,566.27","-1,231,492.80","-2,499,549.82","-3,132,912.79"
收到其他与投资活动有关的现金,,,,,,,,,,,
四(2)、其他原因对现金的影响,,,,,,,,,,,
投资活动现金流入小计,"2,140.28","169,764.26","95,860.00",,,"31,529.95","72,970.88","138,209,986.10","221,273,394.85","387,329,749.07","444,085,328.97"
五、现金及现金等价物净增加额,"5,003,026.92","5,639,229.24","20,727,474.91","-2,535,283.63","195,783,833.20","194,205,319.38","43,221,633.55","-4,562,495.55","-3,918,595.26","22,531,464.05","-23,229,043.26"
购建固定资产、无形资产和其他长期资产支付的现金,"8,890,298.79","7,271,527.42","10,125,840.71","3,070,336.16","3,982,547.59","5,846,187.10","42,647,960.31","1,236,420.95","16,084,112.56","24,695,539.15","37,388,371.70"
期初现金及现金等价物余额,"17,874,172.01","22,877,198.93","28,516,428.17","49,243,903.08","49,243,903.08","49,243,903.08","49,243,903.08","92,465,536.63","92,465,536.63","92,465,536.63","92,465,536.63"
投资支付的现金,,,,,,,"136,963,617.18","147,641,261.33","230,581,261.33","368,381,261.33","454,901,261.33"
期末现金及现金等价物余额,"22,877,198.93","28,516,428.17","49,243,903.08","46,708,619.45","245,027,736.28","243,449,222.46","92,465,536.63","87,903,041.08","88,546,941.37","114,997,000.68","69,236,493.37"
