科目,2011年度,2012年度,2013年1-3月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度
支付给职工以及为职工支付的现金,"336,265,342.11","399,051,927.25","126,917,311.77","420,066,447.47","146,862,409.79","245,550,135.81","365,385,647.05","474,876,528.48","141,558,227.58","243,716,743.03","389,067,688.16","492,132,793.62","154,021,046.66","255,940,500.01","384,560,405.83","505,207,142.58","163,923,963.78","279,897,529.53","422,088,882.69","594,771,103.57"
取得借款收到的现金,"835,891,356.83","659,521,312.49","108,300,000.00","1,111,722,450.11","210,000,000.00","543,259,448.73","682,980,858.93","941,529,262.10","410,000,000.00","440,000,000.00","490,000,000.00","820,000,000.00","400,000,000.00","400,000,000.00","415,000,000.00","635,000,000.00","480,000,000.00","590,000,000.00","730,000,000.00","920,000,000.00"
支付的各项税费,"187,278,629.31","235,143,217.04","60,484,556.00","205,579,796.25","67,817,454.86","108,042,453.53","172,762,159.89","215,196,212.59","60,809,258.21","118,373,053.84","184,912,836.17","242,104,570.79","61,455,970.61","117,192,500.87","159,069,053.65","203,249,309.79","42,851,655.23","99,860,436.57","162,853,772.77","216,947,867.11"
收到其他与筹资活动有关的现金,"18,162,292.52","11,193,049.68",,"36,340,208.82",,,,,,"19,200,000.00","19,200,000.00","19,200,000.00",,,,,,"508,247,928.00","508,247,928.00","444,612,401.74"
支付其他与经营活动有关的现金,"274,016,154.97","301,943,600.84","128,121,007.12","333,356,890.96","60,684,919.37","152,526,369.01","267,611,597.58","277,058,072.08","74,416,267.51","158,094,498.38","196,841,656.75","260,359,602.82","90,639,176.39","114,545,312.36","192,479,051.30","337,485,249.85","82,262,199.04","148,901,723.45","244,728,273.46","277,766,650.50"
筹资活动现金流入小计,"1,183,402,949.35","674,183,162.17","108,300,000.00","1,148,062,658.93","210,000,000.00","543,259,448.73","1,319,380,858.93","1,568,067,098.17","410,000,000.00","459,200,000.00","519,200,000.00","849,200,000.00","400,000,000.00","400,000,000.00","415,000,000.00","635,000,000.00","480,500,000.00","1,099,247,928.00","1,239,247,928.00","1,365,612,401.74"
经营活动现金流出小计,"2,825,561,908.24","2,892,098,899.68","851,699,388.79","2,855,187,038.20","729,622,708.92","1,508,209,401.87","2,260,030,670.21","2,625,265,343.46","771,465,927.69","1,499,388,343.10","1,966,190,564.67","2,691,051,347.91","746,525,962.05","1,359,666,355.62","1,889,729,966.98","2,886,204,169.68","777,151,892.58","1,567,696,805.35","2,370,306,353.96","3,063,817,959.75"
偿还债务支付的现金,"605,710,268.64","813,305,519.13","107,440,000.00","739,171,549.90","167,672,212.70","445,922,212.70","766,593,622.90","1,099,851,474.80","384,250,000.00","574,250,000.00","704,500,000.00","944,750,000.00","231,000,000.00","286,500,000.00","377,500,000.00","670,000,000.00","350,500,000.00","398,750,000.00","539,500,000.00","739,750,000.00"
经营活动产生的现金流量净额,"-88,993,629.54","233,788,255.31","-179,839,842.05","-113,203,034.51","-99,990,305.15","-109,367,128.48","-90,241,540.99","71,220,957.55","-87,547,599.56","-78,359,298.13","-46,472,316.54","155,979,940.73","7,511,361.83","-96,491,277.77","-68,214,592.65","142,532,013.31","-156,060,777.83","-266,394,153.75","-198,371,593.94","-99,768,151.05"
分配股利、利润或偿还利息支付的现金,"95,403,551.60","90,556,584.25","9,745,347.36","102,786,533.11","16,268,256.90","79,617,238.74","93,060,023.21","103,928,519.42","12,424,274.17","71,161,657.00","80,004,313.83","88,533,181.58","8,401,966.01","60,729,107.66","73,551,961.54","81,841,207.29","7,970,654.91","57,276,379.01","65,837,387.68","74,572,092.87"
收回投资收到的现金,,"60,000,000.00",,,,,,,,,,,,,,,,,,
支付其他与筹资活动有关的现金,"11,193,049.68","29,730,000.00",,"325,000,378.82",,"4,823,389.73","13,316,712.92","19,200,000.00",,,,,,,,,,"508,247,928.00","508,247,928.00","441,247,928.00"
取得投资收益收到的现金,"13,836,422.45","19,023,677.97",,"26,409,363.04",,"23,736,000.00","49,182,002.92","52,995,896.67","23,660,000.00","47,320,000.00","53,707,217.47","53,707,217.47",,"36,092,000.00","42,350,181.66","42,350,181.66",,"27,408,373.61","32,102,051.13","33,514,381.99"
筹资活动现金流出小计,"712,306,869.92","933,592,103.38","117,185,347.36","1,166,958,461.83","183,940,469.60","530,362,841.17","872,970,359.03","1,222,979,994.22","396,674,274.17","645,411,657.00","784,504,313.83","1,033,283,181.58","239,401,966.01","347,229,107.66","451,051,961.54","751,841,207.29","358,470,654.91","964,274,307.01","1,113,585,315.68","1,255,570,020.87"
处置固定资产、无形资产和其他长期资产收回的现金净额,"77,629,443.61","1,586,144.06","149,146.09","618,578.75","105,652.45","450,410.00","617,028.48","1,230,973.88","101,645.81","175,376.08","314,134.37","1,725,504.00","118,740.00","334,086.07","533,157.52","1,271,130.06","7,617.43","206,894.03","491,304.33","997,532.52"
筹资活动产生的现金流量净额,"471,096,079.43","-259,408,941.21","-8,885,347.36","-18,895,802.90","26,059,530.40","12,896,607.56","446,410,499.90","345,087,103.95","13,325,725.83","-186,211,657.00","-265,304,313.83","-184,083,181.58","160,598,033.99","52,770,892.34","-36,051,961.54","-116,841,207.29","122,029,345.09","134,973,620.99","125,662,612.32","110,042,380.87"
处置子公司及其他营业单位收到的现金净额,"8,096,346.55",,,,,,,,,,,,,,,,,,,
四、汇率变动对现金的影响,,,,,,,,,,"-8,516.42","1,011,624.88","619,277.58","-1,199,408.14","536,968.53","737,715.84","1,357,283.39","-118,732.65","-799,673.85","-1,017,149.52","-1,411,219.73"
收到其他与投资活动有关的现金,"753,884.99","1,627,811.09","284,644.84","1,844,318.34","433,694.01","613,431.97","730,991.84",,"304,620,000.00","304,620,000.00","304,620,000.00","308,850,000.00","473,120.00",,,"1,140,006.80",,,,
四(2)、其他原因对现金的影响,,,,,,,,,,,,,,,,,,,,
投资活动现金流入小计,"100,316,097.60","82,237,633.12","433,790.93","28,872,260.13","539,346.46","24,799,841.97","50,530,023.24","54,226,870.55","328,381,645.81","352,115,376.08","358,641,351.84","364,282,721.47","591,860.00","36,426,086.07","42,883,339.18","44,761,318.52","7,617.43","27,615,267.64","32,593,355.46","34,511,914.51"
五、现金及现金等价物净增加额,"358,539,131.77","-93,246,286.07","-228,611,175.10","-222,634,914.22","-100,407,914.41","-121,882,671.78","44,297,317.59","67,742,139.64","240,313,041.36","21,145,062.21","-27,594,754.83","247,931,692.20","147,512,909.36","-51,444,782.70","-123,928,894.54","-19,799,536.57","-51,813,483.07","-153,553,708.87","-126,781,692.19","-88,907,945.66"
购建固定资产、无形资产和其他长期资产支付的现金,"88,051,831.19","89,863,233.29","40,319,776.62","109,002,729.94","26,654,525.31","49,950,032.02","56,229,463.81","89,120,591.66","13,846,730.72","27,811,834.73","36,892,093.59","48,716,418.41","19,988,938.32","41,937,451.87","60,533,395.37","83,880,069.50","15,862,062.61","47,032,750.40","78,797,520.21","128,763,579.01"
期初现金及现金等价物余额,"176,069,530.31","534,608,662.08","441,362,376.01","441,362,376.01","218,727,461.79","218,727,461.79","218,727,461.79","218,727,461.79","286,469,601.43","286,561,789.46","286,561,789.46","286,561,789.46","534,493,481.66","534,493,481.66","534,493,481.66","534,493,481.66","514,693,945.09","514,693,945.09","514,693,945.09","514,693,945.09"
投资支付的现金,"35,827,584.53","60,000,000.00",,"9,000,000.00",,,"5,910,239.94","13,410,239.94",,"38,579,007.59","38,579,007.59","13,695,807.59",,"2,750,000.00","2,750,000.00","2,750,000.00",,,,
期末现金及现金等价物余额,"534,608,662.08","441,362,376.01","212,751,200.91","218,727,461.79","118,319,547.38","96,844,790.01","263,024,779.38","286,469,601.43","526,782,642.79","307,706,851.67","258,967,034.63","534,493,481.66","682,006,391.02","483,048,698.96","410,564,587.12","514,693,945.09","462,880,462.02","361,140,236.22","387,912,252.90","425,785,999.43"
