科目,2012年度,2013年度,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度
分配股利、利润或偿还利息支付的现金,"41,801,911.10","21,619,601.40","32,000,000.00",,"38,375,401.60","38,375,401.60","47,969,252.00",,"10,000,000.00","10,000,000.00","10,000,000.00",,,"11,133,297.75","12,000,000.00"
收回投资收到的现金,,,,,,,,,,"531,000,000.00","561,000,000.00","110,000,000.00","180,000,000.00","575,000,000.00","595,500,000.00"
支付其他与筹资活动有关的现金,"7,339,168.10","7,600,859.60","7,515,619.83",,"10,805,881.97","14,385,180.34","33,539,050.85","2,252,435.10","6,881,667.15","11,838,585.00","15,266,418.60","4,697,597.70","7,681,082.40","10,981,787.40","18,052,231.05"
取得投资收益收到的现金,"200,000.00","2,936,773.00","200,000.00",,"1,081,569.60","1,081,569.60","1,081,569.60",,"800,000.00","800,000.00","5,126,942.78",,"1,060,000.00","1,060,000.00","7,934,812.04"
筹资活动现金流出小计,"69,141,079.20","39,220,461.00","39,515,619.83",,"49,181,283.57","52,760,581.94","81,508,302.85","2,252,435.10","16,881,667.15","21,838,585.00","25,266,418.60","4,697,597.70","7,681,082.40","22,115,085.15","30,052,231.05"
处置固定资产、无形资产和其他长期资产收回的现金净额,"10,030.00","69,754.81","19,065.99",,,"1,705.00","3,401.26","1,941.75","1,941.75","3,549.18","8,831.48",,,"1,997.43","8,465.43"
筹资活动产生的现金流量净额,"-34,229,566.90","-33,829,790.55","-32,342,085.83","1,434,300.00","287,268,716.43","283,689,418.06","269,299,189.85","2,864,875.20","-8,459,944.00","-11,314,426.75","-9,963,028.30","259,320.15","-970,106.55","-9,032,736.00","-13,986,397.20"
处置子公司及其他营业单位收到的现金净额,,,,,,,,,,,,,,,
四、汇率变动对现金的影响,,,,,,,,,,,,,,,
收到其他与投资活动有关的现金,,,,,,,,,,,,,,"5,557,224.66",
四(2)、其他原因对现金的影响,,,,,,,,,,,,,,,
投资活动现金流入小计,"210,030.00","3,006,527.81","219,065.99",,"1,081,569.60","1,083,274.60","1,084,970.86","1,941.75","801,941.75","531,803,549.18","566,135,774.26","110,000,000.00","181,060,000.00","581,619,222.09","603,443,277.47"
五、现金及现金等价物净增加额,"15,559,112.24","16,865,011.47","12,087,763.66","-18,390,300.00","265,805,477.17","261,025,547.41","4,705,403.41","-54,960,155.47","-53,589,385.76","-49,301,380.42","13,903,340.52","-98,822,389.47","-90,796,510.95","-137,143,541.57","-131,572,118.37"
购建固定资产、无形资产和其他长期资产支付的现金,"1,950,414.59","803,708.57","3,599,743.74",,"695,255.81","1,093,118.55","1,302,340.52","655,577.71","1,044,036.56","1,968,000.60","1,882,709.88","2,071,107.10","4,171,731.10","5,420,295.96","13,749,985.47"
期初现金及现金等价物余额,"96,217,758.67","111,776,870.91","128,641,882.38",,"147,901,611.04","147,901,611.04","140,729,646.04","145,435,049.45","145,435,049.45","145,435,049.45","145,435,049.45","159,338,389.97","159,338,389.97","159,338,389.97","159,338,389.97"
投资支付的现金,,"115,000.00",,,,,"300,000,000.00","31,000,000.00","21,500,000.00","551,500,000.00","581,500,000.00","180,000,000.00","250,000,000.00","675,000,000.00","714,000,000.00"
期末现金及现金等价物余额,"111,776,870.91","128,641,882.38","140,729,646.04",,"413,707,088.21","408,927,158.45","145,435,049.45","90,474,893.98","91,845,663.69","96,133,669.03","159,338,389.97","60,516,000.50","68,541,879.02","22,194,848.40","27,766,271.60"
