科目,2007年1-3月,2007年1-6月,2007年1-9月,2007年度,2008年1-3月,2008年1-6月,2008年1-9月,2008年度,2009年1-3月,2009年1-6月,2009年1-9月,2009年度,2010年1-3月,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月
收到其他与筹资活动有关的现金,,,,,,,,,,,,,,,,,,,,,,,"4,062,000.00",,,,,,,,,,"3,385,975,022.96",,"3,385,975,022.96"
支付其他与经营活动有关的现金,"115,632,522.00","202,903,314.00","300,572,346.00","457,569,026.00","210,737,740.00","782,526,719.00","920,251,183.00","336,701,916.00","272,309,929.00","783,250,227.00","1,324,498,657.00","2,057,203,779.00","461,106,503.00","1,079,518,973.00","1,836,456,513.00","4,104,705,661.00","1,105,905,209.00","2,104,914,475.00","3,595,276,750.00","4,582,012,295.00","1,476,993,520.00","2,874,720,497.00","6,632,648,851.00","6,768,214,283.12","2,765,536,190.90","7,357,016,282.05","6,286,762,781.45","5,751,781,987.22","2,199,433,434.34","2,623,864,543.85","5,638,132,377.31","6,840,723,680.07","5,851,539,311.49","7,798,355,394.74","9,437,898,948.27"
筹资活动现金流入小计,"1,411,257,237.00","2,843,531,287.00","7,805,519,575.00","11,947,141,284.00","2,393,507,533.00","4,638,103,952.00","6,039,525,335.00","15,387,842,702.00","1,222,780,648.00","2,242,067,165.00","5,112,063,977.00","5,950,720,103.00","2,109,233,376.00","6,206,160,979.00","7,350,291,381.00","8,383,925,158.00","2,197,327,138.00","4,292,239,406.00","8,048,257,616.00","12,269,856,205.00","3,713,439,000.00","5,530,641,763.00","7,850,265,556.00","10,911,528,146.29","7,101,703,401.23","13,078,090,543.10","14,818,328,895.88","21,310,627,730.04","3,482,568,480.83","9,976,972,822.01","16,470,660,585.00","21,753,870,849.99","10,566,401,037.33","17,193,930,746.41","23,381,044,293.54"
经营活动现金流出小计,"1,838,255,212.00","3,558,614,524.00","5,378,399,247.00","9,602,144,501.00","3,335,120,530.00","6,285,783,418.00","7,888,543,548.00","11,028,625,581.00","2,323,938,404.00","4,405,547,907.00","6,897,411,323.00","12,415,290,340.00","3,468,229,394.00","9,251,037,229.00","14,013,725,271.00","22,980,731,287.00","5,810,739,223.00","14,233,446,781.00","21,592,907,246.00","28,217,554,604.00","6,675,978,943.00","13,771,000,419.00","23,876,474,250.00","37,604,335,665.98","9,259,543,824.95","22,779,911,588.02","33,241,500,391.69","46,787,734,393.92","14,580,495,000.04","29,558,819,966.96","40,790,648,029.25","56,568,211,228.70","18,904,040,969.38","35,231,717,851.30","48,989,875,565.20"
偿还债务支付的现金,"137,643,090.00","831,933,413.00","2,241,907,850.00","3,240,580,558.00","410,627,556.00","1,806,588,162.00","2,765,582,797.00","6,329,137,678.00","1,340,066,114.00","3,744,278,142.00","7,107,178,142.00","10,044,491,466.00","989,658,613.00","1,507,153,645.00","1,773,897,397.00","3,042,538,369.00","905,905,283.00","1,445,159,864.00","1,605,240,821.00","3,851,793,933.00","627,191,269.00","3,194,990,109.00","6,647,912,334.00","8,571,472,506.54","1,830,420,000.00","5,256,388,021.57","9,789,887,950.00","12,914,869,820.00","3,579,257,370.29","6,715,774,121.48","11,087,713,675.00","13,296,874,838.87","2,638,042,377.94","7,149,750,641.35","13,849,496,463.48"
经营活动产生的现金流量净额,"-1,243,202,555.00","-1,689,354,444.00","-2,192,976,635.00","-4,002,591,582.00","-1,376,427,361.00","-3,170,461,427.00","-2,787,625,759.00","-3,919,843,675.00","94,612,265.00","3,146,422,732.00","5,152,035,316.00","7,054,731,333.00","-793,859,169.00","-1,998,549,301.00","-2,238,066,670.00","-4,446,294,010.00","-928,182,873.00","-3,024,942,771.00","-2,741,396,512.00","-2,112,339,698.00","-232,454,924.00","2,420,308,063.00","3,688,261,358.00","5,098,777,753.73","790,021,934.12","-1,275,505,230.57","793,743,280.63","495,923,554.51","-4,330,633,173.95","-7,332,324,397.12","-5,494,631,791.92","-6,447,055,480.12","-6,851,977,379.07","-7,361,095,087.22","-2,652,969,494.21"
分配股利、利润或偿还利息支付的现金,"88,474,245.00","306,079,973.00","418,458,757.00","510,825,979.00","163,783,751.00","391,557,622.00","624,289,608.00","894,253,290.00","176,520,818.00","489,256,718.00","626,589,538.00","1,095,366,405.00","124,798,842.00","239,851,792.00","525,785,040.00","817,032,827.00","250,343,741.00","638,348,637.00","816,286,205.00","1,356,824,665.00","320,495,556.00","914,106,042.00","1,537,609,673.00","2,226,420,253.62","207,698,026.13","1,064,263,544.64","1,532,365,144.23","2,161,728,243.21","167,253,691.34","1,522,713,038.14","2,143,694,391.98","2,709,853,982.36","481,069,809.56","2,130,870,039.43","2,808,332,068.90"
收回投资收到的现金,,"2,657,823.00","12,346,185.00","14,966,942.00","40,702,143.00","40,702,143.00","40,702,142.00","40,702,142.00",,,"1,522,182.00",,,,,"20,618,338.00",,,,,,,,,,"80,123.00","80,123.00","80,123.00",,,,,,,"1,382.92"
支付其他与筹资活动有关的现金,"95,000.00","95,000.00","95,000.00",,,,,,,,,,"889,447,969.00","882,889,738.00","871,199,830.00",,,,,,,,,,,,,,,"922,920.00","2,461,000.00","521,900,000.00",,,"18,000,000.00"
取得投资收益收到的现金,,"17,218,796.00","17,541,353.00","35,416,464.00",,"12,515,977.00","12,515,977.00","12,870,616.00",,"413,971.00","413,971.00","413,971.00",,,"360,094.00","360,094.00",,"724,434.00","1,284,166.00","141,579,556.00",,,,,"80,123.00","311,302,240.31","326,819,319.15","326,819,319.15",,"20,548,073.61","39,967,345.86","20,548,073.61","24,000,000.00","65,195,980.00","70,391,655.05"
筹资活动现金流出小计,"226,212,335.00","1,138,108,386.00","2,660,461,607.00","3,751,406,537.00","574,411,307.00","2,198,145,784.00","3,389,872,405.00","7,223,390,968.00","1,516,586,932.00","4,233,534,860.00","7,733,767,680.00","11,139,857,871.00","2,003,905,424.00","2,629,895,175.00","3,170,882,267.00","3,859,571,196.00","1,156,249,024.00","2,083,508,501.00","2,421,527,026.00","5,208,618,598.00","947,686,825.00","4,109,096,151.00","8,185,522,007.00","10,797,892,760.16","2,038,118,026.13","6,320,651,566.21","11,322,253,094.23","15,076,598,063.21","3,746,511,061.63","8,239,410,079.62","13,233,869,066.98","16,528,628,821.23","3,119,112,187.50","9,280,620,680.78","16,675,828,532.38"
处置固定资产、无形资产和其他长期资产收回的现金净额,"104,200.00","202,643.00","219,138.00","304,267,845.00","14,780.00","179,113.00","229,823.00","2,772,549.00","23,214.00","26,214.00","160,494.00","251,567.00","3,430.00","33,971.00","90,097.00","484,679.00","3,630.00","22,752.00","54,538.00","413,449.00","30,780.00","32,130.00","39,120.00","443,426.70","53,220.00","65,240.00","85,915.50","374,097.82",400.00,"46,854.00","59,464.00","107,184.00","4,283.10","174,843.10","269,793.10"
筹资活动产生的现金流量净额,"1,185,044,902.00","1,705,422,901.00","5,145,057,968.00","8,195,734,747.00","1,819,096,226.00","2,439,958,168.00","2,649,652,930.00","8,164,451,734.00","-293,806,284.00","-1,991,467,695.00","-2,621,703,703.00","-5,189,137,768.00","105,327,952.00","3,576,265,804.00","4,179,409,114.00","4,524,353,962.00","1,041,078,114.00","2,208,730,905.00","5,626,730,590.00","7,061,237,607.00","2,765,752,175.00","1,421,545,612.00","-335,256,451.00","113,635,386.13","5,063,585,375.10","6,757,438,976.89","3,496,075,801.65","6,234,029,666.83","-263,942,580.80","1,737,562,742.39","3,236,791,518.02","5,225,242,028.76","7,447,288,849.83","7,913,310,065.63","6,705,215,761.16"
处置子公司及其他营业单位收到的现金净额,,,,,,,"103,002.00","681,912,273.00",,,,"13,304,811.00",,,"171,724,601.00","158,832,015.00",,,,,,,,,,,,,,,,"29,291,349.15",,,
四、汇率变动对现金的影响,"14,084,468.00","36,571,594.00","57,825,056.00","-6,337,460.00","-1,547,610.00","18,289,630.00","14,372,735.00","-12,294,446.00","-150,831.00","-325,164.00","-438,335.00","-2,200,526.00","-581,586.00","-3,610,150.00","-14,674,492.00","-19,136,217.00","2,658,433.00","-18,808,577.00","-32,084,534.00","-35,492,132.00","102,343.00","9,511,613.00","11,022,007.00","-9,241,637.86","-1,606,351.28","-17,869,715.20","-27,139,455.87","34,372,878.81","22,165,455.69","10,709,264.21","14,566,593.34","13,007,999.54","32,280,609.42","27,172,033.42","80,931,081.80"
收到其他与投资活动有关的现金,,,,,"10,010,125.00",,,,"41,836,353.00","77,277,985.00","75,344,057.00","485,915,710.00",,"12,887.00",,,,,,"161,835,207.00",,,,,,,,,,,,"3,527,537.27",,"630,235,033.61","630,235,033.61"
四(2)、其他原因对现金的影响,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
投资活动现金流入小计,"104,200.00","20,079,262.00","30,106,676.00","354,651,251.00","50,727,048.00","53,397,233.00","53,550,944.00","738,257,580.00","41,859,567.00","77,718,170.00","77,440,704.00","499,886,059.00","3,430.00","46,858.00","172,174,792.00","180,295,126.00","3,630.00","747,186.00","1,338,704.00","303,828,212.00","30,780.00","32,130.00","39,120.00","443,426.70","133,343.00","311,447,603.31","326,985,357.65","327,273,539.97",400.00,"20,594,927.61","40,026,809.86","53,474,144.03","24,004,283.10","695,605,856.71","700,897,864.68"
五、现金及现金等价物净增加额,"-49,759,341.00","31,911,078.00","2,093,708,727.00","2,625,579,173.00","300,648,725.00","-870,671,922.00","-342,432,758.00","3,813,072,192.00","-172,281,303.00","1,203,638,725.00","2,568,799,118.00","1,417,603,961.00","-726,242,284.00","1,539,706,230.00","2,046,706,598.00","138,934,241.00","-8,462,056.00","-1,007,255,069.00","2,544,335,476.00","4,745,378,932.00","2,438,749,447.00","3,625,453,091.00","2,933,284,045.00","4,558,532,277.70","5,808,393,653.64","5,163,272,472.81","3,827,316,306.94","6,017,174,403.80","-4,643,907,781.23","-5,649,730,894.44","-2,321,099,823.06","-1,287,920,662.23","478,182,966.49","778,676,649.70","3,263,138,755.12"
购建固定资产、无形资产和其他长期资产支付的现金,"5,778,875.00","14,631,539.00","908,502,286.00","1,039,817,130.00","34,411,618.00","45,104,698.00","56,563,830.00","83,837,658.00","10,796,020.00","23,382,118.00","31,197,012.00","75,630,570.00","2,030,375.00","6,321,512.00","22,039,532.00","43,772,810.00","19,200,263.00","22,562,917.00","54,040,101.00","69,048,371.00","3,751,329.00","8,458,757.00","19,099,918.00","67,530,599.54","14,394,647.30","27,118,359.78","38,244,369.82","324,441,222.50","12,826,776.98","27,602,326.34","41,181,847.17","55,918,249.25","6,293,051.92","12,390,482.84","21,448,670.77"
期初现金及现金等价物余额,"910,028,347.00","910,028,347.00","910,028,347.00","919,405,741.00","3,544,984,914.00","3,544,984,914.00","3,544,984,914.00","3,544,984,914.00","7,358,057,106.00","7,358,057,106.00","7,358,057,106.00","7,358,057,106.00","8,775,661,067.00","8,775,661,067.00","8,775,661,067.00","8,775,661,067.00","8,914,595,308.00","8,914,595,308.00","8,914,595,308.00","8,914,595,308.00","13,659,974,240.00","13,659,974,240.00","13,659,974,240.00","13,659,974,240.00","18,239,272,247.93","18,218,506,517.70","18,218,506,517.70","18,218,506,517.70","24,235,680,921.50","24,235,680,921.50","24,240,458,796.50","24,235,680,921.50","22,947,760,259.27","22,947,760,259.27","22,947,760,259.27"
投资支付的现金,,"24,220,904.00",,"628,565,935.00","20,000,000.00","147,957,709.00","157,957,709.00","1,013,522,765.00",,"5,327,200.00","7,337,852.00","870,044,567.00","28,125,469.00","28,125,469.00","28,125,469.00","38,625,469.00","98,000,000.00","127,821,477.00","234,022,744.00","210,682,744.00","85,685,238.00","86,556,612.00","212,015,982.00","251,803,226.65","24,246,000.00","23,898,000.00","30,500,000.00","33,964,976.91","58,671,105.19","58,671,105.19","76,671,105.19","76,671,105.19","167,120,344.87","483,925,736.00","792,711,112.45"
期末现金及现金等价物余额,"860,269,006.00","941,939,425.00","3,003,737,074.00","3,544,984,914.00","3,845,633,639.00","2,674,312,992.00","3,202,552,156.00","7,358,057,106.00","7,185,775,803.00","8,561,695,831.00","9,926,856,224.00","8,775,661,067.00","8,049,418,783.00","10,315,367,297.00","10,822,367,665.00","8,914,595,308.00","8,906,133,252.00","7,907,340,239.00","11,458,930,784.00","13,659,974,240.00","16,098,723,687.00","17,285,427,331.00","16,593,258,285.00","18,218,506,517.70","24,047,665,901.57","23,381,778,990.51","22,045,822,824.64","24,235,680,921.50","19,591,773,140.27","18,585,950,027.06","21,919,358,973.44","22,947,760,259.27","23,425,943,225.76","23,726,436,908.97","26,210,899,014.39"
