科目,2007-03-31,2007-06-30,2007-09-30,2007-12-31,2008-03-31,2008-06-30,2008-09-30,2008-12-31,2009-03-31,2009-06-30,2009-09-30,2009-12-31,2010-03-31,2010-06-30,2010-09-30,2010-12-31,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31
其中:消耗性生物资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应付关联公司款,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
一年内到期的非流动资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"42,272.01",,,,"54,976.36",,,,"517,198.46"
一年内到期的非流动负债,,,,,,,,,,,,,,,,,,,,,,,,,,,,"8,000,000.00","4,000,000.00","4,000,000.00","4,000,000.00","8,146,025.52",,,,"41,446,025.52","40,600,000.00","33,500,000.00",,"10,646,025.52","10,000,000.00","10,000,000.00","10,000,000.00","40,476,025.52"
其他流动资产,,,,,,,,,,,"424,733.36",,,,,,,,,,,,,"1,537,475.88","1,342,055.38","1,342,055.38","1,342,055.38","4,854,213.82","1,328,046.83","2,958,587.58","2,958,587.58","532,171.76",145.30,145.30,145.30,"153,485.51","123,105.71","222,702.98","222,702.98","1,375,449.00","1,569,492.34","844,066.40","1,241,569.41","1,338,882.28"
其他流动负债,,,,,,,,,,,,,,,,,,,,,,"1,250,000.00","1,250,000.00",,,,,,,,,,,,,,,,"22,125.00",,,,,
流动资产合计,"709,525,518.13","631,671,361.14","654,784,534.15","566,547,138.47","492,442,780.45","464,319,849.03","465,710,438.25","1,099,767,708.42","1,188,522,367.28","1,249,339,121.57","1,701,009,642.11","2,031,955,871.38","2,349,746,742.24","2,387,820,522.59","2,544,756,944.77","2,258,706,679.11","2,232,365,233.53","2,191,220,006.57","2,289,879,643.46","2,180,100,268.11","1,961,670,672.14","1,949,939,377.44","1,865,296,360.90","1,913,290,212.70","1,854,333,432.32","1,774,671,883.90","1,826,043,826.20","2,029,447,140.39","1,803,945,587.07","1,766,060,281.89","1,825,286,736.89","2,429,098,220.02","2,220,524,568.30","2,214,733,872.23","2,243,636,632.86","2,656,630,803.60","2,552,695,581.68","2,621,974,539.78","2,603,250,756.20","3,063,249,889.44","3,022,683,053.38","2,946,296,078.16","2,880,401,954.40","3,323,429,547.79"
流动负债合计,"248,072,463.30","169,650,348.47","199,132,381.13","167,278,984.94","185,153,463.59","187,922,111.37","205,752,462.32","902,901,267.87","931,270,746.63","1,030,063,660.37","619,489,169.10","873,372,221.99","1,259,021,580.09","1,169,534,505.61","1,292,963,375.31","1,148,561,667.21","1,142,422,555.78","1,105,406,673.80","1,210,656,645.04","1,158,415,847.60","878,289,709.66","876,210,224.71","873,883,035.52","1,023,583,835.01","937,234,122.59","932,458,323.45","977,123,606.42","1,184,526,964.76","975,209,273.91","990,136,084.38","966,010,558.87","1,587,994,954.01","1,339,005,568.05","1,372,212,650.89","1,347,652,180.10","1,790,045,388.78","1,637,735,086.94","1,680,438,200.48","1,651,897,124.03","1,992,878,739.11","1,908,016,316.29","1,887,308,138.39","1,801,423,872.65","2,183,982,118.98"
可供出售金融资产,,,,,,,,"5,065,178.55","6,502,275.72","8,754,219.81",,,,,,,,,,,,,,,,,,,,,"3,330,000.00","3,330,000.00","3,330,000.00","3,330,000.00","3,330,000.00","3,330,000.00","3,330,000.00","3,330,000.00","3,330,000.00","3,330,000.00","3,330,000.00","3,330,000.00","3,959,370.00","3,330,000.00"
长期借款,,,,,,,,"50,000,000.00","80,000,000.00","30,000,000.00","30,000,000.00","30,000,000.00","40,000,000.00","30,000,000.00","30,000,000.00","30,000,000.00","15,000,000.00","15,000,000.00","15,000,000.00",,,,,"36,000,000.00","36,000,000.00","36,000,000.00","36,000,000.00","24,000,000.00","24,000,000.00","24,000,000.00","24,000,000.00","28,350,000.00","28,600,000.00","28,400,000.00","42,100,000.00",,,"8,300,000.00","46,800,000.00","60,400,000.00","60,400,000.00","60,400,000.00","59,980,000.00","29,700,000.00"
