科目,2011年度,2012年度,2013年度,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度
支付给职工以及为职工支付的现金,"12,072,137.81","19,737,997.94","26,123,859.62","27,026,175.48","35,580,688.91","14,029,563.08","22,733,701.17","32,560,032.45","46,162,318.82","16,511,977.03","29,460,370.28","44,433,688.97","61,879,016.27","23,964,577.51","41,781,695.79","61,817,543.38","85,294,160.26"
取得借款收到的现金,"17,492,336.18","46,537,976.33","33,026,468.25","48,000,000.00","66,000,000.00",,,,,,,,,,"10,237,660.00","23,513,662.19","30,349,416.45"
支付的各项税费,"17,291,900.78","25,550,555.37","21,707,157.60","22,577,878.09","31,890,710.79","7,879,279.81","17,028,034.53","25,021,140.65","37,325,423.96","8,769,525.23","18,490,981.09","38,740,216.04","55,001,284.85","13,302,887.41","32,382,557.87","50,565,620.06","61,306,989.32"
收到其他与筹资活动有关的现金,,,,,,,,,"164,777.04",,,,,,,,
支付其他与经营活动有关的现金,"12,985,104.79","12,638,977.09","13,638,219.87","9,089,281.71","13,703,337.20","4,868,097.43","11,306,785.30","28,825,267.43","20,529,358.83","10,379,470.32","14,903,480.91","25,128,903.45","32,764,395.57","10,418,127.76","19,925,918.89","33,483,747.44","48,233,844.71"
筹资活动现金流入小计,"17,492,336.18","46,537,976.33","33,926,468.25","48,000,000.00","66,000,000.00","317,800,000.00","317,800,000.00","317,800,000.00","284,264,777.04",,"172,999,924.88","172,999,924.88","172,999,924.88",,"10,237,660.00","23,513,662.19","30,349,416.45"
经营活动现金流出小计,"161,597,776.75","161,508,014.42","209,601,010.46","177,553,951.26","249,527,001.63","56,752,799.70","140,686,828.02","219,405,379.05","355,921,895.71","69,976,494.06","153,062,430.11","246,981,078.26","313,465,483.56","105,140,543.69","236,568,818.79","360,948,165.77","470,726,043.04"
偿还债务支付的现金,"15,000,000.00","23,786,342.24","34,470,438.52","16,800,000.00","41,800,000.00",,"58,000,000.00","58,000,000.00","58,000,000.00",,,,,,"4,800,000.00","11,000,000.00","22,246,846.00"
经营活动产生的现金流量净额,"34,361,474.02","43,055,884.86","57,956,170.16","39,620,498.43","66,806,233.03","10,856,931.85","13,955,828.53","30,585,037.33","64,328,406.96","21,618,938.31","41,052,627.53","73,405,634.15","100,261,690.75","22,414,311.82","45,283,073.60","86,006,086.77","86,467,606.26"
分配股利、利润或偿还利息支付的现金,"4,078,839.66","18,360,015.22","14,037,791.31","10,715,335.84","11,606,433.06","778,580.00","21,799,560.00","21,799,560.00","21,799,560.00",,"17,556,000.00","17,556,000.00","17,556,000.00","34,611.50","27,685,548.43","29,268,904.46","26,425,273.64"
收回投资收到的现金,"984,759.55",,,,,,,,,"81,750,000.00","986,152,665.08","1,450,615,407.36","1,750,256,083.96","328,590,000.00","576,071,400.00","746,096,571.00","827,020,000.00"
支付其他与筹资活动有关的现金,,"2,760,000.00",,"800,000.00","800,000.00","37,820,339.40","40,674,602.30","41,274,602.30","10,760,000.00","700,551.10","11,240,238.32","11,380,238.32","11,690,238.32",,"11,640,933.25","11,640,933.25","1,428,893.68"
取得投资收益收到的现金,"208,552.28","180,399.00","107,925.00",,,"46,560.00","213,520.00","114,420.00","2,770,688.59","1,733,311.45","3,289,079.58","3,588,464.67","5,201,607.08","1,047,783.43","2,516,679.21","4,306,819.83","6,212,724.65"
筹资活动现金流出小计,"19,078,839.66","44,906,357.46","48,508,229.83","28,315,335.84","54,206,433.06","38,598,919.40","120,474,162.30","121,074,162.30","90,559,560.00","700,551.10","28,796,238.32","28,936,238.32","29,246,238.32","34,611.50","44,126,481.68","51,909,837.71","50,101,013.32"
处置固定资产、无形资产和其他长期资产收回的现金净额,,"15,090.38","77,990.00","56,978.46","165,327.59","18,000.00","20,350.00","20,440.00","45,980.00","8,300.00","27,224.61","55,555.61","587,315.78",50.00,50.00,550.00,"5,178,341.22"
筹资活动产生的现金流量净额,"-1,586,503.48","1,631,618.87","-14,581,761.58","19,684,664.16","11,793,566.94","279,201,080.60","197,325,837.70","196,725,837.70","193,705,217.04","-700,551.10","144,203,686.56","144,063,686.56","143,753,686.56","-34,611.50","-33,888,821.68","-28,396,175.52","-19,751,596.87"
处置子公司及其他营业单位收到的现金净额,,,,,,,,"164,777.04",,,,,,,,,
四、汇率变动对现金的影响,"324,473.10","-300,940.18","-1,005,529.85","298,486.42","-112,517.32","606,943.32","760,360.79","1,462,451.26","1,849,282.36","-118,311.46","1,309,989.40","1,407,266.80","1,401,088.76","-226,959.62","-1,509,103.07","-2,825,769.67","-6,202,335.56"
收到其他与投资活动有关的现金,,,,,,,,,,,,,"1,498,027.64","3,000,000.00",,,"8,796,693.50"
四(2)、其他原因对现金的影响,,,,,,,,,,,,,,,,,
投资活动现金流入小计,"1,193,311.83","195,489.38","185,915.00","56,978.46","165,327.59","64,560.00","233,870.00","299,637.04","2,816,668.59","83,491,611.45","989,468,969.27","1,454,259,427.64","1,757,543,034.46","332,637,833.43","578,588,129.21","750,403,940.83","847,207,759.37"
五、现金及现金等价物净增加额,"-33,286,323.80","15,812,757.60","8,616,511.78","13,835,778.71","9,464,149.64","274,651,529.75","174,940,347.80","167,325,160.77","-9,810,025.87","21,454,418.03","142,154,576.34","50,614,608.84","35,759,966.38","47,871,709.46","62,973,062.84","55,195,686.06","29,986,282.30"
购建固定资产、无形资产和其他长期资产支付的现金,"66,425,589.57","28,643,107.33","33,938,281.95","45,602,959.76","68,765,221.60","16,077,986.02","37,335,549.22","61,747,802.56","86,908,295.62","19,657,475.79","43,085,626.75","56,386,045.88","83,184,352.10","17,886,146.19","41,974,643.25","56,788,174.38","84,853,928.19"
期初现金及现金等价物余额,"51,171,683.28","17,885,359.48","33,698,117.08","42,314,628.86","42,314,628.86","51,778,778.50","51,778,778.50","51,778,778.50","51,778,778.50","41,968,752.63","41,968,752.63","41,968,752.63","41,968,752.63","77,728,719.01","77,728,719.01","77,728,719.01","77,728,719.01"
投资支付的现金,"680,863.82","126,188.00",,,,,,,"174,601,305.20","63,006,396.75","921,636,356.58","1,496,976,647.34","1,803,059,775.46","261,200,000.00","453,071,400.00","662,750,050.00","775,490,000.00"
期末现金及现金等价物余额,"17,885,359.48","33,698,117.08","42,314,628.86","56,150,407.57","51,778,778.50","326,430,308.25","226,719,126.30","219,103,939.27","41,968,752.63","63,423,170.66","184,123,328.97","92,583,361.47","77,728,719.01","125,600,428.47","140,701,781.85","132,924,405.07","107,715,001.31"
