科目,2007年度,2008年度,2009年1-9月,2009年度,2010年1-3月,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度
堪探费用,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
加:影响利润总额的其他科目,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
财务费用,"1,631,684.77","1,426,683.27","999,724.47","1,593,844.61","-774,163.45","-5,685,958.92","-8,730,223.88","-11,326,824.96","-2,230,937.88","-5,028,130.17","-7,428,829.52","-11,937,955.33","-2,005,548.03","-3,264,019.68","-3,481,976.18","-5,243,620.28","791,753.70","1,766,625.51","3,688,603.56","7,284,701.15","2,092,190.68","5,282,081.75","11,869,995.04","17,943,538.58","2,796,709.12","6,428,162.24","9,970,377.52","16,878,415.59","5,101,486.40","11,669,068.92","19,860,926.66","27,764,653.41","7,532,175.31","15,445,736.67","24,329,615.37","33,910,278.72"
三、利润总额,"44,353,235.73","45,870,026.04","45,924,735.81","62,488,621.32","3,726,575.86","16,715,110.57","42,821,431.02","70,689,020.08","2,874,558.46","17,885,499.66","47,757,835.13","100,968,420.44","3,958,151.32","24,945,775.01","54,807,282.90","112,513,943.16","1,615,076.43","9,360,330.64","19,367,038.29","132,475,235.69","4,007,769.69","4,767,507.13","7,382,130.27","73,120,564.12","-28,540,188.69","-6,262,460.80","12,812,922.57","70,188,473.55","-8,145,534.24","12,197,730.84","34,796,502.04","134,436,367.12","5,527,389.59","19,736,837.32","48,178,792.56","181,908,792.78"
资产减值损失,"793,202.16","1,236,474.16","322,772.17","1,944,275.50","-4,252.61","257,375.97","1,233,744.21","771,963.47","530,249.86","255,523.00","1,669,643.56","5,487,012.62","-1,009,135.61","-610,658.39","398,598.28","3,321,723.13","-139,702.83","538,256.57","1,094,271.12","7,774,219.96","-395,995.65","-1,763,280.27","-3,192,934.72","4,145,635.89","-1,337,694.00","1,212,199.64","2,339,326.21","11,366,725.32","-1,291,561.08","-783,786.32","-631,697.15","14,319,099.68","547,911.70","-825,962.28","-5,346,623.00","10,723,785.84"
减:所得税,"3,832,473.84","3,914,067.22","6,168,377.80","5,830,855.66","729,516.72","1,650,143.15","5,731,243.27","6,283,690.35","-573,754.59","2,530,361.73","6,465,939.82","12,081,229.12","726,918.38","3,369,114.53","7,080,268.77","10,798,731.54","-2,302,191.00","-1,641,281.97","-226,827.10","5,550,593.21","-94,803.89","55,691.52","10,933.30","4,472,712.08","-5,177,485.59","-6,666,905.47","-5,873,961.57","-4,874,605.45","845,333.94","1,162,102.77","-510,224.45","-154,533.28","2,282,899.28","-710,208.15","1,665,441.04","2,568,703.69"
加:公允价值变动净收益,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-297,696.00"
加:影响净利润的其他科目,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
投资收益,,,,,,,,"-562,889.20","-607,225.16","-707,294.50","-717,783.95","2,061,710.72","-1,452,711.45","-1,386,963.24","-644,729.07","407,765.90","-434,899.27","13,723.88","-1,304,547.33","2,357,497.39","-1,099,947.99","-2,122,560.08","-5,402,262.17","1,488,215.46","-537,866.86","-1,151,621.25","144,704.35","2,682,740.35","-382,133.95","-1,302,769.25","15,484,183.95","19,402,756.87","810,714.22","2,708,642.47","2,941,384.48","7,328,754.03"
四、净利润,"40,520,761.89","41,955,958.82","39,756,358.01","56,657,765.66","2,997,059.14","15,064,967.42","37,090,187.75","64,405,329.73","3,448,313.05","15,355,137.93","41,291,895.31","88,887,191.32","3,231,232.94","21,576,660.48","47,727,014.13","101,715,211.62","3,917,267.43","11,001,612.61","19,593,865.39","126,924,642.48","4,102,573.58","4,711,815.61","7,371,196.97","68,647,852.04","-23,362,703.10","404,444.67","18,686,884.14","75,063,079.00","-8,990,868.18","11,035,628.07","35,306,726.49","134,590,900.40","3,244,490.31","20,447,045.47","46,513,351.52","179,340,089.09"
其中:对联营企业和合营企业的投资权益,,,,,,,,"-562,889.20",,"-707,294.50","-717,783.95","2,061,710.72","-1,452,711.45","-1,386,963.24","-644,729.07",,"-434,899.27","13,723.88","-1,304,547.33",,"-1,099,947.99","-2,122,560.08","-5,402,262.17","1,488,215.46","-537,866.86","-1,151,621.25","144,704.35","2,682,740.35","-382,133.95","-1,302,769.25","-1,398,229.38","600,763.54","-903,818.18","146,527.29","-380,279.20","3,817,961.79"
归属于母公司所有者的净利润,"40,520,761.89","41,955,958.82","40,113,566.11","57,296,100.73","3,345,363.35","15,766,236.25","36,294,830.34","62,187,386.98","3,495,016.62","16,558,484.41","38,249,704.48","81,252,099.13","3,621,478.82","20,401,376.43","46,422,901.45","99,730,404.53","4,028,764.97","10,834,011.94","18,665,043.13","122,180,394.93","3,731,387.78","3,397,952.28","6,033,270.97","61,202,490.99","-23,971,266.46","-2,754,883.84","12,401,830.00","63,050,115.11","-11,763,015.94","2,780,297.76","24,075,329.96","114,903,708.11","1,265,430.13","11,211,034.23","33,077,040.18","155,932,941.08"
影响营业利润的其他科目,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
少数股东损益,,,"-357,208.10","-638,335.07","-348,304.21","-701,268.83","795,357.41","2,217,942.75","-46,703.57","-1,203,346.48","3,042,190.83","7,635,092.19","-390,245.88","1,175,284.05","1,304,112.68","1,984,807.09","-111,497.54","167,600.67","928,822.26","4,744,247.55","371,185.80","1,313,863.33","1,337,926.00","7,445,361.05","608,563.36","3,159,328.51","6,285,054.14","12,012,963.89","2,772,147.76","8,255,330.31","11,231,396.53","19,687,192.29","1,979,060.18","9,236,011.24","13,436,311.34","23,407,148.01"
