科目,2007年1-3月,2007年1-6月,2007年1-9月,2007年度,2008年1-6月,2008年1-9月,2008年度,2009年1-3月,2009年1-6月,2009年1-9月,2009年度,2010年1-3月,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度
支付给职工以及为职工支付的现金,"642,486.00","1,115,422.40","1,887,105.40","2,457,338.70",,"8,128,843.18","15,155,805.64","6,920,718.42","13,104,002.59","20,549,908.76","29,405,117.28","12,190,814.21","21,059,216.89","37,432,293.62","65,899,283.27","27,226,435.27","65,271,668.98","113,134,181.01","180,707,821.85","57,667,382.37","111,955,680.08","179,012,036.02","288,768,684.07","94,465,223.08","180,084,834.65","282,782,339.18","387,927,121.08","130,391,295.02","256,134,445.08","391,885,545.95","532,653,242.81","123,781,101.41","234,152,645.40","345,490,682.95","515,764,416.65","143,652,719.11","276,464,448.01","425,828,812.23","519,486,642.34","180,719,308.33","369,933,308.42","567,145,458.78","746,438,878.15"
取得借款收到的现金,,,,,,,"140,000,000.00","76,000,000.00","96,000,000.00","116,000,000.00","416,000,000.00",,"300,000,000.00","600,000,000.00","600,000,000.00",,"912,943,900.00","1,157,002,100.00","1,646,424,455.00","750,260,059.50","1,399,607,656.50","2,044,607,656.50","2,623,453,322.84","299,130,000.00","699,130,000.00","1,605,560,000.00","3,351,839,000.00","197,150,000.00","917,150,000.00","2,003,150,000.00","2,781,950,000.00","43,995,400.00","243,995,400.00","643,995,400.00","943,995,400.00","1,354,000,000.00","1,554,000,000.00","1,954,000,000.00","1,954,000,000.00",,,,"2,000,000.00"
支付的各项税费,,,,,,"528,589.78","1,802,515.93","4,835,003.20","23,630,864.84","63,047,875.66","89,819,717.37","15,163,009.69","61,988,862.01","100,914,158.63","192,704,816.48","154,521,684.21","268,836,820.61","448,479,296.80","151,648,583.01","58,421,667.51","210,720,114.35","286,753,508.75","319,152,218.23","49,825,036.15","90,326,605.73","172,508,348.92","346,959,199.17","177,400,756.76","303,294,805.37","463,977,243.26","582,921,785.20","155,269,801.57","381,817,989.18","602,564,945.90","840,259,302.70","201,820,247.55","486,275,686.75","691,157,225.95","955,990,293.22","276,285,826.46","562,883,633.70","871,826,006.61","1,110,117,856.44"
收到其他与筹资活动有关的现金,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"69,918,851.45","70,834,214.95","69,918,851.45",,,,,"1,993,658.08","36,573,400.50","39,274,236.90","8,901,076.48","19,139,952.41","39,897,444.83","64,024,786.84","29,358,605.38"
支付其他与经营活动有关的现金,"397,762.14","791,478.72","926,273.34","881,892.11","35,188.40","3,508,438.17","6,022,032.25","100,725,837.28","16,617,848.43","26,330,051.36","10,278,014.24","9,493,818.23","50,237,774.84","128,947,905.07","66,951,353.90","63,671,301.50","132,216,574.12","236,514,632.04","51,075,307.39","107,665,006.27","165,564,688.58","279,142,223.71","74,240,782.80","37,164,420.03","97,882,646.49","174,401,694.96","138,644,777.99","60,234,852.99","91,350,787.87","133,797,829.20","155,290,137.50","26,555,560.55","82,401,585.86","117,159,784.67","182,906,876.62","39,032,429.32","69,786,910.16","106,758,691.53","192,710,087.73","49,629,024.02","106,292,485.85","178,807,934.32","200,859,660.39"
筹资活动现金流入小计,,,,,"9,135,703.04","9,135,703.04","149,135,703.04","76,000,000.00","96,000,000.00","915,782,000.00","1,216,982,000.00",,"339,200,000.00","3,618,800,000.00","3,618,800,000.00","26,320,000.00","991,177,500.00","1,235,235,700.00","1,724,650,455.00","750,260,059.50","1,399,607,656.50","2,044,607,656.50","2,623,453,322.84","299,130,000.00","699,130,000.00","1,605,560,000.00","3,351,839,000.00","3,436,749,983.11","4,314,168,834.56","5,401,084,198.06","6,176,367,458.41","81,495,400.00","331,495,400.00","731,495,400.00","4,535,061,811.63","1,355,993,658.08","1,590,573,400.50","1,993,274,236.90","1,962,901,076.48","19,139,952.41","43,240,088.39","67,367,430.40","34,701,248.94"
经营活动现金流出小计,"1,045,248.14","2,457,956.09","3,604,130.77","3,356,215.81","35,188.40","67,323,455.36","128,516,141.44","139,430,169.28","111,345,448.83","193,033,127.78","232,005,398.73","96,410,387.62","239,708,498.25","495,818,609.19","751,655,913.94","502,884,745.82","959,064,286.89","1,541,841,221.41","1,745,445,030.16","424,279,298.97","1,063,341,594.74","1,744,846,239.12","1,949,489,411.19","535,992,278.04","1,053,335,097.95","1,612,798,765.27","2,031,756,567.20","789,536,285.16","1,463,723,974.39","2,181,342,932.27","3,585,217,812.69","630,685,005.63","1,278,937,802.50","1,939,874,809.46","2,700,820,941.19","703,671,744.35","1,490,773,642.22","2,247,800,296.25","3,103,527,320.14","870,658,246.44","1,850,575,935.63","2,957,155,854.06","3,839,186,628.98"
偿还债务支付的现金,,,,,,,"10,000,000.00","158,000,000.00","158,000,000.00","178,000,000.00","218,000,000.00",,"20,000,000.00","20,000,000.00","699,330,000.00",,"79,330,000.00","158,660,000.00","158,660,000.00",,"278,330,000.00","709,330,000.00","1,057,505,666.34","260,000,000.00","859,350,000.00","1,214,267,000.00","2,810,480,000.00","671,649,992.27","681,349,992.27","1,094,799,992.27","2,081,859,000.03","310,000,000.01","801,032,111.47","1,313,258,566.47","2,070,531,326.47","13,261,420.00","308,082,340.00","621,327,431.11","735,347,520.00","12,414,755.00","127,285,795.00","539,608,710.00","710,174,863.72"
经营活动产生的现金流量净额,"-40,366.84","-56,562.90","-252,184.68","-987,155.66","8,323,631.39","24,758,013.66","73,890,110.76","95,245,784.09","131,578,060.23","182,335,926.84","253,825,648.48","402,723,526.86","488,686,761.81","554,020,820.40","302,306,867.56","478,620,322.26","1,001,451,676.84","636,184,569.19","860,666,191.86","134,197,657.01","-109,077,493.56","-227,376,577.11","404,643,430.42","222,679,873.26","255,658,271.59","494,975,948.17","765,279,143.01","-121,247,968.40","39,852,409.23","194,246,126.63","665,256,703.40","534,883,164.07","977,756,412.36","1,372,300,171.25","2,390,748,380.93","456,481,844.32","808,398,641.39","1,009,794,269.02","2,056,105,181.49","666,291,857.45","1,317,040,804.25","1,935,929,659.36","2,561,353,906.05"
分配股利、利润或偿还利息支付的现金,,,,,,"3,374,448.00","6,948,356.50","3,757,416.40","2,968,193.25","6,097,206.54","12,441,770.75","6,355,110.00","13,305,674.00","24,786,615.00","33,174,831.92","5,525,510.52","150,751,119.75","174,070,962.27","200,616,255.07","224,225,853.17","501,132,855.64","555,223,110.94","631,917,817.23","56,920,019.60","110,609,006.74","446,834,532.44","534,863,869.38","58,688,156.04","120,484,140.18","501,869,340.80","589,542,762.41","45,923,773.95","569,152,961.60","604,906,569.93","633,719,899.23","21,987,816.67","41,955,566.69","696,756,189.47","736,656,618.91","17,983,063.39","850,765,412.42","866,486,267.01","898,745,065.76"
收回投资收到的现金,,,,,,,,,,,,,,,,,"12,800,000.00","12,800,000.00","12,800,000.00",,"19,660,734.17","19,660,734.17","35,769,651.89",,,,"5,467,854.45",,,,"30,000,000.00",,,,,,,,"404,164,383.56","29,053,973.00","887,986,955.83","990,357,130.49","1,374,559,016.64"
支付其他与筹资活动有关的现金,,,,,,"7,840,000.00","14,240,000.00","1,520,000.00","1,520,000.00","1,520,000.00","5,720,000.00",,,"839,580.00","7,150,004.00",,,,"3,000,000.00",,,,,,,,"71,918,851.45","601,376.15","2,417,509.44","2,417,509.44","32,613,314.81",,,,"11,157,007.48","42,600.00","30,314,125.43","32,154,084.59","28,683,403.32","312,858.27","34,991,772.15","55,004,936.10","40,000,000.25"
取得投资收益收到的现金,,,,,,,,,,,,,,,,,,,,,"15,880,099.16","16,108,917.72",,,,"5,467,854.45",,,,,,,,"4,328,560.47","4,328,560.47",,,"4,164,383.56",,,,,
筹资活动现金流出小计,,,,,,"11,214,448.00","31,188,356.50","163,277,416.40","162,488,193.25","185,617,206.54","236,161,770.75","6,355,110.00","33,305,674.00","45,626,195.00","739,654,835.92","5,525,510.52","230,081,119.75","332,730,962.27","362,276,255.07","224,225,853.17","779,462,855.64","1,264,553,110.94","1,689,423,483.57","316,920,019.60","969,959,006.74","1,661,101,532.44","3,417,262,720.83","730,939,524.46","804,251,641.89","1,599,086,842.51","2,704,015,077.25","355,923,773.96","1,370,185,073.07","1,918,165,136.40","2,715,408,233.18","35,291,836.67","380,352,032.12","1,350,237,705.17","1,500,687,542.23","30,710,676.66","1,013,042,979.57","1,461,099,913.11","1,648,919,929.73"
处置固定资产、无形资产和其他长期资产收回的现金净额,,,"650,000.00","890,000.00",,,,,,,"133,973.08","10,000.00","22,500.00","22,500.00","13,509,276.50","2,367,766.99","2,489,391.71","2,904,018.06","131,738.37",,,,"94,784.17",,"73,819.14","269,409.16","438,014.80","26,689.65","26,689.65","2,182,496.03","8,361,031.93",,,,"229,418.00",,"6,715,826.97","6,715,826.97","6,715,826.97","12,800.00","154,269.60","174,454.50","753,868.29"
筹资活动产生的现金流量净额,,,,,"9,135,703.04","-2,078,744.96","117,947,346.54","-87,277,416.40","-66,488,193.25","730,164,793.46","980,820,229.25","-6,355,110.00","305,894,326.00","3,573,173,805.00","2,879,145,164.08","20,794,489.48","761,096,380.25","902,504,737.73","1,362,374,199.93","526,034,206.33","620,144,800.86","780,054,545.56","934,029,839.27","-17,790,019.60","-270,829,006.74","-55,541,532.44","-65,423,720.83","2,705,810,458.65","3,509,917,192.67","3,801,997,355.55","3,472,352,381.16","-274,428,373.96","-1,038,689,673.07","-1,186,669,736.40","1,819,653,578.45","1,320,701,821.41","1,210,221,368.38","643,036,531.73","462,213,534.25","-11,570,724.25","-969,802,891.18","-1,393,732,482.71","-1,614,218,680.79"
处置子公司及其他营业单位收到的现金净额,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"78,706,325.45",,"235,309,400.00","235,309,400.00","481,393,941.95",,,,,,,,
四、汇率变动对现金的影响,,,,,,"-1,991.47","-17,051.73","-15,350.73",,,,"-6,260.83","-15,149.59","-15,149.59","-1,110.93","-94,400.00","-94,400.00","-94,400.00","-1,843,888.58",,,,"229,414.23",,,,"1,552,814.93",,,,"-548,137.49","409,298.24","-36,215.36","3,805,345.18","6,338,586.89","-418,715.58","2,026,096.73","2,600,626.88","6,684,323.61","-859,000.04","-5,473,283.99","-11,387,214.35","-17,098,817.64"
收到其他与投资活动有关的现金,,,,,,,,,,,,,,,"542,340,000.00",,,,"1,030,500,400.00",,"2,940,000.00","78,554,000.00","112,854,000.00","690,000.00","137,600,000.00","170,175,000.00","209,915,000.00","27,880,000.00","41,046,400.00","75,424,400.00","515,275,027.87","20,317,000.00","24,768,000.00","24,768,000.00","6,907,000.00","242,381,368.26","451,179,868.26","854,899,868.26","513,132,179.26","300,000.00","112,855,179.69","180,971,929.66","499,060,018.50"
四(2)、其他原因对现金的影响,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
投资活动现金流入小计,,,"650,000.00","890,000.00",,,,,,,"133,973.08","10,000.00","22,500.00","22,500.00","555,849,276.50","2,367,766.99","15,289,391.71","15,704,018.06","1,043,432,138.37",,"38,480,833.33","114,323,651.89","148,718,436.06","690,000.00","137,673,819.14","175,912,263.61","215,820,869.25","27,906,689.65","41,073,089.65","77,606,896.03","632,342,385.25","20,317,000.00","260,077,400.00","264,405,960.47","492,858,920.42","242,381,368.26","457,895,695.23","865,780,078.79","924,012,389.79","29,366,773.00","1,000,996,405.12","1,171,503,514.65","1,874,372,903.43"
五、现金及现金等价物净增加额,"-40,366.84","-56,562.90","397,815.32","-123,636.92","17,459,334.43","11,971,257.52","108,551,390.78","-43,208,191.95","-4,990,817.61","742,652,303.72","909,575,798.78","-352,541,659.18","-271,861,780.31","2,548,351,788.98","886,337,496.31","-389,853,107.13","-162,248,370.30","-868,956,514.70","-450,395,547.04","358,676,161.02","-63,779,677.33","-144,815,722.93","42,797,028.37","115,590,207.07","-205,695,350.33","-575,720,907.32","-713,126,624.17","2,469,877,264.47","2,885,231,971.07","3,088,844,415.18","2,680,480,853.51","-736,513,553.27","-1,677,221,618.08","-1,778,397,753.09","1,728,239,980.96","1,455,547,653.70","1,322,006,610.51","1,109,378,982.39","811,128,570.80","-109,040,942.66","-986,694,839.91","-1,792,735,952.41","-1,321,558,191.30"
购建固定资产、无形资产和其他长期资产支付的现金,,,,,,"10,706,019.71","83,269,014.79","51,161,208.91","70,080,684.59","159,848,416.58","315,204,052.03","748,913,815.21","1,066,450,218.53","1,578,850,186.83","2,850,962,700.90","878,378,885.86","1,926,809,684.93","2,403,594,705.51","3,655,363,454.45","301,555,702.32","603,327,817.96","801,817,343.27","1,404,697,801.72","89,989,646.59","328,198,434.32","517,829,050.90","950,898,038.30","142,591,915.43","705,610,720.48","985,005,963.03","2,047,724,578.81","1,015,849,644.62","1,873,270,913.01","2,229,180,864.59","2,804,453,536.73","251,948,729.95","431,915,167.47","686,535,894.86","1,411,757,174.92","701,679,915.82","2,034,453,550.47","3,066,967,495.72","3,363,462,792.35"
期初现金及现金等价物余额,,"123,636.92","123,636.92","123,636.92",,,,"119,910,590.19","108,551,390.78","108,551,390.78","108,551,390.78","1,018,127,189.56","1,018,127,189.56","1,018,127,189.56","1,018,127,189.56","1,904,464,685.87","1,904,464,685.87","1,904,464,685.87","1,904,464,685.87","1,454,069,138.83","1,454,069,138.83","1,454,069,138.83","1,454,069,138.83","1,496,866,167.20","1,496,866,167.20","1,496,866,167.20","1,496,866,167.20","783,739,543.03","783,739,543.03","783,739,543.03","783,739,543.03","3,464,220,396.54","3,464,220,396.54","3,464,220,396.54","3,464,220,396.54","5,192,460,377.50","5,192,460,377.50","5,192,460,377.50","5,192,460,377.50","6,003,588,948.30","6,003,588,948.30","6,003,588,948.30","6,003,588,948.30"
投资支付的现金,,,,,,,,,,"10,000,000.00","10,000,000.00",,,,,"13,162,400.00","13,181,734.17","19,660,734.17","59,660,734.17",,"10,000,000.00","10,000,000.00","40,126,289.89",,,"673,238,535.76","549,478,735.76",,,,,"1,844,997.00","3,058,629.00","3,058,629.00",,,,,"880,000,000.00","90,589,933.00","295,002,323.64","395,502,323.64","729,925,100.00"
期末现金及现金等价物余额,"-40,366.84","67,074.02","521,452.24",,"17,459,334.43","11,971,257.52","108,551,390.78","76,702,398.24","103,560,573.17","851,203,694.50","1,018,127,189.56","665,585,530.38","746,265,409.25","3,566,478,978.54","1,904,464,685.87","1,514,611,578.74","1,742,216,315.57","1,035,508,171.17","1,454,069,138.83","1,812,745,299.85","1,390,289,461.50","1,309,253,415.90","1,496,866,167.20","1,612,456,374.27","1,291,170,816.87","921,145,259.88","783,739,543.03","3,253,616,807.50","3,668,971,514.10","3,872,583,958.21","3,464,220,396.54","2,727,706,843.27","1,786,998,778.46","1,685,822,643.45","5,192,460,377.50","6,648,008,031.20","6,514,466,988.01","6,301,839,359.89","6,003,588,948.30","5,894,548,005.64","5,016,894,108.39","4,210,852,995.89","4,682,030,757.00"
