科目,2007-12-31,2008-12-31,2009-06-30,2009-09-30,2009-12-31,2010-03-31,2010-06-30,2010-09-30,2010-12-31,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30
流动资产合计,"160,658,582.67","223,553,346.04","260,675,367.34","956,157,125.59","1,043,691,983.43","1,105,346,974.18","1,062,010,270.73","1,081,224,628.30","1,198,622,211.33","1,109,238,309.32","1,188,235,882.15","1,195,631,051.60","1,348,843,976.37","1,245,325,924.68","1,232,857,523.54","1,596,934,491.22","1,858,934,003.44","1,552,052,912.34","1,520,443,183.06","1,640,797,491.62","1,837,476,173.82","1,778,178,727.14","1,978,355,104.27","2,622,806,724.81","3,272,177,376.58","3,598,603,467.94","5,159,898,516.95","5,235,672,332.53","6,215,433,176.68","5,717,367,620.49","5,868,660,023.38","6,323,677,803.45","6,146,323,358.99","6,113,144,780.78","8,262,516,573.47","9,602,192,569.37","11,117,408,245.30","11,488,754,637.85","12,143,873,403.48"
流动负债合计,"102,537,924.42","95,958,041.64","95,855,118.50","151,710,459.51","217,183,333.19","226,375,791.46","237,402,553.22","228,811,441.12","380,017,911.93","282,056,132.90","304,245,712.61","273,439,367.64","365,905,367.86","292,107,435.65","296,744,437.43","627,628,533.06","827,288,524.36","471,306,545.10","433,020,488.35","462,098,959.29","724,544,029.04","590,509,416.83","777,435,873.35","1,403,043,559.39","1,983,577,394.42","2,307,769,499.18","2,634,956,416.02","2,671,140,897.14","3,709,041,061.77","3,283,763,655.19","3,132,638,781.19","3,409,034,087.79","3,515,671,448.76","3,406,333,451.33","5,554,615,959.96","6,726,675,065.18","8,444,829,916.99","8,906,506,124.05","9,343,264,203.53"
可供出售金融资产,,,,,,,,,,,,,,,,,,,,,,,,"126,730,000.00","127,530,500.00","129,030,500.00","141,031,500.00","155,881,500.00","258,881,500.00","280,281,500.00","264,230,000.00","227,430,825.00","546,059,457.55","560,360,325.04","465,645,785.83","567,121,156.09","551,281,383.39","651,109,301.02","651,339,000.57"
长期借款,"31,593,562.22","29,126,459.58",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"12,000,000.00","6,000,000.00",,,"174,279,305.98"
持有至到期投资,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应付债券,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
长期应收款,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
长期应付款,,,,,,,,,,,,,,,,,,,,,,,,,"44,840,000.00","44,840,000.00","44,840,000.00","44,840,000.00","44,840,000.00","44,840,000.00","82,633,958.40","82,633,958.40",,,,,,,
长期股权投资,,,,,,,"57,000,192.92","57,520,815.73","59,133,637.30","66,435,654.02","66,730,977.76","67,746,157.04","69,355,360.67","69,165,875.87","69,504,279.04","12,070,000.00","12,070,000.00","12,070,000.00","33,350,000.00","55,630,000.00","55,630,000.00","55,630,000.00","57,430,000.00",,,,,"3,750,000.00","18,622,835.24","28,725,755.94","31,582,252.03","30,195,296.51","32,215,803.16","30,618,419.62","28,484,794.67","29,252,044.88","27,667,288.27","23,587,125.10","53,910,753.02"
专项应付款,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
