科目,2012年度,2013年度,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度
收回投资收到的现金,,,,,,,,,,,"677,000,000.00","60,000,000.00","293,973,918.21","293,990,679.24","491,150,287.24"
支付其他与筹资活动有关的现金,,,,,,,"9,235,000.00",,"74,142.33","74,142.33","150,000.00","300,000.00","300,000.00","300,000.00","1,570,500.00"
取得投资收益收到的现金,,,,,,,,,,,"636,089.05","2,096,908.74","2,498,165.75","2,498,165.75","4,001,924.65"
筹资活动现金流出小计,"163,691,088.89","141,780,392.00","142,831,096.24",,"121,739,691.10","121,985,791.10","152,556,216.09","51,626,538.89","299,417,881.22","319,576,656.22","319,652,513.89","300,000.00","135,944,625.00","226,492,725.00","227,763,225.00"
处置固定资产、无形资产和其他长期资产收回的现金净额,"7,709,852.79","492,642.15","227,595.00",,"359,548.03","10,421,666.81","578,636.27","16,440.00","76,718.00","214,329.45","2,046,819.40","9,986.95","518,368.53","259,051.41","889,765.33"
筹资活动产生的现金流量净额,"-82,691,088.89","-87,530,392.00","-122,831,096.24","-11,224,900.00","-31,739,691.10","-31,985,791.10","511,817,159.91","-51,626,538.89","-279,417,881.22","-299,576,656.22","-299,652,513.89","-300,000.00","-45,944,625.00","-136,492,725.00","583,276,775.00"
处置子公司及其他营业单位收到的现金净额,,,,,,,,,,,,,,,
四、汇率变动对现金的影响,,,,,,,,,,,,,,,
收到其他与投资活动有关的现金,,,,,,,,,,,,,,,
四(2)、其他原因对现金的影响,,,,,,,,,,,,,,,
投资活动现金流入小计,"7,709,852.79","492,642.15","227,595.00",,"359,548.03","10,421,666.81","578,636.27","16,440.00","76,718.00","214,329.45","679,682,908.45","62,106,895.69","296,990,452.49","296,747,896.40","496,041,977.22"
五、现金及现金等价物净增加额,"46,594,632.30","34,474,073.49","-61,615,400.59",,"33,677,023.38","71,000,919.84","623,798,944.31","-21,437,043.39","-224,627,405.87","-174,603,833.59","-293,777,551.66","-163,594,792.68","15,494,941.91","55,122,354.11","918,572,682.89"
购建固定资产、无形资产和其他长期资产支付的现金,"128,327,890.54","197,292,118.56","258,396,100.61",,"115,457,323.17","193,217,015.56","316,032,358.02","95,483,393.29","198,081,749.76","321,776,906.34","436,300,351.46","126,721,636.94","260,787,558.86","345,037,889.48","396,673,729.76"
期初现金及现金等价物余额,"91,685,397.71","138,280,030.01","172,754,103.50",,"111,138,702.91","111,138,703.21","111,138,702.91","734,937,647.22","734,937,647.22","734,937,647.22","734,937,647.22","441,160,095.56","441,160,095.56","441,160,095.56","441,160,095.56"
投资支付的现金,,,,,,,,,,,"757,000,000.00","210,136,173.00","220,059,978.00","220,059,978.00","417,219,586.00"
期末现金及现金等价物余额,"138,280,030.01","172,754,103.50","111,138,702.91",,"144,815,726.29","182,139,623.05","734,937,647.22","713,500,603.83","510,310,241.35","560,333,813.63","441,160,095.56","277,565,302.88","456,655,037.47","496,282,449.67","1,359,732,778.45"
