科目,2010年度,2011年度,2012年1-9月,2012年度,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月
支付给职工以及为职工支付的现金,"183,355,953.10","229,663,897.46","231,369,055.45","307,266,987.14","226,528,469.55","340,185,640.37","426,519,608.51","185,789,114.40","291,867,743.74","426,278,011.60","497,562,615.95","200,774,023.48","312,871,472.78","433,591,388.94","553,368,989.99","204,752,891.15","323,392,764.12","521,535,667.58","593,451,326.45","227,704,204.71","387,321,803.72","512,918,506.62","678,506,529.25","248,006,070.42"
取得借款收到的现金,"150,000,000.00",,,,,,,,,,,,,,,,,,,,,,,"13,400,000.00"
支付的各项税费,"414,242,221.67","590,321,208.24","592,266,054.41","779,038,742.25","578,430,234.16","773,714,506.48","1,024,900,192.31","314,225,022.32","623,668,697.61","886,325,696.62","1,174,125,207.95","334,586,081.58","656,897,640.33","970,926,034.67","1,379,056,518.92","406,348,215.91","790,601,216.96","1,165,774,126.28","1,485,187,202.12","474,678,377.70","947,908,825.19","1,460,203,800.45","1,912,631,967.35","573,734,009.80"
收到其他与筹资活动有关的现金,,,,,,,,,,,"115,873,800.00",,,,,,,,,,,,,
支付其他与经营活动有关的现金,"496,010,692.94","614,759,480.90","478,571,970.02","640,552,536.57","336,244,002.46","489,894,161.10","678,333,119.81","198,410,802.07","354,003,554.90","503,621,836.32","799,021,684.99","268,901,197.39","454,466,044.92","689,111,377.91","978,617,703.42","324,054,064.65","623,817,791.55","809,532,151.62","1,262,763,302.50","444,745,754.22","706,507,793.39","1,046,574,713.00","1,515,275,578.22","446,466,490.83"
筹资活动现金流入小计,"398,850,000.00",,,,,,,"1,855,109,375.00","1,856,109,375.00","1,856,109,375.00","1,971,983,175.00",,,,,,,,,,,,,"13,400,000.00"
经营活动现金流出小计,"5,445,371,250.73","6,040,533,045.43","5,143,209,270.94","6,973,779,810.50","4,111,837,712.92","5,910,014,909.97","7,995,865,889.51","2,333,543,009.65","4,313,505,734.91","6,479,934,764.23","9,135,171,397.37","2,621,344,877.14","4,710,458,818.88","7,120,190,003.80","10,153,079,948.05","2,869,018,769.28","5,344,696,106.95","8,028,043,473.34","11,208,190,620.47","3,552,495,005.52","6,598,253,927.49","9,785,113,993.01","13,300,956,805.26","3,420,928,016.11"
偿还债务支付的现金,"213,104,884.58",,,,,,,,,"53,500,000.00","53,500,000.00",,,,,,,,,,"3,985,323.93","12,385,323.93","17,385,323.93",
经营活动产生的现金流量净额,"1,051,796,524.43","1,171,975,148.85","601,838,249.02","2,171,135,232.51","-346,696,302.35","183,117,813.09","1,930,187,429.41","-403,575,553.79","107,748,004.43","632,529,668.18","2,739,330,825.61","-581,478,915.89","134,255,524.03","647,295,237.14","2,194,831,656.35","224,742,721.30","1,046,686,729.60","1,762,538,102.28","4,074,050,747.76","-92,958,672.85","1,009,666,669.12","2,109,758,219.55","4,720,977,581.77","453,960,848.63"
分配股利、利润或偿还利息支付的现金,"694,992,221.09","398,871,000.00","634,212,000.00","634,212,000.00","746,550,000.00","1,350,900,000.00","1,350,900,000.00",,"374,250,000.00","374,250,000.00","374,250,000.00",,"1,278,043,000.00","1,278,043,000.00","1,278,043,000.00",,"1,623,747,600.00","1,623,747,600.00","1,623,747,600.00",,"1,839,366,476.00","1,839,366,476.00","1,839,366,476.00",
收回投资收到的现金,"1,966,715,946.70","50,774,491.22",,,"157,569,660.00","157,569,660.00","157,569,660.00",,,,,"1,200,000,000.00","1,800,000,000.00","1,800,000,000.00","2,700,000,000.00","500,000,000.00","3,100,000,000.00","3,600,000,000.00","4,070,828,212.48","1,600,000,000.00","2,535,000,000.00","3,089,000,000.00","5,009,000,000.00","2,505,500,000.00"
支付其他与筹资活动有关的现金,"388,517,459.46","3,927,161.89","3,217,317.29","3,660,700.37","1,711,738.29","3,408,344.38","3,390,230.38","2,316,210.54","6,875,168.54","6,875,168.54","6,875,168.54",,,"1,843,600.00","1,843,600.00",,,,"11,283,502.22",,,,,
取得投资收益收到的现金,,,,,,,,,,,,,"36,121,350.84","50,271,960.88","70,568,046.26","17,635,791.32","42,009,254.77","60,117,627.84","87,079,359.19","34,536,998.48","79,128,963.24","127,677,906.13","143,663,576.00","63,126,888.06"
筹资活动现金流出小计,"1,296,614,565.13","402,798,161.89","637,429,317.29","637,872,700.37","748,261,738.29","1,354,308,344.38","1,354,290,230.38","2,316,210.54","381,125,168.54","434,625,168.54","434,625,168.54",,"1,278,043,000.00","1,279,886,600.00","1,279,886,600.00",,"1,623,747,600.00","1,623,747,600.00","1,635,031,102.22",,"1,843,351,799.93","1,851,751,799.93","1,856,751,799.93",
处置固定资产、无形资产和其他长期资产收回的现金净额,"1,934,905.73","24,657,741.80","2,461,927.69","3,652,678.69","151,251,654.03","151,495,281.47","171,577,839.96","66,504,212.38","71,361,566.75","73,863,620.93","69,833,831.47",170.94,"93,687.68","1,559,742.30","779,989.03","17,982.90","17,982.90","71,289.66","91,588.39","226,025.66","7,037,240.16","1,618,393.73","3,385,784.03","165,982.85"
筹资活动产生的现金流量净额,"-897,764,565.13","-402,798,161.89","-637,429,317.29","-637,872,700.37","-748,261,738.29","-1,354,308,344.38","-1,354,290,230.38","1,852,793,164.46","1,474,984,206.46","1,421,484,206.46","1,537,358,006.46",,"-1,278,043,000.00","-1,279,886,600.00","-1,279,886,600.00",,"-1,623,747,600.00","-1,623,747,600.00","-1,635,031,102.22",,"-1,843,351,799.93","-1,851,751,799.93","-1,856,751,799.93","13,400,000.00"
处置子公司及其他营业单位收到的现金净额,,,,,,,,,,,,,,,,,,,,,,,,
四、汇率变动对现金的影响,"-3,073.31","-18,504.52","3,132.31",-44.12,"-110,655.65","-7,561.84","-10,392.25","-2,609.69","1,437.23","1,191.38",486.00,,,,,,,,,,,,,
收到其他与投资活动有关的现金,"16,458,053.46","7,282,362.10","8,289,521.23","11,335,073.10","11,401,602.64","14,710,437.95","17,568,510.11","6,968,126.90","13,759,105.64","18,678,697.03","40,444,239.92","21,907,290.49","38,464,771.27","47,425,974.39","56,696,196.64","12,868,357.88","20,782,347.81","28,188,654.88","43,068,449.60","21,732,795.98","43,876,902.66","58,448,342.78","82,091,430.85","17,097,962.44"
四(2)、其他原因对现金的影响,,,,,,,,,,,,,,,,,,,,,,,,
投资活动现金流入小计,"1,985,108,905.89","82,714,595.12","10,751,448.92","14,987,751.79","320,222,916.67","323,775,379.42","346,716,010.07","73,472,339.28","85,120,672.39","92,542,317.96","110,278,071.39","1,221,907,461.43","1,874,679,809.79","1,899,257,677.57","2,828,044,231.93","530,522,132.10","3,162,809,585.48","3,688,377,572.38","4,201,067,609.66","1,656,495,820.12","2,665,043,106.06","3,276,744,642.64","5,238,140,790.88","2,585,890,833.35"
五、现金及现金等价物净增加额,"71,486,279.69","251,902,641.29","-377,522,181.92","919,223,380.41","-1,188,291,701.37","-1,591,759,071.64","-91,052,810.72","1,342,836,857.61","-306,191,939.43","-349,021,409.61","1,671,360,520.35","451,025,315.78","-829,798,023.17","-774,649,554.66","597,208,071.14","-217,063,965.53","-1,712,690,549.61","-1,446,333,509.15","681,192,202.39","-124,988,100.65","-2,289,756,430.22","-2,224,926,514.41","404,678,058.69","178,230,784.41"
购建固定资产、无形资产和其他长期资产支付的现金,"831,944,114.07","549,970,436.27","352,685,694.88","471,457,199.40","413,445,921.75","744,336,357.93","1,013,655,627.57","179,850,482.65","394,235,654.94","674,578,793.59","881,597,421.73","189,403,229.76","360,690,356.99","541,315,869.37","744,281,217.14","272,328,818.93","428,439,264.69","643,501,583.81","788,066,840.33","73,864,654.64","125,453,812.20","234,016,983.40","262,027,920.76","58,749,897.57"
期初现金及现金等价物余额,"1,067,374,888.04","1,138,861,167.73",,"1,390,763,809.02","2,309,987,189.43",,"2,309,987,189.43","2,218,934,378.71","2,218,934,378.71","2,218,934,378.71","2,218,934,378.71","3,890,294,899.06","3,890,294,899.06","3,890,294,899.06","3,890,294,899.06","4,487,502,970.20","4,487,502,970.20","4,487,502,970.20","4,487,502,970.20","5,168,695,172.59","5,168,695,172.59","5,168,695,172.59","5,168,695,172.59","5,573,373,231.28"
投资支付的现金,"1,221,076,000.00","50,000,000.00",,"157,569,660.00",,,,,"1,500,000,000.00","1,821,000,000.00","1,800,000,000.00",,"1,200,000,000.00","1,500,000,000.00","2,400,000,000.00","700,000,000.00","3,870,000,000.00","4,630,000,000.00","5,170,828,212.48","1,600,000,000.00","3,969,000,000.00","5,499,000,000.00","7,409,000,000.00","2,803,500,000.00"
期末现金及现金等价物余额,"1,138,861,167.73","1,390,763,809.02",,"2,309,987,189.43","1,121,695,488.06",,"2,218,934,378.71","3,561,771,236.32","1,912,742,439.28","1,869,912,969.10","3,890,294,899.06","4,341,320,214.84","3,060,496,875.89","3,115,645,344.40","4,487,502,970.20","4,270,439,004.67","2,774,812,420.59","3,041,169,461.05","5,168,695,172.59","5,043,707,071.94","2,878,938,742.37","2,943,768,658.18","5,573,373,231.28","5,751,604,015.69"
