科目,2011年度,2012年度,2013年度,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月,2018年1-9月,2018年度,2019年1-3月
支付给职工以及为职工支付的现金,"34,720,070.62","39,412,328.44","44,319,897.24","27,513,276.20","39,559,638.83","52,879,304.29","17,627,335.74","29,966,476.23","41,951,847.28","55,122,411.16","14,496,338.17","28,692,522.00","44,020,965.14","60,211,084.00","20,343,086.80","36,256,430.43","53,174,542.54","71,736,192.06","22,761,033.56","40,084,008.10","60,191,686.69","82,970,586.24","26,761,713.42"
取得借款收到的现金,"30,000,000.00","30,000,000.00","60,000,000.00","10,000,000.00","20,000,000.00","20,000,000.00",,,,,,"2,000,000.00","2,000,000.00","2,000,000.00","2,000,000.00","2,000,000.00","2,000,000.00","2,000,000.00",,,,,
支付的各项税费,"36,185,372.06","32,276,214.76","28,532,834.73","11,776,761.01","19,826,865.43","21,800,067.59","6,944,119.73","11,790,282.97","10,552,493.63","12,573,784.57","2,506,215.89","5,286,225.58","10,160,912.70","13,604,054.14","1,985,196.02","11,084,760.89","14,740,119.06","18,523,881.95","11,305,548.48","19,468,320.94","24,372,413.98","26,252,681.10","5,030,913.43"
收到其他与筹资活动有关的现金,,,,,,,,,,,,,,,,,,,,,,,
支付其他与经营活动有关的现金,"19,939,258.82","23,898,441.65","21,911,041.53","9,873,136.34","16,932,111.14","20,195,169.62","5,861,089.60","11,520,597.52","22,816,787.98","21,745,362.83","7,682,317.73","12,325,590.54","17,713,261.34","23,712,241.13","8,656,224.88","14,124,915.43","23,335,893.65","26,684,288.13","11,797,213.34","20,759,864.09","29,985,976.78","31,132,541.92","10,777,960.81"
筹资活动现金流入小计,"30,000,000.00","30,000,000.00","60,000,000.00","10,000,000.00","20,000,000.00","156,636,962.28",,"3,560,000.00","4,300,000.00","4,520,000.00",,"2,000,000.00","2,000,000.00","2,000,000.00","2,000,000.00","2,000,000.00","2,000,000.00","2,000,000.00",,,,"4,820,000.00",
经营活动现金流出小计,"168,941,009.33","148,418,153.26","152,574,264.07","71,551,689.80","131,426,415.94","177,116,923.74","53,328,598.93","95,198,881.57","143,066,795.64","168,450,588.56","43,070,354.94","82,278,995.27","119,939,576.81","170,057,196.41","57,624,101.88","115,765,952.01","174,558,363.78","218,334,391.40","76,409,155.41","148,623,038.13","221,580,328.41","259,987,779.73","89,584,234.46"
偿还债务支付的现金,"42,900,000.00","30,000,000.00","30,000,000.00","20,000,000.00","30,000,000.00","80,000,000.00",,,,,,,,,"2,000,000.00","2,000,000.00","2,000,000.00","2,000,000.00",,,,,
经营活动产生的现金流量净额,"50,811,173.05","45,988,369.85","46,020,966.08","13,694,235.09","5,172,176.39","28,078,600.85","-19,975,166.08","-20,270,983.46","-27,048,656.34","-10,277,969.55","8,309,391.67","27,674,110.89","63,303,291.03","77,330,626.71","10,408,623.08","20,372,263.28","47,939,560.97","56,231,563.26","-3,807,815.54","30,568,477.74","43,438,425.42","88,626,264.42","-28,537,161.96"
分配股利、利润或偿还利息支付的现金,"1,550,183.70","22,619,064.83","24,664,738.75","15,055,363.04","16,539,883.34","16,158,946.37",,"15,620,321.09","16,005,505.83","15,621,200.00","1,072.48","8,590,826.04","8,824,912.04","8,697,807.78","36,488.53","8,653,316.55","8,835,037.16","8,692,217.83","11,770.76","12,018,044.74","11,990,912.91","12,000,000.00","10,408.62"
收回投资收到的现金,,,,"81,000,000.00","125,000,000.00","103,040,000.00","18,000,000.00","199,000,000.00","258,800,000.00","393,950,000.00","100,600,000.00","214,800,000.00","322,800,000.00","428,150,000.00","74,900,000.00","132,950,000.00","165,650,001.00","189,850,000.00","25,900,000.00","59,200,000.00","100,650,000.00","130,550,000.00","35,550,000.00"
支付其他与筹资活动有关的现金,,,,,,,"1,066,049.97","1,066,049.97","1,066,049.97",,,,,,,,,,,,,,
取得投资收益收到的现金,,,,"328,767.11","392,690.37","652,622.97","23,191.23","1,351,096.96","2,063,220.05","2,530,007.37","562,422.80","1,181,270.79","1,592,014.17","1,850,374.53","214,639.21","432,452.14","558,168.28","554,636.88","33,791.50","59,799.66","107,813.21","122,774.14","37,043.03"
筹资活动现金流出小计,"44,450,183.70","52,619,064.83","54,664,738.75","35,055,363.04","46,539,883.34","96,158,946.37","1,066,049.97","16,686,371.06","17,071,555.80","15,621,200.00","1,072.48","8,590,826.04","8,824,912.04","8,697,807.78","2,036,488.53","10,653,316.55","10,835,037.16","10,692,217.83","11,770.76","12,018,044.74","11,990,912.91","12,000,000.00","10,408.62"
处置固定资产、无形资产和其他长期资产收回的现金净额,"94,329.33","1,961.54","118,665.22",,"6,000.00","130,636.10","112,500.00","122,500.00","122,500.00","89,266.99",,"15,060.00","35,060.00","89,328.85",,,"62,000.00","61,077.44","38,000.00","38,000.00","62,430.44","94,162.00",
筹资活动产生的现金流量净额,"-14,450,183.70","-22,619,064.83","5,335,261.25","-25,055,363.04","-26,539,883.34","60,478,015.91","-1,066,049.97","-13,126,371.06","-12,771,555.80","-11,101,200.00","-1,072.48","-6,590,826.04","-6,824,912.04","-6,697,807.78","-36,488.53","-8,653,316.55","-8,835,037.16","-8,692,217.83","-11,770.76","-12,018,044.74","-11,990,912.91","-7,180,000.00","-10,408.62"
处置子公司及其他营业单位收到的现金净额,,,,,,,,,,,,,,,,1.00,1.00,,,,,,
四、汇率变动对现金的影响,,,,,,,,,,,,,,,,,,"-3,688.77",,,,"19,411.51",
收到其他与投资活动有关的现金,,"2,149,735.50","2,149,735.50",,"253,391.82",,,"253,391.82","506,783.64",,"3,231,226.00","3,484,617.82","3,484,617.82",,"2,909,404.52","2,916,403.94","6,778,641.58","2,909,404.52",,"980,761.82","3,447,047.82",,"2,288,370.40"
四(2)、其他原因对现金的影响,,,,,,,,,,,,,,,,,,,,,,,
投资活动现金流入小计,"94,329.33","2,151,697.04","2,268,400.72","81,328,767.11","125,652,082.19","103,823,259.07","18,135,691.23","200,726,988.78","261,492,503.69","396,569,274.36","104,393,648.80","219,480,948.61","327,911,691.99","430,089,703.38","78,024,043.73","136,298,857.08","173,048,811.86","193,375,118.84","25,971,791.50","60,278,561.48","104,267,291.47","130,766,936.14","37,875,413.43"
五、现金及现金等价物净增加额,"-33,655,904.63","-32,844,868.26","18,112,659.77","-17,067,870.03","-25,109,544.22","79,174,481.90","-25,008,958.82","-67,966,860.36","-78,037,612.68","-117,808,489.83","584,033.78","24,212,653.12","48,777,332.64","59,562,933.38","1,236,441.68","8,875,772.29","35,760,175.69","33,925,364.59","-5,671,272.87","17,885,203.32","34,304,054.01","56,952,850.62","-14,700,240.29"
购建固定资产、无形资产和其他长期资产支付的现金,"65,811,752.31","58,365,870.32","35,511,968.28","6,035,509.19","4,379,222.74","10,165,393.93","4,103,434.00","33,425,213.88","36,952,519.75","42,548,594.64","1,372,830.47","10,106,476.60","27,567,634.60","39,600,184.41","16,176,363.60","19,958,658.52","23,809,786.98","36,501,263.18","4,838,478.07","6,258,791.16","7,275,749.97","13,529,761.45","1,624,130.94"
期初现金及现金等价物余额,"100,508,352.17","66,852,447.54","34,007,579.28","52,120,239.05","52,120,239.05","52,120,239.05","131,294,720.95","131,294,720.95","131,294,720.95","131,294,720.95","13,486,231.12","13,486,231.12","13,486,231.12","13,486,231.12","73,049,164.50","73,049,164.50","73,049,164.50","73,049,164.50","106,974,529.09","106,974,529.09","106,974,529.09","106,974,529.09","163,927,379.71"
投资支付的现金,,,,"81,000,000.00","125,000,000.00","103,040,000.00","18,000,000.00","199,000,000.00","259,841,000.00","450,450,000.00","110,700,000.00","206,200,000.00","308,000,000.00","398,650,000.00","68,500,000.00","116,350,000.00","149,750,000.00","170,450,000.00","22,900,000.00","54,600,000.00","94,050,000.00","141,750,000.00","22,400,000.00"
期末现金及现金等价物余额,"66,852,447.54","34,007,579.28","52,120,239.05","35,052,369.02","27,010,694.83","131,294,720.95","106,285,762.13","63,327,860.59","53,257,108.27","13,486,231.12","14,070,264.90","37,698,884.24","62,263,563.76","73,049,164.50","74,285,606.18","81,924,936.79","108,809,340.19","106,974,529.09","101,303,256.22","124,859,732.41","141,278,583.10","163,927,379.71","149,227,139.42"
