科目,2013-12-31,2014-12-31,2015-12-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30
递延所得税负债,,,,,,,,,
在建工程,,,,,,,"25,910.38","41,935.21","267,743.90"
其他非流动负债,,,,,,,,,
工程物资,,,,,,,,,
非流动负债合计,"17,306,492.44","15,502,768.06","14,863,375.06","14,256,259.17","13,570,219.12","13,059,041.24","11,802,257.68","10,242,285.50","10,049,097.70"
固定资产清理,,,,,,,,,
负债合计,"110,225,537.36","131,444,195.25","103,552,750.99","78,454,365.51","92,659,158.39","135,437,705.93","114,629,960.90","105,048,823.34","93,955,372.55"
生产性生物资产,,,,,,,,,
实收资本(或股本),"41,668,540.00","41,668,540.00","41,668,540.00","41,668,540.00","41,668,540.00","55,668,540.00","55,668,540.00","55,668,540.00","55,668,540.00"
油气资产,,,,,,,,,
资本公积,"43,519,243.17","43,519,243.17","43,519,243.17","43,519,243.17","43,519,243.17","198,381,648.91","198,381,648.91","198,381,648.91","198,381,648.91"
无形资产,"13,009,984.24","11,796,474.99","10,572,168.41","9,849,964.35","9,576,027.55","9,317,275.93","8,933,396.11","8,549,516.29","8,191,569.80"
盈余公积,"16,025,143.10","19,521,311.47","23,323,582.38","23,323,582.38","23,323,582.38","27,703,260.98","27,703,260.98","27,703,260.98","27,703,260.98"
开发支出,,,,,,,,,
减:库存股,,,,,,,,,
商誉,,,,,,,,,
未分配利润,"109,618,822.38","128,643,051.35","146,277,045.10","154,248,484.01","161,862,257.05","185,472,793.98","158,251,135.20","164,408,301.57","174,474,068.81"
长期待摊费用,,,,,,,,,
少数股东权益,,,,,,,,"4,888,791.00","4,812,233.31"
递延所得税资产,"5,463,355.20","5,864,994.83","6,826,012.38","7,213,615.69","7,417,827.75","6,615,622.49","6,466,604.91","6,267,355.20","6,064,809.32"
外币报表折算价差,,,,,,,,,
其他非流动资产,,,,,,,,,
非正常经营项目收益调整,,,,,,,,,
非流动资产合计,"45,744,364.55","45,809,204.84","44,005,648.75","43,033,823.62","42,281,114.49","41,041,346.10","39,882,895.77","62,139,038.51","67,095,632.69"
所有者权益(或股东权益)合计,"210,831,748.65","233,352,145.99","254,788,410.65","262,759,849.56","270,373,622.60","467,226,243.87","440,004,585.09","451,050,542.46","461,039,752.01"
资产总计,"321,057,286.01","364,796,341.24","358,341,161.64","341,214,215.07","363,032,780.99","602,663,949.80","554,634,545.99","556,099,365.80","554,995,124.56"
负债和所有者(或股东权益)合计,"321,057,286.01","364,796,341.24","358,341,161.64","341,214,215.07","363,032,780.99","602,663,949.80","554,634,545.99","556,099,365.80","554,995,124.56"
