科目,2007年度,2008年度,2009年1-6月,2009年度,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月
支付的各项税费,"62,638,358.38","71,012,693.45","5,381,963.97","29,544,790.75","32,183,084.62","42,238,735.33","58,801,968.60","17,541,010.68","24,279,101.46","65,423,282.27","74,109,577.78","49,744,811.76","66,934,212.36","108,528,746.15","145,903,259.50","59,107,719.75","72,931,048.47","81,932,376.70","148,386,392.61","51,474,030.75","65,563,729.78","102,147,529.20","151,895,954.67","26,578,278.95","60,928,398.77","70,190,958.47","108,933,081.36","11,458,083.92","19,170,224.97","26,334,282.43","34,696,388.70","15,297,142.09","20,728,339.93","28,973,462.89","43,291,570.92","18,160,941.76","26,813,965.66"
收到其他与筹资活动有关的现金,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
支付其他与经营活动有关的现金,"77,169,440.90","57,969,245.01","18,839,089.49","52,095,911.94","22,593,561.18","32,108,913.28","62,126,909.34","16,058,076.46","36,097,558.79","34,133,005.25","64,372,888.70","70,003,939.86","116,951,037.05","149,138,015.03","69,299,535.85","40,996,029.20","97,859,237.43","108,520,410.79","118,500,925.61","31,958,719.15","94,961,463.37","153,395,172.95","86,444,543.97","27,120,545.75","33,012,237.48","58,058,022.93","91,151,374.88","17,509,508.81","37,297,394.80","57,086,416.75","96,399,137.74","15,929,349.70","35,769,032.64","55,284,421.98","73,815,414.57","12,683,098.27","21,794,608.23"
筹资活动现金流入小计,"10,000,000.00","38,000,000.00",,,,"1,116,500,000.00","1,116,519,759.25","4,655,000.00","4,655,000.00","4,655,000.00","9,500,000.00",,"4,802,000.00","4,802,000.00","20,302,000.00",,"5,700,000.00","5,700,000.00","5,700,000.00",,,,,,,,,,,,,,,,,,
经营活动现金流出小计,"375,538,827.98","381,476,425.90","116,429,170.41","317,496,609.52","168,091,537.83","271,316,938.51","432,809,526.72","130,778,723.64","280,474,715.71","451,623,380.63","660,313,121.94","241,496,350.20","505,007,917.56","763,475,478.53","1,026,239,813.79","282,510,826.98","590,864,680.97","946,107,411.57","1,347,964,413.90","402,095,589.28","819,843,167.40","1,227,498,935.83","1,499,500,059.49","367,065,750.57","654,446,908.53","889,823,110.36","1,120,315,872.23","195,248,413.46","365,440,977.56","534,856,781.58","737,342,504.22","155,554,398.07","313,617,080.29","469,098,655.06","657,410,858.59","156,118,466.81","295,099,947.95"
偿还债务支付的现金,"30,000,000.00","38,000,000.00",,,,,,,,,,,,,,,"5,000,000.00","5,000,000.00","10,700,000.00",,,,,,,,,,,,,,,,,,
经营活动产生的现金流量净额,"77,495,800.91","54,806,889.86","66,749,621.88","52,191,779.40","9,188,427.60","22,423,979.91","55,658,188.84","-47,780,329.57","-87,253,077.65","-118,750,004.23","-136,027,083.90","-32,368,560.82","63,728,613.77","82,367,203.28","90,584,608.72","-131,969,867.96","-37,964,864.64","-41,627,991.61","103,061,354.81","-132,805,395.73","-190,079,676.78","-208,427,478.08","-137,975,161.38","-45,186,586.18","-9,927,491.87","-2,300,559.67","40,311,478.22","25,373,032.56","98,835,045.09","85,218,729.50","226,171,687.39","-24,097,121.35","-80,099,320.79","-98,084,318.90","-73,553,267.42","-1,873,299.19","40,608,187.29"
分配股利、利润或偿还利息支付的现金,"7,670,511.04","10,102,146.70",,,,,,,"8,870,322.73","8,580,000.00","8,580,000.00",,"12,870,000.00","12,870,000.00","17,820,000.00","77,000.00","7,292,642.33","23,416,294.33","28,805,120.33",,"12,357,000.00","34,749,000.00","42,768,000.00",,"20,528,640.00","20,528,640.00","20,528,640.00",,,,,,,,,,
收回投资收到的现金,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"553,000,000.00","2,732,477.00","690,732,477.00","825,732,477.00","2,136,732,477.00",,"763,000,000.00"
支付其他与筹资活动有关的现金,,,,,,"3,937,796.93","7,628,500.00","350,000.00","137,361.26","428,067.23","427,683.99",,"137,577.61","137,577.61","484,178.67",,"83,462.04","83,462.04","1,055,035.73",,"263,446.95","263,446.95","263,446.95",,"28,390.93","28,390.93","29,638.36",,,,,,,,,,
取得投资收益收到的现金,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"13,946,205.47","265,500.96","7,726,827.90","9,089,952.90","23,960,294.29",,"8,414,365.26"
筹资活动现金流出小计,"37,670,511.04","48,102,146.70",,,,"3,937,796.93","7,628,500.00","350,000.00","9,007,683.99","9,008,067.23","9,007,683.99",,"13,007,577.61","13,007,577.61","18,304,178.67","77,000.00","12,376,104.37","28,499,756.37","40,560,156.06",,"12,620,446.95","35,012,446.95","43,031,446.95",,"20,557,030.93","20,557,030.93","20,558,278.36",,,,,,,,,,
处置固定资产、无形资产和其他长期资产收回的现金净额,"120,000.00",,,"2,400.00","12,820.51","127,420.51","335,820.51","45,000.00","67,000.00","207,300.00","259,600.00",,,,"90,300.00",,"5,100.00","156,465.20","156,522.90",,900.00,"73,983.00","129,983.00",,"11,500.00","12,900.00","99,336.00",,,,"225,275.96","154,577.25","153,119.25","149,141.25","513,116.10",,"23,275.00"
筹资活动产生的现金流量净额,"-27,670,511.04","-10,102,146.70",,,,"1,112,562,203.07","1,108,891,259.25","4,305,000.00","-4,352,683.99","-4,353,067.23","492,316.01",,"-8,205,577.61","-8,205,577.61","1,997,821.33","-77,000.00","-6,676,104.37","-22,799,756.37","-34,860,156.06",,"-12,620,446.95","-35,012,446.95","-43,031,446.95",,"-20,557,030.93","-20,557,030.93","-20,558,278.36",,,,,,,,,,
处置子公司及其他营业单位收到的现金净额,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,600,000.00","2,600,000.00","1,277,982.92",,
四、汇率变动对现金的影响,"-155,576.63","-76,166.03",677.87,"-2,060.46",-729.94,"3,258.22","-10,952.60","-2,234.73","-2,231.91","-6,008.73","-208,960.62",-17.50,"45,413.42","10,201.68","-25,627.04",952.42,"-203,935.25","-262,554.90","-356,260.96","63,094.14","97,669.67","97,280.96","38,583.27","38,392.33","-8,939.96","423,403.45","620,193.19","45,725.26","219,226.36","288,053.24","706,431.46","-102,635.93","-202,050.11","-473,291.27","-617,963.44","-393,774.16","-26,333.35"
收到其他与投资活动有关的现金,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
四(2)、其他原因对现金的影响,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
投资活动现金流入小计,"120,000.00",,,"2,400.00","12,820.51","127,420.51","335,820.51","45,000.00","67,000.00","207,300.00","259,600.00",,,,"90,300.00",,"5,100.00","156,465.20","156,522.90",,900.00,"73,983.00","129,983.00",,"11,500.00","12,900.00","99,336.00",,,,"567,171,481.43","3,152,555.21","701,212,424.15","837,571,571.15","2,162,483,870.31",,"771,437,640.26"
五、现金及现金等价物净增加额,"25,033,367.41","5,091,065.29","44,468,175.24","27,872,304.47","6,571,211.70","1,129,463,824.25","1,145,046,660.01","-40,439,317.57","-99,099,802.17","-132,913,682.66","-154,819,260.79","-34,389,148.08","26,201,869.50","26,142,440.73","34,824,202.82","-142,069,287.61","-62,195,914.73","-89,647,430.95","10,287,039.35","-138,982,208.97","-215,130,267.17","-264,006,484.85","-210,102,564.98","-55,910,889.22","-43,370,551.13","-36,480,075.63","2,258,984.10","24,499,525.66","-455,205,849.61","-468,995,714.32","-322,043,558.11","-659,061,502.07","-755,136,246.75","-842,186,714.79","506,564,503.68","-755,307,913.36","-792,476,517.86"
购建固定资产、无形资产和其他长期资产支付的现金,"24,756,345.83","17,677,511.84","2,356,942.02","4,394,631.98","2,629,306.47","5,653,037.46","14,982,655.99","1,851,753.27","12,286,500.55","14,855,552.47","19,335,132.28","2,020,569.76","29,366,580.08","48,029,386.62","57,822,900.19","10,023,372.07","17,356,110.47","25,113,593.27","57,714,421.34","6,239,907.38","12,528,713.11","20,737,823.78","29,264,522.92","10,762,695.37","12,888,588.37","14,058,788.48","18,213,744.95","919,232.16","1,260,121.06","1,502,497.06","2,154,774.88","14,300.00","47,300.00","200,675.77","748,135.77","40,840.01","-1,503,987.94"
期初现金及现金等价物余额,"17,981,798.94","43,015,166.35","48,106,231.64","48,106,231.64","75,978,536.11","75,978,536.11","75,978,536.11","1,221,025,196.12","1,221,025,196.12","1,221,025,196.12","1,221,025,196.12","1,066,205,935.33","1,066,205,935.33","1,066,205,935.33","1,066,205,935.33","1,100,892,852.07","1,101,030,138.15","1,101,030,138.15","1,101,030,138.15","1,111,317,177.50","1,111,317,177.50","1,111,317,177.50","1,111,317,177.50","901,214,612.52","901,214,612.52","901,214,612.52","901,214,612.52","903,473,596.62","903,473,596.62","903,473,596.62","903,473,596.62","1,145,430,038.51","1,145,430,038.51","1,145,430,038.51","581,430,038.51","1,098,994,542.19","1,087,994,542.19"
投资支付的现金,,"21,860,000.00","19,925,182.49","19,925,182.49",,,"4,845,000.00","-4,845,000.00","-4,845,000.00","-4,845,000.00",,,,,,,,,,,,,,,,,,,"553,000,000.00","553,000,000.00","1,106,000,000.00","638,000,000.00","1,376,000,000.00","1,581,000,000.00","1,581,000,000.00","753,000,000.00","1,606,000,000.00"
期末现金及现金等价物余额,"43,015,166.35","48,106,231.64","92,574,406.88","75,978,536.11","82,549,747.81","1,205,442,360.36","1,221,025,196.12","1,180,585,878.55","1,121,925,393.95","1,088,111,513.46","1,066,205,935.33","1,031,816,787.25","1,092,407,804.83","1,092,348,376.06","1,101,030,138.15","958,823,564.46","1,038,834,223.42","1,011,382,707.20","1,111,317,177.50","972,334,968.53","896,186,910.33","847,310,692.65","901,214,612.52","845,303,723.30","857,844,061.39","864,734,536.89","903,473,596.62","927,973,122.28","448,267,747.01","434,477,882.30","581,430,038.51","486,368,536.44","390,293,791.76","303,243,323.72","1,087,994,542.19","343,686,628.83","295,518,024.33"
