科目,2011年度,2012年度,2013年度,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度
偿还债务支付的现金,"595,276,103.32","808,462,254.88","669,237,019.20","515,867,267.90","805,496,633.78","939,090,438.96","306,691,570.54","463,874,400.56","499,309,539.55","569,031,704.12",,"19,799,324.54","102,599,324.54","79,607,065.40","137,600,000.00","322,678,086.28","766,652,332.26","776,671,744.97"
经营活动产生的现金流量净额,"104,981,936.56","126,850,725.01","84,208,181.52","101,384,200.74","159,179,751.13","113,443,042.17","-180,743,234.70","77,242,916.61","197,912,638.92","231,446,253.81","-103,364,366.57","73,740,376.37","156,649,695.31","155,854,818.15","-221,599,562.84","-86,537,300.60","105,858,514.12","168,988,315.67"
分配股利、利润或偿还利息支付的现金,"32,293,191.39","40,794,422.04","36,418,748.38","43,837,534.24","49,523,186.74","52,062,855.33","3,703,492.33","59,020,538.51","59,937,728.34","61,932,808.87","617,911.19","56,670,241.08","56,741,001.07","56,731,296.65","2,244,198.30","70,142,790.17","71,447,294.37","75,649,455.06"
收回投资收到的现金,"16,610,475.56",,,,,,,"200,000,000.00","200,000,000.00","9,800,000.00",,,,,,,,
支付其他与筹资活动有关的现金,,"4,960,000.00",,,,,"1,980,000.00","10,410,000.00","11,060,000.00","12,120,020.00",,,,"15,507,200.00",,,"1,068,491.07","1,668,491.07"
取得投资收益收到的现金,,,"1,008,830.00",,,,,"729,643.84","754,085.26","2,067,608.28","766,202.74","402,002.74","41,756.02","3,712,439.62","-314,108.00",,,
筹资活动现金流出小计,"627,569,294.71","854,216,676.92","705,655,767.58","559,704,802.14","855,019,820.52","991,153,294.29","312,375,062.87","533,304,939.07","570,307,267.89","643,084,532.99","617,911.19","76,469,565.62","159,340,325.61","151,845,562.05","139,844,198.30","392,820,876.45","839,168,117.70","853,989,691.10"
处置固定资产、无形资产和其他长期资产收回的现金净额,"3,269,280.80","288,266.03","594,057.75","240,079.25","55,467.40","647,106.97","39,192.00","39,192.00","469,872.00","424,501.04",,"42,499.00","823,099.00","1,310,766.73","433,000.00","483,000.00","610,430.80","1,899,000.00"
筹资活动产生的现金流量净额,"82,287,770.12","-119,127,269.10","140,589,467.63","-58,395,571.69","-110,759,978.67","360,585,833.63","-167,575,915.95","-304,438,287.23","-309,542,425.03","-380,187,177.99","37,184,662.62","47,817,368.76","-37,466,755.83","-14,106,696.65","453,479,135.37","312,392,457.22","760,312,421.95","745,490,848.55"
处置子公司及其他营业单位收到的现金净额,,,,,,,,,,,,,,,,,,
四、汇率变动对现金的影响,"-121,429.93","-370,762.60","-321,329.56","314,062.45","-57,889.51","-384,906.08","-194,692.96","-322,069.57","-545,535.73","-278,429.82","427,285.86","228,561.22","315,633.53","331,683.50","262,350.31","208,853.89","174,526.92","63,226.96"
收到其他与投资活动有关的现金,"1,281,700.00","1,233,900.00",,,"3,096,200.00","3,096,200.00",,"665,618.50","1,197,120.50","350,000,000.00","90,000,000.00","90,000,000.00","220,000,000.00","250,000,000.00",,,,
四(2)、其他原因对现金的影响,,,,,,,,,,,,,,,,,,
投资活动现金流入小计,"21,161,456.36","1,522,166.03","1,602,887.75","240,079.25","3,151,667.40","3,743,306.97","39,192.00","201,434,454.34","202,421,077.76","362,292,109.32","90,766,202.74","90,444,501.74","220,864,855.02","255,023,206.35","118,892.00","483,000.00","610,430.80","1,899,000.00"
五、现金及现金等价物净增加额,"108,706,790.72","-63,671,006.75","79,231,689.89","6,353,085.25","-7,741,499.79","376,704,963.72","-368,464,530.74","-366,073,656.97","-292,172,055.98","-318,740,013.94","-48,406,782.93","-9,402,421.41","18,944,245.78","-52,139,465.08","130,728,499.30","36,598,477.77","647,446,145.29","388,753,903.35"
购建固定资产、无形资产和其他长期资产支付的现金,"99,602,942.39","72,367,443.09","134,597,517.45","36,426,168.00","58,261,338.64","99,788,599.47","19,989,879.13","29,990,671.12","72,087,308.50","122,012,769.26","43,420,567.58","81,633,229.50","131,419,182.25","254,045,561.43","101,532,315.54","189,540,644.38","218,882,778.63","296,792,240.38"
期初现金及现金等价物余额,"63,582,874.42","172,289,665.14","108,618,658.39","187,850,348.28","187,850,348.28","187,850,348.28","565,889,312.00","564,555,312.00","564,555,312.00","564,555,312.00","245,815,298.06","245,815,298.06","245,815,298.06","245,815,298.06","193,675,832.98","193,675,832.98","193,675,832.98","193,675,832.98"
投资支付的现金,,,"12,250,000.00",,,,,"310,000,000.00","310,000,000.00",,,,,,,,,
期末现金及现金等价物余额,"172,289,665.14","108,618,658.39","187,850,348.28","194,203,433.53","180,108,848.49","564,555,312.00","197,424,781.26","198,481,655.03","272,383,256.02","245,815,298.06","197,408,515.13","236,412,876.65","264,759,543.84","193,675,832.98","324,404,332.28","230,274,310.75","841,121,978.27","582,429,736.33"
