科目,2012-12-31,2013-12-31,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31
未分配利润,"154,955,536.73","241,649,463.15","298,346,744.33","269,653,557.23","301,473,968.56","346,808,216.33","366,503,934.01","382,202,532.76","415,397,740.09","476,021,500.62","508,371,409.54","533,287,025.15","576,800,228.05","645,194,522.73","691,390,978.67","719,412,292.02"
长期待摊费用,"21,513,694.87","7,991,322.21","19,804,506.30","21,862,586.70","21,629,309.16","20,982,054.01","20,755,573.83","19,250,964.11","19,149,843.86","19,359,628.54","19,672,532.88","17,757,553.20","15,872,736.83","18,183,871.58","17,482,201.58","16,725,805.31"
少数股东权益,"4,896,862.38",,,,,,,,,,,"39,964,848.28","39,962,557.23","39,942,462.03","39,872,024.11","39,799,505.59"
递延所得税资产,"9,866,928.11","10,504,211.76","9,916,377.39","9,789,307.41","10,997,201.21","10,710,271.98","11,741,869.19","12,672,493.46","13,519,209.35","14,284,359.74","11,027,188.21","10,895,480.98","10,420,068.75","10,686,501.76","11,688,187.17","11,307,532.05"
外币报表折算价差,,,,,,,,,,,,,,,,
其他非流动资产,"50,529.57",,,,"9,426,012.80",,,,,,"35,178,580.00","40,077,664.00","67,956,174.45","24,177,929.39","36,665,574.00","44,707,215.00"
非正常经营项目收益调整,,,,,,,,,,,,,,,,
非流动资产合计,"586,518,342.03","581,411,959.14","605,188,586.85","599,482,328.02","614,543,276.59","609,922,175.94","618,474,160.14","615,101,407.93","610,273,734.48","624,493,454.81","798,734,600.42","733,830,433.76","788,501,048.29","810,392,992.23","833,178,873.57","863,769,678.71"
所有者权益(或股东权益)合计,"474,641,115.45","565,716,911.32","631,178,749.53","602,485,562.43","1,142,105,573.76","1,187,439,821.53","1,220,918,691.24","1,236,617,289.99","1,269,812,497.32","1,330,436,257.85","1,382,520,570.19","1,447,083,034.08","1,490,593,945.93","1,558,964,379.11","1,630,444,261.06","1,658,391,635.54"
资产总计,"864,088,174.54","988,366,052.48","960,908,666.92","925,665,911.23","1,397,566,369.79","1,473,104,407.64","1,483,721,992.51","1,489,061,310.13","1,555,217,224.93","1,651,456,726.03","1,771,932,469.08","1,804,154,524.65","1,866,310,957.78","2,020,879,852.21","2,103,602,813.09","2,041,667,243.57"
负债和所有者(或股东权益)合计,"864,088,174.54","988,366,052.48","960,908,666.92","925,665,911.23","1,397,566,369.79","1,473,104,407.64","1,483,721,992.51","1,489,061,310.13","1,555,217,224.93","1,651,456,726.03","1,771,932,469.08","1,804,154,524.65","1,866,310,957.78","2,020,879,852.21","2,103,602,813.09","2,041,667,243.57"
