科目,2007年1-6月,2007年度,2008年1-6月,2008年1-9月,2008年度,2009年1-3月,2009年1-6月,2009年1-9月,2009年度,2010年1-3月,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月
支付给职工以及为职工支付的现金,"7,623,914.36","15,247,828.72","9,250,082.82","13,903,035.62","18,637,546.44","4,981,952.67","10,959,104.81","15,328,613.42","23,022,180.15","5,085,408.15","10,732,027.44","17,443,819.25","28,083,690.68","8,644,690.49","14,949,391.04","16,966,078.24","33,079,727.93","7,524,267.80","16,639,539.95","23,573,060.11","35,336,392.54","7,059,514.26","15,308,127.95","26,606,081.84","39,488,915.58","8,340,916.35","18,212,335.36","29,098,225.39","36,669,565.81","6,874,166.94","18,306,162.70","32,680,158.33","53,853,801.84","13,343,862.46","25,887,647.98","40,097,100.54","55,114,639.10","13,568,626.00","25,857,008.69","39,057,458.29","64,485,379.10","14,919,597.17","30,468,131.91"
取得借款收到的现金,"323,132,449.93","1,268,545,698.55","684,541,278.05","835,658,159.52","1,136,188,835.97","174,868,502.80","518,730,866.85","800,024,963.50","986,506,015.31","207,446,162.43","415,568,861.20","653,469,756.90","984,749,791.09","180,933,845.79","461,777,387.31","594,877,387.31","708,633,357.83","46,900,000.00","431,900,000.00","481,900,000.00","1,052,148,425.40","90,711,408.09","640,727,621.61","871,727,621.61","1,186,860,174.16","121,000,000.00","747,000,000.00","956,000,000.00","1,504,620,441.90","136,750,000.00","644,750,000.00","749,750,000.00","1,489,457,845.07","102,550,000.00","613,150,000.00","702,750,000.00","1,402,927,755.94","142,370,000.00","513,570,000.00","665,570,000.00","1,145,052,431.82","107,800,000.00","421,506,459.52"
支付的各项税费,"27,617,413.32","82,130,824.64","23,517,194.03","31,399,942.96","63,256,786.48","10,273,607.50","27,525,350.77","62,767,083.42","58,362,825.23","15,225,819.58","35,275,793.48","55,634,355.91","69,445,994.42","36,351,257.91","49,800,715.22","143,327,200.28","66,528,050.81","19,497,887.71","22,422,998.53","37,636,229.56","79,571,601.40","6,802,217.63","11,444,413.76","18,209,441.39","26,148,034.98","4,468,016.22","18,710,900.21","45,668,456.09","31,798,130.60","5,628,957.27","15,830,865.90","29,241,696.14","51,113,846.71","5,851,935.62","15,210,818.19","24,354,833.80","15,742,304.90","13,617,250.10","15,279,749.63","18,361,052.02","13,816,173.68","9,618,419.13","22,126,813.16"
收到其他与筹资活动有关的现金,,,,,"800,000.00","86,687,081.73",,"709,304,804.00","5,419,629.50",,,,"17,403,580.00",,"64,472,131.53","146,008,733.20","25,447,521.77",,"6,528,608.37","7,629,355.61","39,766,671.58",,,,"99,729,558.23","87,112,729.75","87,211,959.10","98,801,192.50","46,442,506.13",,"2,625.00","5,625.00","3,480,034.90",,"23,965,538.19","107,243,480.27","9,748,622.67",,"211,186.14","7,931,489.09","353,391,747.72",,"8,297,337.62"
支付其他与经营活动有关的现金,"10,000,882.04","21,741,047.92","22,035,686.88","547,062,556.26","32,379,625.25","21,372,790.11","27,539,316.16","478,901,560.20","73,548,159.10","23,318,962.46","32,237,671.80","42,128,908.31","29,932,674.19","6,600,309.02","29,836,574.62","32,294,007.72","32,062,067.55","6,584,861.56","8,932,667.96","14,293,009.09","25,088,810.44","6,848,754.13","12,785,531.67","25,291,548.73","21,399,291.02","7,754,268.17","13,657,831.77","36,692,634.00","24,526,294.85","9,052,259.26","4,879,860.36","7,392,967.87","34,678,013.39","30,700,684.46","14,408,322.56","22,030,067.19","43,275,615.50","103,288,771.77","125,832,523.27","154,298,821.00","37,060,907.86","12,476,781.49","29,033,198.87"
筹资活动现金流入小计,"323,132,449.93","1,268,545,698.55","684,541,278.05","1,143,480,533.45","1,438,602,002.77","261,555,584.53","518,730,866.85","1,632,554,883.50","991,925,644.81","207,446,162.43","1,065,868,860.30","1,303,769,756.00","1,658,403,370.19","180,933,845.79","526,249,518.84","2,004,278,402.61","1,995,335,365.70","46,900,000.00","438,428,608.37","489,529,355.61","1,091,915,096.98","90,711,408.09","640,727,621.61","871,727,621.61","1,286,589,732.39","208,112,729.75","834,211,959.10","1,054,801,192.50","1,551,062,948.03","136,750,000.00","825,252,624.69","930,255,624.69","1,673,437,879.66","102,550,000.00","637,115,538.19","809,993,480.27","1,412,676,378.61","142,370,000.00","513,781,186.14","673,501,489.09","1,498,444,179.54","107,800,000.00","429,803,797.14"
经营活动现金流出小计,"698,910,936.32","1,518,399,541.72","708,632,858.08","1,675,448,462.30","1,384,420,732.70","249,575,658.48","482,431,669.84","1,303,275,475.69","1,277,320,833.30","321,367,158.42","674,772,422.94","952,481,958.36","1,556,222,021.72","370,901,405.50","718,716,931.89","1,256,044,974.02","1,232,788,982.77","216,727,355.58","326,579,232.67","667,950,346.53","869,796,197.57","169,945,564.49","383,186,639.72","623,154,422.33","717,581,466.57","194,069,431.89","425,944,521.67","665,450,809.21","814,045,470.08","147,873,200.44","349,355,744.46","638,955,926.48","757,506,957.10","157,799,100.95","420,761,882.92","618,090,739.01","865,671,953.18","323,445,506.13","584,272,584.71","881,478,059.63","966,278,222.45","309,434,716.55","681,349,621.31"
偿还债务支付的现金,"336,826,070.24","1,308,538,289.33","680,109,729.99","1,077,792,217.96","1,352,084,785.40","226,745,641.62","460,787,956.81","891,494,670.33","874,993,113.99","147,105,345.78","578,972,285.06","941,893,471.80","1,175,479,015.71","232,113,681.19","438,769,942.99","794,533,388.38","1,177,567,236.76","15,408,257.44","538,455,845.00","538,455,845.00","940,726,764.56","68,564,446.02","189,805,153.47","728,825,193.63","1,064,522,701.81","52,973,398.32","528,954,660.94","1,002,980,683.56","1,430,377,536.71","44,196,113.98","507,000,000.00","607,000,000.00","1,313,318,879.10","98,753,430.00","592,147,591.22","682,268,304.95","1,385,324,935.60","113,862,520.99","455,148,744.38","581,862,520.99","1,222,145,240.92","110,395,774.33","424,238,467.54"
经营活动产生的现金流量净额,"16,233,917.09","49,781,516.44","-61,645,314.88","-77,811,987.82","7,628,781.24","7,439,652.51","38,440,884.00","-303,580,447.73","-40,921,229.90","3,085,211.67","63,785,720.43","96,716,977.60","153,113,071.92","5,819,352.33","14,392,631.70","25,114,762.47","-965,366.17","-4,870,868.88","10,327,277.76","-9,262,871.19","47,580,159.89","-58,345,761.84","-39,123,238.30","-83,190,940.85","35,593,770.73","-70,725,466.17","-44,421,462.23","15,651,751.29","46,635,979.81","60,509,509.54","173,151,745.81","210,497,173.17","243,275,620.27","-21,264,429.97","-9,392,362.30","-20,495,069.07","106,885,453.56","-19,660,969.23","-26,008,671.16","-18,430,742.30","45,805,909.92","-24,466,527.13","-8,848,841.16"
分配股利、利润或偿还利息支付的现金,"18,284,856.26","64,683,610.39","19,906,422.67","44,910,467.48","61,019,225.21","8,097,135.31","31,891,358.59","59,962,692.48","56,253,910.61","44,519,240.95","61,737,738.46","63,576,489.50","94,227,487.94","23,450,089.36","83,514,982.31","90,248,574.07","115,702,729.72","5,612,815.83","75,226,386.56","77,028,731.56","87,791,706.65","4,726,547.15","13,717,775.71","27,445,712.48","39,764,373.22","12,378,633.45","23,121,866.44","33,391,295.24","42,778,064.96","11,294,212.36","24,090,646.42","33,726,991.47","48,928,528.44","9,472,420.05","51,207,267.96","61,684,136.36","78,029,513.29","10,555,800.88","23,581,697.41","35,768,069.12","54,104,820.73","8,843,870.56","18,511,240.00"
收回投资收到的现金,,,,"6,382,300.00","6,282,300.00",,"793,405.09","3,118,978.62","949,321.56",,,,,,,,,,,,,,,,,,,,,,,"135,401,800.00","135,351,800.00",,"86,352,000.00","86,352,000.00","86,352,000.00","50,000,000.00","130,000,000.00","208,360,088.71","216,955,346.52",,
支付其他与筹资活动有关的现金,,,"35,004,601.03","7,597,626.17",,,"64,522,707.66","489,605,445.62","17,200,000.00",,,,"11,571,485.78",,,,"195,797,011.04",,"70,000,000.00","70,000,000.00","61,674,913.87","26,614,310.40","83,300,486.22","83,300,486.22","58,300,486.22",,"2,222,429.52","2,222,429.52","115,489,000.00",,"42,609,832.97","42,609,832.97","103,436,789.06",,"96,080,000.00","154,220,094.00","3,114,494.28",,"883,382.65","44,172,331.84","346,994,138.31",,"4,808,540.00"
取得投资收益收到的现金,,,,,,,,,,,,,,,,,"2,882,870.88",,,,,,"9,400,000.00","12,284,707.17","12,284,707.17",,,,,,,143.98,,,"33,331,096.19","33,331,096.19","33,331,096.19","12,602.74","12,602.74","15,672.30",,,
筹资活动现金流出小计,"355,110,926.50","1,373,221,899.72","735,020,753.69","1,130,300,311.61","1,413,104,010.61","234,842,776.93","557,202,023.06","1,441,062,808.43","948,447,024.60","191,624,586.73","640,710,023.52","1,005,469,961.30","1,281,277,989.43","255,563,770.55","522,284,925.30","884,781,962.45","1,489,066,977.52","21,021,073.27","683,682,231.56","685,484,576.56","1,090,193,385.08","99,905,303.57","286,823,415.40","839,571,392.33","1,162,587,561.25","65,352,031.77","554,298,956.90","1,038,594,408.32","1,588,644,601.67","55,490,326.34","573,700,479.39","683,336,824.44","1,465,684,196.60","108,225,850.05","739,434,859.18","898,172,535.31","1,466,468,943.17","124,418,321.87","479,613,824.44","661,802,921.95","1,623,244,199.96","119,239,644.89","447,558,247.54"
处置固定资产、无形资产和其他长期资产收回的现金净额,,"1,415,078.50",,"319,955.57","1,000,000.00",,,,,,,,,,,,"98,000,000.00","24,500,000.00","24,500,000.00","24,500,000.00","24,587,000.00",,,,,,,,,,,,"24,514.56","23,600.00","23,600.00","23,600.00","1,863,816.25",,,,"101,987,998.00",,"9,074,189.00"
筹资活动产生的现金流量净额,"-31,978,476.57","-104,676,201.17","-50,479,475.64","13,180,221.84","25,497,992.16","26,712,807.60","-38,471,156.21","191,492,075.07","43,478,620.21","15,821,575.70","425,158,836.78","298,299,794.70","377,125,380.76","-74,629,924.76","3,964,593.54","1,119,496,440.16","506,268,388.18","25,878,926.73","-245,253,623.19","-195,955,220.95","1,721,711.90","-9,193,895.48","353,904,206.21","32,156,229.28","124,002,171.14","142,760,697.98","279,913,002.20","16,206,784.18","-37,581,653.64","81,259,673.66","251,552,145.30","246,918,800.25","207,753,683.06","-5,675,850.05","-102,319,320.99","-88,179,055.04","-53,792,564.56","17,951,678.13","34,167,361.70","11,698,567.14","-124,800,020.42","-11,439,644.89","-17,754,450.40"
处置子公司及其他营业单位收到的现金净额,,,,,,,,,,,,,,,,,,,,,,,,,"10,322,958.60",,,,,,,,,,,,,,,,,,
四、汇率变动对现金的影响,,"2,287,090.72","-17,023.24","13,891.77","2,997,502.23","-42,625.00","-663,510.49","9,324.22","-1,041,275.86",,"203,308.56","106,385.14","-1,082,159.26",-457.36,"35,205.01","40,371.39","4,439,759.67",,"37,038.19","37,038.19","-1,044,364.99","-18,053.84","-614,002.64","-373,655.11","-2,868,971.83",,"102,963.92",,"-1,323,892.42",,"-195,161.10","83,632.90","182,051.81","2,672.00","-82,033.43","-22,938.22","379,497.14",,"-31,472.74","1,435.98","-563,042.70","-48,771.87","-123,996.88"
收到其他与投资活动有关的现金,,,,,,,,"2,700,254.16",,,,,"6,640,000.00",,,,"191,075,100.00",,,,"60,420,000.00",,,,"13,820,000.00",,"1,000,000.00","3,597,000.00","16,856,550.01",,,,"16,625,049.99",,"1,920,000.00","1,920,000.00","1,650,000.00","14,000,000.00",,,"50,030,938.10",,
四(2)、其他原因对现金的影响,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
投资活动现金流入小计,,"1,415,078.50",,"6,702,255.57","7,282,300.00",,"793,405.09","5,819,232.78","949,321.56",,,,"6,640,000.00",,,,"291,957,970.88","24,500,000.00","24,500,000.00","24,500,000.00","85,007,000.00",,"9,400,000.00","12,284,707.17","36,427,665.77",,"1,000,000.00","3,597,000.00","16,856,550.01",,,"135,401,943.98","152,001,364.55","23,600.00","121,626,696.19","121,626,696.19","123,196,912.44","64,012,602.74","130,012,602.74","208,375,761.01","368,974,282.62",,"9,074,189.00"
五、现金及现金等价物净增加额,"-37,073,723.87","-101,132,120.91","-117,516,010.38","-69,880,351.33","-1,580,149.38","32,447,867.25","-46,758,256.69","-190,654,055.06","-51,838,433.50","8,342,533.63","475,714,262.63","375,559,257.63","412,742,664.78","-291,610,804.36","-243,149,341.33","838,237,915.88","298,190,356.16","-129,373,185.96","-494,587,462.44","-582,037,541.73","-286,945,428.84","-131,055,754.75","211,041,518.28","-292,515,810.92","-227,757,147.98","-72,114,016.31","86,210,221.79","-182,060,972.80","-127,396,464.38","89,706,142.20","301,744,503.37","415,797,610.53","322,980,327.16","-47,837,270.59","-63,827,084.48","-104,569,628.81","-72,771,968.61","37,482,150.62","112,729,696.98","153,374,844.99","214,820,617.76","-57,766,707.39","-29,078,220.05"
购建固定资产、无形资产和其他长期资产支付的现金,"21,329,164.39","46,939,605.40","5,374,196.62","7,018,332.69","16,537,085.14","1,656,613.36","6,973,446.46","14,447,541.69","29,321,104.35","10,564,253.74","13,433,603.14","15,195,299.81","118,685,028.64","222,799,774.57","261,541,771.58","306,413,658.14","503,510,396.40","174,881,243.81","284,198,155.20","351,356,487.78","321,309,935.64","63,498,043.59","112,525,446.99","213,102,151.41","380,621,783.79","29,880,248.12","36,115,282.10","103,247,508.27","126,983,448.14","12,063,041.00","18,837,314.64","28,177,027.77","138,375,486.90","20,923,262.57","28,660,063.95","72,499,262.67","154,372,151.61","24,821,161.02","25,410,123.56","38,270,176.84","28,631,011.66","6,327,263.50","11,425,120.61"
期初现金及现金等价物余额,"428,893,198.44",,"159,913,522.46","159,944,526.05","127,554,525.80","137,485,156.94","128,075,713.37","231,521,555.99","128,075,713.37","101,352,038.87","76,237,279.87","101,352,038.87","76,237,279.87","488,979,944.65","488,979,944.70","488,979,944.70","488,979,944.65","787,170,300.81","787,170,300.81","787,170,300.81","787,170,300.81","500,224,871.97","500,224,871.97","500,224,871.97","500,224,871.97","272,467,723.99","272,467,723.99","272,467,723.99","272,467,723.99","145,071,259.61","145,071,259.61","145,071,259.61","145,071,259.61","468,051,586.77","468,051,586.77","468,051,586.77","468,051,586.77","395,279,618.16","395,279,618.16","395,279,618.16","395,279,618.16","610,100,235.92","610,100,235.92"
投资支付的现金,,"3,000,000.00",,"4,946,400.00","22,484,727.00",,"39,884,432.62",,"24,826,848.69",,,"4,368,600.00","4,368,600.00",,,,,,,"50,000,000.00","98,900,000.00",,,"40,290,000.00","40,290,000.00","114,269,000.00","114,269,000.00","114,269,000.00",,"40,000,000.00","101,250,000.00","146,250,000.00",,,"45,000,000.00","45,000,000.00","50,000,000.00",,,"10,000,000.00",,"15,484,500.00",
期末现金及现金等价物余额,"391,819,474.57",,"42,397,512.08","90,064,174.72","125,974,376.42","169,933,024.19","81,317,456.68","40,867,500.93","76,237,279.87","109,694,572.50","551,951,542.50","476,911,296.50","488,979,944.65","197,369,140.29","245,830,603.37","1,327,217,860.58","787,170,300.81","657,797,114.85","292,582,838.37","205,132,759.08","500,224,871.97","369,169,117.22","711,266,390.25","207,709,061.05","272,467,723.99","200,353,707.68","358,677,945.78","90,406,751.19","145,071,259.61","234,777,401.81","446,815,762.98","560,868,870.14","468,051,586.77","420,214,316.18","404,224,502.29","363,481,957.96","395,279,618.16","432,761,768.78","508,009,315.14","548,654,463.15","610,100,235.92","552,333,528.53","581,022,015.87"
