科目,2011年度,2012年度,2013年度,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月
支付给职工以及为职工支付的现金,"51,368,118.12","55,596,860.74","60,076,271.06","50,169,786.01","65,081,644.70","22,321,457.35","42,509,114.14","59,494,388.80","81,082,411.24","27,695,472.39","53,818,724.54","85,258,105.85","192,692,196.04","105,455,694.71","177,480,996.25","271,213,467.35","410,611,681.98","134,542,555.93"
取得借款收到的现金,"130,000,000.00","214,000,000.00","113,000,000.00",,,"50,000,000.00","50,000,000.00","50,000,000.00","50,000,000.00","80,000,000.00","150,000,000.00","150,000,000.00","647,850,000.00","100,000,000.00","379,000,000.00","899,000,000.00","1,162,000,000.00","217,000,000.00"
支付的各项税费,"41,155,118.84","22,644,847.18","27,076,422.12","14,882,142.46","23,470,508.74","7,260,653.95","18,911,707.59","23,696,235.76","34,026,963.65","5,321,224.14","8,217,192.19","27,611,905.73","48,657,161.46","32,648,719.10","64,713,929.39","92,602,793.49","141,928,268.52","38,621,046.73"
收到其他与筹资活动有关的现金,"80,000,000.00","80,000,000.00",,,,,,,,,,,,,,,,"63,100,000.00"
支付其他与经营活动有关的现金,"44,049,476.33","40,059,748.32","53,546,568.72","59,361,250.73","80,299,410.16","24,780,188.63","28,580,399.87","50,013,581.36","57,750,245.36","17,524,454.68","36,879,629.84","59,511,769.79","190,369,712.98","97,763,326.98","180,919,436.91","407,755,429.34","283,545,687.52","256,477,349.55"
筹资活动现金流入小计,"210,000,000.00","294,000,000.00","113,000,000.00",,,"311,044,928.00","311,044,928.00","311,044,928.00","311,044,928.00","80,000,000.00","150,000,000.00","150,000,000.00","1,632,849,969.89","100,000,000.00","448,097,000.00","979,097,000.00","1,248,152,400.00","280,100,000.00"
经营活动现金流出小计,"238,723,966.87","245,627,586.03","280,003,880.15","212,896,071.04","299,053,674.58","84,592,661.83","153,187,810.18","235,031,543.06","313,880,616.42","76,298,327.65","163,411,911.57","286,135,869.24","803,365,415.98","495,145,967.87","927,812,368.25","1,587,480,422.73","2,272,228,490.65","898,247,137.62"
偿还债务支付的现金,"75,000,000.00","88,000,000.00","169,550,000.00","25,550,000.00","83,100,000.00","8,500,000.00","33,550,000.00","48,100,000.00","48,100,000.00","51,000,000.00","57,875,000.00","70,875,000.00","277,611,998.50","169,166,666.65","392,312,992.63","547,303,659.28","831,058,665.62","51,533,333.32"
经营活动产生的现金流量净额,"56,966,943.18","94,962,074.65","81,930,525.08","85,161,817.18","100,170,110.65","3,512,816.20","53,498,587.21","118,655,150.75","112,262,329.26","166,927.38","33,127,533.38","151,312,803.40","237,235,804.44","-192,459,983.70","-275,938,979.72","-228,295,353.32","57,561,083.62","-203,267,417.79"
分配股利、利润或偿还利息支付的现金,"5,441,004.32","21,486,309.03","20,278,487.59","24,935,662.92","26,798,510.59","1,937,206.75","3,948,147.22","22,867,434.48","24,381,010.58","1,389,260.20","24,953,889.76","27,024,144.90","34,986,942.73","11,475,351.19","22,589,229.18","80,999,021.68","102,844,558.53","15,295,905.83"
收回投资收到的现金,,,,,,,,,,,,,,,,,,
支付其他与筹资活动有关的现金,"89,238,859.56","54,816,732.60","103,738,493.87","1,000,000.00","1,000,000.00",,"8,346,907.00","10,546,907.00","8,346,907.00","400,000.00","2,225,000.00","2,225,000.00","5,463,200.00",,,,"19,298,306.65","11,698,964.44"
取得投资收益收到的现金,,,,,,,,,"2,419,369.86",,,"538,315.07","1,342,949.64","1,052,595.36","3,285,532.89","3,285,532.89","3,285,532.89",
筹资活动现金流出小计,"169,679,863.88","164,303,041.63","293,566,981.46","51,485,662.92","110,898,510.59","10,437,206.75","45,845,054.22","81,514,341.48","80,827,917.58","52,789,260.20","85,053,889.76","100,124,144.90","318,062,141.23","180,642,017.84","414,902,221.81","628,302,680.96","953,201,530.80","78,528,203.59"
处置固定资产、无形资产和其他长期资产收回的现金净额,,"5,040,878.00","207,115,052.82","27,071.00","-27,124.00",,"756,140.00","886,140.00","3,313,201.69","4,352,900.00","5,673,100.00","5,681,914.00","7,776,975.99","3,000.00","8,920.51","44,751.10","20,554.26","5,588.00"
筹资活动产生的现金流量净额,"40,320,136.12","129,696,958.37","-180,566,981.46","-51,485,662.92","-110,898,510.59","300,607,721.25","265,199,873.78","229,530,586.52","230,217,010.42","27,210,739.80","64,946,110.24","49,875,855.10","1,314,787,828.66","-80,642,017.84","33,194,778.19","350,794,319.04","294,950,869.20","201,571,796.41"
处置子公司及其他营业单位收到的现金净额,,,,,,,,,,,,,,,,,,
四、汇率变动对现金的影响,,,"-31,770.00",,,,,,,,,,,,,,,
收到其他与投资活动有关的现金,,"1,146,000.00","2,152,684.90","353,348.00","353,348.00",,,,"509,824.00",,"316,600.00","45,316,600.00","56,253,713.90",,"101,572,000.00","54,780,000.00","102,430,543.39",
四(2)、其他原因对现金的影响,,,,,,,,,,,,,,,,,,
投资活动现金流入小计,,"6,186,878.00","209,267,737.72","380,419.00","326,224.00",,"756,140.00","886,140.00","6,242,395.55","4,352,900.00","5,989,700.00","51,536,829.07","65,373,639.53","1,055,595.36","104,866,453.40","58,110,283.99","105,736,630.54","5,588.00"
五、现金及现金等价物净增加额,"-14,576,331.02","25,956,434.17","79,387,244.14","-6,524,805.55","-81,404,878.40","288,248,226.27","273,144,339.41","277,209,049.76","125,844,262.15","4,356,889.28","57,438,296.70","156,766,465.01","1,335,161,729.13","-425,957,183.89","-566,419,363.00","-628,166,637.83","-475,559,131.24","-165,810,829.10"
购建固定资产、无形资产和其他长期资产支付的现金,"92,263,410.32","204,889,476.85","30,762,267.20","39,923,126.38","70,344,450.03","15,872,311.18","46,310,261.58","71,862,827.51","107,697,909.97","19,823,677.90","39,175,141.03","102,894,554.50","280,697,971.36","91,510,777.71","320,941,614.87","577,048,073.36","737,190,572.48","147,733,915.42"
期初现金及现金等价物余额,"43,679,497.68","29,103,166.66","55,059,600.83","134,446,844.97","134,446,844.97","53,041,966.57","53,041,966.57","53,041,966.57","53,041,966.57","178,886,228.72","178,886,228.72","178,886,228.72","178,886,228.72","1,513,652,107.85","1,514,047,957.85","1,514,047,957.85","1,514,047,957.85","1,038,488,826.61"
投资支付的现金,"19,600,000.00",,"450,000.00",,,,,,"15,000,000.00","7,550,000.00",,,,,"66,400,000.00","66,400,000.00","132,240,080.00","16,386,880.30"
期末现金及现金等价物余额,"29,103,166.66","55,059,600.83","134,446,844.97","127,922,039.42","53,041,966.57","341,290,192.84","326,186,305.98","330,251,016.33","178,886,228.72","183,243,118.00","236,324,525.42","335,652,693.73","1,514,047,957.85","1,087,694,923.96","947,628,594.85","885,881,320.02","1,038,488,826.61","872,677,997.51"
