科目,2009年度,2010年度,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度
堪探费用,,,,,,,,,,,,,,,,,,,,,,,,,,,
加:影响利润总额的其他科目,,,,,,,,,,,,,,,,,,,,,,,,,,,
财务费用,"-1,235,098.99","-1,157,625.45","-1,033,581.55","-127,253.46","-246,749.83","-497,867.66","-4,276,644.04","-1,046,982.07","-3,308,165.42","-4,495,412.52","-5,882,134.06","-837,471.59","-2,042,196.22","-3,039,215.08","-4,087,334.35","-1,220,168.60","-2,204,228.24","-2,806,030.99","-2,059,664.42","-424,572.68","-812,591.47","-1,001,582.65","-1,164,834.82","22,428.58","6,626.37","42,569.89","179,384.77"
三、利润总额,"22,989,479.27","34,774,641.39","43,555,289.30","7,626,998.56","18,722,094.26","25,362,884.95","37,177,707.16","6,416,081.14","15,237,278.85","19,685,961.49","28,418,666.70","4,471,997.20","20,952,504.27","17,710,110.46","15,323,652.59","801,763.09","857,931.26","1,412,567.18","-13,922,270.99","-1,258,845.19","-7,835,950.56","-10,846,425.72","-29,351,905.25","-5,609,010.97","-8,216,845.96","-5,257,036.46","5,692,386.41"
资产减值损失,"958,028.26","2,135,152.19","472,743.45","2,355,375.56","3,874,882.04","5,557,499.74","6,387,270.48","1,385,027.25","3,684,852.97","4,172,989.07","5,580,398.94","376,572.89","-137,241.77","1,763,600.43","2,796,683.36","-1,628,863.59","-1,555,738.04","-744,370.30","4,035,299.58","-1,443,539.28","-2,293,066.54","-1,956,510.70","2,698,220.66","394,636.95","2,540,717.48","5,567,463.34","2,363,063.16"
减:所得税,"2,924,674.35","4,583,619.71","6,016,751.36","1,144,049.78","2,864,164.79","3,895,146.43","5,503,359.99","959,754.53","2,313,339.23","2,994,474.54","4,257,610.67","1,117,999.30","5,237,631.01","4,542,180.71","2,026,975.08","120,264.46","128,689.69","211,885.08","-307,464.53",,,"-348,449.50","-404,733.10","-59,195.54","-381,107.62","-835,119.50","-256,745.50"
加:公允价值变动净收益,,,,,,,,,,,,,,,,,,,,,,,,,,,
加:影响净利润的其他科目,,,,,,,,,,,,,,,,,,,,,,,,,,,
投资收益,,,,,,,,,,,,,,,,"310,500.00","310,500.00","532,746.58","2,103,047.94","260,054.79","510,520.54","1,080,657.53","1,844,646.57","1,014,987.12","2,043,007.12","2,850,031.50","3,495,880.00"
四、净利润,"20,064,804.92","30,191,021.68","37,538,537.94","6,482,948.78","15,857,929.47","21,467,738.52","31,674,347.17","5,456,326.61","12,923,939.62","16,691,486.95","24,161,056.03","3,353,997.90","15,714,873.26","13,167,929.75","13,296,677.51","681,498.63","729,241.57","1,200,682.10","-13,614,806.46","-1,258,845.19","-7,835,950.56","-10,497,976.22","-28,947,172.15","-5,549,815.43","-7,835,738.34","-4,421,916.96","5,949,131.91"
其中:对联营企业和合营企业的投资权益,,,,,,,,,,,,,,,,,,,,,,,,,,,
归属于母公司所有者的净利润,"20,064,804.92","30,191,021.68","37,538,537.94","6,482,948.78","15,857,929.47","21,467,738.52","31,674,347.17","5,456,326.61","12,923,939.62","16,691,486.95","24,161,056.03","3,353,997.90","15,714,873.26","13,271,033.84","13,296,677.51","681,498.63","729,241.57","1,200,682.10","-13,614,806.46","-1,258,845.19","-7,835,950.56","-10,497,976.22","-28,947,172.15","-5,549,815.43","-7,835,738.34","-4,421,916.96","5,949,131.91"
影响营业利润的其他科目,,,,,,,,,,,,,,,,,,,,,,,,,,,
少数股东损益,,,,,,,,,,,,,,"-103,104.09",,,,,,,,,,,,,
