科目,2007年度,2008年度,2009年1-6月,2009年度,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度
支付给职工以及为职工支付的现金,"3,749,077.67","7,207,363.40","3,763,429.94","8,426,002.11","5,213,172.23","8,026,255.88","11,886,420.28","4,514,924.73","7,574,709.10","10,915,941.39","16,437,878.52","5,519,592.08","9,421,930.18","13,886,772.27","19,786,197.65","5,002,059.75","9,442,559.41","13,814,170.30","22,080,013.67","4,927,664.39","10,000,496.83","16,784,584.40","23,279,048.40","8,492,295.12","14,660,502.96","22,536,783.21","29,567,488.39","10,299,865.28","17,728,497.97","24,940,962.78","31,939,471.26","10,082,290.22","17,281,519.06","24,540,996.98","32,042,870.53"
取得借款收到的现金,"26,900,000.00",,"14,500,000.00","14,500,000.00","21,000,000.00","21,000,000.00","21,000,000.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,
支付的各项税费,"8,322,894.51","16,750,766.40","10,126,933.90","24,674,787.31","17,720,935.45","25,777,791.81","26,166,031.72","2,911,190.75","10,402,048.19","15,283,141.66","28,740,234.74","4,875,418.22","14,776,086.41","24,834,940.18","27,918,789.26","2,345,061.23","12,503,336.44","16,358,273.46","18,289,296.95","1,277,122.21","18,011,762.50","25,639,752.65","29,618,951.61","1,969,300.54","10,572,967.00","17,774,976.94","21,173,504.57","2,194,761.07","9,866,772.93","13,642,618.59","17,303,974.67","2,421,204.27","13,762,755.44","20,421,340.49","23,887,439.50"
收到其他与筹资活动有关的现金,,"44,895,007.47","10,866,161.96","22,408,957.61",,"1,152,235.18","16,951,068.49","12,603,022.84","19,716,295.06","26,485,048.26","33,211,068.84","6,372,469.14","21,943,090.02","26,965,555.89","25,297,892.09","1,860,580.38","6,285,339.14","10,735,640.73","20,107,997.90","250,576.43","4,277,373.59","5,187,675.73","10,000,834.74","318,966.85","4,087,301.17","4,749,713.06","9,531,871.02","1,454,934.48","12,151,038.60","12,805,208.15","12,850,863.87","689,654.83","3,371,104.15","3,698,297.55","3,767,115.95"
支付其他与经营活动有关的现金,"10,754,079.46","12,723,473.37","7,321,185.63","20,978,429.74","8,784,180.66","15,609,553.91","9,390,465.36","4,498,201.27","9,882,304.49","15,776,183.41","75,547,496.95","7,062,336.71","11,093,148.46","83,238,748.44","51,444,550.97","6,920,654.36","13,413,832.63","24,527,808.82","32,893,658.79","11,169,732.35","30,011,292.95","45,321,931.37","52,320,634.94","33,473,732.66","41,590,101.67","51,229,731.63","50,101,184.39","4,978,977.04","12,995,450.02","19,279,422.25","23,092,893.33","5,482,929.57","12,665,035.91","26,491,400.32","24,837,763.05"
筹资活动现金流入小计,"26,900,000.00","44,895,007.47","25,366,161.96","36,908,957.61","21,000,000.00","480,739,910.18","496,538,743.49","12,603,022.84","19,716,295.06","26,485,048.26","33,211,068.84","6,372,469.14","21,943,090.02","26,965,555.89","25,297,892.09","1,860,580.38","6,285,339.14","10,735,640.73","20,307,997.90","250,576.43","4,277,373.59","5,187,675.73","10,000,834.74","318,966.85","4,087,301.17","4,749,713.06","9,531,871.02","1,454,934.48","12,151,038.60","12,805,208.15","12,850,863.87","689,654.83","3,371,104.15","3,698,297.55","3,767,115.95"
经营活动现金流出小计,"58,514,111.76","105,239,737.74","59,282,759.43","133,311,942.29","65,873,733.33","102,530,854.65","123,423,551.94","37,343,044.95","75,749,165.29","130,298,663.17","277,895,772.85","35,429,875.58","126,131,766.19","240,543,799.09","286,679,693.92","75,736,765.52","161,824,545.32","242,796,827.22","331,920,864.86","124,386,454.55","247,356,370.30","290,969,953.92","371,970,753.49","74,968,964.37","180,405,797.27","245,062,871.54","322,240,793.57","47,544,305.38","104,934,560.26","137,062,501.21","192,526,783.28","52,182,212.03","123,476,015.84","177,599,753.80","233,412,079.08"
偿还债务支付的现金,"14,900,000.00","12,000,000.00","4,500,000.00","4,500,000.00","10,000,000.00","31,000,000.00","31,000,000.00",,,,,,,,,,,,,,,,,,,,,,,,,"689,654.83",,,
经营活动产生的现金流量净额,"34,684,898.89","25,735,987.20","-1,317,275.43","24,504,603.77","37,737,576.89","45,610,887.21","51,674,081.15","-9,969,582.50","4,904,346.08","15,929,536.78","-29,898,463.55","11,110,697.09","69,382,276.31","32,998,132.08","68,954,775.44","-9,434,702.96","-11,503,601.04","-7,302,544.25","963,145.46","-10,469,693.28","53,919,308.09","74,794,788.50","85,908,562.60","-20,491,543.14","1,893,135.45","28,882,246.95","50,917,227.51","6,553,738.23","14,422,312.19","23,211,568.01","37,794,088.52","-9,974,465.35","-14,213,238.67","-12,139,332.28","23,506,884.94"
分配股利、利润或偿还利息支付的现金,"18,774.00","7,555,752.00","10,585,985.05","20,755,369.44","340,503.75","583,038.00","583,038.00",,"11,911,943.08","11,911,943.08","11,911,943.08",,"21,510,718.96","21,510,718.96","23,526,000.00",,"10,586,559.95","10,586,699.90","10,586,699.90",,"8,131,963.46","21,173,006.61","21,173,399.60",,"10,586,700.10","10,586,700.10","10,586,700.00",,"10,586,700.00","10,586,700.00","10,699,200.00",,"10,586,700.00","10,586,700.00","10,736,700.00"
收回投资收到的现金,"18,000,000.00",,,,,,,,,,,,,,,,,,,,,,"47,000,000.00","100,000,000.00","125,000,000.00","235,000,000.00","275,300,000.00","16,000,000.00","46,000,000.00","186,000,000.00","361,000,000.00","150,000,000.00","327,200,000.00","471,820,000.00","994,270,000.00"
支付其他与筹资活动有关的现金,"25,538,868.30","34,715,449.13","8,969,647.65","8,969,647.65","11,800,000.00","17,061,843.00","37,551,157.31","3,000,000.00","18,508,500.00","19,810,356.62","27,979,221.90",,"2,706,761.30","2,706,761.30","9,217,543.15",,,,,,122.40,302.40,,,,,,,,,,,,,
取得投资收益收到的现金,,,,,,,,,,,,,,,,,,,,,,,"74,131.78","1,135,268.19","1,660,262.36","4,138,236.11","5,866,155.01","100,232.88","376,232.88","5,246,684.94","8,889,967.06","2,925,287.66","4,608,578.89","7,146,235.21","15,325,931.67"
筹资活动现金流出小计,"40,457,642.30","54,271,201.13","24,055,632.70","34,225,017.09","22,140,503.75","48,644,881.00","69,134,195.31","3,000,000.00","30,420,443.08","31,722,299.70","39,891,164.98",,"24,217,480.26","24,217,480.26","32,743,543.15",,"10,586,559.95","10,586,699.90","10,586,699.90",,"8,132,085.86","21,173,309.01","21,173,399.60",,"10,586,700.10","10,586,700.10","10,586,700.00",,"10,586,700.00","10,586,700.00","10,699,200.00","689,654.83","10,586,700.00","10,586,700.00","10,736,700.00"
处置固定资产、无形资产和其他长期资产收回的现金净额,,,,,,,,,"39,626.25","39,626.25","38,226.25",,,,,,,,,"50,000.00","71,000.00","72,600.00","72,600.00",400.00,400.00,400.00,"44,650.00",465.00,"212,550.00","212,550.00","733,225.00",,,"1,200.00","1,200.00"
筹资活动产生的现金流量净额,"-13,557,642.30","-9,376,193.66","1,310,529.26","2,683,940.52","-1,140,503.75","432,095,029.18","427,404,548.18","9,603,022.84","-10,704,148.02","-5,237,251.44","-6,680,096.14","6,372,469.14","-2,274,390.24","2,748,075.63","-7,445,651.06","1,860,580.38","-4,301,220.81","148,940.83","9,721,298.00","250,576.43","-3,854,712.27","-15,985,633.28","-11,172,564.86","318,966.85","-6,499,398.93","-5,836,987.04","-1,054,828.98","1,454,934.48","1,564,338.60","2,218,508.15","2,151,663.87",,"-7,215,595.85","-6,888,402.45","-6,969,584.05"
处置子公司及其他营业单位收到的现金净额,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
四、汇率变动对现金的影响,,"-2,149.83",-143.05,"-3,601.20",,,"-24,256.91",,"-21,277.38","-21,781.35","-60,861.22",-387.61,"-1,229,692.93","437,333.63","5,011,173.81","-236,602.67","-1,705,819.13","-307,605.90","3,585,127.66","4,202,555.85","7,802,348.23","7,032,673.13","9,157,677.00","743,624.42","3,929,440.31","5,393,323.72","8,233,847.77","-277,488.51","2,033,698.52","2,340,190.41","7,140,514.69","-1,059,783.99","-1,970,808.40","-2,359,897.69","-3,858,269.52"
收到其他与投资活动有关的现金,,,,,"1,000,000.00","1,300,000.00","1,300,000.00","108,278.00","108,278.00","128,278.00","33,000.00",,,,,,,,,,,"59,448.00","680,000.00",,,,,,,,,,,,"11,051,400.00"
四(2)、其他原因对现金的影响,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
投资活动现金流入小计,"18,000,000.00",,,,"1,000,000.00","1,300,000.00","1,300,000.00","108,278.00","147,904.25","167,904.25","71,226.25",,,,,,,,,"50,000.00","71,000.00","132,048.00","47,826,731.78","101,135,668.19","126,660,662.36","239,138,636.11","281,210,805.01","16,100,697.88","46,588,782.88","191,459,234.94","370,623,192.06","152,925,287.66","331,808,578.89","478,967,435.21","1,020,648,531.67"
五、现金及现金等价物净增加额,"22,075,445.13","13,821,256.07","-25,817,233.44","12,033,838.60","33,438,103.66","469,129,801.78","462,964,034.60","-10,605,418.21","-27,148,142.27","-17,187,971.68","-84,530,319.47","5,505,545.68","30,013,637.58","1,429,827.54","27,556,052.44","-14,419,926.46","-32,031,228.72","-28,325,682.53","-13,464,901.14","-8,584,402.75","52,255,322.68","55,961,511.40","-71,753,042.50","-20,280,509.08","-7,110,818.84","23,095,433.09","-21,526,654.95","-47,125,418.16","-37,763,488.68","-71,336,023.72","78,784,386.35","-111,098,745.90","-303,524,473.08","-330,494,148.06","-22,172,611.36"
购建固定资产、无形资产和其他长期资产支付的现金,"17,051,811.46","2,536,387.64","14,810,344.22","15,151,104.49","4,140,929.48","9,575,037.41","16,090,337.82","10,341,311.15","19,557,150.93","24,931,427.22","47,962,124.81","11,694,463.07","35,350,685.61","34,122,372.53","38,964,245.75","6,339,593.30","14,520,587.74","20,864,473.21","26,991,199.76","2,617,841.75","5,682,621.37","9,949,351.35","11,173,449.02","1,987,225.40","3,094,658.03","4,481,786.65","4,833,706.26","957,300.24","2,372,620.87","3,565,525.23","3,925,072.79","189,439.05","393,409.05","523,950.85","1,280,174.40"
期初现金及现金等价物余额,"10,626,026.68","32,701,471.81","46,522,727.88","46,522,727.88","58,556,566.48","58,556,566.48","58,556,566.48","521,520,601.08","521,520,601.08","521,520,601.08","521,520,601.08","436,990,281.61","436,990,281.61","437,061,131.19","436,990,281.61","464,546,334.05","464,546,334.05","464,546,334.05","464,546,334.05","451,081,432.91","450,922,294.86","450,922,294.86","451,081,432.91","379,328,390.41","379,328,390.41","379,328,390.41","379,328,390.41","357,801,735.46","357,801,735.46","357,801,735.46","357,801,735.46","436,586,121.81","436,586,121.81","436,586,121.81","436,586,121.81"
投资支付的现金,,,"11,000,000.00",,,,,,,,,,,,,,,,"743,272.50",,,,"192,300,000.00","100,000,000.00","130,000,000.00","240,000,000.00","356,000,000.00","70,000,000.00","100,000,000.00","287,000,000.00","335,000,000.00","253,490,000.00","611,540,000.00","787,550,000.00","1,054,220,000.00"
期末现金及现金等价物余额,"32,701,471.81","46,522,727.88","20,705,494.44","58,556,566.48","91,994,670.14","527,686,368.26","521,520,601.08","510,915,182.87","494,372,458.81","504,332,629.40","436,990,281.61","442,495,827.29","467,003,919.19","438,490,958.73","464,546,334.05","450,126,407.59","432,515,105.33","436,220,651.52","451,081,432.91","442,497,030.16","503,177,617.54","506,883,806.26","379,328,390.41","359,047,881.33","372,217,571.57","402,423,823.50","357,801,735.46","310,676,317.30","320,038,246.78","286,465,711.74","436,586,121.81","325,487,375.91","133,061,648.73","106,091,973.75","414,413,510.45"
