科目,2011年度,2012年度,2013年度,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月
支付给职工以及为职工支付的现金,"44,552,668.11","53,153,977.21","62,871,501.40","68,326,399.56","91,705,861.51","25,197,125.07","49,484,460.91","72,456,416.07","96,380,577.92","23,315,762.14","45,950,982.06","75,958,054.67","108,239,641.05","32,022,379.36","78,075,105.08","121,855,624.92","192,072,362.91","80,861,519.08","156,847,776.10"
取得借款收到的现金,"82,554,628.13","89,291,680.66","69,139,907.06","92,560,706.94","110,411,961.04","15,000,000.00","15,000,000.00","50,000,000.00","84,311,056.00","76,920,000.00","212,262,441.08","321,643,205.80","300,028,190.45","210,389,500.00","210,389,500.00","630,359,500.00","885,734,486.77","123,585,000.00","411,819,600.00"
支付的各项税费,"33,596,827.74","34,000,870.96","31,488,158.50","28,693,313.51","36,694,933.94","8,645,793.87","20,325,085.66","29,119,594.51","30,977,628.75","9,527,466.64","19,656,884.13","27,068,993.34","37,744,226.11","11,475,989.56","28,257,450.42","34,555,542.09","56,831,698.21","20,640,429.63","34,726,442.19"
收到其他与筹资活动有关的现金,"14,380,749.94",,"1,100,006.42",,,"2,195,107.03",,,,,,,"65,754,477.31",,,,"240,393,693.18",,
支付其他与经营活动有关的现金,"22,646,407.74","27,160,824.66","33,432,324.03","33,343,895.25","43,292,612.50","13,462,738.02","21,627,261.37","35,287,128.41","51,897,834.12","13,732,334.16","29,009,172.74","47,894,960.35","64,725,052.41","36,286,201.81","64,864,518.41","101,535,771.13","94,996,071.02","39,345,133.19","71,924,024.34"
筹资活动现金流入小计,"97,335,378.07","90,891,680.66","70,239,913.48","92,560,706.94","110,411,961.04","198,195,107.03","196,000,000.00","273,106,364.00","307,414,576.00","79,573,200.00","221,665,641.08","1,261,229,408.87","1,306,670,325.86","266,101,500.00","265,493,500.00","685,463,500.00","1,197,475,236.18","124,653,340.00","412,887,940.00"
经营活动现金流出小计,"397,914,844.53","280,901,793.57","249,484,229.10","242,872,134.88","320,659,915.93","71,999,810.00","153,731,727.40","244,813,985.56","306,230,259.47","72,444,287.35","192,572,146.55","308,297,441.96","500,633,405.23","171,947,502.00","432,797,777.00","668,334,745.62","933,295,517.53","327,885,521.97","646,091,063.90"
偿还债务支付的现金,"61,867,518.44","89,247,555.94","57,606,952.34","78,585,672.35","93,225,339.53","10,000,000.00","80,000,000.00","80,000,000.00","120,090,000.00","21,920,000.00","21,920,000.00","207,212,703.42","304,168,205.59","100,179,906.46","128,482,419.20","199,482,419.20","278,239,822.94","169,970,000.00","178,670,000.00"
经营活动产生的现金流量净额,"54,446,273.00","30,863,596.75","25,481,773.97","3,304,348.07","-1,721,053.67","-5,679,661.31","-22,425,294.09","-24,631,684.30","8,363,408.27","-17,226,739.19","-37,773,035.71","-63,719,825.04","-65,288,713.38","-50,436,938.74","-59,326,577.93","-34,829,746.27","-22,312,627.55","-134,073,081.52","-89,203,098.44"
分配股利、利润或偿还利息支付的现金,"32,973,472.95","13,335,922.04","23,149,546.48","17,670,566.33","18,515,744.78","1,271,081.29","9,908,259.08","14,246,434.21","14,130,844.07","836,575.20","50,584,510.12","51,961,593.11","53,666,203.80","204,958.78","48,272,080.05","59,569,809.32","65,188,910.13","5,173,804.52","93,970,610.31"
收回投资收到的现金,"18,752,522.71",,"1,000.00",,,,,,"46,000,000.00","30,000,000.00","77,000,000.00","96,000,000.00","30,000,000.00","575,545,396.45","856,745,396.45","1,701,545,396.45","2,120,400,000.00","415,000,000.00","796,000,000.00"
支付其他与筹资活动有关的现金,"4,583,705.34","2,071,605.87","799,396.21","512,000.00","512,000.00",,"4,575,320.90","8,455,320.90","10,760,000.00",,,"158,890.14","68,855,422.87","478,051.00","20,488,100.88","15,425,475.58","257,786,138.42","377,188.00","61,088,198.48"
取得投资收益收到的现金,,,,,,,,,"31,540.41",,"349,625.86","352,592.98","144,886.13","1,635,953.33","3,053,898.70","5,291,617.44","12,673,208.24","2,886,821.20","6,280,809.69"
筹资活动现金流出小计,"99,424,696.73","104,655,083.85","81,555,895.03","96,768,238.68","112,253,084.31","11,271,081.29","94,483,579.98","102,701,755.11","144,980,844.07","22,756,575.20","72,504,510.12","259,333,186.67","426,689,832.26","100,862,916.24","197,242,600.13","274,477,704.10","601,214,871.49","175,520,992.52","333,728,808.79"
处置固定资产、无形资产和其他长期资产收回的现金净额,"188,754.78","61,400.00","38,000.00","239,789.84","240,689.84",,"130,000.00","130,000.00","158,946.52",,275.00,"140,775.00","1,552,062.30","85,485.81","115,795.81","262,311.38","497,754.04",100.00,100.00
筹资活动产生的现金流量净额,"-2,089,318.66","-13,763,403.19","-11,315,981.55","-4,207,531.74","-1,841,123.27","186,924,025.74","101,516,420.02","170,404,608.89","162,433,731.93","56,816,624.80","149,161,130.96","1,001,896,222.20","879,980,493.60","165,238,583.76","68,250,899.87","410,985,795.90","596,260,364.69","-50,867,652.52","79,159,131.21"
处置子公司及其他营业单位收到的现金净额,,,,,,,,,,,,,,,,,,,
四、汇率变动对现金的影响,"300,739.65","-621,307.81","14,032.87","1,608,793.73","2,548,107.53","-11,106.68","114,429.15","231,488.61","719,031.91","97,829.52","65,191.95","120,180.51","-1,127,346.82","83,832.81","743,690.85","3,593,160.05","-4,243,973.81","-403,174.54","432,883.08"
收到其他与投资活动有关的现金,"615,630.27",,,,,,,,"15,220,000.00",,,,"16,410,000.00",,"51,220,000.00","51,220,000.00","59,220,000.00",,
四(2)、其他原因对现金的影响,,,,,,,,,,,,,,,,,,,
投资活动现金流入小计,"19,556,907.76","61,400.00","39,000.00","239,789.84","240,689.84",,"130,000.00","130,000.00","61,410,486.93","30,000,000.00","77,349,900.86","96,493,367.98","48,106,948.43","577,266,835.59","911,135,090.96","1,758,319,325.27","2,192,790,962.28","417,886,921.20","802,280,909.69"
五、现金及现金等价物净增加额,"3,146,841.00","-322,014.96","17,596.68","-13,311,805.92","-17,690,058.42","179,353,353.88","35,065,301.62","43,151,130.10","15,202,272.44","66,605,355.28","112,771,126.38","243,921,519.77","112,327,248.78","285,507,817.40","94,246,832.62","208,293,110.49","211,533,701.34","-188,578,469.62","-59,823,104.18"
购建固定资产、无形资产和其他长期资产支付的现金,"38,833,785.71","16,862,300.71","14,201,228.61","14,257,205.82","16,916,678.85","1,501,245.85","41,870,253.46","85,583,283.10","109,324,386.60","3,009,545.85","18,692,582.68","55,878,890.44","116,840,009.63","27,554,996.02","161,676,499.50","194,952,209.49","235,952,158.61","19,921,482.24","57,042,929.72"
期初现金及现金等价物余额,"31,658,991.81","34,805,832.81","34,483,817.85","34,501,414.53","34,501,414.53","16,811,356.11","16,811,356.11","16,811,356.11","16,811,356.11","33,409,628.55","32,013,628.55","37,896,486.88","32,013,628.55","145,835,898.44","144,340,877.33","144,340,877.33","144,340,877.33","355,874,578.67","355,874,578.67"
投资支付的现金,"30,233,975.04",,,,,,"2,400,000.00","17,400,000.00","108,400,000.00","72,814.00","57,339,479.00","734,989,535.44","554,786,981.75","379,089,500.00","542,850,650.00","1,612,794,093.34","2,023,740,597.75","401,200,000.00","729,550,000.00"
期末现金及现金等价物余额,"34,805,832.81","34,483,817.85","34,501,414.53","21,189,608.61","16,811,356.11","196,164,709.99","51,876,657.73","59,962,486.21","32,013,628.55","100,014,983.83","144,784,754.93","281,818,006.65","144,340,877.33","431,343,715.84","238,587,709.95","352,633,987.82","355,874,578.67","167,296,109.05","296,051,474.49"
