科目,2013年度,2014年度,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度
收到其他与筹资活动有关的现金,,,,,,,,,,,
支付其他与经营活动有关的现金,"81,007,893.34","280,198,012.47","502,906,034.00","594,086,024.25","609,173,360.02","621,862,929.96","733,455,058.64","151,008,068.27","164,147,953.69","182,981,241.51","262,022,619.18"
筹资活动现金流入小计,"498,000,000.00","540,000,000.00","459,000,000.00","766,700,200.00","796,092,703.00","1,112,426,039.00","1,236,920,138.00","322,000,000.00","333,327,840.00","333,327,840.00","413,327,646.20"
经营活动现金流出小计,"488,301,313.79","723,741,555.97","867,619,320.27","716,066,131.17","832,212,420.51","1,015,394,491.35","1,158,713,171.23","321,437,841.83","439,187,677.36","645,470,424.60","965,978,090.48"
偿还债务支付的现金,"191,500,000.00","522,000,000.00","359,500,000.00","322,000,000.00","545,000,000.00","545,000,000.00","917,500,000.00","103,340,200.00","153,000,000.00","178,000,000.00","236,000,000.00"
经营活动产生的现金流量净额,"179,506,706.87","344,237,440.96","255,532,732.96","-189,385,763.30","-38,251,648.55","-74,604,232.82","252,990,472.13","-147,254,681.94","-7,425,496.33","137,049,130.95","285,921,245.80"
分配股利、利润或偿还利息支付的现金,"97,574,328.21","59,467,000.88","76,160,357.37","6,312,921.53","64,245,082.97","69,561,003.81","75,778,506.86","6,405,077.76","75,152,214.73","81,859,155.43","87,680,338.36"
收回投资收到的现金,,,,,,,"405,000,000.00","205,000,000.00","472,000,000.00","872,000,000.00","1,172,000,000.00"
支付其他与筹资活动有关的现金,"500,000.00","1,468,000.00","1,322,400.00",,"6,584,333.00","7,090,234.00","6,584,333.00",,"4,599,100.00","5,329,984.00","5,423,209.00"
取得投资收益收到的现金,,,,,,,"75,000.00","507,447.86","9,066,058.02","10,577,291.00","1,540,900.00"
筹资活动现金流出小计,"289,574,328.21","582,935,000.88","436,982,757.37","328,312,921.53","615,829,415.97","621,651,237.81","999,862,839.86","109,745,277.76","232,751,314.73","265,189,139.43","329,103,547.36"
处置固定资产、无形资产和其他长期资产收回的现金净额,"21,107,000.00","2,196,607.04","1,608,405.00",,"117,481.00","117,481.00","109,251.00","110,000.00","164,000.00","170,000.00","170,000.00"
筹资活动产生的现金流量净额,"208,425,671.79","-42,935,000.88","22,017,242.63","438,387,278.47","180,263,287.03","490,774,801.19","237,057,298.14","212,254,722.24","100,576,525.27","68,138,700.57","84,224,098.84"
处置子公司及其他营业单位收到的现金净额,,,,,,,,,,,
四、汇率变动对现金的影响,,,,,,,,,,,
收到其他与投资活动有关的现金,,,,,,,"20,505,479.45","29,406,282.74","40,941,600.00","42,765,275.00","75,155,450.53"
四(2)、其他原因对现金的影响,,,,,,,,,,,
投资活动现金流入小计,"21,107,000.00","2,196,607.04","1,608,405.00",,"117,481.00","117,481.00","425,689,730.45","235,023,730.60","522,171,658.02","925,512,566.00","1,248,866,350.53"
五、现金及现金等价物净增加额,"-166,675,983.65","-16,038,647.22","69,974,778.26","202,333,905.53","25,685,603.25","207,996,576.83","307,238,683.36","-113,005,161.21","-191,606,262.81","-230,066,468.64","103,350,046.10"
购建固定资产、无形资产和其他长期资产支付的现金,"575,715,362.31","319,537,694.34","209,183,602.33","46,667,609.64","116,443,516.23","208,291,472.54","174,098,817.36","78,495,007.11","120,112,769.77","156,133,916.16","288,024,000.56"
期初现金及现金等价物余额,"261,293,372.07","94,617,388.42","78,578,741.20","148,553,519.46","148,553,519.46","148,553,519.46","148,553,519.46","455,792,202.82","455,792,202.82","455,792,202.82","455,792,202.82"
投资支付的现金,,,,,,,"405,000,000.00","325,000,000.00","672,000,000.00","1,172,000,000.00","1,172,000,000.00"
期末现金及现金等价物余额,"94,617,388.42","78,578,741.20","148,553,519.46","350,887,424.99","174,239,122.71","356,550,096.29","455,792,202.82","342,787,041.61","264,185,940.01","225,725,734.18","559,142,248.92"
