科目,2007年1-3月,2007年1-6月,2007年1-9月,2007年度,2008年1-3月,2008年1-6月,2008年1-9月,2008年度,2009年1-3月,2009年1-6月,2009年1-9月,2009年度,2010年1-3月,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月
收回投资收到的现金,,,"289,500,000.00","291,497,539.66","688,579.68","3,636,237.94","3,636,237.94","31,000,787.94",,,,"14,408,530.00",,,,,,,,"127,200,000.00",,,,,"1,000,000.00","1,000,000.00"
支付其他与筹资活动有关的现金,,,,,,,,,,,,,,,,,,,,,,,,,,
取得投资收益收到的现金,,"30,000,000.00","30,000,000.00","30,000,000.00",,"48,701,909.42","48,761,909.42","40,607,239.76",,"43,134,020.00","57,823,690.00","46,982,120.00","6,258,450.00","28,152,940.00","66,392,290.00","108,056,380.00","62,228,090.00","198,363,250.00","311,319,440.00","396,865,770.00","80,981,770.00","177,798,240.00","300,728,260.00","345,924,490.00","94,229,720.00","213,675,920.00"
筹资活动现金流出小计,"157,849,206.56","925,229,562.56","931,263,667.14","1,626,210,185.26","630,178,426.97","3,041,431,003.32","5,224,640,861.51","6,943,860,877.14","1,254,595,000.00","3,390,745,710.00","4,780,735,570.00","5,187,456,310.00","474,401,810.00","1,346,924,030.00","2,053,443,330.00","2,867,652,110.00","1,203,008,230.00","4,281,112,200.00","6,576,412,220.00","9,903,874,120.00","1,674,690,740.00","5,627,754,450.00","9,122,075,990.00","13,118,284,610.00","1,509,629,140.00","8,276,980,000.00"
处置固定资产、无形资产和其他长期资产收回的现金净额,"391,384.89","8,447,872.70","55,461,772.70","73,270,937.32","40,444.33","2,929,253.52","12,632,269.84","24,311,421.18","1,328,000.00","13,428,000.00","19,890,640.00","159,050,930.00","14,463,190.00","16,610,730.00","21,768,870.00","32,321,050.00","14,732,240.00","24,519,950.00","30,252,000.00","51,312,470.00","130,310.00","6,390,420.00","8,688,530.00","14,497,770.00","1,749,680.00","30,328,780.00"
筹资活动产生的现金流量净额,"135,301,427.09","-545,138,816.82","-551,172,921.40","-208,823,790.46","1,685,796,208.93","902,615,586.56","-60,075,784.19","263,556,788.08","-462,114,000.00","-1,293,044,130.00","469,453,810.00","743,681,970.00","204,530,570.00","105,584,070.00","-64,430,670.00","185,088,150.00","5,992,674,610.00","5,300,868,900.00","7,276,445,610.00","6,520,342,730.00","552,872,550.00","1,774,264,950.00","1,892,889,450.00","-1,602,241,380.00","3,039,105,700.00","1,007,620,540.00"
处置子公司及其他营业单位收到的现金净额,,,,,,,"342,621.75","7,215,563.48",,"3,725,540.00","37,485,540.00","38,631,450.00",,,,"17,695,840.00","-3,027,790.00","-3,027,790.00","-3,027,790.00","34,472,210.00",,,,,,
四、汇率变动对现金的影响,,,,,,"-959,081.50",,,,,,,,,,,,,,,,,,,,
收到其他与投资活动有关的现金,,,,,,,,,,,,,,,,,,,,"1,579,030.00",,,,,,
四(2)、其他原因对现金的影响,,,,,,,,,,,,,,,,,,,,,,,,,,
投资活动现金流入小计,"391,384.89","38,447,872.70","374,961,772.70","394,768,476.98","729,024.01","55,267,400.88","65,373,038.95","103,135,012.36","1,328,000.00","60,287,560.00","115,199,870.00","259,073,030.00","20,721,640.00","44,763,670.00","88,161,160.00","158,073,270.00","73,932,540.00","219,855,410.00","338,543,650.00","611,429,480.00","81,112,080.00","184,188,660.00","309,416,790.00","360,422,260.00","96,979,400.00","245,004,700.00"
五、现金及现金等价物净增加额,"-147,245,376.62","335,700,703.11","227,150,075.78","380,087,178.81","530,095,662.47","883,461,193.06","113,620,718.80","164,475,444.96","88,286,000.00","631,168,260.00","2,831,026,320.00","1,687,513,400.00","-121,688,940.00","4,218,105,470.00","5,905,849,450.00","1,418,533,380.00","5,064,318,980.00","5,098,507,920.00","6,465,982,200.00","4,764,304,710.00","-2,259,031,790.00","1,240,446,420.00","1,409,688,410.00","1,369,327,360.00","4,450,218,920.00","5,213,878,890.00"
购建固定资产、无形资产和其他长期资产支付的现金,"97,259,742.17","270,649,036.38","620,503,754.15","1,185,769,908.87","301,217,950.73","684,908,795.87","1,446,267,002.11","2,027,854,631.76","221,887,000.00","544,108,940.00","889,857,300.00","1,123,105,380.00","471,310,810.00","1,118,750,940.00","2,400,782,910.00","3,937,180,370.00","1,029,097,440.00","2,163,262,170.00","3,146,881,180.00","3,852,517,570.00","542,554,730.00","1,228,245,840.00","1,433,348,570.00","1,524,093,120.00","317,733,780.00","702,180,770.00"
期初现金及现金等价物余额,"1,124,618,371.30","1,124,618,371.30","1,124,618,371.30","893,003,058.51","1,305,107,665.61","1,305,107,665.61","1,592,441,555.68","1,407,511,507.12","1,571,987,000.00","1,571,986,950.00","1,571,986,950.00","1,571,986,950.00","3,259,500,350.00","3,259,500,350.00","3,259,500,350.00","3,251,600,360.00","4,670,133,740.00","4,670,133,740.00","4,670,133,740.00","4,670,133,740.00","9,434,438,460.00","9,434,438,460.00","9,434,438,460.00","9,434,438,450.00","10,803,765,810.00","10,803,765,810.00"
投资支付的现金,"162,471,495.77","104,355,685.45","103,040,571.27","253,619,965.08","22,753,109.96","7,753,109.96","7,753,109.96","35,252,409.96","11,430,000.00","20,249,580.00","20,334,680.00","20,334,680.00",,,,,,,,,,,,,,
期末现金及现金等价物余额,"977,372,994.68","1,460,319,074.41","1,351,768,447.08","1,273,090,237.32","1,835,203,328.08","2,188,568,858.67","1,706,062,274.48","1,571,986,952.08","1,660,273,000.00","2,203,155,210.00","4,403,013,270.00","3,259,500,350.00","3,137,811,410.00","7,477,605,820.00","9,165,349,800.00","4,670,133,740.00","9,734,452,720.00","9,768,641,660.00","11,136,115,940.00","9,434,438,450.00","7,175,406,670.00","10,674,884,880.00","10,844,126,870.00","10,803,765,810.00","15,253,984,730.00","16,017,644,700.00"
