科目,2007年1-6月,2007年度,2008年1-6月,2008年1-9月,2008年度,2009年1-3月,2009年1-6月,2009年1-9月,2009年度,2010年1-3月,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月
支付给职工以及为职工支付的现金,"17,370,252.45","33,506,075.61","19,789,158.71","30,690,751.99","39,216,956.62","13,345,378.69","29,473,838.08","42,062,600.97","55,105,599.46","21,039,888.61","37,644,888.44","58,334,607.75","81,841,658.59","28,019,130.78","63,859,337.94","92,904,721.85","136,304,734.56","53,638,961.55","94,485,849.73","132,841,716.62","192,612,480.00","58,205,137.40","100,478,970.32","156,243,238.95","216,380,697.69","62,421,441.30","109,600,158.96","153,106,935.88","204,474,245.03","69,389,795.66","120,255,215.36","183,816,653.02","283,023,705.41","92,715,051.17","193,803,489.71","276,277,553.87","394,006,236.00","114,512,873.24","203,715,537.73","306,064,764.72","457,553,734.10","134,060,294.47","259,064,023.94"
取得借款收到的现金,,"12,000,000.00","23,000,000.00","23,000,000.00","11,000,000.00",,,,,,,,"30,000,000.00",,,,,,,,,,,,"1,000,000.00",,,,,,,,"2,000,000.00","131,686.17",,"20,000,000.00",,,,,,,"13,245,927.95"
支付的各项税费,"5,192,380.14","13,068,436.03","9,461,186.02","18,532,902.31","18,015,995.54","4,192,480.96","9,165,115.56","14,219,889.67","20,634,244.14","4,073,027.38","9,851,667.32","15,336,716.07","20,586,653.96","7,425,580.87","20,482,903.27","24,906,241.22","31,604,196.83","9,101,697.45","23,303,663.69","28,436,688.37","29,640,253.05","10,355,610.09","17,190,928.36","21,254,843.43","30,273,262.44","11,051,402.38","17,595,386.19","27,962,463.88","43,992,015.60","16,453,147.36","22,853,291.93","29,444,770.34","43,642,405.82","40,497,543.48","61,119,226.60","84,357,179.14","98,547,139.84","30,229,247.26","49,808,178.26","75,095,097.00","91,776,268.09","19,612,161.10","35,779,677.14"
收到其他与筹资活动有关的现金,,,,,,,,,,,,,,,,,,,,,"1,865,900.00",,,,,,,,"200,000.00",,,"12,921,768.00",,,,,,,,,,"52,078.44","67,438.44"
支付其他与经营活动有关的现金,"10,385,999.24","27,079,003.17","12,492,282.86","21,790,801.30","33,546,092.78","4,634,941.70","22,834,579.63","52,747,416.52","62,221,375.50","14,311,354.15","36,191,240.18","47,566,055.68","55,677,582.87","24,298,861.05","29,610,801.10","43,495,392.63","55,855,849.48","23,832,320.32","43,139,194.30","73,436,470.03","75,461,792.79","28,035,939.21","57,494,217.28","71,660,455.00","68,330,773.29","14,229,384.73","28,106,614.34","50,206,955.46","82,468,859.34","55,965,810.75","64,655,839.78","69,310,645.02","187,982,553.76","151,615,468.84","105,549,949.34","153,555,491.44","195,867,499.75","54,498,310.64","117,976,646.49","158,792,357.52","152,896,426.88","54,128,498.74","86,443,185.56"
筹资活动现金流入小计,,"12,000,000.00","23,000,000.00","318,178,000.00","301,205,000.00",,,,,"980,000.00","980,000.00","980,000.00","30,980,000.00","4,370,000.00","5,370,000.00","9,540,000.00","12,590,000.00",,"450,000.00","160,000.00","2,475,900.00",,,,"1,000,000.00",,"1,351,500.00","61,159,140.00","332,399,134.71",,"300,000.00","13,521,768.00","454,429,704.00","131,686.17",,"20,090,000.00","760,000.00",,"6,001,625.00","6,001,625.00","10,462,029.00","52,078.44","13,313,366.39"
经营活动现金流出小计,"78,000,636.64","155,292,808.60","78,466,442.73","124,509,654.03","177,441,980.49","50,006,413.62","112,671,828.85","191,240,490.02","263,378,617.18","91,311,501.76","164,501,660.28","230,529,531.83","285,445,267.94","101,157,583.15","187,836,177.30","274,584,590.60","370,922,647.80","109,976,966.00","208,794,823.75","323,014,655.89","406,416,691.61","119,821,755.02","231,732,008.37","351,398,048.76","492,502,413.05","141,883,128.45","299,605,135.92","481,799,872.18","634,585,803.21","203,195,431.75","370,728,176.98","526,417,281.33","843,967,851.50","339,808,425.33","501,628,127.73","737,512,328.73","1,006,659,618.59","272,385,953.19","528,050,725.72","808,177,297.73","1,149,115,172.42","275,060,274.13","648,428,454.51"
偿还债务支付的现金,"15,000,000.00","15,000,000.00",,"12,000,000.00",,"23,000,000.00","23,000,000.00","23,000,000.00","23,000,000.00",,,,,,,,"30,000,000.00",,,,,,,,"1,000,000.00",,,,,,,,"4,358,904.42","21,283,829.99","44,717,684.51","58,310,934.67","1,519,867.62","6,253,618.53","12,668,835.42","19,035,940.09","385,234.39","13,958,479.51",
经营活动产生的现金流量净额,"33,739,025.10","92,970,794.98","48,440,936.63","71,046,983.54","113,265,322.49","6,224,051.32","27,621,302.79","33,994,203.83","89,378,772.24","-11,356,210.42","-3,271,167.63","26,343,763.16","78,677,687.08","-4,600,866.60","-5,514,167.33","-22,528,551.57","25,246,914.72","-22,426,433.42","-48,433,168.85","-55,471,565.04","57,617,192.53","-42,232,706.45","-39,733,159.75","-19,625,448.75","55,533,769.10","28,303,324.72","36,523,048.27","45,889,870.77","108,736,304.87","-47,295,460.78","-43,292,544.42","-25,190,728.25","85,570,103.27","21,780,900.59","-49,920,576.24","-5,396,518.76","199,336,364.79","-28,062,704.61","16,670,613.36","76,387.72","140,955,595.03","-67,660,049.77","-154,617,533.26"
分配股利、利润或偿还利息支付的现金,"436,725.00","36,852,867.68","460,022.50","1,128,172.50","1,673,165.00","81,765.00","8,068,348.30","8,068,348.30","8,068,348.30",,"11,181,216.60","11,181,216.60","11,377,206.60","392,737.50","15,355,459.10","15,799,849.10","14,720,519.24",,"6,541,011.72","9,206,039.71","6,541,011.72",,"5,668,876.82","5,668,876.82","14,045,452.53",,"17,286,091.60","24,886,091.60","36,678,408.61","2,224,191.20","22,907,283.48","25,223,911.80","22,158,907.04","12,618,896.04","22,451,084.11","22,318,866.17","22,777,344.77",,"22,235,582.92","22,156,174.17","22,396,980.37",,"10,857,509.20"
收回投资收到的现金,,,,,,,,,,"11,000,000.00",,,,,,,,"999,065.90",,,,,,,,,,"11,537,548.68","11,537,549.68",,,,,,,"1,539,514.00",,,,,,"111,250.70","321,167.00"
支付其他与筹资活动有关的现金,,,,"3,751,762.33",,,,,,,,,,,,,,,,,"3,331,284.99",,,,,,,,"71,253,372.15",,,,"45,658,113.64","660,368.37",,"3,637,153.54","47,664,189.75",,"19,461,158.32","20,142,699.92","21,990,943.92",,1.00
取得投资收益收到的现金,,"568,382.50",,,,,,,,,,,"557,025.00",,,,,,,,,,,,,,,,,"389,512.08","1,126,947.00","1,328,897.00","1,328,897.00",,,,"115,401.00","750,000.00","1,052,773.54","1,052,773.54","1,052,773.54",,"34,230.38"
筹资活动现金流出小计,"15,436,725.00","51,852,867.68","460,022.50","16,879,934.83","1,673,165.00","23,081,765.00","31,068,348.30","31,068,348.30","31,068,348.30",,"11,181,216.60","11,181,216.60","11,377,206.60","392,737.50","15,355,459.10","15,799,849.10","44,720,519.24",,"6,541,011.72","9,206,039.71","9,872,296.71",,"5,668,876.82","5,668,876.82","15,045,452.53",,"17,286,091.60","24,886,091.60","107,931,780.76","2,224,191.20","22,907,283.48","25,223,911.80","72,175,925.10","34,563,094.40","67,168,768.62","84,266,954.38","71,961,402.14","6,253,618.53","54,365,576.66","61,334,814.18","44,773,158.68","13,958,479.51","10,857,510.20"
处置固定资产、无形资产和其他长期资产收回的现金净额,,,"60,300.00","60,300.00","60,300.00",,,,,"276,900.00","285,354.00","324,914.00","358,881.00",,"146,640.00","146,640.00","148,512.85",,,"181,125.00","204,275.00","8,500.00","27,734.26","111,362.50","834,788.05",68.34,"156,763.67","174,497.28","317,466.20","167,141.25","3,245,451.49","27,304,713.19","30,562,155.74","2,836,615.29","2,839,121.82","2,876,034.98","421,830.90","89,587.33","513,048.01","668,251.41","1,044,333.16","3,777.35","57,066.59"
筹资活动产生的现金流量净额,"-15,436,725.00","-39,852,867.68","22,539,977.50","301,298,065.17","299,531,835.00","-23,081,765.00","-31,068,348.30","-31,068,348.30","-31,068,348.30","980,000.00","-10,201,216.60","-10,201,216.60","19,602,793.40","3,977,262.50","-9,985,459.10","-6,259,849.10","-32,130,519.24",,"-6,091,011.72","-9,046,039.71","-7,396,396.71",,"-5,668,876.82","-5,668,876.82","-14,045,452.53",,"-15,934,591.60","36,273,048.40","224,467,353.95","-2,224,191.20","-22,607,283.48","-11,702,143.80","382,253,778.90","-34,431,408.23","-67,168,768.62","-64,176,954.38","-71,201,402.14","-6,253,618.53","-48,363,951.66","-55,333,189.18","-34,311,129.68","-13,906,401.07","2,455,856.19"
处置子公司及其他营业单位收到的现金净额,,"458,112.08",,,,,,,,,,,,,,,,,"212,428.83","212,428.83","212,428.83",,,,"2,250,000.00",,,,,,,,"100,000.00",,,,,"7,529,962.50","7,494,212.99","15,024,175.49","7,029,962.50",,
四、汇率变动对现金的影响,,,,,,,,,,,,,,,,,,,,,,,,,"-181,709.40","226,888.07","664,357.89","141,873.69","-61,642.46","-74,967.53","-186,159.63","468,897.68","3,489.53","-278,449.18","-553,617.49","1,321,179.05","-1,299,257.11","140,012.64","208,515.29","1,054,043.60","1,828,438.40","-1,500,328.64","458,250.42"
收到其他与投资活动有关的现金,,"28,000,000.00","10,308,664.30","10,308,664.30","29,839,764.11","11,355,851.88","26,811,002.61","73,768,144.94","295,885,923.93","706,457.00","48,697,217.09","173,607,284.66","346,034,596.61","50,935,058.83","99,241,790.95","344,448,498.19","363,874,121.55","58,282,291.99","93,182,212.39","254,137,031.75","153,825,476.22","15,925,661.40","107,921,961.35","249,612,245.07","8,411,440.21","104,459,431.65","555,821,712.13","564,012,788.92","165,554,068.77","1,242,736.24","4,543,616.33","3,959,201.56","10,760,562.39","27,913,911.09","257,716,191.59","127,906,556.91","136,096,352.73","14,839,752.08","23,872,448.40","34,465,235.76","68,535,901.81","23,375,337.01","53,953,784.89"
四(2)、其他原因对现金的影响,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
投资活动现金流入小计,,"29,026,494.58","10,368,964.30","10,368,964.30","29,900,064.11","11,355,851.88","26,811,002.61","73,768,144.94","295,885,923.93","11,983,357.00","48,982,571.09","173,932,198.66","346,950,502.61","50,935,058.83","99,388,430.95","344,595,138.19","364,022,634.40","59,281,357.89","93,394,641.22","254,530,585.58","154,242,180.05","15,934,161.40","107,949,695.61","249,723,607.57","11,496,228.26","104,459,499.99","555,978,475.80","575,724,834.88","177,409,084.65","1,799,389.57","8,916,014.82","32,592,811.75","42,751,615.13","30,750,526.38","260,555,313.41","132,322,105.89","136,633,584.63","23,209,301.91","32,932,482.94","51,210,436.20","77,662,971.01","23,490,365.06","54,366,248.86"
五、现金及现金等价物净增加额,"7,041,764.24","27,889,431.73","48,103,727.17","342,919,634.26","46,829,865.98","-10,693,248.69","-7,788,255.04","-15,185,276.15","137,444,487.72","-55,469,337.78","-97,319,179.98","-108,066,304.81","71,763,990.27","7,404,052.86","-87,477,347.84","-109,335,253.27","-76,577,359.81","2,939,744.11","-1,008,965.34","22,869,038.33","52,633,652.80","-112,035,616.84","-202,742,791.01","-126,281,669.71","-158,008,231.48","-3,887,338.18","-16,781,499.48","10,002,509.29","415,461,311.99","-204,407,287.44","-343,570,525.67","-297,011,433.69","10,158,578.41","-237,604,588.42","-215,217,408.86","-327,123,299.03","-121,634,697.41","-60,967,119.48","-88,729,567.01","-100,029,483.91","55,470,822.20","-101,837,264.74","-130,328,247.06"
购建固定资产、无形资产和其他长期资产支付的现金,"4,270,535.86","37,264,990.15","12,591,672.28","16,139,899.77","20,195,555.62","5,191,386.89","11,152,212.14","24,879,276.62","26,235,507.53","5,635,284.36","7,488,166.84","13,984,150.03","17,873,591.72","10,068,814.51","40,827,565.00","45,073,403.43","50,569,998.67","4,961,440.33","9,185,685.96","70,643,702.47","78,802,821.58","3,732,321.79","5,481,450.05","7,385,504.96","8,043,234.22","798,621.48","1,763,842.37","4,696,228.20","6,992,037.95","1,549,014.61","23,248,345.66","26,296,707.34","34,613,696.43","3,406,524.52","74,376,107.92","102,095,910.11","119,854,606.60","28,086,224.62","56,401,416.80","89,984,769.12","98,050,578.44","9,839,421.70","18,052,011.14"
期初现金及现金等价物余额,"75,812,119.88","47,812,119.88","75,701,551.61","75,701,551.61","75,701,551.61","122,531,417.59","122,531,417.59","122,531,417.59","122,531,417.59","259,975,905.31","259,975,905.31","267,354,940.02","259,975,905.31","331,739,895.58","331,739,895.58","331,739,895.58","331,739,895.58","255,162,535.77","255,162,535.77","255,162,535.77","255,162,535.77","307,796,188.57","307,796,188.57","307,796,188.57","307,796,188.57","149,787,957.09","149,787,957.09","149,787,957.09","149,787,957.09","565,249,269.08","565,249,269.08","565,249,269.08","565,249,269.08","575,407,847.49","575,407,847.49","575,407,847.49","575,407,847.49","453,873,150.08","453,773,150.08","453,773,150.08","453,773,150.08","509,243,972.28","509,243,972.28"
投资支付的现金,,,"20,654,478.98","20,654,478.98","20,671,800.00",,,,,"51,441,200.00",,"14,700,000.00","42,344,500.54","2,568,587.36","4,538,587.36","13,068,587.36","12,000,000.00","200,000.00","3,672,256.79","27,000,000.00",,"5,500,000.00","6,385,000.00","7,754,400.00","12,613,500.00","18,456,300.00","46,872,308.00","70,491,008.00","87,496,012.00","10,268,400.00","46,749,075.10","95,531,898.64","36,810,412.00","252,019,633.46","95,550,959.41","95,549,845.41","69,100,000.00","600,000.00","4,600,000.00","4,600,000.00","7,600,000.00",,"1,050,000.00"
期末现金及现金等价物余额,"82,853,884.12","75,701,551.61","123,805,278.78","418,621,185.87","122,531,417.59","111,838,168.90","114,743,162.55","107,346,141.44","259,975,905.31","204,506,567.53","162,656,725.33","159,288,635.21","331,739,895.58","339,143,948.44","244,262,547.74","222,404,642.31","255,162,535.77","258,102,279.88","254,153,570.43","278,031,574.10","307,796,188.57","195,760,571.73","105,053,397.56","181,514,518.86","149,787,957.09","145,900,618.91","133,006,457.61","159,790,466.38","565,249,269.08","360,841,981.64","221,678,743.41","268,237,835.39","575,407,847.49","337,803,259.07","360,190,438.63","248,284,548.46","453,773,150.08","392,906,030.60","365,043,583.07","353,743,666.17","509,243,972.28","407,406,707.54","378,915,725.22"
