科目,2007-03-31,2007-06-30,2007-09-30,2007-12-31,2008-03-31,2008-06-30,2008-09-30,2008-12-31,2009-03-31,2009-06-30,2009-09-30,2009-12-31,2010-03-31,2010-06-30,2010-09-30,2010-12-31,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30
一年内到期的非流动资产,,,,,,,,,,,,,,,,"2,980,000.00","2,230,000.00","1,480,000.00","730,000.00",,"3,167,226.15",,,,,,,"38,195.44","38,195.44",,,"38,195.44","38,195.44","38,195.44",,,,,,,,,
一年内到期的非流动负债,"120,810,000.00","120,436,639.90","106,000,000.00","118,740,014.50","12,740,014.50","12,740,014.50","12,740,014.50",,,"106,000,000.00","106,000,000.00","106,000,000.00",,,,"106,000,000.00","106,000,000.00","106,000,000.00","106,000,000.00",,,,,"106,000,000.00","106,000,000.00","106,000,000.00","106,000,000.00",,"3,710,000,000.00","3,697,000,000.00","3,792,000,000.00","910,821,227.22","430,821,227.22","694,221,253.87","294,221,253.87","1,489,321,253.87","1,489,321,253.87","3,995,844,453.87","4,895,844,453.87","4,495,844,453.87","4,495,844,453.87","4,315,949,717.03","3,415,949,717.03"
其他流动资产,,,,,,,,,,,,,,,,,"338,721,574.24","478,164,134.24","129,825,660.14","52,038,847.34","137,217,911.74","163,472,104.23","142,683,357.65","304,714,664.68","245,054,663.13","262,502,400.73","252,726,092.85","4,238,487,899.41","2,805,697,904.77","2,051,857,277.48","2,029,777,123.69","15,450,691.67","3,248,252.96","16,309,456.38","41,952,454.95","15,979,455.17","8,817,397.67","5,035,155.19","6,131,743.32","43,651,334.09","39,629,441.14","178,676,832.79","206,853,912.61"
其他流动负债,,,,,,,,,,,,,,,,,,"10,698,540.87","917,259.12","13,181,899.92","10,115,739.72","7,049,579.52","3,983,419.32","13,181,899.92","10,115,739.72","7,049,579.52","3,983,419.32","4,128,521,994.10","14,221,253.87","12,264,640.80","13,894,293.40",,,,,,,,,,,,
流动资产合计,"7,967,094,848.40","7,381,030,669.88","7,491,273,556.66","7,356,947,544.79","7,500,329,462.12","7,420,707,509.28","7,453,113,450.05","5,939,984,293.92","6,009,438,257.60","6,885,260,484.84","7,193,187,771.31","6,665,842,411.48","7,035,212,020.16","6,684,848,292.15","7,573,052,836.99","5,829,097,626.92","5,472,351,631.15","5,651,336,627.24","4,598,778,077.01","4,333,983,950.78","4,333,617,535.67","3,813,722,381.84","3,703,037,932.99","2,956,711,030.70","2,599,940,738.98","2,462,470,583.55","2,523,349,057.91","6,190,941,209.38","9,138,965,332.56","8,220,239,933.87","8,398,287,266.93","5,876,458,128.45","6,083,497,301.85","6,401,777,399.28","6,266,975,909.62","4,719,206,978.90","4,718,144,906.38","13,085,523,785.11","14,280,063,094.32","13,997,077,300.74","16,828,554,483.87","20,101,958,876.18","20,227,816,381.62"
流动负债合计,"5,437,837,389.62","6,183,456,589.49","6,504,900,345.48","6,548,082,036.82","6,570,088,185.15","6,965,836,715.33","6,848,428,020.57","5,851,167,389.04","5,962,911,419.68","6,542,772,329.62","6,754,172,501.13","6,844,686,121.59","6,932,258,267.75","6,743,291,649.41","7,087,073,268.31","5,430,933,810.13","5,155,010,822.21","5,575,204,383.50","4,875,404,386.81","4,836,874,513.53","4,983,372,757.32","4,976,204,199.61","4,875,443,113.05","4,988,464,749.04","4,906,693,595.01","4,796,034,943.60","4,912,473,710.00","6,279,388,966.50","29,061,253,811.49","28,260,388,922.96","28,996,358,417.45","25,753,063,471.01","25,128,633,128.90","25,609,087,207.07","25,982,483,807.68","27,949,662,936.65","28,197,708,564.94","52,974,374,806.09","54,276,788,858.27","52,803,999,962.91","54,321,892,494.47","57,032,479,551.65","56,169,638,551.94"
可供出售金融资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,806,713,483.20","6,253,836,328.70","6,439,011,095.96","7,066,547,807.23","5,739,461,975.20","7,427,244,454.68","6,326,483,338.19","6,069,296,161.44","9,594,779,175.96","8,982,529,951.76","11,400,089,413.21","10,097,462,442.39","8,183,989,847.37"
长期借款,"3,348,909,000.00","3,548,909,000.00","3,548,909,000.00","3,548,909,000.00","3,654,909,000.00","3,654,909,000.00","3,654,909,000.00","3,654,909,000.00","3,654,909,000.00","3,548,909,000.00","3,548,909,000.00","3,548,909,000.00","3,654,909,000.00","3,654,909,000.00","3,654,909,000.00","3,548,909,000.00","3,548,909,000.00","3,548,909,000.00","3,548,909,000.00","3,654,909,000.00","3,654,909,000.00","3,374,909,000.00","3,374,909,000.00","3,268,909,000.00","3,268,909,000.00","3,268,909,000.00","3,308,909,000.00","1,985,949,000.00","2,680,949,000.00","2,623,148,973.35","4,244,859,973.35","3,049,949,000.00","3,992,078,973.35","3,786,899,000.00","4,066,429,000.00","3,200,000,000.00","3,200,000,000.00","26,899,040,000.00","26,499,040,000.00","23,715,040,000.00","23,716,040,000.00","23,485,040,000.00","23,485,040,000.00"
持有至到期投资,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应付债券,"231,329,600.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3,000,000,000.00","3,000,000,000.00","3,000,000,000.00","3,000,000,000.00","7,000,000,000.00","7,000,000,000.00","7,000,000,000.00","7,000,000,000.00"
长期应收款,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
长期应付款,"121,539,980.47","112,819,339.47","107,279,985.69",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
长期股权投资,"571,563,233.29","1,088,865,200.00","1,089,903,692.00","1,124,403,692.00","1,144,434,134.50","1,157,753,692.00","1,157,753,692.00","1,223,000,932.18","1,427,000,932.18","1,243,000,932.18","1,253,000,932.18","1,272,000,932.18","1,272,000,932.18","1,312,000,932.18","1,509,833,814.18","1,508,086,143.28","1,600,376,007.21","1,596,454,362.30","1,602,353,095.09","1,608,591,215.60","1,619,454,170.32","1,624,139,863.10","1,664,243,320.50","2,204,626,268.88","2,350,669,914.17","2,319,655,982.24","2,316,287,616.77","2,279,765,901.68","2,902,416,328.43","2,911,363,699.80","790,202,711.11","763,238,909.88","748,174,484.68","717,248,984.03","670,378,045.51","629,694,374.07","631,701,896.94","2,111,372,751.75","2,150,884,540.87","2,249,443,808.99","2,261,334,018.81","2,295,194,784.52","2,333,444,554.88"
专项应付款,,,,,,,,"3,000,000.00","3,100,000.00","3,870,000.00","3,870,000.00","3,360,000.00","2,000,000.00","2,000,000.00","2,000,000.00","2,000,000.00","2,000,000.00","2,000,000.00","2,000,000.00","2,000,000.00","2,000,000.00","2,000,000.00","2,000,000.00","370,239.12","370,239.12","370,239.12","370,239.12",,"2,100,000.00","2,100,000.00","2,100,000.00","2,900,000.00","2,900,000.00","4,300,000.00","4,300,000.00","3,000,000.00","3,000,000.00","3,000,000.00","3,000,000.00","3,000,000.00","2,100,000.00","2,100,000.00","2,100,000.00"
投资性房地产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
预计负债,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
固定资产,"4,676,050,013.05","4,536,487,804.62","4,427,227,180.86","4,518,982,782.70","5,792,735,170.23","5,707,300,099.69","6,696,433,881.32","7,422,351,836.90","7,274,856,112.27","7,107,899,065.36","6,963,455,729.10","10,131,769,823.44","9,945,843,741.04","9,768,467,745.09","9,594,841,638.13","9,422,061,454.65","9,345,915,598.98","9,244,091,840.69","9,139,995,969.32","9,046,004,454.94","8,941,222,606.37","8,835,178,996.02","8,729,021,138.91","8,646,956,568.52","8,534,344,947.49","8,591,318,511.69","8,505,432,112.50","5,178,688,130.95","35,174,976,167.04","34,660,891,690.46","34,183,933,352.27","37,263,684,213.71","36,703,115,985.92","36,163,971,363.07","35,642,923,435.07","35,063,230,472.23","34,514,569,056.49","74,928,053,311.87","73,732,236,256.13","78,426,590,738.49","77,181,102,485.94","75,993,675,533.97","74,775,035,581.74"
递延所得税负债,"7,811,131.57",,,,,"2,137.50",,,,"4,492,699.09","4,492,699.09","1,796,666.67","722,916.67",,,,,,,,,,,,,,,,"403,832,622.83","348,307,988.56","536,065,973.95","1,687,682,522.75","1,733,976,214.56","1,857,839,392.18","1,526,067,934.18","2,146,913,032.85","1,834,638,464.15","1,903,733,369.50","2,838,807,766.02","2,704,079,830.95","3,308,469,696.31","2,969,203,291.96","2,483,432,959.35"
在建工程,"3,690,358,540.26","4,511,015,303.65","4,977,796,596.84","5,128,891,262.72","4,029,517,083.18","4,277,836,729.12","3,230,001,808.30","2,692,260,681.30","2,751,492,292.36","2,875,892,439.51","2,924,559,753.71","210,351,166.44","343,217,237.24","369,058,786.75","406,006,729.23","543,678,135.51","602,668,899.41","877,426,739.49","1,123,753,007.26","1,281,014,899.21","1,316,897,735.36","1,400,704,841.69","1,464,065,373.19","1,638,744,129.88","1,694,162,874.25","1,560,720,404.73","1,598,311,656.97","1,520,249,108.95","11,320,008,746.86","11,828,008,846.02","12,349,724,814.29","9,366,233,239.23","9,709,730,464.44","10,246,568,448.78","11,109,647,714.78","10,667,031,982.15","10,896,088,922.70","22,932,031,467.40","24,076,922,331.15","19,594,446,208.29","20,295,203,166.68","21,452,888,154.73","23,074,542,560.89"
其他非流动负债,,,,"90,000,000.00","90,000,000.00","90,000,000.00","90,000,000.00","90,000,000.00","90,000,000.00","90,000,000.00","90,000,000.00","99,742,724.00","109,064,945.94","127,685,031.90","128,185,031.90","163,803,869.34","104,682,970.17","126,812,837.30","122,828,408.00","73,587,844.80","73,587,844.80","73,587,844.80","73,587,844.80","61,323,204.00","61,323,204.00","61,323,204.00","61,323,204.00","49,058,563.20","7,122,178,219.79","7,137,396,578.78","5,018,865,008.33","7,078,958,364.55","7,097,590,401.85","7,116,925,234.42","7,136,955,205.88","7,157,045,515.81","7,177,830,964.63","7,200,288,574.98","7,226,221,879.77","7,253,263,578.59","7,283,445,615.89","7,314,298,365.13","7,345,151,114.37"
工程物资,,,,,,,,,,,,,,,"414,554.59","884,350.07","882,404.76","41,852.43","40,609.94","37,913.47","30,144.04","1,021,950.45","1,300,141.68","4,955,707.94","4,463,717.74","4,028,581.69","2,739,299.83","2,608,266.96","130,754,355.32","133,679,655.24","138,944,569.98","143,423,281.22","138,017,175.93","142,289,067.33","146,910,707.96","146,015,543.61","164,175,923.95","683,530,865.79","693,384,472.46","924,145,564.73","971,496,640.00","882,004,550.05","825,029,334.74"
非流动负债合计,"3,709,589,712.04","3,661,728,339.47","3,656,188,985.69","3,638,909,000.00","3,744,909,000.00","3,744,911,137.50","3,744,909,000.00","3,747,909,000.00","3,748,009,000.00","3,647,271,699.09","3,647,271,699.09","3,653,808,390.67","3,766,696,862.61","3,784,594,031.90","3,785,094,031.90","3,714,712,869.34","3,655,591,970.17","3,677,721,837.30","3,673,737,408.00","3,730,496,844.80","3,730,496,844.80","3,450,496,844.80","3,450,496,844.80","3,330,602,443.12","3,330,602,443.12","3,330,602,443.12","3,370,602,443.12","2,035,007,563.20","10,209,059,842.62","10,110,953,540.69","9,801,890,955.63","11,888,346,083.78","12,892,606,651.60","12,828,469,632.46","12,795,903,089.94","15,600,539,442.57","15,305,470,266.72","39,144,128,838.24","39,702,307,183.58","40,822,013,979.57","41,464,725,026.26","40,924,737,357.28","40,466,042,602.15"
固定资产清理,"100,000.00","6,623,773.67","210,798.74",,,,"4,767,188.86",,,"120,891.30","3,190,859.21",,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,093,370.53",,"1,580,005.68",,
负债合计,"9,147,427,101.66","9,845,184,928.96","10,161,089,331.17","10,186,991,036.82","10,314,997,185.15","10,710,747,852.83","10,593,337,020.57","9,599,076,389.04","9,710,920,419.68","10,190,044,028.71","10,401,444,200.22","10,498,494,512.26","10,698,955,130.36","10,527,885,681.31","10,872,167,300.21","9,145,646,679.47","8,810,602,792.38","9,252,926,220.80","8,549,141,794.81","8,567,371,358.33","8,713,869,602.12","8,426,701,044.41","8,325,939,957.85","8,319,067,192.16","8,237,296,038.13","8,126,637,386.72","8,283,076,153.12","8,314,396,529.70","39,270,313,654.11","38,371,342,463.65","38,798,249,373.08","37,641,409,554.79","38,021,239,780.50","38,437,556,839.53","38,778,386,897.62","43,550,202,379.22","43,503,178,831.66","92,118,503,644.33","93,979,096,041.85","93,626,013,942.48","95,786,617,520.73","97,957,216,908.93","96,635,681,154.09"
生产性生物资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
实收资本(或股本),"2,905,399,262.00","2,966,526,057.00","2,966,526,057.00","2,966,526,057.00","2,966,526,057.00","2,966,526,057.00","2,966,526,057.00","2,966,526,057.00","2,966,526,057.00","2,966,526,057.00","2,966,526,057.00","2,966,526,057.00","2,966,526,057.00","2,966,526,057.00","2,966,526,057.00","2,966,526,057.00","2,966,526,057.00","2,966,526,057.00","2,966,526,057.00","2,966,526,057.00","2,966,526,057.00","2,966,526,057.00","2,966,526,057.00","2,966,526,057.00","2,966,526,057.00","2,966,526,057.00","2,966,526,057.00","2,966,526,057.00","5,289,389,600.00","5,289,389,600.00","5,289,389,600.00","5,289,389,600.00","5,289,389,600.00","5,289,389,600.00","5,289,389,600.00","5,289,389,600.00","5,289,389,600.00","5,289,389,600.00","5,289,389,600.00","5,289,389,600.00","5,289,389,600.00","5,289,389,600.00","5,289,389,600.00"
油气资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
资本公积,"3,318,514,170.69","3,416,914,179.10","3,416,914,179.10","3,394,862,711.23","3,394,862,711.23","3,372,842,933.49","3,372,842,933.49","3,350,823,155.75","3,348,655,214.43","3,326,635,436.69","3,326,635,436.69","3,317,793,489.14","3,317,793,489.14","3,317,793,489.14","3,317,793,489.14","3,317,793,489.14","3,320,866,253.42","3,324,392,531.10","3,328,373,375.10","3,324,971,569.54","3,330,777,447.94","3,335,643,983.13","3,341,350,484.43","3,439,557,713.17","3,440,337,434.77","3,440,394,420.37","3,444,709,899.37","3,438,607,101.93","13,368,566,679.32","13,369,503,038.04","13,369,912,400.49","13,029,150,978.17","13,029,716,581.62","13,030,638,528.70","13,031,579,938.43","13,100,885,848.25","13,100,849,945.42","20,091,062,197.09","20,091,201,626.36","20,092,859,710.49","20,093,549,553.59","20,094,211,937.05","20,094,616,904.39"
