科目,2007年1-3月,2007年1-6月,2007年度,2008年1-3月,2008年1-6月,2008年1-9月,2008年度,2009年1-3月,2009年1-6月,2009年1-9月,2009年度,2010年1-3月,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月
收回投资收到的现金,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"47,000,000.00","787,100,000.00","2,000,000.00","2,000,000.00","2,000,000.00","128,000,000.00",,"204,000,000.00","334,950,000.00","638,695,484.07","5,000,000.00","784,303,450.92","904,761,950.92"
支付其他与筹资活动有关的现金,"10,286.66","30,195.58","2,506,091.96","866,019.91","21,255,729.29","4,824,272.00","4,947,763.76",,"750,000.00","750,000.00","750,000.00",,,,,,,,,,,,"434,006.35",,"122,000.00","122,000.00","122,000.00","60,000.00","546,000.00","546,000.00","18,746,000.00","250,000.00","1,772,888.11","1,772,888.11","1,772,888.11",,,,,,,
取得投资收益收到的现金,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"10,348.00","10,348.00","32,860,585.40","2,301.37","2,301.37","2,301.37","10,921,179.58",,"4,308,509.91","3,940,327.83","715,509,724.76",,"284,161,126.56","287,182,505.87"
筹资活动现金流出小计,"56,895,029.79","135,188,152.62","173,829,540.42","83,444,319.91","104,403,969.29","108,344,692.00","109,498,736.55","29,923,167.78","158,811,290.98","159,173,034.73","194,428,540.75","386,675.00","120,525,675.00","120,525,675.00","120,525,675.00",,"92,011,626.15","109,200,535.00","109,200,535.00",,"136,000,000.00","136,000,000.00","136,434,006.35",,"24,602,000.00","24,602,000.00","24,602,000.00","33,529,882.60","153,121,235.19","153,122,743.59","171,372,419.40","20,410,000.00","158,457,069.11","158,457,069.11","158,555,887.94","20,160,000.00","162,051,077.76","166,966,146.25","172,431,956.76","51,196,115.18","475,335,012.15","528,297,832.78"
处置固定资产、无形资产和其他长期资产收回的现金净额,,"1,500,300.00","3,070,326.60",,,900.00,"22,515.00","3,931.50","3,931.50","3,931.50","3,931.50",,,,,,,945.00,"43,845.00",,"5,000.00","5,000.00","5,000.00",,456.00,456.00,456.00,"5,000.00","64,360.00","64,360.00","64,360.00","18,732,936.78","18,733,666.78","18,756,892.73","18,542,979.78","40,000.00","517,166.31","521,192.31","721,368.03","10,000.00","90,910.00","113,510.00"
筹资活动产生的现金流量净额,"-3,895,029.79","-81,748,152.62","-113,849,540.42","-39,547,705.10","427,008,397.80","424,045,049.67","422,878,850.09","-29,923,167.78","-138,811,290.98","-124,173,034.73","-159,428,540.75","363,325.00","-119,025,675.00","-118,275,675.00","-117,525,675.00",,"-92,011,626.15","-108,450,535.00","-95,911,262.01",,"-135,250,000.00","-135,250,000.00","-129,273,939.15","356,054,878.97","331,521,539.91","331,599,270.75","331,599,298.04","-33,528,274.35","328,928,577.81","379,692,577.66","365,166,697.59","-20,410,000.00","483,257,734.29","484,158,745.29","523,920,756.05","-20,124,225.00","146,652,918.35","141,906,974.86","292,621,783.35","654,988,669.72","229,174,259.04","176,515,655.37"
处置子公司及其他营业单位收到的现金净额,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"112,669,767.96","112,669,767.96"
四、汇率变动对现金的影响,"19,389.48","-14,580.60","47,035.40","-132,202.77","-332,394.96","-365,563.32","-382,584.63","-39,100.52","-52,783.41","-66,355.96","-69,512.63","-14,173.94","-134,265.06","134,150.06","-315,549.57","-158,925.05","-242,782.67","-279,883.19","-307,188.07","13,629.97","197,284.85","216,645.00","45,970.44","8,657.00","-945,104.46","-1,102,777.44","-1,140,044.88","-171,729.04","-93,788.72","-75,033.02","-84,636.73","492,900.67","492,198.36","591,375.38","761,201.58","-83,292.98","298,087.94","487,956.78","1,816,023.73","-152,006.48","-793,820.92","-652,394.81"
收到其他与投资活动有关的现金,,,,,,,,,,,"10,000,000.00",,"7,200,000.00","7,200,000.00","8,700,000.00",,,,"6,589,906.17",,,"13,300,000.00","14,660,203.50",,,,,"47,383,561.50","42,568,948.50","42,568,948.50","181,911,686.71",,"41,652,843.00","45,360,843.00","57,412,843.00",,"7,400,000.00","7,400,000.00","7,400,000.00",,"1,026,000.00","1,026,000.00"
四(2)、其他原因对现金的影响,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
投资活动现金流入小计,,"1,500,300.00","3,070,326.60",,,900.00,"22,515.00","3,931.50","3,931.50","3,931.50","10,003,931.50",,"7,200,000.00","7,200,000.00","8,700,000.00",,,945.00,"6,633,751.17",,"5,000.00","13,305,000.00","14,665,203.50",,456.00,456.00,456.00,"47,388,561.50","42,643,656.50","89,643,656.50","1,001,936,632.11","20,735,238.15","62,388,811.15","66,120,037.10","214,877,002.36","40,000.00","216,225,676.22","346,811,520.14","1,362,326,576.86","5,010,000.00","1,182,251,255.44","1,305,753,734.75"
五、现金及现金等价物净增加额,"9,504,306.10","17,685,408.47","32,765,289.02","-17,405,154.16","501,691,182.89","485,129,368.87","501,485,018.20","-79,477,125.58","-169,611,290.68","-121,086,245.52","-94,477,238.87","-17,696,075.48","-100,645,881.76","-82,184,125.81","-11,201,861.85","-13,274,696.40","-80,631,091.41","-102,791,132.73","-89,528,440.70","-51,071,896.13","-128,068,765.33","-94,990,230.39","-797,580.73","208,394,826.63","84,763,951.88","73,707,172.67","-32,328,172.29","78,365,618.12","599,141,527.40","158,873,744.80","1,120,920,881.00","-459,591,799.55","89,582,533.43","90,882,379.96","468,361,171.60","31,727,792.13","-99,178,167.74","118,403,137.75","167,015,374.12","112,450,375.11","-651,482,899.79","-444,264,769.56"
购建固定资产、无形资产和其他长期资产支付的现金,"2,328,148.00","5,390,728.88","24,457,843.38","3,123,204.80","5,245,565.37","13,594,759.12","29,227,412.15","34,899,940.94","47,650,924.87","54,530,744.40","60,994,238.62","4,172,333.13","40,754,305.61","73,279,754.60","89,214,491.06","10,857,493.27","34,418,467.76","97,062,496.52","176,796,287.03","32,475,351.86","92,501,031.62","113,716,363.56","149,699,504.47","55,829,059.25","93,451,267.82","120,836,791.13","129,679,809.49","22,368,946.50","45,211,405.09","52,881,231.19","65,058,976.55","34,324,144.77","45,083,361.67","104,444,020.34","145,387,346.21","33,815,096.35","82,073,801.72","116,243,520.71","147,485,180.17","29,456,068.73","77,647,464.34","104,633,116.35"
期初现金及现金等价物余额,"23,627,340.81","23,627,340.81","23,627,340.81","56,392,629.83","56,392,629.83","56,392,629.83","56,392,629.83","557,877,648.03","557,877,648.03","557,877,648.03","557,877,648.03","463,400,409.16","463,400,409.16","463,400,409.16","463,400,409.16","452,198,547.31","452,198,547.31","452,198,547.31","452,198,547.31","362,670,106.61","362,670,106.61","362,670,106.61","362,670,106.61","361,872,525.88","361,872,525.88","361,872,525.88","361,872,525.88","329,544,353.59","329,544,353.59","329,544,353.59","329,544,353.59","1,450,465,234.59","1,450,465,234.59","1,450,465,234.59","1,450,465,234.59","1,918,826,406.19","1,918,826,406.19","1,918,826,406.19","1,918,826,406.19","2,085,841,780.31","2,085,841,780.31","2,085,889,780.31"
投资支付的现金,,,,,,,,,,,,,,,,,,"1,000,000.00","1,176,000.00",,,,,,"140,000,000.00","140,000,000.00","142,000,000.00","45,000,000.00","45,000,000.00","645,000,000.00","647,000,000.00","496,048,770.00","693,900,000.00","873,900,000.00","873,900,000.00","65,045,038.99","687,989,798.39","737,298,489.91","1,576,153,489.91","380,000,000.00","1,934,526,474.88","1,934,526,474.88"
期末现金及现金等价物余额,"33,131,646.91","41,312,749.28","56,392,629.83","38,987,475.67","558,083,812.72","541,521,998.70","557,877,648.03","478,400,522.45","388,266,357.35","436,791,402.51","463,400,409.16","445,704,333.68","362,754,527.40","381,216,283.35","452,198,547.31","438,923,850.91","371,567,455.90","349,407,414.58","362,670,106.61","311,598,210.48","234,601,341.28","267,679,876.22","361,872,525.88","570,267,352.51","446,636,477.76","435,579,698.55","329,544,353.59","407,909,971.71","928,685,880.99","488,418,098.39","1,450,465,234.59","990,873,435.04","1,540,047,768.02","1,541,347,614.55","1,918,826,406.19","1,950,554,198.32","1,819,648,238.45","2,037,229,543.94","2,085,841,780.31","2,198,292,155.42","1,434,358,880.52","1,641,625,010.75"
