科目,2011年度,2012年度,2013年度,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度
取得借款收到的现金,"151,436,842.87","172,623,106.57","366,118,673.83","433,693,153.50","612,565,492.27","162,738,475.97","271,190,939.80","346,951,039.95","482,190,856.46","93,608,205.61","276,286,017.87","389,867,898.67","450,391,364.80","153,880,000.00","280,258,453.88","331,825,348.95","573,455,777.38"
支付的各项税费,"43,466,909.80","50,038,354.13","59,861,292.32","43,174,014.79","63,060,195.21","7,444,200.42","16,491,155.35","39,966,531.31","62,681,558.62","16,628,655.67","48,809,015.00","72,679,691.29","94,544,260.37","27,538,886.26","61,871,940.43","96,973,919.81","124,414,338.50"
收到其他与筹资活动有关的现金,"63,727,600.40","53,474,112.15","3,243,254.73","64,286,281.20",,,,,,,,,"106,905,638.90","4,451,280.00","10,690,563.89","41,408,034.88","51,864,429.33"
支付其他与经营活动有关的现金,"82,268,780.06","74,528,871.99","106,490,926.17","85,907,837.94","98,151,485.89","47,995,987.98","52,172,485.73","124,442,992.61","159,924,223.53","25,005,987.76","58,422,677.01","91,913,050.92","180,186,925.39","23,947,600.22","65,729,522.79","111,211,616.32","182,263,201.87"
筹资活动现金流入小计,"215,164,443.27","226,097,218.72","374,261,928.56","497,979,434.70","612,565,492.27","523,338,475.97","644,814,939.80","720,575,039.95","856,389,856.46","93,608,205.61","276,286,017.87","389,867,898.67","557,297,003.70","158,331,280.00","290,949,017.77","373,233,383.83","625,960,669.82"
经营活动现金流出小计,"746,302,284.97","742,304,290.24","865,649,177.93","809,653,143.30","1,095,706,522.12","272,334,014.64","548,876,685.44","817,396,690.58","1,127,944,166.05","307,992,246.69","605,562,995.92","986,575,673.27","1,509,258,880.63","423,252,730.77","887,643,886.59","1,310,230,649.32","1,747,257,375.33"
偿还债务支付的现金,"119,506,589.93","175,294,013.23","271,082,780.55","325,998,619.38","459,373,026.10","308,692,865.97","525,432,675.22","583,396,852.06","657,546,477.91","66,985,687.65","158,828,026.19","242,765,976.59","473,794,903.10","7,541,308.40","48,550,305.04","197,015,940.02","343,656,823.18"
经营活动产生的现金流量净额,"45,518,764.07","40,419,979.32","44,807,244.94","-12,976,443.56","31,688,713.28","-32,043,125.45","19,021,694.97","44,045,463.35","44,422,467.86","-32,062,570.65","87,777,480.37","113,673,749.87","229,010,344.65","-79,632,050.96","-105,444,607.57","60,377,434.07","145,842,414.50"
分配股利、利润或偿还利息支付的现金,"45,152,184.92","10,979,725.19","27,685,514.02","14,118,668.03","20,879,875.49","5,099,326.01","57,472,704.83","59,411,939.72","61,432,080.38","2,869,249.83","43,763,254.45","48,241,072.48","51,518,549.47","3,167,533.83","38,274,277.93","58,398,563.87","62,241,405.12"
收回投资收到的现金,,,,,,,,,,,,,,,,,
支付其他与筹资活动有关的现金,"8,954,569.68","2,900,000.00","350,000.00","700,000.00","848,000.00",,"13,024,000.00","13,024,000.00","13,024,000.00",,,,"10,690,563.89","44,512,800.00","106,905,638.90","108,972,075.38","115,335,772.42"
取得投资收益收到的现金,,,,,,,,,"355,061.01",,"145,102.75","208,662.80","276,003.28","40,683.50","72,633.16","394,135.97","1,075,064.11"
筹资活动现金流出小计,"173,613,344.53","189,173,738.42","299,118,294.57","340,817,287.41","481,100,901.59","313,792,191.98","595,929,380.05","655,832,791.78","732,002,558.29","69,854,937.48","202,591,280.64","291,007,049.07","536,004,016.46","55,221,642.23","193,730,221.87","364,386,579.27","521,234,000.72"
处置固定资产、无形资产和其他长期资产收回的现金净额,"13,000.00","149,942.30","363,911.83","196,600.82","442,803.13","231,941.72","102,784.00","341,398.13","4,484,247.48","180,582.83","1,138,182.09","1,969,684.69","1,450,391.93","2,296.08","247,140.68","782,201.08","677,835.03"
筹资活动产生的现金流量净额,"41,551,098.74","36,923,480.30","75,143,633.99","157,162,147.29","131,464,590.68","209,546,283.99","48,885,559.75","64,742,248.17","124,387,298.17","23,753,268.13","73,694,737.23","98,860,849.60","21,292,987.24","103,109,637.77","97,218,795.90","8,846,804.56","104,726,669.10"
处置子公司及其他营业单位收到的现金净额,"7,688,660.80",,,,,,,,,,,,,,,,
四、汇率变动对现金的影响,"-381,711.16","272,543.88","1,423,947.26","-490,365.03","-1,151,436.52","1,096,573.05","1,928,110.81","1,298,389.44","3,099,637.27","-1,455,078.98","-1,123,202.52","-1,671,901.14","1,377,046.32","170,659.92","-2,043,875.38","-3,556,929.23","-2,045,735.09"
收到其他与投资活动有关的现金,"4,055,861.50",,,,,,,,"51,113,923.99",,"171,000,000.00","244,000,000.00","325,200,000.00","39,000,000.00","107,000,000.00","226,066,436.48","396,295,830.48"
四(2)、其他原因对现金的影响,,,,,,,,,,,,,,,,,
投资活动现金流入小计,"11,757,522.30","149,942.30","363,911.83","196,600.82","442,803.13","231,941.72","102,784.00","341,398.13","55,953,232.48","180,582.83","172,283,284.84","246,178,347.49","326,926,395.21","39,042,979.58","107,319,773.84","227,242,773.53","398,048,729.62"
五、现金及现金等价物净增加额,"17,393,108.57","14,578,251.55","-11,738,167.05","-36,820,139.28","-32,787,204.42","150,588,146.70","25,241,352.07","9,806,773.80","87,603,347.12","-40,641,136.28","-69,196,525.19","-51,723,885.20","-31,120,621.34","-2,553,602.65","-71,278,787.12","-76,231,833.69","38,835,591.28"
购建固定资产、无形资产和其他长期资产支付的现金,"63,487,093.69","62,178,700.34","133,476,905.07","179,328,215.86","193,848,012.05","28,243,526.61","33,896,797.46","82,620,725.29","95,059,288.66","26,548,337.61","41,994,727.41","75,930,833.32","93,893,297.06","24,244,828.96","60,161,845.41","81,924,445.63","147,395,575.86"
期初现金及现金等价物余额,"69,952,585.76","87,345,694.33","101,923,945.88","90,185,778.83","90,185,778.83","57,398,574.41","57,398,574.41","57,398,574.41","57,398,574.41","145,001,921.53","145,001,921.53","145,001,921.53","145,001,921.53","113,881,300.19","113,881,300.19","113,881,300.19","113,881,300.19"
投资支付的现金,"9,269,471.69",,,,,,,,,"4,509,000.00","180,000,000.00","180,000,000.00","180,000,000.00",,,,"30,000,000.00"
期末现金及现金等价物余额,"87,345,694.33","101,923,945.88","90,185,778.83","53,365,639.55","57,398,574.41","207,986,721.11","82,639,926.48","67,205,348.21","145,001,921.53","104,360,785.25","75,805,396.34","93,278,036.33","113,881,300.19","111,327,697.54","42,602,513.07","37,649,466.50","152,716,891.47"
