科目,2011年度,2012年度,2013年度,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月
筹资活动现金流入小计,"11,753,200.00","24,100,000.00",,,,,"738,800,000.00","887,304,323.00","880,154,323.00",,"350,288,348.46","350,288,348.46","350,288,348.46",,"374,221,889.48","413,398,377.65","392,661,643.65","24,363,880.34","128,797,871.74"
经营活动现金流出小计,"472,975,818.29","563,870,140.18","692,163,440.15","516,358,062.68","696,535,223.69","167,439,039.12","367,760,773.41","578,997,799.91","801,119,830.63","190,614,859.97","428,556,626.01","696,526,896.27","1,232,846,687.78","355,312,888.72","822,427,435.17","1,332,967,383.38","1,714,187,302.77","601,126,611.59","1,175,185,699.86"
偿还债务支付的现金,,"24,100,000.00",,,,,,,,,"121,701,469.81","206,099,851.75","206,085,840.00",,"153,964,489.80","181,553,394.31","141,315,285.42","5,465,943.55","133,800,539.60"
经营活动产生的现金流量净额,"112,571,196.33","150,321,772.64","157,231,238.40","109,163,201.16","169,697,298.57","67,961,864.22","37,872,808.94","91,447,520.88","165,977,530.54","13,240,189.24","17,987,542.44","137,752,189.43","101,173,821.18","62,183,283.64","142,658,602.07","260,806,638.61","460,492,754.56","132,940,828.86","178,919,013.15"
分配股利、利润或偿还利息支付的现金,"63,136,240.20","307,721.66","46,564,245.69","64,294,878.65","64,294,878.65",,"10,000,000.00","40,000,000.00","40,000,000.00",,"12,303,424.56","44,785,212.64","45,353,652.33","3,099,694.10","15,549,725.12","85,787,685.41","106,711,340.00","1,642,036.87","50,457,278.54"
收回投资收到的现金,,,,,,,,,,,,,,,,,,"40,000,000.00","40,000,000.00"
支付其他与筹资活动有关的现金,,,,,,,"6,200,000.00","7,150,000.00",,,"92,242,469.00","148,263,612.74","92,000,000.00","161,646.00","116,635,508.67","116,635,508.67","120,206,400.00",,"3,626,331.71"
取得投资收益收到的现金,"3,606,313.21","1,554,479.25","1,602,056.04","2,555,906.60","3,085,389.34","1,029,600.00","2,968,183.96","5,481,174.08","10,367,599.19","62,049.32","176,569.86","176,569.86","3,197,461.65","39,176.50","131,231.29","652,500.61","831,391.02","1,136,438.36","977,808.22"
筹资活动现金流出小计,"63,136,240.20","24,407,721.66","46,564,245.69","64,294,878.65","64,294,878.65",,"16,200,000.00","47,150,000.00","40,000,000.00",,"226,247,363.37","399,148,677.13","343,439,492.33","3,261,340.10","286,149,723.59","383,976,588.39","368,233,025.42","7,107,980.42","187,884,149.85"
处置固定资产、无形资产和其他长期资产收回的现金净额,"28,159.38","-434,727.10","10,346.05","94,049.14","102,023.04",,"13,740.00","21,890.00","51,169.56","2,130.00","4,080.00","57,760.00","99,480.33","24,700.00","7,705,309.43","7,763,267.43","18,981,381.77","138,789.96","1,920,771.64"
筹资活动产生的现金流量净额,"-51,383,040.20","-307,721.66","-46,564,245.69","-64,294,878.65","-64,294,878.65",,"722,600,000.00","840,154,323.00","840,154,323.00",,"124,040,985.09","-48,860,328.67","6,848,856.13","-3,261,340.10","88,072,165.89","29,421,789.26","24,428,618.23","17,255,899.92","-59,086,278.11"
处置子公司及其他营业单位收到的现金净额,"975,149.15",,,,,,,,,,,,,,,,,,
四、汇率变动对现金的影响,,,,,,,,,,"-341,653.51","362,248.57","582,031.80","810,812.08","134,450.64","6,214,837.68","6,485,116.52","-11,220,343.69","-2,838,327.49","-1,508,979.36"
收到其他与投资活动有关的现金,,"1,000,000.00",,"50,000,000.00","50,597,329.10","100,000,000.00","100,000,000.00","800,000,000.00","100,000,000.00","4,500,000.00","135,500,000.00","135,500,000.00","194,500,000.00",,"125,000,000.00","149,000,000.00","22,477,269.27","59,000,000.00","50,000,000.00"
四(2)、其他原因对现金的影响,,,,,,,,,,,,,,,,,,,
投资活动现金流入小计,"4,609,621.74","2,119,752.15","1,612,402.09","52,649,955.74","53,784,741.48","101,029,600.00","102,981,923.96","805,503,064.08","110,418,768.75","4,564,179.32","135,680,649.86","135,734,329.86","197,796,941.98","63,876.50","132,836,540.72","157,415,768.04","42,290,042.06","100,275,228.32","92,898,579.86"
五、现金及现金等价物净增加额,"-23,046,474.99","-48,768,094.76","-13,303,478.79","-10,212,303.64","4,505,997.08","-5,519,700.22","152,845,700.99","873,062,024.38","992,311,805.29","7,844,362.43","-680,634,227.87","-852,888,843.89","-655,915,187.55","28,491,705.98","205,916,966.21","187,546,766.38","245,674,666.68","199,644,288.04","176,562,020.80"
购建固定资产、无形资产和其他长期资产支付的现金,"72,844,252.86","200,901,897.89","75,582,873.59","37,730,581.89","54,681,164.32","4,511,164.44","10,609,031.91","22,542,883.58","119,792,185.68","8,148,352.62","24,786,610.16","34,853,214.04","60,712,447.06","14,164,770.14","45,364,689.92","73,457,055.82","92,144,444.11","38,989,341.57","34,660,314.74"
期初现金及现金等价物余额,"150,385,032.12","127,338,557.13","78,570,462.37","65,266,983.58","65,266,983.58","69,772,980.66","69,772,980.66","69,772,980.66","69,772,980.66","1,062,084,785.95","1,062,084,785.95","1,062,084,785.95","1,062,084,785.95","406,169,598.40","406,169,598.40","406,169,598.40","406,169,598.40","651,844,265.08","651,844,265.08"
投资支付的现金,,,,,,,,,,"1,470,000.00","430,448,674.74","374,670,000.00","306,835,639.93","1,463,794.56",,"65,625,000.00","35,000,000.00",,
期末现金及现金等价物余额,"127,338,557.13","78,570,462.37","65,266,983.58","55,054,679.94","69,772,980.66","64,253,280.44","222,618,681.65","942,835,005.04","1,062,084,785.95","1,069,929,148.38","381,450,558.08","209,195,942.06","406,169,598.40","434,661,304.38","612,086,564.61","593,716,364.78","651,844,265.08","851,488,553.12","828,406,285.88"
