科目,2007年度,2008年度,2009年度,2010年1-6月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月,2018年1-9月,2018年度,2019年1-3月
收回投资收到的现金,,,,,,,,,,,,,,,,,,,,,"25,000,000.00",,,,,,"200,000,000.00","200,000,000.00","200,000,000.00",,,,"1,023,087,032.04","250,000,000.00","605,000,000.00","1,090,828,105.00","1,496,828,105.00","266,008,664.70"
支付其他与筹资活动有关的现金,"78,679,487.35","73,211,143.47","150,951,709.22","1,110,632.52","962,140.36","4,979,719.38","4,979,719.38","4,979,719.38",,,,,,,,,,,,"65,000,000.00",,,,,"30,000,000.00","98,064,648.03","139,150,485.81","139,150,485.81","254,887,889.11","70,000,000.00","70,000,000.00","140,000,000.00","203,414,603.56","180,002,400.00","180,002,400.00","90,002,400.00","397,998,946.35","285,000,000.00"
取得投资收益收到的现金,,,,,,,,,,,,,,,,,,,,,,,,,,,"289,353.42","289,353.42","289,353.42",,,"1,055,750.44",,"2,848,274.00","4,206,404.92","7,732,283.70","10,089,719.46","1,875,110.04"
筹资活动现金流出小计,"129,866,193.60","221,557,935.35","212,107,473.20","72,691,701.34","129,635,677.96","84,130,161.52","84,559,811.53","85,050,478.21","94,171,025.49","16,466,133.33","16,466,133.33","39,079,383.33","40,580,216.05",,,"15,800,000.00","15,800,000.00",,,"110,800,000.00","45,818,666.67",,"12,640,000.00","12,868,805.56","82,800,396.28","120,321,752.19","623,818,102.16","626,755,525.39","747,436,583.74","97,406,937.47","115,060,745.09","357,317,152.73","674,072,533.89","306,258,708.00","401,198,052.95","551,842,219.03","1,389,331,567.95","399,343,982.24"
处置固定资产、无形资产和其他长期资产收回的现金净额,,"2,654,602.71",,"654,001.83","10,000.00",,,,,,"24,000.00","29,000.00","480,311.52","12,000.00","12,000.00","20,000.00","322,658.96","80,000.00","123,000.00","192,000.00","1,273,619.91","182,100.00","301,800.00","571,549.00","3,295,807.37",,"531,220.07","531,220.07","531,220.07",,"213,720.00","213,720.00","1,578,780.93","15,000.00","149,397.66","149,397.66","154,337.44",
筹资活动产生的现金流量净额,"-64,866,193.60","-46,557,935.35","-42,107,473.20","14,308,298.66","18,364,322.04","696,760,019.79","696,676,098.80","699,216,091.13","681,646,174.51","-16,466,133.33","-16,466,133.33","-39,079,383.33","-40,580,216.05",,,"-15,800,000.00","-15,800,000.00",,,"-15,781,297.44","-15,818,666.67",,"-12,640,000.00","134,731,194.44","320,696,883.63","1,124,828,247.81","621,331,897.84","753,394,474.61","936,358,916.26","213,950,733.97","625,039,564.29","732,783,156.65","743,138,992.47","318,741,292.00","398,801,947.05","593,157,780.97","622,010,317.05","61,656,017.76"
处置子公司及其他营业单位收到的现金净额,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-10,988.11"
四、汇率变动对现金的影响,,,,,,,,,,,,,,,,,,,,,,,,,,,"348,674.72","348,674.72","2,908,500.00",,"569,100.00","1,211,350.00","-8,625,185.46","-739,292.83","-580,249.68","447,971.81","4,637,091.96","-2,930,324.27"
收到其他与投资活动有关的现金,,,,,,,,,,,,,,,,,"20,100,000.00",,,"187,413,912.00","240,239,310.70","452,235.40","15,666,723.40","46,804,230.06","43,050,000.00","6,498,197.94","8,610,000.00","15,738,121.32","15,760,000.00","585,997.67",,"12,249,141.69","6,500,000.00","1,000,000.00","3,300,000.00","8,800,000.00","2,100,000.00","359,000.00"
四(2)、其他原因对现金的影响,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
投资活动现金流入小计,,"2,654,602.71",,"654,001.83","10,000.00",,,,,,"24,000.00","29,000.00","480,311.52","12,000.00","12,000.00","20,000.00","20,422,658.96","80,000.00","123,000.00","187,605,912.00","266,512,930.61","634,335.40","15,968,523.40","47,375,779.06","46,345,807.37","6,498,197.94","209,430,573.49","216,558,694.81","216,580,573.49","585,997.67","213,720.00","13,518,612.13","1,031,165,812.97","253,863,274.00","612,655,802.58","1,107,509,786.36","1,509,172,161.90","268,231,786.63"
五、现金及现金等价物净增加额,"-31,060,063.53","1,973,087.44","27,763,945.44","21,758,802.13","-20,387,922.92","649,584,340.39","609,537,746.68","509,393,476.87","527,163,960.96","-93,141,758.53","-175,944,861.95","-221,222,010.85","-186,536,652.81","-28,521,530.86","-59,100,534.00","-137,413,603.24","-80,323,498.98","-147,211.29","-5,024,806.66","-108,842,876.81","-85,494,626.36","-59,387,967.67","-72,313,751.97","-91,426,162.21","-113,248,310.79","819,855,520.99","41,315,669.56","3,435,236.84","23,857,657.23","-34,957,634.02","285,587,768.09","89,109,207.51","121,072,444.76","-4,498,953.73","-56,052,366.95","-80,349,709.16","87,767,959.11","-17,069,979.77"
购建固定资产、无形资产和其他长期资产支付的现金,"10,812,473.57","9,282,243.92","21,163,871.23","38,589,300.71","112,694,332.56","12,232,216.26","68,031,499.89","162,145,306.88","209,625,402.23","93,022,793.63","192,237,125.82","236,341,441.23","273,822,480.54","52,664,631.78","83,045,791.17","107,156,570.70","143,338,736.50","16,127,729.05","80,058,069.22","354,447,534.56","371,696,453.62","32,501,771.48","87,800,803.21","271,282,347.42","583,674,412.77","291,683,844.71","467,694,967.39","518,567,103.33","730,655,403.88","124,909,602.48","223,575,969.37","316,411,661.06","459,117,866.74","165,518,150.81","336,717,943.81","505,886,730.63","683,619,421.11","191,399,835.42"
期初现金及现金等价物余额,"37,989,787.48","6,929,723.95","8,902,811.39","36,666,756.83","36,666,756.83","16,278,833.91","16,278,833.91","16,278,833.91","16,278,833.91","543,442,794.87","543,442,794.87","543,442,794.87","543,442,794.87","356,906,142.06","356,906,142.06","356,906,142.06","356,906,142.06","276,582,643.08","276,582,643.08","276,582,643.08","276,804,028.73","191,309,402.37","191,309,402.37","191,309,402.37","191,309,402.37","78,061,091.58","78,061,091.58","78,061,091.58","78,061,091.58","260,559,050.89","101,918,748.81","101,918,748.81","101,918,748.81","222,991,193.57","222,991,193.57","222,991,193.57","222,991,193.57","316,788,918.80"
投资支付的现金,,,,,,,,,,,,,,,,,,,,,,,,,,,"200,000,000.00","200,000,000.00","200,000,000.00",,,"293,600,309.38","1,138,875,000.00","275,000,000.00","602,500,000.00","1,116,700,000.00","1,461,202,070.51","175,350,877.78"
期末现金及现金等价物余额,"6,929,723.95","8,902,811.39","36,666,756.83","58,425,558.96","16,278,833.91","665,863,174.30","625,816,580.59","525,672,310.78","543,442,794.87","450,301,036.34","367,497,932.92","322,220,784.02","356,906,142.06","328,384,611.20","297,805,608.06","219,492,538.82","276,582,643.08","276,435,431.79","271,557,836.42","167,739,766.27","191,309,402.37","131,921,434.70","118,995,650.40","99,883,240.16","78,061,091.58","897,916,612.57","119,376,761.14","81,496,328.42","101,918,748.81","225,601,416.87","387,506,516.90","191,027,956.32","222,991,193.57","218,492,239.84","166,938,826.62","142,641,484.41","310,759,152.68","299,718,939.03"
