科目,2011年度,2012年度,2013年度,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月,2018年1-9月,2018年度,2019年1-3月
支付给职工以及为职工支付的现金,"42,788,792.51","39,470,592.46","42,092,906.54","28,723,753.69","35,238,540.41","49,185,772.69","15,134,130.67","23,579,651.41","30,188,402.64","45,406,164.12","21,925,696.31","22,233,286.95","28,836,776.79","39,675,668.85","14,353,968.81","24,636,808.07","31,389,980.54","44,673,362.81","18,220,069.84","32,587,096.47","44,397,372.05","66,099,246.76","23,252,135.49"
取得借款收到的现金,"110,500,000.00","52,500,000.00",,,,,,,,,,,,,,"23,000,000.00","23,000,000.00","23,000,000.00",,,,,
支付的各项税费,"19,998,851.03","36,122,244.26","29,746,936.26","15,666,344.43","32,401,405.75","43,975,010.46","2,640,062.64","4,849,239.67","14,709,000.58","20,868,731.73","3,032,065.37","6,852,853.31","9,728,526.15","20,710,558.01","811,240.90","5,666,841.73","6,299,943.77","9,521,188.57","4,761,011.83","9,094,099.38","12,486,599.17","17,751,083.03","1,211,129.66"
收到其他与筹资活动有关的现金,,,,,,,,,,,,,,,,,,,,,,,
支付其他与经营活动有关的现金,"44,267,818.61","37,487,045.54","38,808,198.46","18,191,434.46","30,287,662.45","42,302,643.37","9,073,191.63","8,583,367.24","31,397,791.80","23,382,141.94","2,224,325.09","12,702,606.55","13,454,655.20","23,677,078.15","7,104,810.33","11,706,298.99","19,242,510.48","30,259,957.85","6,943,961.74","46,274,260.92","19,630,689.20","34,852,205.72","13,045,076.93"
筹资活动现金流入小计,"110,500,000.00","52,500,000.00",,,,"276,613,120.00",,,,,,,,,,"23,000,000.00","23,000,000.00","23,000,000.00",,,,,
经营活动现金流出小计,"249,082,529.46","214,494,853.40","227,713,253.40","126,757,622.60","197,932,500.74","274,789,410.86","45,535,387.87","81,234,652.77","141,504,911.70","179,888,456.07","36,847,914.88","73,563,326.61","108,211,291.91","151,120,843.05","51,109,149.67","82,437,019.69","200,233,441.09","182,236,799.33","45,213,673.03","175,690,666.90","227,388,597.30","263,548,431.53","72,389,276.40"
偿还债务支付的现金,"134,500,000.00","137,000,000.00",,,,,,,,,,,,,,"23,000,000.00","23,000,000.00","23,000,000.00",,,,,
经营活动产生的现金流量净额,"14,386,559.21","113,502,416.06","36,192,006.82","3,671,485.94","-11,517,025.36","-5,478,106.36","-8,628,045.30","4,950,318.71","-49,074,602.06","18,222,614.83","10,057,494.08","30,140,160.93","24,981,801.68","30,889,683.62","9,032,483.18","27,903,871.22","26,486,581.20","50,924,775.61","2,192,796.88","9,221,515.80","-2,173,015.90","54,726,915.40","19,117,335.23"
分配股利、利润或偿还利息支付的现金,"6,428,703.56","2,231,242.98",,,,,,"16,000,000.00","16,000,000.00","16,000,000.00",,"13,599,996.85","13,600,000.00","13,600,000.00",,"12,015,285.42","12,015,285.42","12,015,293.86",,"30,000,000.00","43,440,000.00","43,450,941.61",
收回投资收到的现金,"3,204,760.00",,,,,,,,,"937,798,114.07",,"61,400,000.00","403,893,710.00","1,166,421,490.00","247,000,000.00","604,000,000.00","609,000,000.00","814,000,000.00","275,000,000.00","522,000,000.00","564,000,000.00","780,000,000.00","118,000,000.00"
支付其他与筹资活动有关的现金,"79,010.37",,,,,"7,531,304.34",,,,"1,205,471.74",,,,,,,,,,,,,
取得投资收益收到的现金,"4,610.49",,,,,,,"1,585,082.19","5,979,907.19","8,078,541.17","2,920,841.37","4,074,299.68","4,074,299.68","6,193,934.82","1,034,473.98","3,453,629.39","3,507,131.59","7,243,431.89","2,110,871.49","4,200,564.03","4,761,211.35","13,149,566.83","5,459,445.61"
筹资活动现金流出小计,"141,007,713.93","139,231,242.98",,,,"7,531,304.34",,"16,000,000.00","16,000,000.00","17,205,471.74",,"13,599,996.85","13,600,000.00","13,600,000.00",,"35,015,285.42","35,015,285.42","35,015,293.86",,"30,000,000.00","43,440,000.00","43,450,941.61",
处置固定资产、无形资产和其他长期资产收回的现金净额,"17,094.02",,"60,000.00",,,,"68,000.00","68,000.00","68,000.00","66,679.62","160,000.00","160,000.00","160,000.00","156,893.22",,"27,456.31","27,456.31","34,706.31",,,,"15,199.04",
筹资活动产生的现金流量净额,"-30,507,713.93","-86,731,242.98",,,,"269,081,815.66",,"-16,000,000.00","-16,000,000.00","-17,205,471.74",,"-13,599,996.85","-13,600,000.00","-13,600,000.00",,"-12,015,285.42","-12,015,285.42","-12,015,293.86",,"-30,000,000.00","-43,440,000.00","-43,450,941.61",
处置子公司及其他营业单位收到的现金净额,,,,,,,,,,,,,,,,,,,,,,,
四、汇率变动对现金的影响,"-161,291.65","281,280.66","-250,649.70","-10,769.10","-282,604.95","-198,892.65","-495,963.39","224,984.69","525,804.52","1,373,479.53","75,603.74","-1,853,698.91","-2,629,848.35","3,680,865.14","-94,885.00","2,036,190.84","-2,372,910.69","-4,599,466.74","-4,073,415.54","-2,346,250.04","-2,135,441.11","-1,095,325.18","-726,701.64"
收到其他与投资活动有关的现金,,,,,,,,"50,000,000.00","100,677,515.00","43,000,000.00",,,"1,848,890.47",,,,,,,,,,
四(2)、其他原因对现金的影响,,,,,,,,,,,,,,,,,,,,,,,
投资活动现金流入小计,"3,226,464.51",,"60,000.00",,,,"68,000.00","51,653,082.19","106,725,422.19","988,943,334.86","3,080,841.37","65,634,299.68","409,976,900.15","1,172,772,318.04","248,034,473.98","607,481,085.70","612,534,587.90","821,278,138.20","277,110,871.49","526,200,564.03","568,761,211.35","793,164,765.87","123,459,445.61"
五、现金及现金等价物净增加额,"-19,206,855.70","26,471,865.64","35,881,491.13","3,013,823.83","-12,486,415.98","219,031,634.64","-16,056,008.69","-236,171,614.41","-242,982,143.96","-195,069,381.06","-36,027,580.81","24,092,613.09","22,066,438.15","22,721,877.94","38,797,816.47","32,768,646.84","13,581,175.22","70,067,028.56","-47,597,270.03","-78,982,414.40","-136,222,664.43","111,633,808.50","9,780,408.05"
购建固定资产、无形资产和其他长期资产支付的现金,"6,150,873.84","580,588.10","119,865.99","646,893.01","686,785.67","1,373,182.01",,,"1,158,768.61","10,946,744.47",,"6,986,631.76","5,321,722.31","8,257,978.86","174,255.69","10,637,215.50","19,742,201.19","16,521,124.65","827,522.86","13,058,244.19","13,235,418.77","32,711,605.98","9,069,671.15"
期初现金及现金等价物余额,"35,362,148.78","16,155,293.08","42,627,158.72","78,508,649.85","78,508,649.85","78,508,649.85","297,540,284.49","297,540,284.49","297,540,284.49","297,540,284.49","83,394,814.64","102,470,903.43","102,470,903.43","102,470,903.43","125,141,806.28","125,192,781.37","141,995,527.21","125,192,781.37","195,259,809.93","195,259,809.93","195,259,809.93","195,259,809.93","306,893,618.43"
投资支付的现金,,,,,,,,,,"1,175,456,594.07","49,241,520.00","49,241,520.00","391,340,693.02","1,162,763,010.00","218,000,000.00","582,000,000.00","591,309,596.58","769,000,000.00","322,000,000.00","569,000,000.00","644,000,000.00","659,000,000.00","123,000,000.00"
期末现金及现金等价物余额,"16,155,293.08","42,627,158.72","78,508,649.85","81,522,473.68","66,022,233.87","297,540,284.49","281,484,275.80","61,368,670.08","54,558,140.53","102,470,903.43","47,367,233.83","126,563,516.52","124,537,341.58","125,192,781.37","163,939,622.75","157,961,428.21","155,576,702.43","195,259,809.93","147,662,539.90","116,277,395.53","59,037,145.50","306,893,618.43","316,674,026.48"
