科目,2008年度,2009年度,2010年度,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度
收回投资收到的现金,,"11,594,450.00",,,,,,,,,,,,,,,,,,,,"70,020,819.18","70,018,219.18","70,018,219.18","70,200,000.00","150,060,273.97","150,000,000.00","170,964,770.93","384,743,603.31"
支付其他与筹资活动有关的现金,,,"1,380,000.00","4,150,000.00","10,281,846.87",,,,,,,,"1,374,240.21",,,"264,719,518.79","104,890,253.51","20,707,631.32","149,383,348.54","217,530,568.41","174,845,469.40","45,312,384.58","174,699,239.76","263,651,377.08","344,588,935.34","64,712,646.45","211,599,677.60","297,495,247.09","330,698,399.65"
取得投资收益收到的现金,"84,404.27","16,849.32",,,,,,,,,,,,,,"1,545,346.69",,,"2,922,300.00",,,,,,"18,219.18","374,273.93","434,547.90","701,560.16","1,643,817.76"
筹资活动现金流出小计,,"6,300,000.00","4,832,000.00","4,150,000.00","10,281,846.87",,"6,695,685.50","6,695,685.50","6,904,500.00",,"4,418,880.00","4,439,734.80","9,791,047.86",,,"320,585,688.04","131,761,050.08","45,277,199.29","156,055,614.74","246,398,921.10","292,175,403.43","114,205,616.46","269,113,729.42","416,205,705.26","581,807,459.64","98,307,858.51","387,431,125.24","579,368,520.68","643,434,889.71"
处置固定资产、无形资产和其他长期资产收回的现金净额,,,"1,500.00",,,,,,,,"5,215,936.19","5,215,936.19","5,565,909.44","3,530,000.00","3,530,000.00","3,826,763.00","3,610,883.00","46,000.00","64,500.00","64,500.00","65,311.40","130,600.00","135,600.00","138,380.00","485,657.85",,"341,785.40","982,273.23","1,011,052.83"
筹资活动产生的现金流量净额,,"13,860,000.00","-4,832,000.00","-4,150,000.00","173,690,153.13",,"-6,695,685.50","-6,695,685.50","-6,904,500.00",,"-4,418,880.00","-3,491,699.25","-5,843,012.31",,,"46,408,826.14","263,705,376.97","-3,528,327.29","27,472,305.71","43,714,853.96","92,298,386.67","-59,950,235.31","11,892,301.41","55,137,502.30","39,435,436.20","450,739,813.14","599,534,534.10","664,477,119.40","476,557,009.13"
处置子公司及其他营业单位收到的现金净额,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"112,941,809.70"
四、汇率变动对现金的影响,"-4,020.54","-67,118.61","-285,056.07","-294,657.05","-285,536.95","-122,827.95","-14,005.25","156,697.97","-52,220.56","-109,753.61","-280,286.58","-278,475.50","-278,743.20","-31,102.21","-81,966.34","202,223.08","-267,558.76","111,514.71","76,846.66","1,499,968.24","3,144,913.80","-163,653.44","1,204,765.80","1,615,836.07","5,184,872.46","-694,354.78","-3,012,267.09","-7,222,092.64","-7,393,472.60"
收到其他与投资活动有关的现金,,,,,,,,,,,,,,,,,,,,,,,,,"48,248,142.47",,,,
四(2)、其他原因对现金的影响,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
投资活动现金流入小计,"84,404.27","11,611,299.32","1,500.00",,,,,,,,"5,215,936.19","5,215,936.19","5,565,909.44","3,530,000.00","3,530,000.00","5,372,109.69","3,610,883.00","46,000.00","2,986,800.00","64,500.00","65,311.40","70,151,419.18","70,153,819.18","70,156,599.18","118,952,019.50","150,434,547.90","150,776,333.30","172,648,604.32","500,340,283.60"
五、现金及现金等价物净增加额,"5,729,826.06","21,655,098.14","-25,240,566.65","6,353,612.68","192,942,148.71","-19,149,646.25","-29,608,117.25","-24,078,409.87","-26,261,896.79","-9,326,765.33","-39,598,080.82","-35,158,656.94","-55,810,735.34","-12,631,318.77","-40,095,406.06","29,615,843.80","15,640,126.53","-4,153,135.22","-1,943,863.55","2,110,988.51","83,083,689.51","-60,760,677.76","-54,807,745.34","6,330,702.06","51,053,295.11","287,346,911.42","248,044,513.66","168,343,489.92","338,529,562.51"
购建固定资产、无形资产和其他长期资产支付的现金,"5,234,454.84","3,420,873.06","5,702,901.93","1,746,833.60","2,235,299.18","1,327,819.00","3,165,378.60","4,770,436.10","15,567,809.97","1,255,361.06","19,873,477.64","20,852,405.22","39,844,185.09","16,633,813.93","39,642,901.89","91,565,076.47","89,723,395.71","18,380,374.35","49,314,942.42","84,142,841.31","84,874,311.70","12,861,870.07","34,667,037.07","59,358,706.38","85,874,603.17","8,615,016.58","42,266,112.19","95,784,000.91","116,064,991.50"
期初现金及现金等价物余额,"14,508,386.88","20,238,212.94","41,893,311.08","16,652,744.43","16,652,744.43","209,594,893.14","209,594,893.14","209,594,893.14","209,594,893.14","183,332,996.35","183,332,996.35","183,332,996.35","183,332,996.35","128,896,501.22","128,896,501.22","172,269,252.92","127,522,261.01","109,781,302.73","143,162,387.54","143,162,387.54","143,162,387.54","226,246,077.05","226,246,077.05","226,246,077.05","226,246,077.05","277,299,372.16","277,299,372.16","277,299,372.16","277,299,372.16"
投资支付的现金,"2,534,914.61","10,000,000.00",,,,,,,,,,,,,,,,,,,"115,000,000.00",,"49,158,742.68","50,158,742.68","180,158,742.68","15,800,000.00","94,927,347.18","193,347,381.03","232,220,033.85"
期末现金及现金等价物余额,"20,238,212.94","41,893,311.08","16,652,744.43","23,006,357.11","209,594,893.14","190,445,246.89","179,986,775.89","185,516,483.27","183,332,996.35","174,006,231.02","143,734,915.53","148,174,339.41","127,522,261.01","116,265,182.45","88,801,095.16","201,885,096.72","143,162,387.54","105,628,167.51","141,218,523.99","145,273,376.05","226,246,077.05","165,485,399.29","171,438,331.71","232,576,779.11","277,299,372.16","564,646,283.58","525,343,885.82","445,642,862.08","615,828,934.67"
