科目,2010年度,2011年度,2012年度,2013年1-6月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月
收回投资收到的现金,"9,138,814.26",,,"20,000,000.00","20,000,000.00",,"150,000,000.00","200,000,000.00","200,000,000.00",,,,,"60,000,000.00","60,000,000.00","70,000,000.00","140,000,000.00","30,000,000.00","60,000,000.00","120,070,661.60","170,008,000.00","30,000,000.00","60,000,000.00"
支付其他与筹资活动有关的现金,"2,310,000.00","14,575,012.00","12,485,000.00","14,325,000.00","13,750,000.00","15,540,862.25","17,228,450.42","9,801,657.97","7,575,500.00",,,,,"1,220,000.00",,,,,"2,868,638.00","968,638.00",,,
取得投资收益收到的现金,56.62,,,"8,975.34","8,975.34",,"1,397,260.27","2,650,958.90","2,650,958.90","3,960.40","3,960.40","3,960.40","3,960.40","297,863.02","396,872.92","607,185.33","1,031,119.16","219,698.63","431,196.69","936,367.45","1,229,837.27","94,739.73","178,904.11"
筹资活动现金流出小计,"255,875,610.10","233,021,048.96","165,634,395.77","76,012,019.65","116,561,537.68","16,044,718.39","78,971,402.09","75,658,714.82","88,615,056.85",,"39,106,970.46","39,990,929.16","40,000,000.00","1,220,000.00","23,709,446.95","24,000,000.00","24,000,000.00","193,200.41","37,237,348.82","35,836,390.49","129,752,977.48","20,818,766.60","41,853,838.76"
处置固定资产、无形资产和其他长期资产收回的现金净额,"13,753,665.66",,"32,123.18",,"65,216.30","112,705.00","112,347.20",,"487,440.80","16,833.58","26,593.04","37,227.24","102,820.75","325,560.21","325,560.21","325,560.21","325,462.28",,"774,229.92","1,218,123.29","1,038,666.11","160,041.44",
筹资活动产生的现金流量净额,"-25,649,599.09","39,008,367.04","-75,821,863.07","-38,593,522.85","-54,310,560.88","353,705,281.61","290,778,597.91","294,091,285.18","281,134,943.15",,"-39,106,970.46","-39,990,929.16","-40,000,000.00","-1,220,000.00","-23,709,446.95","-24,000,000.00","-24,000,000.00","27,806,799.59","-5,886,263.82","69,514,694.51","44,022,608.92","19,181,233.40","18,146,161.24"
处置子公司及其他营业单位收到的现金净额,,,,,,,,,,,,,,,,,,,,,,,"469,080.75"
四、汇率变动对现金的影响,"-1,248,502.68","8,541,104.17","2,615,110.25","-1,910,089.42","2,469,063.42","930,103.20","2,346,270.53","2,451,633.65","627,262.77","3,472,272.82","5,560,847.84","9,123,339.02","9,905,398.90","-1,070,981.16","2,970,134.08","3,602,451.93","9,253,069.01","-1,083,289.13","-2,019,977.78","-4,684,364.54","-6,201,736.87","-3,698,533.90","-4,471,505.76"
收到其他与投资活动有关的现金,,,,,,,,,,,,,,,,,"5,000,000.00",,,,"3,165,100.00",,"2,856.00"
四(2)、其他原因对现金的影响,,,,,,,,,,,,,,,,,,,,,,,
投资活动现金流入小计,"22,892,536.54",,"32,123.18","20,008,975.34","20,074,191.64","112,705.00","151,509,607.47","202,650,958.90","203,138,399.70","20,793.98","30,553.44","41,187.64","106,781.15","60,623,423.23","60,722,433.13","70,932,745.54","146,356,581.44","30,219,698.63","61,205,426.61","122,225,152.34","175,441,603.38","30,254,781.17","60,650,840.86"
五、现金及现金等价物净增加额,"4,542,857.59","42,568,123.19","-12,903,816.03","25,302,896.33","16,939,815.28","137,486,776.00","200,067,283.63","157,484,635.96","135,510,260.96","10,502,737.46","-23,527,460.86","-14,343,934.44","-7,911,472.63","-7,525,932.35","-21,516,098.06","-64,173,293.60","-60,212,260.35","12,324,725.58","-70,900,911.21","48,315,308.08","-21,846,337.09","-73,155,139.84","-65,550,123.24"
购建固定资产、无形资产和其他长期资产支付的现金,"35,134,976.75","143,126,811.38","46,803,695.47","30,659,030.47","71,869,123.64","32,694,058.83","77,145,940.16","116,374,651.13","146,919,630.60","28,603,009.02","46,179,795.14","61,930,485.65","79,890,650.72","16,415,165.63","31,664,168.85","45,122,757.54","90,111,001.36","26,527,253.71","41,200,826.22","61,700,970.40","85,482,105.62","18,804,037.37","30,626,468.77"
期初现金及现金等价物余额,"61,365,638.10","65,908,495.69","108,476,618.88","95,572,802.85","95,572,802.85","112,512,618.13","112,512,618.13","112,512,618.13","112,512,618.13","248,022,879.09","248,022,879.09","248,022,879.09","248,022,879.09","240,111,406.46","240,111,406.46","230,232,784.41","240,111,406.46","179,899,146.11","179,899,146.11","179,899,146.11","179,899,146.11","158,052,809.02","158,052,809.02"
投资支付的现金,,,"20,000,000.00",,,"200,000,000.00","200,000,000.00","200,000,000.00","200,000,000.00",,,,"30,000,000.00","40,000,000.00","40,000,000.00","90,000,000.00","140,000,000.00","20,000,000.00","80,000,000.00","115,000,000.00","199,000,000.00","51,000,000.00","103,467,267.74"
期末现金及现金等价物余额,"65,908,495.69","108,476,618.88","95,572,802.85","120,875,699.18","112,512,618.13","249,999,394.13","312,579,901.76","269,997,254.09","248,022,879.09","258,525,616.55","224,495,418.23","233,678,944.65","240,111,406.46","232,585,474.11","218,595,308.40","166,059,490.81","179,899,146.11","192,223,871.69","108,998,234.90","228,214,454.19","158,052,809.02","84,897,669.18","92,502,685.78"
