科目,2009年度,2010年度,2011年度,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月
支付其他与经营活动有关的现金,"16,253,826.95","29,638,443.61","29,241,510.60","16,312,751.67","33,588,757.51","91,439,907.43","16,931,640.29","34,792,020.23","51,679,426.57","53,724,069.43","20,730,244.56","25,110,707.47","56,857,743.74","118,512,355.80","40,154,857.47","59,173,023.00","127,426,386.64","87,390,562.01","28,030,183.74","46,040,985.36","66,981,599.09","92,909,673.41","20,297,512.56","47,847,229.94","74,435,598.83","87,645,199.66","17,370,615.68"
筹资活动现金流入小计,"316,030,000.00","448,373,000.00","354,173,000.00","152,000,000.00","1,230,508,856.00","1,277,014,147.48","254,760,641.44","329,476,804.68","476,476,804.68","497,273,113.94","71,000,000.00","194,000,000.00","294,000,000.00","494,136,802.88","322,458,271.00","608,958,271.00","943,564,063.00","1,064,686,749.59","130,000,000.00","431,814,472.84","726,146,213.84","914,477,713.00","184,453,625.00","610,789,885.00","871,289,885.00","1,318,289,885.00","146,533,797.83"
经营活动现金流出小计,"526,221,330.39","805,800,886.59","930,246,032.88","440,744,124.11","672,084,055.75","782,655,585.50","240,933,249.48","514,749,597.15","744,777,812.93","793,937,777.03","243,801,103.79","431,917,159.40","752,088,599.45","1,080,465,769.94","325,022,595.20","763,158,634.14","1,130,827,483.93","1,312,215,654.17","353,841,867.12","655,112,782.35","1,008,471,886.16","1,298,142,158.37","365,077,004.71","703,571,666.52","1,074,304,326.19","1,515,610,802.10","339,929,813.58"
偿还债务支付的现金,"281,300,000.00","316,300,000.00","233,000,000.00","102,000,000.00","457,000,000.00","526,337,805.04","53,000,000.00","155,445,560.00","310,427,045.58","360,296,013.16","42,000,000.00","135,000,000.00","227,000,000.00","300,227,584.15","204,000,000.00","234,000,000.00","773,000,000.00","925,084,471.00","25,971,966.84","244,702,716.84","510,121,946.88","659,178,247.87","101,400,781.00","458,431,565.30","782,034,735.90","1,142,777,535.90","77,656,607.73"
经营活动产生的现金流量净额,"-27,128,487.45","-8,697,429.28","7,370,173.95","-23,726,006.82","-64,785,112.90","48,374,812.74","-68,964,112.60","-121,516,265.15","-104,610,257.85","83,141,772.40","2,241,701.54","47,628,203.95","-11,315,471.68","-108,874,512.46","-112,428,425.74","-270,116,469.55","-318,584,656.62","-284,084,102.10","-105,800,782.91","-151,040,950.16","-248,428,441.70","-245,670,323.81","-69,805,429.28","-113,729,351.08","-44,549,124.07","-63,601,586.49","-22,287,742.21"
分配股利、利润或偿还利息支付的现金,"7,844,980.34","67,535,900.85","13,373,551.15","8,127,200.84","12,440,779.77","13,730,585.72","973,412.23","19,757,766.82","21,681,807.93","26,551,085.92","3,512,724.99","23,389,291.13","26,959,891.12","32,143,666.12","5,869,858.18","32,038,227.67","39,513,281.79","45,161,592.34","6,477,561.80","13,814,800.70","21,124,242.76","28,945,539.61","8,302,203.85","17,190,678.91","26,673,310.05","36,607,823.54","10,996,465.37"
收回投资收到的现金,,,,,,,,,"100,000,000.00",,,,,,,,,"48,000,000.00",,"10,000,000.00","37,000,000.00","37,000,000.00",,,"100,000.00","127,200,000.00","91,400,000.00"
支付其他与筹资活动有关的现金,"73,000.00","28,823,000.00","5,893,354.09","23,881.40","6,012,650.24","3,250,542.98",,,,,,,,,,,,"57,206.64",,,,,,,,"1,793,750.00",
取得投资收益收到的现金,"15,093.75","19,742.55","17,110.21","22,927.58","22,927.58","22,927.58",,"31,640.05","31,640.05","221,121.05",,"31,640.05","31,640.05","31,640.05",,"31,640.05","31,640.05","31,640.05",,,,,,,"2,186,359.89","2,215,706.48","107,455.71"
筹资活动现金流出小计,"289,217,980.34","412,658,900.85","252,266,905.24","110,151,082.24","475,453,430.01","543,318,933.74","53,973,412.23","175,203,326.82","332,108,853.51","386,847,099.08","45,512,724.99","158,389,291.13","253,959,891.12","332,371,250.27","209,869,858.18","266,038,227.67","812,513,281.79","970,303,269.98","32,449,528.64","258,517,517.54","531,246,189.64","688,123,787.48","109,702,984.85","475,622,244.21","808,708,045.95","1,181,179,109.44","88,653,073.10"
处置固定资产、无形资产和其他长期资产收回的现金净额,"969,660.00","14,859,804.38",,,,,,,,,,,,"20,325.00","12,215.00","422,968.28","532,968.28","608,968.28","380,410.00","662,210.02","1,043,210.02","1,126,510.02",,,,"407,697.60",
筹资活动产生的现金流量净额,"26,812,019.66","35,714,099.15","101,906,094.76","41,848,917.76","755,055,425.99","733,695,213.74","200,787,229.21","154,273,477.86","144,367,951.17","110,426,014.86","25,487,275.01","35,610,708.87","40,040,108.88","161,765,552.61","112,588,412.82","342,920,043.33","131,050,781.21","94,383,479.61","97,550,471.36","173,296,955.30","194,900,024.20","226,353,925.52","74,750,640.15","135,167,640.79","62,581,839.05","137,110,775.56","57,880,724.73"
处置子公司及其他营业单位收到的现金净额,,,,,,,,,,,,,,,,,,,,,,,,,,,
四、汇率变动对现金的影响,"-52,259.80","549,457.72","-460,338.21",,"-274,011.16","483,727.90",,"315,951.50",,"1,174,187.23",,,,"4,473.40",,,,"1,273.51",,,,"-61,746.76",,,,"5,085.06",
收到其他与投资活动有关的现金,,,,,,,,,,"103,304,017.22",,,,"171,251,567.71",,,"250,000,000.00","281,876,096.18",,,,,,,,,
四(2)、其他原因对现金的影响,,,,,,,,,,,,,,,,,,,,,,,,,,,
投资活动现金流入小计,"984,753.75","14,879,546.93","17,110.21","22,927.58","22,927.58","22,927.58",,"31,640.05","100,031,640.05","103,525,138.27",,"31,640.05","31,640.05","171,303,532.76","12,215.00","454,608.33","250,564,608.33","330,516,704.51","380,410.00","10,662,210.02","38,043,210.02","38,126,510.02",,,"2,286,359.89","129,823,404.08","91,507,455.71"
五、现金及现金等价物净增加额,"-22,495,924.08","14,004,698.11","-3,342,077.77","-10,463,447.95","589,905,414.04","86,392,173.23","97,324,027.95","-51,245,524.39","-24,492,039.55","-36,056,624.21","-25,008,600.51","-17,029,347.06","-185,924,776.68","-17,657,025.80","-22,655,510.41","-3,383,627.61","-19,601,492.89","-6,585,074.33","-15,707,744.84","23,531,302.59","-30,638,515.33","-808,341.36","-4,846,104.46","4,334,836.89","1,565,493.65","35,255,104.22","24,884,911.77"
购建固定资产、无形资产和其他长期资产支付的现金,"23,111,950.24","28,440,976.41","112,175,118.48","28,609,286.47","90,113,815.47","186,184,508.73","34,499,088.66","71,850,328.65","150,881,372.92","305,823,736.97","52,737,577.06","90,799,899.93","187,181,053.93","212,356,072.11","10,867,712.49","69,681,809.72","74,172,225.81","86,648,329.86","3,679,843.29","5,228,912.57","10,995,307.85","15,348,706.33","9,791,315.33","17,103,452.82","18,753,581.22","28,332,573.99","10,815,526.46"
期初现金及现金等价物余额,"33,015,968.04","10,520,043.96","24,524,742.07","21,182,664.30","21,182,664.30","21,182,664.30","107,574,837.53","107,574,837.53","107,574,837.53","107,574,837.53","71,518,213.32","71,518,213.32","478,253,213.32","71,518,213.32","53,861,187.52","53,861,187.52","53,861,187.52","53,861,187.52","47,276,113.19","47,276,113.19","47,276,113.19","47,276,113.19","46,467,771.83","46,467,771.83","46,467,771.83","46,467,771.83","81,722,876.05"
投资支付的现金,,,,,"10,000,000.00","10,000,000.00",,"12,500,000.00","13,400,000.00","17,600,000.00",,"9,500,000.00","27,500,000.00","29,500,000.00","11,960,000.00","6,960,000.00","8,460,000.00","60,754,100.00","4,158,000.00","4,158,000.00","4,158,000.00","4,208,000.00",,,,"139,750,000.00","91,400,000.00"
期末现金及现金等价物余额,"10,520,043.96","24,524,742.07","21,182,664.30","10,719,216.35","611,088,078.34","107,574,837.53","204,898,865.48","56,329,313.14","83,082,797.98","71,518,213.32","46,509,612.81","54,488,866.26","292,328,436.64","53,861,187.52","31,205,677.11","50,477,559.91","34,259,694.63","47,276,113.19","31,568,368.35","70,807,415.78","16,637,597.86","46,467,771.83","41,621,667.37","50,802,608.72","48,033,265.48","81,722,876.05","106,607,787.82"
