科目,2007-03-31,2007-12-31,2008-03-31,2008-06-30,2008-09-30,2008-12-31,2009-03-31,2009-06-30,2009-09-30,2009-12-31,2010-03-31,2010-06-30,2010-09-30,2010-12-31,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31
其他应收款,"30,879,734.53","30,879,734.53","43,658,334.08","33,049,372.76","29,886,483.36","27,960,660.63","18,971,999.45","23,089,347.51","22,466,601.32","16,294,685.25","16,045,756.94","16,141,526.76","14,945,711.70","20,025,609.68","19,284,838.31","27,225,102.25","21,264,896.29","9,124,711.11","10,463,884.13","10,154,563.74","16,453,115.86","10,724,118.91","11,190,069.89","23,621,968.12","18,075,633.81","14,327,385.78","17,928,728.54","14,364,555.00","15,415,700.51","11,372,301.78","24,218,029.54","16,716,316.37","19,926,915.20","19,462,341.16","14,520,865.23","20,134,237.98","22,332,388.79","10,152,993.69","11,680,737.71","15,648,026.39","21,401,234.82","16,776,902.50","23,236,707.59","14,305,565.76","11,502,070.64","20,650,665.27","19,771,270.34"
应付职工薪酬,"18,205,011.21","18,205,011.21","10,944,453.64","8,116,426.33","12,254,992.56","17,458,732.94","12,589,215.49","13,623,722.00","13,290,848.40","19,807,393.59","12,807,505.35","16,952,581.37","17,682,354.86","23,235,697.92","12,607,961.65","17,488,318.36","18,005,799.23","32,718,406.24","13,000,438.26","15,618,730.78","17,856,439.27","27,629,828.62","17,535,895.47","19,628,750.70","21,888,670.97","40,000,442.00","19,488,874.38","24,716,135.41","27,381,590.55","97,969,934.56","25,439,187.84","33,517,333.36","43,714,292.11","57,417,087.71","24,054,786.14","36,555,287.78","47,630,038.25","81,887,908.02","26,006,292.56","33,486,807.90","39,591,442.80","145,805,729.84","60,139,892.63","47,805,301.91","54,387,332.54","205,857,441.56","33,071,809.71"
应收关联公司款,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应交税费,"36,857,176.82","36,857,176.82","48,776,194.98","16,648,384.05","12,604,779.28","39,306,999.43","49,132,822.91","-17,947,385.49","-20,017,177.07","5,464,435.87","17,439,249.96","-20,263,589.29","-26,667,856.30","26,149,015.39","36,400,197.63","27,165,462.72","38,767,422.48","51,145,407.89","-12,570,407.57","-11,789,836.05","-2,362,683.59","61,321,413.23","49,051,401.88","35,847,817.83","41,787,396.67","114,064,230.27","96,116,633.29","75,367,936.50","70,970,628.58","75,613,329.31","68,111,787.04","47,815,816.29","56,476,003.99","78,118,368.98","39,711,657.58","50,848,032.92","81,595,373.53","127,641,531.33","121,245,299.62","84,456,066.86","105,834,665.41","192,881,626.97","166,468,026.72","242,491,382.40","196,052,568.19","288,612,995.02","224,535,871.63"
应收利息,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3,157,152.77",
应付利息,"904,037.50",,"766,350.09","459,248.25","799,217.00","1,787,794.33","2,331,502.73","1,955,621.25","2,289,810.00","2,501,754.75","2,682,952.25","2,355,184.50","3,023,131.22","4,177,767.28","5,028,643.79","1,946,351.41","1,829,342.54","1,952,925.68","1,409,204.92","1,757,366.65","1,706,013.52","1,705,197.21","1,803,722.19","1,482,888.89","1,723,505.55","1,962,241.64","1,201,258.31","999,444.46","1,006,805.59","366,575.05","359,852.79","384,232.64","731,642.36","1,025,232.30","1,319,008.83","1,317,102.10","742,723.61","868,990.66","897,853.06","764,451.40","670,805.57","26,583.34","26,583.34","24,166.67",,,
应收股利,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应付股利,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"187,877,753.49",,,,,,,,
存货,"336,534,679.26","336,534,679.26","366,712,394.40","412,067,673.43","535,332,901.06","397,644,106.62","319,107,887.34","353,095,105.92","411,108,485.13","345,349,414.62","308,684,153.45","428,847,108.58","463,637,391.33","374,621,961.22","423,559,415.55","395,525,652.92","555,926,168.70","620,027,176.93","644,140,838.45","701,588,049.48","667,126,818.43","589,713,556.46","558,503,817.49","609,984,100.09","620,371,280.98","530,407,639.74","585,903,159.79","525,793,838.96","555,756,378.78","507,876,399.51","497,207,254.58","454,279,939.09","418,155,194.94","428,937,696.99","499,811,832.58","376,310,892.83","397,619,815.96","380,726,713.37","339,242,207.46","363,624,730.91","497,383,545.56","468,209,949.31","547,184,512.13","473,090,985.51","547,093,225.77","527,213,669.88","563,968,360.79"
其他应付款,"67,983,157.76","68,887,195.26","76,198,275.76","75,549,927.64","68,702,103.82","33,578,196.91","77,766,463.83","85,377,295.65","80,825,096.92","58,624,770.89","60,376,775.80","62,627,204.02","65,148,579.54","60,150,913.61","63,400,239.21","64,108,794.62","65,522,787.81","89,050,803.28","88,953,855.46","89,993,292.76","209,630,349.38","98,937,889.17","91,777,477.69","84,140,092.34","79,236,115.64","69,894,722.33","71,685,608.23","74,855,952.38","64,851,056.28","78,916,357.38","78,845,338.30","95,084,246.12","114,140,943.17","110,077,905.67","105,579,105.97","95,392,277.02","83,921,609.49","87,021,721.65","77,883,665.29","70,038,031.48","80,995,727.27","73,550,804.15","80,244,751.12","67,077,585.56","70,998,184.62","60,284,130.89","99,604,532.68"
其中:消耗性生物资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应付关联公司款,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
一年内到期的非流动资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6,650,000.00","13,300,000.00","13,300,000.00","13,300,000.00","12,600,000.00","6,300,000.00","6,300,000.00","11,200,000.00","5,600,000.00","5,600,000.00","5,600,000.00",,,,"5,695,000.00","5,695,000.00","5,560,000.00","43,080,450.00","33,183,500.00","18,251,585.25"
一年内到期的非流动负债,"193,000,000.00","193,000,000.00","193,000,000.00","193,000,000.00","143,000,000.00","313,000,000.00","363,000,000.00","163,000,000.00","7,960,000.00","110,440,000.00","232,920,000.00","222,920,000.00","222,920,000.00","155,000,000.00","217,000,000.00","65,000,000.00","127,000,000.00","127,000,000.00","127,000,000.00","65,000,000.00","127,000,000.00","65,754,952.56","127,754,952.56","66,262,952.52","128,262,952.52","65,000,000.00","127,000,000.00","62,000,000.00","62,000,000.00",,,,,"5,667,986.00",,,,,,,,,,,,,
其他流动资产,,,,,,,,,,,,,,,,,,,,,,"75,195,882.45","69,266,191.57","74,579,917.78","78,133,407.20","69,606,289.35","66,992,229.25","78,144,470.57","135,319,959.60","249,813,987.11","472,377,100.72","232,730,458.45","499,889,015.30","651,307,390.52","512,239,616.32","331,929,765.12","524,542,926.59","1,184,875,127.47","674,498,028.11","636,236,893.68","557,735,540.22","2,846,364,161.67","2,835,920,048.30","3,109,963,806.76","2,560,448,258.77","2,831,146,110.74","1,537,935,086.90"
其他流动负债,,,,,,,,,,,,,,,"1,318,498.50",,,,,,,,,,,"1,262,952.52","1,470,952.48","1,562,952.52","1,712,952.52","1,712,952.52","1,862,952.52","1,862,952.52","2,411,952.52","3,727,598.85","3,727,598.85","4,047,598.85","4,123,017.52","4,622,607.85","4,639,274.52","4,610,052.23","4,541,219.01","9,547,785.24","9,158,731.18","8,840,239.78","8,679,883.34","8,648,576.43","8,886,959.61"
流动资产合计,"498,966,751.14","498,966,751.14","778,614,850.08","872,678,696.29","990,190,446.40","1,229,773,036.08","1,302,262,870.53","1,158,809,305.71","1,177,678,036.29","1,011,866,114.26","1,036,138,734.56","1,049,545,111.76","1,617,831,664.93","1,255,553,143.47","1,382,948,796.08","1,407,745,781.15","1,593,024,591.98","1,759,937,661.18","1,819,370,256.98","1,484,192,467.33","1,558,964,095.43","1,574,328,489.78","1,558,176,938.08","1,629,048,108.51","1,802,607,369.48","1,793,527,428.29","1,897,808,764.70","1,840,382,725.46","1,900,379,947.30","1,883,638,004.36","1,901,836,346.60","1,788,562,337.23","2,042,822,692.13","2,005,728,317.24","1,827,544,744.20","1,786,890,137.35","1,955,050,304.85","2,659,268,394.36","2,003,266,719.02","1,853,569,910.72","5,011,816,186.66","4,968,122,442.43","5,184,708,307.82","5,442,565,978.37","4,926,471,176.45","5,428,864,726.43","5,053,133,982.41"
流动负债合计,"1,293,760,215.58","1,293,760,215.58","1,493,761,846.01","981,758,809.12","1,247,740,338.53","1,787,561,708.33","1,977,662,700.55","2,017,526,569.51","1,730,663,057.89","1,686,607,439.71","1,726,625,267.31","1,769,062,734.42","1,567,090,550.52","1,400,207,031.62","1,463,730,427.75","1,353,339,044.71","1,415,946,524.42","1,421,920,479.49","1,435,046,633.00","1,216,654,203.98","1,474,017,358.75","1,268,545,804.28","1,201,629,441.31","1,290,296,883.88","1,453,686,561.26","1,329,338,206.81","1,312,684,266.55","1,197,321,550.87","1,149,962,470.67","996,466,957.17","812,174,790.72","1,042,108,744.89","1,311,463,347.17","1,438,959,605.25","1,223,897,118.62","1,135,363,250.98","1,111,976,960.50","1,621,048,614.36","1,415,924,627.45","1,235,646,829.19","1,489,281,643.29","1,538,162,339.16","1,274,818,540.94","1,423,855,193.05","1,366,629,672.69","1,824,283,475.43","1,164,165,567.40"
可供出售金融资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"109,182,138.54","118,433,466.33","189,551,097.52","192,160,848.53","192,160,848.53","192,160,848.53","200,334,177.76","198,619,177.76","232,266,743.71","234,921,256.63","235,716,690.05","269,391,734.68","278,547,075.14","289,074,642.82","255,095,564.44","277,607,084.08","477,072,167.48","592,033,315.06",
长期借款,"510,000,000.00","510,000,000.00","730,000,000.00","460,000,000.00","460,000,000.00","150,000,000.00","258,150,000.00","348,150,000.00","683,190,000.00","580,710,000.00","548,230,000.00","515,750,000.00","693,270,000.00","546,000,000.00","484,000,000.00","454,000,000.00","372,000,000.00","372,000,000.00","310,000,000.00","310,000,000.00","248,000,000.00","248,000,000.00","186,000,000.00","186,000,000.00","124,000,000.00","124,000,000.00","62,000,000.00","62,000,000.00",,,,,,,,"150,000,000.00","300,000,000.00","350,000,000.00","430,000,000.00","430,000,000.00","430,000,000.00",,,,,,
持有至到期投资,"1,270.00","1,270.00","1,270.00","1,000.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应付债券,,,,,,,,,,,,,"500,315,635.11","506,961,268.28","457,081,602.89",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
长期应收款,,,"600,000.00","600,000.00","7,600,000.00","2,032,777.78","2,377,834.33","2,244,525.26","2,352,102.84","2,220,650.45","2,131,702.60","2,084,421.46","2,312,757.32","2,262,884.18","2,213,011.04","2,163,137.90","2,388,881.76","3,340,735.52","3,291,314.27","13,447,182.35","13,259,373.73","13,161,628.41","13,019,337.00","16,558,921.24","16,054,509.25","21,639,032.95","20,799,847.25","39,410,661.54","31,421,475.84","30,082,290.14","22,093,104.44","20,403,918.74","19,064,733.17","23,861,334.15","17,445,828.46","18,612,822.77","18,497,317.08","18,679,952.42","18,558,869.82","21,374,188.90","21,178,801.41","15,422,958.92","15,227,571.42","15,032,183.93","57,586,796.44","59,067,315.00","42,750,000.00"
长期应付款,,,,,,,,,,,,,,,,,,,,,,"122,145,042.76","125,965,968.54","127,603,508.16","129,270,319.41","128,695,201.26","130,390,255.98","132,085,310.70","133,810,665.13","135,596,618.98","137,306,363.17","138,723,845.13","140,192,778.61","141,724,953.32","143,288,948.30","144,852,943.28","146,442,042.42",,,,,,,,,,
长期股权投资,"4,000,000.00","4,000,000.00","2,000,000.00","11,079,031.86","11,039,751.93","21,942,431.55","21,806,286.12","21,814,382.57","21,611,911.52","46,851,584.63","66,165,744.02","99,818,758.77","109,189,808.23","129,459,706.03","146,132,918.80","167,309,223.50","176,370,981.90","181,286,473.77","184,854,427.97","206,305,574.84","228,939,141.06","254,713,578.21","254,136,969.94","260,865,647.20","261,244,985.46","272,933,041.04","271,754,453.59","286,952,898.26","183,416,018.22","174,755,059.02","92,219,451.10","85,845,606.80","86,533,219.15","494,531,884.65","491,254,954.79","492,281,336.60","492,430,880.75","88,908,405.90","483,378,068.55","477,858,568.56","480,146,840.43","480,004,047.21","477,164,715.04","478,696,878.98","483,676,457.28","491,170,211.16","490,626,410.64"
专项应付款,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
投资性房地产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"12,563,536.83","12,417,731.25","12,478,362.03","12,332,556.45","12,148,856.67","11,983,636.65","11,818,416.63","11,653,196.61","11,551,021.81","11,402,724.13","11,254,426.45","11,106,128.77","10,957,831.09","10,809,533.41"
预计负债,,,,,,,,,,,,,,,,,,,,,,,,,,"32,891,736.00","46,184,664.99","11,683,875.92","5,549,224.86","1,246,723.40","2,592,680.30","339,729.66","693,000.00","490,100.00","608,675.00","1,310,046.19","2,285,040.34","4,021,792.73","4,337,516.00","782,854.90","1,281,502.56","2,480,127.71","3,638,856.08","2,393,378.49","3,111,924.50","39,352,290.27","40,954,213.75"
固定资产,"1,373,856,391.27","1,373,856,391.27","1,362,885,398.70","1,334,754,784.15","1,985,020,548.00","2,085,803,342.16","2,048,184,422.89","2,183,902,556.25","2,690,642,603.73","2,867,642,150.76","2,806,633,986.81","2,779,245,471.41","2,715,352,029.07","2,930,525,067.07","2,882,885,666.38","3,057,905,079.89","2,993,396,089.77","2,958,177,811.36","2,900,983,693.21","2,841,210,599.37","2,790,160,645.63","2,728,698,013.70","2,654,931,351.85","2,666,395,790.98","2,557,858,470.76","2,516,318,793.90","2,671,221,726.82","2,624,163,797.99","2,567,560,836.87","2,539,394,910.76","2,478,654,173.69","2,399,205,532.96","2,348,367,024.59","2,220,573,016.82","2,141,232,677.70","2,058,354,406.47","1,989,552,734.34","1,932,959,861.23","1,866,712,178.52","1,812,859,221.29","2,214,391,409.77","2,686,826,868.43","2,605,614,246.88","2,738,036,412.73","2,725,656,885.52","2,860,231,901.27","2,789,151,730.56"
递延所得税负债,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,233,485.70",,,"911,891.49","2,846,578.49","3,288,330.29","731,535.07","3,877,114.27","1,415,544.98","2,834,994.20",,,"41,720,981.46","54,645,894.19"
在建工程,"507,157,283.26","507,157,283.26","688,020,259.41","848,448,636.19","383,446,581.34","266,535,370.01","370,739,901.94","570,578,178.45","160,189,629.73","32,183,217.88","75,639,096.42","139,228,752.01","207,886,367.69","173,733,452.15","212,265,523.76","4,028,928.26","13,349,521.89","2,872,598.40","7,075,465.46","16,215,590.72","25,304,136.30","59,505,134.24","76,567,611.53","44,950,200.56","123,669,737.80","211,240,854.83","87,976,333.66","28,585,403.88","39,665,757.33","14,713,958.62","12,364,928.81","91,712,834.10","110,757,013.47","149,503,246.26","154,343,631.29","244,645,889.03","302,157,531.80","832,082,481.11","942,627,302.78","1,168,307,952.89","1,159,243,908.74","398,854,673.23","435,861,566.30","257,977,803.37","238,679,797.60","341,946,092.85","417,285,271.61"
其他非流动负债,"10,235,372.32","10,235,372.32","10,235,372.32","10,235,372.32","10,235,372.32","9,580,416.27","9,416,677.13","9,252,937.99","10,089,198.85","10,908,753.71","10,360,015.57","9,531,277.43","9,342,539.29","9,353,801.15","9,165,063.01","8,976,324.87","8,619,507.73","8,430,769.59","8,242,031.45","8,053,293.31","7,864,555.17","9,888,943.47","9,650,205.33","10,871,800.58","10,556,062.45","10,240,324.32","9,716,586.23","12,283,848.06","13,193,109.93","20,039,257.80","3,524,386.00","3,524,386.00",,,,,,,,,,,,,,,
工程物资,,,,"81,673.66","17,283.61","12,944,286.63","23,566,222.24","20,996,772.43","5,146,806.19","4,603,329.24","11,285,932.66","2,528,083.60","69,490,951.83","14,100,817.31","5,029,129.46",,,,,,,,,,"3,640,026.50","45,679,116.78",,,,,,,"67,450.00","1,121,163.61","120,953.08","48,869,311.22","58,520,903.79","708,066.71",,,"1,685,495.95","5,617,517.26","5,617,517.26","1,987,990.60",,,
非流动负债合计,"520,235,372.32","520,235,372.32","740,235,372.32","470,235,372.32","470,235,372.32","159,580,416.27","267,566,677.13","357,402,937.99","693,279,198.85","591,618,753.71","558,590,015.57","525,281,277.43","1,202,928,174.40","1,062,315,069.43","950,246,665.90","462,976,324.87","380,619,507.73","380,430,769.59","318,242,031.45","318,053,293.31","255,864,555.17","380,033,986.23","321,616,173.87","324,475,308.74","263,826,381.86","295,827,261.58","248,291,507.20","218,053,034.68","152,552,999.92","156,882,600.18","157,072,563.14","155,771,356.33","158,407,186.02","215,351,808.24","214,868,992.85","368,587,459.34","521,184,297.93","428,258,024.71","507,889,014.47","500,694,184.02","503,243,258.79","66,053,168.81","66,561,467.80","60,293,555.05","58,918,694.50","135,869,092.84","148,603,639.86"
固定资产清理,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
负债合计,"1,813,995,587.90","1,813,995,587.90","2,233,997,218.33","1,451,994,181.44","1,717,975,710.85","1,947,142,124.60","2,245,229,377.68","2,374,929,507.50","2,423,942,256.74","2,278,226,193.42","2,285,215,282.88","2,294,344,011.85","2,770,018,724.92","2,462,522,101.05","2,413,977,093.65","1,816,315,369.58","1,796,566,032.15","1,802,351,249.08","1,753,288,664.45","1,534,707,497.29","1,729,881,913.92","1,648,579,790.51","1,523,245,615.18","1,614,772,192.62","1,717,512,943.12","1,625,165,468.39","1,560,975,773.75","1,415,374,585.55","1,302,515,470.59","1,153,349,557.35","969,247,353.86","1,197,880,101.22","1,469,870,533.19","1,654,311,413.49","1,438,766,111.47","1,503,950,710.32","1,633,161,258.43","2,049,306,639.07","1,923,813,641.92","1,736,341,013.21","1,992,524,902.08","1,604,215,507.97","1,341,380,008.74","1,484,148,748.10","1,425,548,367.19","1,960,152,568.27","1,312,769,207.26"
生产性生物资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
实收资本(或股本),"300,000,000.00","300,000,000.00","300,000,000.00","400,000,000.00","400,000,000.00","400,000,000.00","400,000,000.00","400,000,000.00","400,000,000.00","400,000,000.00","400,000,000.00","400,000,000.00","400,000,000.00","400,000,000.00","405,203,776.00","894,655,969.00","894,655,969.00","894,655,969.00","894,655,969.00","894,655,969.00","894,655,969.00","894,655,969.00","894,655,969.00","894,655,969.00","894,655,969.00","894,655,969.00","894,655,969.00","894,655,969.00","894,655,969.00","894,655,969.00","894,655,969.00","894,655,969.00","894,655,969.00","894,655,969.00","894,655,969.00","894,655,969.00","894,655,969.00","894,655,969.00","894,655,969.00","894,655,969.00","1,192,275,016.00","1,192,275,016.00","1,192,275,016.00","1,192,275,016.00","1,192,275,016.00","1,192,275,016.00","1,192,275,016.00"
油气资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
资本公积,"111,410,750.22","111,410,750.22","114,890,750.22","981,341,924.63","981,341,924.63","983,281,924.63","934,278,992.03","934,278,992.03","934,278,992.03","936,558,992.03","936,558,992.03","936,558,992.03","1,045,710,422.07","1,047,386,283.12","1,098,921,593.17","1,070,817,639.28","1,070,817,639.28","1,070,817,639.28","1,070,817,639.28","1,070,817,639.28","1,070,817,639.28","1,073,277,639.28","1,073,228,410.07","1,073,228,410.07","1,073,228,410.07","1,073,228,410.07","1,073,201,651.04","1,073,201,651.04","1,073,201,651.04","1,073,201,651.04","1,073,201,651.04","1,073,201,651.04","1,073,201,651.04","1,074,460,503.41","1,074,460,503.41","1,074,460,503.41","1,074,460,503.41","1,074,460,503.41","1,074,460,503.41","1,074,460,503.41","3,735,509,494.46","3,735,509,494.46","3,735,509,494.46","3,735,509,494.46","3,735,509,494.46","3,735,509,494.46","3,735,509,494.46"
无形资产,"137,218,389.46","137,218,389.46","137,763,752.27","136,380,888.12","135,237,426.43","178,069,352.17","249,750,242.46","245,651,292.02","241,903,609.25","238,101,715.00","234,238,294.09","234,130,115.67","233,152,005.56","269,034,369.05","265,405,584.06","262,389,142.17","259,772,157.99","298,346,636.22","294,749,270.73","291,151,905.24","449,293,266.94","450,939,365.52","458,180,337.45","461,550,743.37","507,746,572.61","508,580,960.35","514,834,410.25","499,207,001.44","493,330,297.63","483,014,039.18","476,869,642.61","672,577,533.70","665,695,421.29","669,872,629.87","663,450,717.11","657,377,251.86","687,895,053.75","682,016,324.49","673,530,303.88","673,839,061.80","661,096,043.10","655,407,687.66","649,110,564.73","642,813,442.20","637,394,619.84","655,375,734.75","640,376,053.69"
