科目,2011年度,2012年度,2013年1-3月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月
支付的各项税费,"79,981,326.62","64,479,446.63",,"61,703,981.52",,"34,314,722.11","83,737,863.39","115,420,573.87","22,138,996.72","45,419,753.44","59,363,829.08","77,357,617.32","21,219,337.60","52,595,703.95","71,213,297.90","81,322,935.95","26,617,580.80","50,448,281.25","70,594,518.24","84,008,737.10","21,607,720.30"
收到其他与筹资活动有关的现金,,,,,,,,,,,,,,,,"11,237,200.00",,,,"9,752,000.00",
支付其他与经营活动有关的现金,"102,131,034.41","62,808,392.77",,"62,095,655.71",,"29,197,156.62","70,331,324.06","109,571,426.71","21,238,787.00","68,728,773.29","66,227,721.87","105,031,664.42","39,764,045.32","64,581,939.55","130,705,790.53","194,506,926.61","48,714,339.47","117,430,077.29","121,949,202.11","164,129,986.98","88,191,639.48"
筹资活动现金流入小计,"144,360,000.00","271,000,000.00",,"80,000,000.00",,"34,376,697.86","480,736,657.44","659,928,828.86","64,000,000.00","74,000,000.00","100,285,316.18","250,285,316.18",,"52,000,000.00","52,000,000.00","168,237,200.00",,"30,000,000.00","31,800,000.00","42,752,000.00","5,000,000.00"
经营活动现金流出小计,"975,704,659.04","892,826,473.35",,"778,565,321.52",,"314,280,881.69","979,103,946.56","1,299,963,318.87","300,166,443.80","598,690,516.96","878,446,633.85","1,195,705,927.35","311,028,215.55","655,464,914.72","1,011,509,116.49","1,176,150,036.24","434,865,105.35","719,356,637.14","1,207,663,961.89","1,433,408,574.44","520,235,412.82"
偿还债务支付的现金,"10,000,000.00","139,000,000.00",,"75,000,000.00",,"21,000,000.00","180,000,000.00","275,000,000.00","105,000,000.00","174,096,155.38","198,096,930.83","417,728,722.47",,,"3,795,000.00","129,648,901.28","100,000,000.00","162,963,771.50","167,619,050.80","170,961,950.05","1,425,313.35"
经营活动产生的现金流量净额,"-88,634,677.38","-44,200,706.76","143,873,761.59","79,303,291.44","42,269,359.57","40,674,142.48","98,186,705.01","202,121,403.84","-23,109,571.02","82,671,374.33","150,888,039.95","216,970,544.40","87,523,214.53","229,181,951.47","324,413,907.69","370,696,250.65","-7,523,071.49","12,756,169.74","22,924,445.08","-18,340,498.17","-16,216,810.40"
分配股利、利润或偿还利息支付的现金,"70,023,201.97","22,340,158.20",,"51,152,544.50",,"34,102,408.01","47,671,607.97","55,228,529.38","3,507,604.17","36,905,241.89","48,445,368.50","53,432,740.70","1,307,962.82","41,903,743.38","45,614,840.73","48,300,388.43","666,437.10","48,389,918.29","49,084,163.15","49,897,186.69","713,271.91"
收回投资收到的现金,,,,,,,"2,397,496.07",,,,,,,,,,,,,,
支付其他与筹资活动有关的现金,,,,,,,"23,577,000.00","23,577,000.00",,,,,,,,,,,,,
取得投资收益收到的现金,,"2,405,216.00",,"1,639,920.00",,,,"5,280,640.09",,"367,419.60","5,471,840.32","5,471,840.32",,,"5,326,475.73","5,494,366.13",,"817,508.61","5,764,552.23","5,764,552.23",
筹资活动现金流出小计,"80,023,201.97","161,340,158.20",,"126,152,544.50",,"55,102,408.01","251,248,607.97","353,805,529.38","108,507,604.17","211,001,397.27","246,542,299.33","471,161,463.17","1,307,962.82","41,903,743.38","49,409,840.73","177,949,289.71","100,666,437.10","211,353,689.79","216,703,213.95","220,859,136.74","2,138,585.26"
处置固定资产、无形资产和其他长期资产收回的现金净额,"223,542.34","10,413.55",,"24,506.00",,"1,513,255.92","1,513,705.92","1,513,705.92",,"159,100.00","207,400.00","312,900.00",,"363,852.13","395,352.13","518,800.00","14,105.85","40,841.28","41,241.28","41,666.28",
筹资活动产生的现金流量净额,"64,336,798.03","109,659,841.80",,"-46,152,544.50",,"-20,725,710.15","229,488,049.47","306,123,299.48","-44,507,604.17","-137,001,397.27","-146,256,983.15","-220,876,146.99","-1,307,962.82","10,096,256.62","2,590,159.27","-9,712,089.71","-100,666,437.10","-181,353,689.79","-184,903,213.95","-178,107,136.74","2,861,414.74"
处置子公司及其他营业单位收到的现金净额,,,,,,,,,,,,,,,,,,,,,
四、汇率变动对现金的影响,,,,"-773,728.94",,"245,487.98","690,543.97","369,854.42","-203,877.67","2,665,319.35","6,082,944.51","-506,982.55","398,647.54","485,720.92","-108,612.49","519,944.51","-35,031.19","-186,849.10","-670,565.67","-458,673.63","-1,327,592.80"
收到其他与投资活动有关的现金,,,,,,,,"2,410,000.00","1,800,000.00","3,640,000.00","5,480,000.00","7,300,000.00","1,820,000.00","3,660,000.00","5,500,000.00","7,320,000.00","1,698,113.21","83,056,603.78","83,056,603.78","83,056,603.78",
四(2)、其他原因对现金的影响,,,,,,,,,,,,,,,,,,,,,
投资活动现金流入小计,"223,542.34","2,415,629.55",,"1,664,426.00",,"1,513,255.92","3,911,201.99","9,204,346.01","1,800,000.00","4,166,519.60","11,159,240.32","13,084,740.32","1,820,000.00","4,023,852.13","11,221,827.86","13,333,166.13","1,712,219.06","83,914,953.67","88,862,397.29","88,862,822.29",
五、现金及现金等价物净增加额,"-294,587,010.73","-131,801,997.78",,"4,477,973.33",,"-7,490,804.04","-103,727,874.43","30,728,476.96","-145,224,115.09","-150,203,196.04","-121,438,867.48","-148,977,959.08","65,205,141.72","201,026,800.93","290,521,819.79","315,305,596.02","-129,079,862.51","-106,227,508.46","-98,109,278.11","-134,382,258.32","-28,258,048.72"
购建固定资产、无形资产和其他长期资产支付的现金,"187,372,177.68","64,676,762.37",,"29,495,845.67",,"29,197,980.27","167,932,990.19","219,019,042.11","79,203,062.23","102,705,012.05","143,312,109.11","157,650,114.26","23,228,757.53","42,760,980.21","47,595,462.54","57,531,675.56","22,567,541.79","21,358,092.98","24,322,340.86","26,338,772.07","13,575,060.26"
期初现金及现金等价物余额,"555,708,125.25","261,121,114.52",,"129,319,116.74",,"170,795,567.34","443,675,239.45","371,695,022.18","482,490,174.73","402,423,499.14","482,490,174.73","402,423,499.14","253,445,540.06","253,445,540.06","253,445,540.06","253,445,540.06","568,751,136.08","568,751,136.08","568,751,136.08","568,751,136.08","434,368,877.76"
投资支付的现金,"83,140,496.04","135,000,000.00",,,,,"188,071,384.68","188,071,384.68",,,,,,,,"2,000,000.00",,,,,
期末现金及现金等价物余额,"261,121,114.52","129,319,116.74",,"133,797,090.07",,"163,304,763.30","339,947,365.02","402,423,499.14","337,266,059.64","252,220,303.10","361,051,307.25","253,445,540.06","318,650,681.78","454,472,340.99","543,967,359.85","568,751,136.08","439,671,273.57","462,523,627.62","470,641,857.97","434,368,877.76","406,110,829.04"
