科目,2007年1-3月,2007年1-6月,2007年1-9月,2007年度,2008年1-3月,2008年1-6月,2008年1-9月,2008年度,2009年1-3月,2009年1-6月,2009年1-9月
经营活动现金流出小计,"79,452,159.44","169,635,986.58","262,615,253.02","308,859,977.76","97,007,798.63","173,062,213.85","308,145,269.94","348,605,815.01","60,725,488.40","185,586,214.28","273,498,491.28"
偿还债务支付的现金,"168,760,000.00","269,070,000.00","283,060,000.00","438,320,000.00","41,000,000.00","44,000,000.00","109,000,000.00","232,300,000.00","40,500,000.00","113,900,000.00","169,900,000.00"
经营活动产生的现金流量净额,"-15,090,448.99","-15,061,949.12","-9,057,660.36","-23,370,655.24","-34,830,733.54","-33,352,715.55","-21,899,509.13","-4,627,916.21","-7,534,086.74","20,668,076.72","25,458,750.97"
分配股利、利润或偿还利息支付的现金,"94,101,184.26","5,550,655.38","8,183,656.39","10,602,368.97","3,345,905.60","5,450,202.91","8,474,860.87","12,905,513.47","2,617,625.58","5,322,022.91","7,729,560.53"
收回投资收到的现金,,,,"22,746,497.12",,,,"4,679,585.89",,"3,353,988.11",
支付其他与筹资活动有关的现金,"86,586,582.15","117,838,108.81","158,765,460.93",,"5,976,213.32","6,416,568.10","61,324,164.18",,"5,800,000.00",,"8,800,000.00"
取得投资收益收到的现金,"72,467,628.47","101,154,229.77","101,154,229.77","82,077,343.75","24,790,691.86","24,870,691.86","28,560,691.86","22,194,707.68","4,650,000.00","10,025,788.96","24,950,000.00"
筹资活动现金流出小计,"349,447,766.41","392,458,764.19","450,009,117.32","448,922,368.97","50,322,118.92","55,866,771.01","178,799,025.05","245,205,513.47","48,917,625.58","119,222,022.91","186,429,560.53"
处置固定资产、无形资产和其他长期资产收回的现金净额,"25,300.00","2,919,185.53","2,684,112.89","999,660.00",,,665.00,"9,200.00","27,000,000.00","501,600.00","206,300.00"
筹资活动产生的现金流量净额,"-62,007,645.44","-89,779,574.27","-84,349,117.32","-64,522,368.97","2,611,655.04","11,708,266.68","16,781,143.97","22,594,486.53","9,084,874.08","-9,222,022.91","-28,322,622.93"
处置子公司及其他营业单位收到的现金净额,,,,,,,,,,,
四、汇率变动对现金的影响,,,,,,,,,,,
收到其他与投资活动有关的现金,,,,"3,156,993.01",,,,,,,
四(2)、其他原因对现金的影响,,,,,,,,,,,
投资活动现金流入小计,"72,492,928.47","104,073,415.30","103,838,342.66","108,980,493.88","24,790,691.86","24,870,691.86","28,561,356.86","26,883,493.57","31,650,000.00","13,881,377.07","25,156,300.00"
五、现金及现金等价物净增加额,"-4,632,865.96","-7,005,396.52","1,380,766.55","82,135.24","-10,451,637.02","-9,359,536.23","-7,749,708.68","8,446,022.14","27,997,633.26","16,131,160.55","12,151,266.28"
购建固定资产、无形资产和其他长期资产支付的现金,"27,700.00","5,722,388.43","9,050,798.43","18,989,315.17","3,023,250.38","12,585,779.22","31,192,700.38","34,989,037.68","5,203,154.08","9,196,270.33","9,052,761.76"
期初现金及现金等价物余额,"25,526,322.29","25,526,322.29","25,526,322.29","25,526,322.29","25,608,457.53","25,608,457.53","25,608,457.53","25,608,457.53","34,054,479.67","34,054,479.67","34,054,479.67"
投资支付的现金,,,,,,,,,,,
期末现金及现金等价物余额,"20,893,456.33","18,520,925.77","26,907,088.84","25,608,457.53","15,156,820.51","16,248,921.30","17,858,748.85","34,054,479.67","62,052,112.93","50,185,640.22","46,205,745.95"
