科目,2007年1-3月,2007年1-6月,2007年1-9月,2007年度,2008年1-3月,2008年1-6月,2008年1-9月,2008年度,2009年1-3月,2009年1-6月,2009年1-9月,2009年度,2010年1-3月,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月
经营活动现金流入小计,"28,463,521,694.00","57,523,352,000.00","87,860,149,000.00","100,659,189,000.00","57,338,204,000.00","96,513,633,000.00","104,305,318,000.00","137,207,314,000.00","63,257,285,000.00","84,246,070,000.00","121,731,317,000.00","157,753,458,000.00","39,561,183,000.00","43,115,729,000.00","98,454,683,000.00","150,974,006,000.00","88,939,860,000.00","131,271,221,000.00","223,458,858,000.00","299,272,651,000.00","192,269,320,000.00","373,450,610,000.00","396,749,023,000.00","571,287,430,000.00","271,972,000,000.00","319,130,000,000.00","375,380,000,000.00","415,487,000,000.00","242,068,000,000.00","307,937,000,000.00","333,603,000,000.00","440,876,000,000.00","167,092,000,000.00","447,434,000,000.00","423,879,000,000.00","361,744,000,000.00","159,508,000,000.00","237,589,000,000.00","257,972,000,000.00","503,200,000,000.00","64,339,000,000.00","186,723,000,000.00","238,846,000,000.00","411,204,000,000.00","183,047,000,000.00"
收到其他与筹资活动有关的现金,,,,,,,,,,,,,,,,,,,,"2,690,052,000.00",,,,,,,,"14,734,000,000.00",,,"3,000,000.00","3,000,000.00",,"9,940,000,000.00","9,940,000,000.00","9,940,000,000.00","20,000,000,000.00","20,000,000,000.00","20,000,000,000.00","20,000,000,000.00",,,,,
客户贷款及垫款净增加额,"10,468,136,711.00","25,957,186,000.00","32,969,112,000.00","42,083,860,000.00","12,448,009,000.00","26,287,334,000.00","39,249,900,000.00","74,220,352,000.00","35,855,797,000.00","58,662,529,000.00","76,894,112,000.00","76,230,806,000.00","12,519,645,000.00","14,287,426,000.00","39,071,261,000.00","46,575,944,000.00","14,868,515,000.00","40,384,311,000.00","55,242,688,000.00","67,003,852,000.00","29,934,127,000.00","60,889,908,000.00","83,028,516,000.00",,"33,843,000,000.00","66,092,000,000.00","112,839,000,000.00","129,767,000,000.00","44,288,000,000.00","94,509,000,000.00","151,678,000,000.00","186,583,000,000.00","102,500,000,000.00","169,959,000,000.00","200,784,000,000.00","216,255,000,000.00","53,973,000,000.00","157,709,000,000.00","239,188,000,000.00","295,878,000,000.00","82,251,000,000.00","138,573,000,000.00","202,265,000,000.00","269,977,000,000.00","78,639,000,000.00"
筹资活动现金流入小计,,,,"3,136,366,000.00","6,480,500,000.00","7,754,760,000.00","8,285,956,000.00","10,602,335,000.00",,"1,500,000,000.00","1,500,000,000.00","1,500,000,000.00",,"6,931,130,000.00","6,907,269,000.00","6,931,130,000.00",,"3,650,000,000.00","6,340,052,000.00","6,340,052,000.00",,,,,,,,"14,734,000,000.00","9,000,000,000.00","16,483,000,000.00","41,746,000,000.00","52,008,000,000.00","55,717,000,000.00","133,419,000,000.00","268,036,000,000.00","380,736,000,000.00","187,420,000,000.00","440,453,000,000.00","629,764,000,000.00","732,790,000,000.00","305,833,000,000.00","531,500,000,000.00","721,719,000,000.00","901,644,000,000.00","199,253,000,000.00"
存放中央银行和同业款项净增加额,"3,638,746,675.00","6,330,303,000.00","9,984,175,000.00","15,582,324,000.00","2,835,249,000.00","14,124,666,000.00","8,174,995,000.00","14,782,982,000.00","11,149,037,000.00","4,234,989,000.00","4,326,230,000.00","3,562,647,000.00",,"4,177,478,000.00","8,777,933,000.00","18,764,827,000.00","7,680,756,000.00","15,794,044,000.00","28,075,071,000.00","46,446,640,000.00","16,001,907,000.00","48,031,445,000.00","50,008,135,000.00","56,984,773,000.00","10,941,000,000.00","18,007,000,000.00","24,101,000,000.00","18,272,000,000.00","57,736,000,000.00","51,341,000,000.00","56,954,000,000.00","70,215,000,000.00",,,"8,179,000,000.00","5,472,000,000.00",,"16,807,000,000.00","59,220,000,000.00","46,635,000,000.00","24,313,000,000.00","44,062,000,000.00","53,754,000,000.00","37,487,000,000.00",
偿还债务支付的现金,,,,,,,,,,,,,,"459,700,000.00",,,,,,,,,,,"6,500,000,000.00","6,500,000,000.00","6,500,000,000.00","8,000,000,000.00",,"3,000,000,000.00","4,500,000,000.00","18,800,000,000.00","20,050,000,000.00","58,380,000,000.00","106,230,000,000.00",,"134,880,000,000.00",,"503,190,000,000.00","671,341,000,000.00","255,000,000,000.00","449,810,000,000.00","644,980,000,000.00","834,670,000,000.00","187,200,000,000.00"
支付的手续费及佣金的现金,"1,302,906,721.00","2,802,006,000.00","4,811,096,000.00","7,799,556,000.00","3,054,450,000.00","6,027,916,000.00","9,214,601,000.00","12,813,497,000.00","3,075,460,000.00","5,028,568,000.00","7,368,487,000.00","9,019,496,000.00","2,057,478,000.00","4,273,571,000.00","6,198,784,000.00","8,579,821,000.00","3,607,129,000.00","7,850,360,000.00","14,005,453,000.00","22,663,033,000.00","9,097,782,000.00","19,714,553,000.00","29,296,296,000.00","39,563,360,000.00","9,310,000,000.00","21,106,000,000.00","33,037,000,000.00","46,687,000,000.00","14,222,000,000.00","28,317,000,000.00","41,838,000,000.00","58,532,000,000.00","17,416,000,000.00","33,732,000,000.00","47,404,000,000.00","63,320,000,000.00","12,471,000,000.00","25,888,000,000.00","37,291,000,000.00","48,504,000,000.00","13,578,000,000.00","28,227,000,000.00","44,250,000,000.00","59,164,000,000.00","15,658,000,000.00"
分配股利、利润或偿付利息支付的现金,,"12,641,000.00","12,666,000.00","20,858,000.00",,"7,375,000.00","14,715,000.00","101,712,000.00","254,193,000.00","376,824,000.00","378,378,000.00","463,562,000.00","370,025,000.00",,"464,400,000.00","548,862,000.00","372,550,000.00","465,075,000.00","473,828,000.00","562,195,000.00","374,563,000.00","883,063,000.00","889,863,000.00","1,488,011,000.00","373,000,000.00","1,744,000,000.00","1,744,000,000.00","1,824,000,000.00",,"2,019,000,000.00","2,019,000,000.00","2,019,000,000.00","612,000,000.00","3,349,000,000.00","3,349,000,000.00","3,349,000,000.00","612,000,000.00","2,189,000,000.00","2,189,000,000.00","2,189,000,000.00","1,517,000,000.00","874,000,000.00","5,471,000,000.00","5,535,000,000.00","1,551,000,000.00"
购买商品、提供劳务支付的现金,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
支付其他与筹资活动有关的现金,,,,"13,120,000.00",,"9,200,000.00","9,200,000.00","59,868,000.00",,"9,638,000.00","9,638,000.00","9,810,000.00",,,"23,367,000.00","23,702,000.00",,,,,,,,,,,,,,,,,,,,"203,210,000,000.00","48,000,000.00","330,809,000,000.00","1,417,000,000.00","48,000,000.00",,"1,841,000,000.00",,,
