科目,2012年度,2013年度,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月,2018年1-9月,2018年度,2019年1-3月
堪探费用,,,,,,,,,,,,,,,,,,,
加:影响利润总额的其他科目,,,,,,,,,,,,,,,,,,,
财务费用,"3,287,014.94","-274,021.52","-1,463,037.70",,"-1,737,534.54","-3,135,429.60","-4,900,497.81","-1,225,320.87","-2,954,374.86","-4,305,523.21","-1,175,640.02","-2,564,422.34","-2,908,343.59","-3,712,857.30","-1,218,929.26","-2,216,614.19","-3,846,149.15","-5,459,247.25","-1,483,342.77"
三、利润总额,"151,060,549.72","192,060,290.45","167,033,640.03","55,969,087.38","84,504,811.79","138,980,900.13","168,543,641.30","52,363,082.77","105,896,374.79","220,902,345.52","38,460,737.68","69,836,966.06","104,008,811.61","133,332,750.36","44,358,843.71","89,533,042.92","138,567,189.50","153,216,365.92","16,260,625.51"
资产减值损失,"599,368.82","2,013,746.36","2,433,008.61",,"-496,110.75","2,645,386.04","-741,035.81","1,478,561.27","1,330,106.04","1,124,660.56","1,335,521.17","1,309,256.32","1,899,983.13","1,748,048.49","2,971,840.54","3,173,858.69","4,241,859.32","10,407,610.83","1,667,921.18"
减:所得税,"21,848,270.21","29,198,209.11","26,776,718.77",,"13,868,573.19","21,802,652.32","26,801,488.77","8,612,484.71","15,704,647.13","32,900,200.30","5,088,781.14","7,898,458.38","11,586,328.85","19,146,885.03","5,807,583.57","13,098,305.13","19,477,493.38","17,601,539.73","1,842,306.16"
加:公允价值变动净收益,,,,,,,,,,,,,,,,,,,
加:影响净利润的其他科目,,,,,,,,,,,,,,,,,,,
投资收益,,"-1,607.22","217,280.91",,"161,035.63","140,941.30","2,708,311.54","698,073.90","8,074,855.15","15,850,370.27","2,109,612.68","6,463,269.93","10,905,886.92","18,194,368.45","6,073,793.34","16,578,086.53","21,469,407.02","18,761,596.16","699,792.26"
四、净利润,"129,212,279.51","162,862,081.34","140,256,921.26","46,733,056.81","70,636,238.60","117,178,247.81","141,742,152.53","43,750,598.06","90,191,727.66","188,002,145.22","33,371,956.54","61,938,507.68","92,422,482.76","114,185,865.33","38,551,260.14","76,434,737.79","119,089,696.12","135,614,826.19","14,418,319.35"
其中:对联营企业和合营企业的投资权益,,"-1,607.22","217,280.91",,"161,035.63","140,941.30","266,448.53",,"-337,729.23","-755,077.13","236,982.82","-334,059.44","-1,088,954.50","-2,616,870.66","-1,410,318.58","2,296,295.60","431,980.50","-13,342,948.48","-3,051,343.72"
归属于母公司所有者的净利润,"129,212,279.51","162,862,081.34","140,256,921.26","46,733,056.81","70,636,238.60","117,178,247.81","141,742,152.53","43,750,598.06","90,191,727.66","188,002,145.22","33,371,956.54","61,938,507.68","92,422,482.76","114,185,865.33","38,551,260.14","76,434,737.79","119,089,696.12","135,614,826.19","14,418,319.35"
影响营业利润的其他科目,,,,,,,,,,,,,,,,,,,
少数股东损益,,,,,,,,,,,,,,,,,,,
