科目,2011年度,2012年度,2013年度,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月
取得借款收到的现金,,"28,000,000.00","12,000,000.00",,"50,000,000.00","50,000,000.00",,"90,000,000.00","93,000,000.00","90,000,000.00","100,000,000.00","119,000,000.00","135,000,000.00","220,000,000.00","18,501,000.00","18,600,000.00","118,600,000.00"
支付的各项税费,"23,519,958.43","23,104,454.39","17,493,888.26","27,532,805.23","27,585,123.61","33,114,479.32","8,713,342.57","14,418,974.88","16,050,711.19","17,903,311.72","6,170,940.01","11,425,223.41","13,380,085.42","17,430,859.69","7,407,999.15","13,308,598.18","17,765,696.32"
收到其他与筹资活动有关的现金,"1,250,000.00",,,,,,,,,,,,,,,,
支付其他与经营活动有关的现金,"25,929,690.98","32,237,524.15","28,374,559.93","9,181,739.86","15,899,293.57","28,744,223.74","3,291,611.36","16,631,569.61","24,439,830.33","53,598,552.89","8,743,354.43","17,568,618.57","27,050,018.65","43,027,906.05","14,428,510.22","26,657,109.15","43,018,517.26"
筹资活动现金流入小计,"1,250,000.00","28,000,000.00","12,000,000.00",,"692,945,500.00","702,957,500.00",,"90,000,000.00","96,500,000.00","93,500,000.00","100,000,000.00","119,000,000.00","135,000,000.00","220,000,000.00","18,501,000.00","18,600,000.00","118,600,000.00"
经营活动现金流出小计,"179,755,521.05","183,540,972.32","168,255,253.08","86,987,724.64","123,600,175.99","221,033,172.96","56,588,226.49","114,930,136.60","170,182,742.01","239,171,624.32","57,932,340.35","108,267,701.76","180,550,670.19","269,279,861.04","91,119,777.98","154,566,923.53","245,451,158.13"
偿还债务支付的现金,"30,000,000.00","5,000,000.00","35,000,000.00",,,,,,"64,550,000.00","61,550,000.00","5,000,000.00","80,350,000.00","95,400,000.00","188,200,000.00","19,200,000.00","120,400,000.00","237,000,000.00"
经营活动产生的现金流量净额,"114,856,033.64","-16,072,929.85","20,039,694.09","9,774,649.44","-20,283,984.20","-83,975,312.35","-24,839,732.94","-58,556,371.67","-83,167,781.51","-74,888,162.51","-23,650,911.85","-40,433,364.70","-68,314,219.21","-33,100,648.26","-23,066,677.43","24,067,813.76","22,665,158.63"
分配股利、利润或偿还利息支付的现金,"1,040,391.67","47,957.01","101,412,383.60",,"455,116.87","1,234,658.53","727,708.34","1,903,562.50","19,115,600.43","20,367,045.07","1,647,165.63","3,817,762.01","6,015,944.40","7,459,233.65","1,577,738.06","2,951,454.77","4,055,488.95"
收回投资收到的现金,,,,,,"30,000,000.00",,"36,000,000.00","56,000,000.00","174,000,000.00","29,000,000.00","116,000,000.00","172,000,000.00","291,000,000.00","167,100,000.00","650,400,000.00","186,100,000.00"
支付其他与筹资活动有关的现金,,"40,200,000.00","100,000.00",,,"10,012,000.00",,,"11,252.27",,,"120,000.00","120,000.00",,,,
取得投资收益收到的现金,,,,,,"11,874,152.16",,"899,112.33","10,205,867.20","2,996,986.29","5,410,996.04","1,159,689.61","3,163,570.61","7,166,886.70","1,030,915.27","39,104,400.43","40,610,912.53"
筹资活动现金流出小计,"31,040,391.67","45,247,957.01","136,512,383.60",,"455,116.87","11,246,658.53","727,708.34","1,903,562.50","83,676,852.70","81,917,045.07","6,647,165.63","84,287,762.01","101,535,944.40","195,659,233.65","20,777,738.06","123,351,454.77","241,055,488.95"
处置固定资产、无形资产和其他长期资产收回的现金净额,,471.00,,,,,,,,"55,451.59",,962.00,962.00,"22,621,055.79","3,220,000.00","3,289,582.00","3,320,006.00"
筹资活动产生的现金流量净额,"-29,790,391.67","-17,247,957.01","-124,512,383.60",,"692,490,383.13","691,710,841.47","-727,708.34","88,096,437.50","12,823,147.30","11,582,954.93","93,352,834.37","34,712,237.99","33,464,055.60","24,340,766.35","-2,276,738.06","-104,751,454.77","-122,455,488.95"
处置子公司及其他营业单位收到的现金净额,,,,,,,,,,,,,,,,,
四、汇率变动对现金的影响,,,,,,,,,"6,517.34","10,439.44","-4,584.62","158,866.95","217,142.85","217,249.09",,"42,116.60",
收到其他与投资活动有关的现金,"36,703,059.90","31,211,422.13","43,320,000.00","4,684,502.29","4,684,502.29","7,684,502.29","9,800,000.00","20,181,579.49","19,931,579.49","1,000,000.00",,"6,652,270.00","5,152,270.00","3,630,000.00","1,020,009.90","750,000.00","17,380,000.00"
四(2)、其他原因对现金的影响,,,,,,,,,,,,,,,,,
投资活动现金流入小计,"36,703,059.90","31,211,893.13","43,320,000.00","4,684,502.29","4,684,502.29","49,558,654.45","9,800,000.00","57,080,691.82","86,137,446.69","178,052,437.88","34,410,996.04","123,812,921.61","180,316,802.61","324,417,942.49","172,370,925.17","693,543,982.43","247,410,918.53"
五、现金及现金等价物净增加额,"65,012,733.50","-16,503,458.01","-112,035,447.40","2,873,595.98","658,183,533.30","473,022,315.83","-33,849,363.22","7,337,574.21","-392,260,027.43","-403,168,682.95","20,000,480.17","-24,897,420.58","-96,279,045.24","-13,379,610.78","-91,095,009.77","-103,423,800.73","-166,066,766.78"
购建固定资产、无形资产和其他长期资产支付的现金,"14,020,166.69","9,694,464.28","45,692,757.89","5,985,555.75","13,107,367.92","27,071,867.74","18,081,921.94","42,054,083.44","71,854,425.31","110,180,520.75","19,107,853.77","40,073,599.14","86,014,432.80","137,481,098.76","27,122,519.45","50,871,783.30","66,659,479.54"
期初现金及现金等价物余额,"185,605,347.79","250,618,081.29","234,114,623.28","122,079,175.88","122,079,175.88","122,079,175.88","595,101,491.71","595,101,491.71","595,101,491.71","595,101,491.71","191,932,808.76","191,932,808.76","191,932,808.76","191,932,808.76","178,553,197.98","178,553,197.98","178,555,127.98"
投资支付的现金,,,,,,"150,000,000.00",,,"311,000,000.00","379,000,000.00","65,000,000.00","73,000,000.00","121,500,000.00","143,100,000.00","211,000,000.00","661,100,000.00","235,200,000.00"
期末现金及现金等价物余额,"250,618,081.29","234,114,623.28","122,079,175.88","124,952,771.86","780,262,709.18","595,101,491.71","561,252,128.49","602,439,065.92","202,841,464.28","191,932,808.76","211,933,288.93","167,035,388.18","95,653,763.52","178,553,197.98","87,458,188.21","75,129,397.25","12,488,361.20"
