科目,2008年度,2009年1-6月,2009年度,2010年1-6月,2010年度,2011年1-6月,2011年度,2012年1-6月,2012年度,2013年1-6月,2013年度,2014年1-6月,2014年度,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月
收回投资收到的现金,,,,,,,,,,,,,,,,,,,,,,,,,
支付其他与筹资活动有关的现金,,,,,,,,"2,620,000.00","2,840,000.00","611,432.07","911,432.07","316,045.70","654,972.50","41,267,496.30","42,387,627.35","42,587,627.35",,,"36,933,356.92","1,677,137.99","15,041,515.89","241,417.27","241,417.27","1,456,917.27","35,968,264.88"
取得投资收益收到的现金,,,,,,,,,,,,,,,,,,,,,,,"134,904.09",,
筹资活动现金流出小计,"11,113,517.50","5,545,283.75","16,116,568.75","12,555,337.50","23,144,747.50","12,623,987.50","29,929,866.46","20,664,379.97","32,108,019.79","46,111,976.12","62,730,732.62","16,144,442.35","57,396,997.62","57,167,196.30","108,432,546.22","139,250,460.09","18,291,094.43","18,513,427.76","115,935,199.14","163,224,806.59","57,879,768.51","138,570,244.82","153,894,154.98","255,207,991.97","157,349,508.99"
处置固定资产、无形资产和其他长期资产收回的现金净额,"73,000.00","28,000.00","28,000.00","50,000.00","50,000.00","1,520.00","1,520.00",,,"95,020.00","95,670.00","3,580.90","110,989.90","1,800.00","2,055.00","2,115.00",,"186,450.00","186,450.00","200,573.40",,"2,000.00","2,400.00","15,400.00","338,000.00"
筹资活动产生的现金流量净额,"3,886,482.50","1,454,716.25","5,883,431.25","-555,337.50","-1,144,747.50","4,376,012.50","-2,929,866.46","76,404,985.91","90,807,815.09","-1,990,607.16","6,422,798.38","-11,144,442.35","-42,396,997.62","371,152,835.70","319,887,485.78","357,694,571.91","1,708,905.57","147,486,572.24","78,314,800.86","33,910,907.41","5,727,814.82","57,929,755.18","456,177,337.61","444,759,242.62","-37,301,508.99"
处置子公司及其他营业单位收到的现金净额,,,,,,,,,,,,,,,,,,,,,,,,,
四、汇率变动对现金的影响,,,,,,,-593.30,402.81,"-75,097.43","-4,782.56","-30,656.75","24,758.40","17,871.24","29,699.86","31,312.78","33,195.82",703.09,757.91,"-2,295.25","46,475.55","-10,928.03","-138,037.63","-138,037.63","-298,966.42","-187,379.82"
收到其他与投资活动有关的现金,,,,,,,,,,,,,,,,,,,,,"3,679,069.66","3,679,069.66","3,679,069.66","752,050,454.51","410,260,994.50"
四(2)、其他原因对现金的影响,,,,,,,,,,,,,,,,,,,,,,,,,
投资活动现金流入小计,"73,000.00","28,000.00","28,000.00","50,000.00","50,000.00","1,520.00","1,520.00",,,"95,020.00","95,670.00","3,580.90","110,989.90","1,800.00","2,055.00","2,115.00",,"186,450.00","186,450.00","200,573.40","3,679,069.66","3,681,069.66","3,816,373.75","752,065,854.51","410,598,994.50"
五、现金及现金等价物净增加额,"967,408.76","-4,881,586.80","14,240,044.81","-16,982,378.96","7,225,676.53","-23,805,960.31","17,393,227.10","21,270,989.05","19,697,041.42","-11,680,326.71","9,241,710.40","-22,510,136.73","-11,495,555.09","361,935,926.15","286,267,058.18","350,082,926.90","-23,171,664.19","-81,983,968.67","-179,957,330.51","-194,085,820.53","-41,969,222.83","-27,424,993.32","-53,066,559.44","186,864,874.36","-274,459,461.97"
购建固定资产、无形资产和其他长期资产支付的现金,"14,083,079.66","913,264.42","1,682,035.62","1,184,468.51","2,492,775.41","3,575,086.26","7,345,065.42","29,457,607.06","89,802,794.77","16,531,602.64","35,637,948.84","9,385,321.23","18,125,649.63","11,680,478.10","18,568,056.29","24,942,026.57","6,407,528.34","15,513,536.23","25,431,995.75","37,118,369.42","5,857,190.32","19,734,542.55","42,221,008.84","79,334,929.78","11,919,147.96"
期初现金及现金等价物余额,"12,745,642.59","13,713,051.35","13,713,051.35","27,953,096.16","27,953,096.16","35,178,772.69","35,178,772.69","52,571,999.79","52,571,999.79","72,269,041.21","72,269,041.21","81,510,751.61","81,510,751.61","70,015,196.52","70,015,196.52","70,015,196.52","420,098,123.42","420,098,123.42","420,098,123.42","420,098,123.42","226,012,302.89","226,012,302.89","226,012,302.89","226,012,302.89","412,877,177.25"
投资支付的现金,,,,,,,,,,,,,,,,"1,000,000.00",,"247,500,000.00","160,000,000.00","160,000,000.00",,"31,201,361.20","137,632,191.60","220,001,306.00",
期末现金及现金等价物余额,"13,713,051.35","8,831,464.55","27,953,096.16","10,970,717.20","35,178,772.69","11,372,812.38","52,571,999.79","73,842,988.84","72,269,041.21","60,588,714.50","81,510,751.61","59,000,614.88","70,015,196.52","431,951,122.67","356,282,254.70","420,098,123.42","396,926,459.23","338,114,154.75","240,140,792.91","226,012,302.89","184,043,080.06","198,587,309.57","172,945,743.45","412,877,177.25","138,417,715.28"
