科目,2008年度,2009年度,2010年度,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月
支付给职工以及为职工支付的现金,"11,562,828.93","11,077,478.89","12,965,712.60","13,817,205.34","18,986,160.53","6,085,098.52","11,919,299.66","18,152,311.03","24,633,383.62","8,209,044.58","17,185,612.11","27,767,080.95","37,019,085.18","12,488,519.80","23,415,786.06","34,665,383.37","44,992,577.36","11,812,100.81","23,671,112.29","33,936,612.75","43,032,227.85","12,769,887.25","23,094,708.90","34,490,418.45","45,162,051.74","11,554,857.48","24,951,525.85","36,340,820.13","50,688,345.03","14,098,362.09","31,471,285.12"
取得借款收到的现金,"5,000,000.00",,"5,000,000.00","5,000,000.00","5,000,000.00",,,,,,,,,,,,,,,,,,,,,,,,,,
支付的各项税费,"6,077,593.43","7,676,193.56","23,529,947.27","14,044,582.65","21,774,345.34","7,403,762.83","9,931,616.84","17,030,555.77","18,500,770.02","9,865,300.33","10,735,889.15","15,890,079.10","19,494,828.69","5,772,781.94","6,564,448.60","13,782,352.76","17,829,813.25","6,615,376.30","9,184,951.92","17,239,342.38","26,142,171.48","37,439,323.49","49,328,311.08","57,692,792.38","75,336,052.39","12,438,859.90","19,799,218.81","21,031,738.25","23,261,512.58","5,038,540.54","7,569,652.20"
收到其他与筹资活动有关的现金,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
支付其他与经营活动有关的现金,"33,117,513.30","35,806,479.79","29,316,563.06","15,016,593.68","19,351,256.38","4,236,974.96","7,883,374.63","17,142,406.73","23,345,742.64","5,241,795.66","11,269,493.71","23,902,241.89","25,675,104.70","4,088,378.79","9,580,119.89","14,369,015.64","21,148,443.99","4,556,176.91","10,524,436.78","16,702,986.24","25,835,459.15","6,136,344.95","12,795,368.66","19,375,534.54","28,217,624.58","6,054,644.00","13,996,251.72","21,753,297.23","28,781,730.52","36,769,121.77","57,050,210.71"
筹资活动现金流入小计,"5,000,000.00","9,000,000.00","47,250,000.00","5,000,000.00","5,000,000.00","284,665,000.00","284,665,000.00","284,665,000.00","284,665,000.00",,,,,,,,,,,"4,024,800.00","65,520,000.00",,,,,,,,,,
经营活动现金流出小计,"141,496,599.16","190,869,435.44","220,250,172.81","148,612,832.29","223,862,840.84","54,762,481.08","106,728,326.65","161,056,648.67","216,164,342.28","68,039,209.57","122,706,418.83","186,809,307.31","259,459,718.05","66,222,043.23","114,049,819.18","183,918,693.78","259,583,371.92","80,448,711.77","150,238,687.30","232,361,403.41","332,223,602.31","172,630,986.75","228,992,676.77","316,849,605.04","475,649,349.74","100,936,572.53","205,848,522.90","287,140,696.65","391,289,923.60","151,055,681.72","282,525,637.46"
偿还债务支付的现金,"5,000,000.00","5,000,000.00",,"5,000,000.00","5,000,000.00","5,000,000.00","5,000,000.00","5,000,000.00","5,000,000.00",,,,,,,,,,,,,,,,,,,,,,
经营活动产生的现金流量净额,"19,296,137.20","5,012,338.65","31,959,804.90","9,394,515.50","43,215,837.72","-26,335,135.03","-23,160,180.01","-24,770,386.06","6,225,061.28","-37,266,825.85","-24,708,708.29","-48,980,570.22","-36,357,551.49","-20,736,848.52","-19,284,376.13","-21,844,935.35","29,946,143.05","-16,564,400.37","-27,220,492.54","-13,359,718.64","280,640,853.11","-103,954,528.54","-99,414,194.87","-105,591,267.29","-69,594,349.37","-48,262,035.92","-85,335,715.66","-30,591,241.88","52,284,624.12","-37,974,487.60","-98,104,035.36"
分配股利、利润或偿还利息支付的现金,"290,587.50","262,550.00","9,219,753.61","237,061.11","319,972.22","27,333.33","5,517,659.09","6,027,333.33","6,027,333.33",,"4,434,840.88","4,800,000.00","4,800,000.00",,,"3,000,000.00","3,000,000.00",,"3,888,000.00","3,888,000.00","3,888,000.00",,"9,720,000.00","9,720,000.00","9,810,369.00",,"20,601,774.90","20,601,774.90","20,884,932.00",,"8,317,436.40"
收回投资收到的现金,"489,422.71","1,159,060.25","2,482,151.94",,,,,,,,,,,,,,,,,,,,,,"450,000,000.00","50,000,000.00","300,000,000.00","300,000,000.00","300,000,000.00",,
支付其他与筹资活动有关的现金,,,"910,000.00","1,164,100.00","1,364,100.00","654,256.50","3,218,766.05","3,221,466.05","3,421,466.05",,"3,436.58","3,436.58",,,,,,,,,,,,,"989,811.90",,,,"1,365,773.05","403,484.40","405,687.40"
取得投资收益收到的现金,,,,,,,,,,,,,,,,,,,,,,,,"1,584,444.44","2,456,894.44","133,561.64","2,415,068.49","2,415,068.49","2,415,068.49",,
筹资活动现金流出小计,"5,290,587.50","5,262,550.00","10,129,753.61","6,401,161.11","6,684,072.22","5,681,589.83","13,736,425.14","14,248,799.38","14,448,799.38",,"4,438,277.46","4,803,436.58","4,800,000.00",,,"3,000,000.00","3,000,000.00",,"3,888,000.00","3,888,000.00","3,888,000.00",,"9,720,000.00","9,720,000.00","10,800,180.90",,"20,601,774.90","20,601,774.90","22,250,705.05","403,484.40","8,723,123.80"
处置固定资产、无形资产和其他长期资产收回的现金净额,,,,,,,,,,,,,,,"7,580.00","7,580.00","7,580.00",,,"4,500.00","9,880.00",,,,,,,,,,
筹资活动产生的现金流量净额,"-290,587.50","3,737,450.00","37,120,246.39","-1,401,161.11","-1,684,072.22","278,983,410.17","270,928,574.86","270,416,200.62","270,216,200.62",,"-4,438,277.46","-4,803,436.58","-4,800,000.00",,,"-3,000,000.00","-3,000,000.00",,"-3,888,000.00","136,800.00","61,632,000.00",,"-9,720,000.00","-9,720,000.00","-10,800,180.90",,"-20,601,774.90","-20,601,774.90","-22,250,705.05","-403,484.40","-8,723,123.80"
处置子公司及其他营业单位收到的现金净额,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
四、汇率变动对现金的影响,,,,,,,,,,,,,,,,,,,,,,,,,"940,933.22","-206,863.19","-813,889.23","-1,809,102.73","-2,017,260.71","-1,276,937.89","-107,153.92"
收到其他与投资活动有关的现金,,,,,,,,,,,,,,,,,,,,,,,,"200,000,000.00",,,,,,,
四(2)、其他原因对现金的影响,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
投资活动现金流入小计,"489,422.71","1,159,060.25","2,482,151.94",,,,,,,,,,,,"7,580.00","7,580.00","7,580.00",,,"4,500.00","9,880.00",,,"201,584,444.44","452,456,894.44","50,133,561.64","302,415,068.49","302,415,068.49","302,415,068.49",,
五、现金及现金等价物净增加额,"17,548,217.72","8,464,088.92","62,667,226.35","-13,188,638.62","15,469,217.67","251,259,911.14","242,924,229.35","238,494,185.31","243,425,997.43","-41,710,364.18","-40,727,054.08","-71,503,229.92","-71,895,110.75","-27,676,719.86","-30,746,032.35","-38,417,701.52","8,935,587.45","-20,795,077.37","-38,693,318.54","-23,435,018.65","326,609,359.25","-105,715,783.72","-311,615,854.68","-366,472,703.66","-80,043,348.42","-299,613,139.21","-373,446,651.04","-354,465,531.07","-293,895,634.30","-50,473,411.79","-126,503,568.99"
购建固定资产、无形资产和其他长期资产支付的现金,"1,732,254.46","705,529.98","7,322,343.38","21,181,993.01","23,445,283.01","1,388,364.00","4,844,165.50","7,151,629.25","33,015,264.47","4,443,538.33","11,580,068.33","17,719,223.12","30,737,559.26","6,939,871.34","11,469,236.22","13,580,346.17","18,018,135.60","4,230,677.00","7,584,826.00","10,216,600.01","15,673,373.86","1,761,255.18","2,481,659.81","2,745,880.81","3,046,645.81","1,277,801.74","239,110,339.74","239,378,480.05","244,932,361.15","713,501.90","9,464,255.91"
期初现金及现金等价物余额,"17,874,452.63","35,422,670.35","43,886,759.27","106,553,985.62","106,553,985.62","122,023,203.29","122,023,203.29","122,023,203.29","122,023,203.29","365,449,200.72","365,449,200.72","365,449,200.72","365,449,200.72","293,554,089.97","293,554,089.97","293,554,089.97","293,554,089.97","302,489,677.42","302,489,677.42","302,489,677.42","302,489,677.42","629,099,036.67","629,099,036.67","629,099,036.67","629,099,036.67","549,055,688.25","549,055,688.25","549,055,688.25","549,055,688.25","255,160,053.95","255,160,053.95"
投资支付的现金,"214,500.23","739,230.00","1,572,633.50",,"2,617,264.82",,,,,,,,,,,,,,,,,,,,"450,000,000.00","300,000,000.00","330,000,000.00","364,500,000.00","379,395,000.00","10,105,000.00","10,105,000.00"
期末现金及现金等价物余额,"35,422,670.35","43,886,759.27","106,553,985.62","93,365,347.00","122,023,203.29","373,283,114.43","364,947,432.64","360,517,388.60","365,449,200.72","323,738,836.54","324,722,146.64","293,945,970.80","293,554,089.97","265,877,370.11","262,808,057.62","255,136,388.45","302,489,677.42","281,694,600.05","263,796,358.88","279,054,658.77","629,099,036.67","523,383,252.95","317,483,181.99","262,626,333.01","549,055,688.25","249,442,549.04","175,609,037.21","194,590,157.18","255,160,053.95","204,686,642.16","128,656,484.96"
