科目,2007年度,2008年度,2009年1-6月,2009年度,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月
分配股利、利润或偿还利息支付的现金,"7,640,856.02","5,528,472.68","1,505,381.09","3,555,648.77","2,425,611.14","2,567,266.47","3,848,550.17",,"14,292,835.66","34,718,103.16","41,967,733.27",,"30,128,413.18","30,510,543.13","31,062,783.99","753,234.16","30,045,512.40","34,496,416.40","37,069,324.94","1,814,568.02","4,659,097.92","30,584,486.37","35,670,903.77","2,975,114.64","41,835,514.95","45,067,886.45","51,512,717.64","4,389,223.80","66,816,742.86","71,552,937.22","77,549,265.11","9,493,148.00","19,126,508.27","109,134,137.38","117,109,561.81","11,932,003.20","319,531,094.15"
收回投资收到的现金,,,,,,,,,,,,,,,,,,,,,,,"120,000,000.00","170,000,000.00","170,000,000.00","280,000,000.00","281,046,685.72","66,916.34",,,"65,004.08",,,"58,761,350.79","238,207,800.19","71,293,442.61","703,779,181.06"
支付其他与筹资活动有关的现金,"8,410,250.00","11,712,517.45","879,414.17","3,259,187.30","2,140,474.40","6,454,098.70","7,976,178.48",,,,,,,,,,,"896,565.53","3,656,396.57",,"1,805,000.00","2,038,000.00","850,000.00",,"94,300.00","99,266.89","12,381,282.47",,,"300,948.77",1.00,"830,000.00","1,891,538.67","1,891,538.67","85,895,095.34","1,636,526.59","93,159,216.11"
取得投资收益收到的现金,,,"122,040.00","122,040.00",,,,,,"155,520.00","155,520.00",,"194,400.00","194,400.00","194,400.00",,,,,,"270,604.80","270,604.80","4,355,892.47","668,493.15","918,027.40","1,728,769.45","1,728,769.45",,"81,181.45","81,181.45","98,797.60",,"81,181.45","3,704,134.82","5,668,687.87","29,210,934.56","11,546,792.42"
筹资活动现金流出小计,"32,931,106.02","76,587,077.67","53,384,795.26","76,344,452.07","50,926,362.79","98,264,500.77","141,484,728.65",,"14,292,835.66","54,718,103.16","81,967,733.27",,"42,603,367.33","84,549,975.22","135,121,356.58","46,886,692.01","160,502,234.40","218,753,370.31","282,346,256.53","172,463,421.35","347,110,374.71","424,001,397.38","502,239,518.90","82,337,354.51","170,396,122.30","345,702,564.66","596,213,588.16","86,328,244.16","258,600,157.57","361,866,395.96","437,892,627.00","171,285,919.65","357,888,612.72","997,137,884.32","2,651,047,527.60","389,509,457.21","1,274,136,435.27"
处置固定资产、无形资产和其他长期资产收回的现金净额,"1,002,187.51","926,018.19","85,000.00","17,202,642.98","4,481,482.00","4,489,482.00","4,971,438.78","270,584.00","270,584.00","270,984.00","728,137.49",,"43,000.00","48,000.00","1,220,848.86","147,740.00","147,740.00","147,740.00","344,313.19","170,509.12","170,509.12","180,509.12","1,604,931.89","83,760.70","120,760.70","120,760.70","1,612,741.10","36,764.00","47,764.00","47,764.00","3,304,811.52","61,000.00","61,000.00","61,000.00","2,832,029.67","90,395.80","2,277,815.56"
筹资活动产生的现金流量净额,"55,338,893.98","28,678,420.37","-8,474,795.26","-24,204,836.07","32,430,658.95","474,272,167.10","426,432,271.35",,"-13,292,835.66","-13,718,103.16","-40,967,733.27","12,400,818.56","13,116,345.16","50,467,844.72","77,290,427.92","46,773,264.78","99,987,961.70","97,335,591.72","652,466,728.86","-86,403,059.59","-128,727,999.00","-130,602,101.89","23,813,404.82","35,006,118.63","88,172,614.92","73,569,014.07","-16,851,861.32","193,465,574.03","89,029,670.03","109,584,023.71","230,917,780.53","566,659,823.06","1,266,751,931.10","1,403,494,479.78","2,336,662,551.50","-119,459,457.21","-280,927,446.47"
处置子公司及其他营业单位收到的现金净额,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
四、汇率变动对现金的影响,"-42,573.06","-108,383.48","-25,421.72","-49,782.88","-183,191.63","-257,224.65","-226,801.49","8,592.58","-284,520.66","-313,080.62","-1,112,483.01","-134,031.40","53,138.11","145,181.82","-543,960.59","-22,847.66","-50,564.12","-49,062.54","-479,209.70","211,344.99","-771,523.29","-723,708.21","-667,719.07","159,557.58","-150,596.52","5,265,261.81","2,028,758.78","-744,430.77","5,297,171.33","5,393,982.40","1,183,449.85","-546,359.97","-7,236,855.51","-5,134,814.15","-4,167,259.47","-16,955,138.75","836,068.58"
收到其他与投资活动有关的现金,,"12,744,500.00",,"6,000,000.00",,,"2,710,000.00","2,150,000.00","2,150,000.00","3,350,000.00","3,350,000.00","290,000.00","1,130,000.00","1,974,892.00","46,340,000.00",,"1,400,000.00",,"8,486,800.00","190,000.00","5,438,000.00","5,228,000.00","12,300,000.00",,,,"15,700,000.00",,,"20,155,896.00","20,155,896.00",,,,"12,000,000.00",,"4,123,360.00"
四(2)、其他原因对现金的影响,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
投资活动现金流入小计,"1,002,187.51","13,670,518.19","207,040.00","23,324,682.98","4,481,482.00","4,489,482.00","7,681,438.78","2,420,584.00","2,420,584.00","3,776,504.00","4,233,657.49","290,000.00","1,367,400.00","2,217,292.00","47,755,248.86","147,740.00","1,547,740.00","147,740.00","8,831,113.19","360,509.12","5,879,113.92","5,679,113.92","138,260,824.36","170,752,253.85","171,038,788.10","281,849,530.15","300,088,196.27","103,680.34","128,945.45","20,284,841.45","23,624,509.20","61,000.00","142,181.45","62,526,485.61","258,708,517.73","100,594,772.97","721,727,149.04"
五、现金及现金等价物净增加额,"8,600,115.43","10,682,475.43","-2,609,547.09","-7,776,476.04","-1,871,031.11","408,870,055.74","350,730,387.58","-30,029,719.00","-77,987,968.35","-123,690,804.43","-169,443,630.69","-38,202,121.17","-81,352,766.01","-75,101,219.98","-126,001,496.93","-27,934,115.55","-1,205,807.50","-15,470,319.81","462,885,500.09","-153,983,999.04","-327,605,260.27","-337,820,549.55","-171,346,387.85","87,856,531.99","-37,236,801.75","-256,999,002.64","-199,080,331.06","-10,771,636.29","8,092,950.73","87,403,510.45","6,311,870.58","212,395,087.59","20,734,875.89","538,966,545.20","1,996,169,022.78","-947,948,685.73","-844,701,675.23"
购建固定资产、无形资产和其他长期资产支付的现金,"40,129,252.45","54,978,801.25","10,157,311.82","40,287,553.94","26,404,654.74","41,928,538.76","77,815,430.05","21,273,654.28","57,446,232.15","86,556,122.45","137,355,221.23","35,068,462.89","89,631,021.67","139,364,988.16","216,327,403.67","56,048,011.81","83,154,813.21","117,275,022.59","250,967,001.77","47,715,640.78","93,018,597.60","117,609,064.48","150,331,684.52","25,588,864.43","61,744,010.21","83,849,286.80","131,336,398.00","62,599,933.46","140,319,197.02","274,006,471.54","506,204,693.58","128,916,586.52","251,640,046.95","412,867,463.49","352,915,348.56","115,911,705.54","451,750,976.63"
期初现金及现金等价物余额,"3,620,815.44","12,220,930.87","22,903,406.30","22,903,406.30","15,126,930.26","15,126,930.26","15,126,930.26","367,857,317.84","365,857,317.84","365,857,317.84","365,857,317.84","196,414,164.92","196,413,687.16","196,413,687.15","196,413,687.15","70,412,190.22","70,412,190.22","70,412,190.22","70,412,190.22","533,297,690.31","533,297,690.31","533,297,690.31","533,297,690.31","361,951,302.46","361,951,302.46","361,951,302.46","361,951,302.46","162,870,971.40","162,870,971.40","162,870,971.40","162,870,971.40","169,182,841.98","169,182,841.98","169,182,841.98","169,182,841.98","2,165,351,864.76","2,165,351,864.76"
投资支付的现金,"1,200,000.00","3,150,000.00",,"1,470,000.00",,"710,000.00",,,"18,143,158.19","12,023,158.19","11,381,887.11","3,150,769.22","3,160,079.92","3,174,146.08","9,863,127.87","1,563,014.24","1,563,014.24","1,563,014.24","1,563,014.24",,"129,432,269.00","120,000,000.00","180,378,141.36","110,000,000.00","281,048,249.65","386,767,172.25","438,108,216.40","176,120,506.00","194,507,160.78","312,360,809.96","370,111,413.36","195,811,080.37","608,976,640.90","629,248,228.79","726,834,990.94","659,820,067.72","801,569,026.12"
期末现金及现金等价物余额,"12,220,930.87","22,903,406.30","20,293,859.21","15,126,930.26","13,255,899.15","423,996,986.00","365,857,317.84","337,827,598.84","287,869,349.49","242,166,513.41","196,413,687.15","158,212,043.75","115,060,921.15","121,312,467.17","70,412,190.22","42,478,074.67","69,206,382.72","54,941,870.41","533,297,690.31","379,313,691.27","205,692,430.04","195,477,140.76","361,951,302.46","449,807,834.45","324,714,500.71","104,952,299.82","162,870,971.40","152,099,335.11","170,963,922.13","250,274,481.85","169,182,841.98","381,577,929.57","189,917,717.87","708,149,387.18","2,165,351,864.76","1,217,403,179.03","1,320,650,189.53"
