科目,2011年度,2012年度,2013年度,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月
堪探费用,,,,,,,,,,,,,,,,,,,
加:影响利润总额的其他科目,,,,,,,,,,,,,,,,,,,
财务费用,"4,056,174.45","-2,960,958.56","2,460,675.21","3,123,484.19","6,004,140.46","4,610,969.03","1,580,110.97","-812,507.87","-1,344,334.76","-1,320,158.45","-5,169,813.75","-8,168,420.06","-9,492,870.07","-52,069.19","196,628.99","527,133.39","2,355,883.33","4,085,115.88","-2,545,683.48"
三、利润总额,"157,664,921.89","165,263,179.20","218,275,099.11","176,584,781.62","241,677,514.83","63,247,518.50","106,623,842.73","156,397,702.35","209,055,120.07","70,510,464.28","136,749,917.51","215,691,229.63","303,049,204.69","95,064,221.36","171,675,301.61","263,386,983.76","357,251,582.33","98,862,445.73","187,664,145.79"
资产减值损失,"-3,563,720.93","1,084.39","3,354,359.38","1,203,944.90","3,955,267.77","-543,659.80","-1,801,005.98","-2,186,656.05","2,362,750.40","-2,779,554.10","986,788.16","-215,845.69","13,173,186.99","-5,227,903.06","5,430,631.30","318,149.49","5,445,312.69","-6,408,830.05","1,757,857.59"
减:所得税,"19,433,788.75","20,016,316.12","34,032,606.55","27,891,553.54","37,697,572.97","9,718,956.92","18,467,222.25","26,075,155.99","31,841,457.60","11,939,345.44","24,026,526.22","37,779,780.48","52,181,543.14","17,887,310.62","31,667,201.40","42,278,983.54","58,586,081.34","18,975,716.01","33,801,652.37"
加:公允价值变动净收益,,,,,,,,,,,,,,,,,,,
加:影响净利润的其他科目,,,,,,,,,,,,,,,,,,,
投资收益,,"-101,041.96","493,975.41","609,748.86","609,748.86",,,"5,183,859.67","6,750,950.54","1,764,583.33","3,592,216.93","2,058,942.74","5,276,065.42","980,441.77","2,773,083.84","3,885,216.33","5,287,452.91","9,666.70","-332,540.77"
四、净利润,"138,231,133.14","145,246,863.08","184,242,492.56","148,693,228.08","203,979,941.86","53,528,561.58","88,156,620.48","130,322,546.36","177,213,662.47","58,571,118.84","112,723,391.29","177,911,449.15","250,867,661.55","77,176,910.74","140,008,100.21","221,108,000.22","298,665,500.99","79,886,729.72","153,862,493.42"
其中:对联营企业和合营企业的投资权益,,,,,"109,748.86",,,,,,"17,609.59","-2,006,503.80","-1,902,694.89","-45,238.83","1,520,251.78","2,632,384.27","4,034,620.85","9,666.70","-70,031.00"
归属于母公司所有者的净利润,"138,232,223.10","145,319,143.90","183,989,116.54","147,512,606.25","201,649,299.49","52,263,308.42","86,874,777.10","129,167,674.49","176,364,572.13","59,446,206.20","114,355,127.91","177,071,468.64","249,711,852.89","73,542,890.15","139,597,821.89","217,957,517.77","292,847,117.03","78,347,005.22","145,089,828.45"
影响营业利润的其他科目,,,,,,,,,,,,,,,,,,,
少数股东损益,"-1,089.96","-72,280.82","253,376.02","1,180,621.83","2,330,642.37","1,265,253.16","1,281,843.38","1,154,871.87","849,090.34","-875,087.36","-1,631,736.62","839,980.51","1,155,808.66","3,634,020.59","410,278.32","3,150,482.45","5,818,383.96","1,539,724.50","8,772,664.97"
