科目,2011年度,2012年度,2013年1-3月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月
取得投资收益收到的现金,,,,"67,630.70","876,942.50","1,948,561.73","3,129,508.72","3,843,773.38","3,207,695.75","5,027,032.04","6,452,264.92","7,387,184.54","313,027.40","389,753.43","1,539,446.67","1,659,781.35","127,984.94","482,598.63","1,125,546.85"
筹资活动现金流出小计,"17,419,374.14","7,523,000.00","30,272,425.18","85,718,752.66","59,661,227.50","26,180,000.00","92,960,239.17","74,351,065.00","-3,561.24","40,117,112.84","38,316,473.90","64,508,815.39",,"49,022,619.36","49,444,811.03","107,321,989.44","1,575,485.42","60,944,059.81","182,556,449.25"
处置固定资产、无形资产和其他长期资产收回的现金净额,,,,"211,095.52","9,516.51",,,"17,338.26",,,,"207,710.30",,,,"75,631.44","1,050.00","406,050.00","411,500.00"
筹资活动产生的现金流量净额,"5,580,625.86","-7,523,000.00","-22,949,425.18","-62,892,752.66","-14,218,900.00","-26,180,000.00","250,373,560.83","313,472,985.00","-23,829,980.42","-35,412,672.84","-33,612,033.90","-42,808,582.89",,"-47,522,619.36","49,055,188.97","127,716,125.95","65,424,514.58","12,023,055.19","-91,077,892.25"
处置子公司及其他营业单位收到的现金净额,,,,,,,,,,,,,,,,,,,
四、汇率变动对现金的影响,"-244,623.13","-694,204.49","1,199,171.33","-5,414,129.28","380,219.20","3,020,248.80","2,561,599.04","-633,630.38","1,583,601.33","3,503,394.95","9,528,061.06","10,168,830.93","22,318,012.37","9,420,876.95","10,970,528.06","23,033,827.45","-829,652.46","-5,546,607.99","-13,627,726.71"
收到其他与投资活动有关的现金,"100,000.00",,,"1,000,000.00",,,,,,,,,,,,"1,500,000.00",,,
四(2)、其他原因对现金的影响,,,,,,,,,,,,,,,,,,,
投资活动现金流入小计,"100,000.00",,,"11,278,726.22","155,886,459.01","346,948,561.73","626,129,508.72","841,861,111.64","443,207,695.75","855,027,032.04","1,221,452,264.92","1,479,894,894.84","95,313,027.40","106,389,753.43","254,539,446.67","571,528,812.79","225,864,134.94","521,623,748.63","765,272,146.85"
五、现金及现金等价物净增加额,"32,984,376.47","90,891,080.35","-31,395,164.69","-66,375,764.96","20,645,377.09","40,018,875.31","271,589,934.14","162,446,935.78","-60,241,781.93","-69,498,927.36","31,628,832.58","126,410,119.87","-27,717,353.42","-134,866,609.17","-45,680,634.75","31,443,483.53","47,190,718.45","56,472,380.26","-136,430,141.90"
购建固定资产、无形资产和其他长期资产支付的现金,"40,103,822.94","29,539,433.96","21,184,897.00","63,711,350.45","22,947,148.92","37,076,981.18","72,645,525.30","165,104,302.20","34,483,248.88","36,785,226.60","47,605,427.75","53,227,424.14","7,773,437.15","21,228,767.16","154,114,598.90","160,115,529.34","2,059,349.67","4,323,481.78","14,659,329.87"
期初现金及现金等价物余额,"76,405,423.46","109,389,799.93","200,280,880.28","200,280,880.28","133,905,115.32",,"133,905,115.32","133,905,115.32","296,352,051.10","296,352,051.10","313,347,843.60","296,352,051.10","422,762,170.97","422,762,170.97","422,762,170.97","422,762,170.97","454,205,654.50","454,205,654.50","454,205,654.50"
投资支付的现金,,,,"115,000,000.00","90,000,000.00","305,000,000.00","663,000,000.00","1,013,000,000.00","344,788,916.80","770,000,000.00","1,035,000,000.00","1,227,300,000.00","92,200,000.00","138,204,192.46","235,200,000.00","601,583,900.00","233,173,700.00","483,173,700.00","919,468,672.08"
期末现金及现金等价物余额,"109,389,799.93","200,280,880.28","168,885,715.59","133,905,115.32","154,550,492.41",,"405,495,049.46","296,352,051.10","236,110,269.17","226,853,123.74","344,976,676.18","422,762,170.97","395,044,817.55","287,895,561.80","377,081,536.22","454,205,654.50","501,396,372.95","510,678,034.76","317,775,512.60"
