科目,2011年度,2012年度,2013年度,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月
支付给职工以及为职工支付的现金,"16,806,932.27","15,218,098.14","16,688,497.44","14,203,357.92","21,559,947.22","6,691,124.81","14,572,321.17","22,728,691.92","31,961,464.87","9,444,123.87","17,405,900.47","25,389,590.80","37,847,336.06","9,099,232.56","20,192,431.05","31,766,600.08","42,448,376.25","9,141,333.97","20,018,305.72"
取得借款收到的现金,"50,000,000.00","70,000,000.00","110,000,000.00","160,000,000.00","235,000,000.00",,"120,000,000.00","120,000,000.00","158,000,000.00",,"145,000,000.00","195,000,000.00","195,000,000.00","178,000,000.00","508,000,000.00","568,000,000.00","848,000,000.00","28,000,000.00","428,000,000.00"
支付的各项税费,"27,816,919.80","28,258,106.76","19,358,961.60","25,382,784.84","26,978,808.36","20,457,430.10","27,640,658.32","38,662,349.38","44,898,091.22","8,060,296.80","15,284,322.86","19,880,752.64","30,861,818.69","12,623,477.31","21,198,330.34","33,849,612.31","48,778,522.04","18,008,243.24","44,683,248.09"
收到其他与筹资活动有关的现金,"10,187,682.23","321,830.44","6,395,950.00","2,000,000.00","2,293,997.00","4,050,805.88","15,000,805.88","12,550,805.88","12,351,784.22","90,000,000.00","120,000,000.00","120,000,000.00","121,642,012.93",,"139,145.17",,,,
支付其他与经营活动有关的现金,"11,120,534.04","9,449,306.43","9,366,995.45","9,577,227.66","13,607,662.63","8,738,336.98","14,135,784.21","22,859,866.10","25,080,707.12","5,588,488.06","13,507,455.34","23,079,305.46","24,640,045.51","9,178,078.96","20,262,390.28","33,103,229.76","43,269,654.73","14,628,255.66","13,066,642.87"
筹资活动现金流入小计,"60,187,682.23","70,321,830.44","116,395,950.00","166,900,000.00","242,193,997.00","287,882,205.88","413,676,235.88","410,806,235.88","494,333,184.22","90,000,000.00","265,000,000.00","339,500,000.00","341,142,012.93","178,000,000.00","508,439,145.17","568,300,000.00","1,404,952,355.10","28,000,000.00","428,000,000.00"
经营活动现金流出小计,"265,271,951.15","265,978,973.87","228,843,506.43","221,726,766.03","311,539,279.49","162,900,951.78","243,956,409.17","312,958,850.24","352,321,669.00","89,537,933.38","144,952,071.46","240,588,618.97","883,310,814.52","239,710,332.11","543,835,749.32","841,974,013.92","1,078,898,215.26","265,698,827.61","393,826,091.09"
偿还债务支付的现金,"7,500,000.00","17,500,000.00","112,500,000.00","167,500,000.00","187,500,000.00",,"178,000,000.00","178,000,000.00","215,000,000.00","98,000,000.00","158,000,000.00","158,000,000.00","158,000,000.00",,"323,000,000.00","343,000,000.00","398,000,000.00","64,791,495.51","324,280,118.22"
经营活动产生的现金流量净额,"-3,869,689.25","-71,921,577.02","101,369,802.71","-56,288,886.58","52,749,914.80","-106,659,125.93","-132,994,711.19","-151,114,949.63","-60,583,592.97","-55,725,389.74","-79,611,933.01","-109,072,015.69","36,076,481.26","-94,436,236.58","-131,960,024.24","-170,682,452.39","-141,395,724.97","-172,127,659.09","-227,660,498.78"
分配股利、利润或偿还利息支付的现金,"4,882,776.08","9,695,354.87","10,716,343.06","8,316,747.24","11,738,544.45","3,563,299.31","9,249,275.05","11,896,336.99","14,068,958.02","1,958,545.84","2,232,988.55","10,952,262.82","15,655,735.39","2,210,343.75","13,323,055.49","18,581,262.66","23,997,372.72","7,921,750.68","38,963,723.21"
收回投资收到的现金,,"60,000,000.00",,,,,,,,,,,,,,,,"20,000,000.00",
支付其他与筹资活动有关的现金,"4,503,570.00","11,659,109.21","1,301,466.06","4,491,755.32","12,807,236.82","286,920.00",,,"48,053,700.00","7,800,000.00","30,000,000.00","30,000,000.00","101,798,407.61","700,000.00","13,994,580.88","43,286,000.00","70,034,200.00",,"900,000.00"
取得投资收益收到的现金,,"324,493.15",,,,,,,,,,,,,,,,"1,548,493.15","3,880,228.30"
筹资活动现金流出小计,"16,886,346.08","38,854,464.08","124,517,809.12","180,308,502.56","212,045,781.27","3,850,219.31","187,249,275.05","189,896,336.99","277,122,658.02","107,758,545.84","190,232,988.55","198,952,262.82","275,454,143.00","2,910,343.75","350,317,636.37","404,867,262.66","492,031,572.72","72,713,246.19","364,143,841.43"
处置固定资产、无形资产和其他长期资产收回的现金净额,"1,150.00",,"116,213.59",,,,,,,,,,,,,,,,"74,000.00"
筹资活动产生的现金流量净额,"43,301,336.15","31,467,366.36","-8,121,859.12","-13,408,502.56","30,148,215.73","284,031,986.57","226,426,960.83","220,909,898.89","217,210,526.20","-17,758,545.84","74,767,011.45","140,547,737.18","65,687,869.93","175,089,656.25","158,121,508.80","163,432,737.34","912,920,782.38","-44,713,246.19","63,856,158.57"
处置子公司及其他营业单位收到的现金净额,,,,,,,,,,,,,,,,,,,
四、汇率变动对现金的影响,,"-70,951.53","-480,023.79","532,345.92","521,629.90","7,418.45","-1,726.25","77,250.88","119,583.03","-10,383.50","146,029.62","158,115.17","141,087.37","-16,803.58","-52,047.66","-96,068.04","-128,951.88","-78,809.61","24,333.06"
收到其他与投资活动有关的现金,"97,640,000.00","13,735,304.00","5,250,500.00","17,995,349.00","18,155,049.00",,,,,,,,,"9,000,000.00","9,000,000.00","9,000,000.00","9,000,000.00",,"20,000,000.00"
四(2)、其他原因对现金的影响,,,,,,,,,,,,,,,,,,,
投资活动现金流入小计,"97,641,150.00","74,059,797.15","5,366,713.59","17,995,349.00","18,155,049.00",,,,,,,,,"9,000,000.00","9,000,000.00","9,000,000.00","9,000,000.00","21,548,493.15","23,954,228.30"
五、现金及现金等价物净增加额,"56,958,889.12","-69,748,472.56","78,632,145.66","-135,868,736.39","16,781,121.03","171,598,918.70","75,844,109.15","33,681,261.93","32,797,619.23","-107,063,083.08","-65,559,310.93","-71,983,969.13","-36,888,867.83","67,348,987.66","-40,243,394.37","-103,095,376.65","599,326,774.75","-368,258,562.42","-473,407,143.62"
购建固定资产、无形资产和其他长期资产支付的现金,"80,113,907.78","43,283,107.52","19,502,487.73","84,699,042.17","84,793,688.40","5,781,360.39","15,086,414.24","33,690,938.21","121,448,897.03","33,568,764.00","60,860,418.99","87,457,805.79","129,794,306.39","22,287,628.43","75,352,831.27","104,749,593.56","181,069,330.78","151,887,340.68","302,581,364.77"
期初现金及现金等价物余额,"83,441,726.00","140,400,615.12","70,652,142.56","149,284,288.22","149,284,288.22","166,065,409.25","166,065,409.25","166,065,409.25","166,065,409.25","199,010,410.14","198,863,028.48","198,863,028.48","198,863,028.48","164,876,542.33","161,974,160.65","161,974,160.65","161,974,160.65","761,300,935.40","761,300,935.40"
投资支付的现金,,"60,000,000.00",,,,,"2,500,000.00",,"2,500,000.00",,,"16,160,000.00",,,,,,"21,000,000.00","1,000,000.00"
期末现金及现金等价物余额,"140,400,615.12","70,652,142.56","149,284,288.22","13,415,551.83","166,065,409.25","337,664,327.95","241,909,518.40","199,746,671.18","198,863,028.48","91,947,327.06","133,303,717.55","126,879,059.35","161,974,160.65","232,225,529.99","121,730,766.28","58,878,784.00","761,300,935.40","393,042,372.98","287,893,791.78"
