科目,2011年度,2012年度,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月
筹资活动现金流入小计,"301,161,888.56","307,000,000.00","250,000,000.00","130,000,000.00","899,048,700.00","899,048,700.00","849,048,700.00","150,000,000.00","333,000,000.00","578,000,000.00","708,000,000.00","794,800,000.00","794,800,000.00","798,867,536.20","1,591,284,113.07",,,"548,400,000.00","1,471,189,993.88","3,487,730.36","3,487,730.36"
经营活动现金流出小计,"2,433,210,678.42","3,040,586,611.74","3,864,174,616.01","917,656,143.32","2,234,119,756.15","3,579,564,056.40","4,963,772,524.76","1,354,277,113.73","2,902,248,460.24","4,336,960,794.41","6,000,892,255.77","1,654,082,996.92","3,338,691,278.84","5,094,690,604.24","7,045,708,894.66","2,156,124,980.83","4,198,323,502.39","6,289,781,283.28","8,471,835,214.39","2,493,962,019.81","4,729,896,192.53"
偿还债务支付的现金,"282,875,011.88","349,524,988.12","186,000,000.00","90,000,000.00","150,000,000.00","370,000,000.00","320,000,000.00",,"2,370,000.00",,"83,000,000.00","525,000,000.00","527,180,640.00","528,409,580.73","532,071,788.00","400,000,000.00","400,000,000.00","867,723,835.62","850,684,113.07","100,000,000.00","100,000,000.00"
经营活动产生的现金流量净额,"101,552,738.33","157,665,390.84","228,224,995.64","32,067,915.78","91,517,834.30","55,809,202.16","176,218,848.64","-110,031,252.22","-27,017,364.10","113,394,691.27","185,760,455.80","-134,014,342.19","5,904,257.13","50,192,549.89","192,632,310.20","-192,041,041.46","-142,547,656.63","23,786,414.55","391,156,158.70","-253,564,583.69","44,893,079.75"
分配股利、利润或偿还利息支付的现金,"10,584,651.72","12,404,906.08","12,524,300.67","3,589,583.34","7,140,116.68","8,580,633.34","8,580,633.34",,"162,770,505.63","158,303,560.79","166,444,957.25","3,518,530.55","133,668,530.55","133,668,530.55","133,862,226.66","30,800,000.00","134,920,000.00","135,520,277.78","168,504,146.72","16,178,281.25","186,509,224.55"
收回投资收到的现金,,,,,,,,,,,"12,000,000.00","48,000,000.00","48,000,000.00","48,000,000.00","123,000,000.00","320,000,000.00","515,000,000.00","515,000,000.00","515,000,000.00","210,000,000.00","1,175,000,000.00"
支付其他与筹资活动有关的现金,"3,993,807.40","45,900.00",,,,,,,,,,,,,,,,,"9,190,000.00",,
取得投资收益收到的现金,,,,,,,,,,,,,,,"1,983,666.67","312,041.67","2,983,696.54","2,983,696.54","2,983,696.54","854,355.55","10,426,236.11"
筹资活动现金流出小计,"297,453,471.00","361,975,794.20","198,524,300.67","93,589,583.34","157,140,116.68","378,580,633.34","328,580,633.34",,"165,140,505.63","158,303,560.79","249,444,957.25","528,518,530.55","660,849,170.55","662,078,111.28","665,934,014.66","430,800,000.00","534,920,000.00","1,003,244,113.40","1,028,378,259.79","116,178,281.25","286,509,224.55"
处置固定资产、无形资产和其他长期资产收回的现金净额,"285,987.26","580,916.30","63,670.97","9,870.40","69,791.10","73,271.18","382,845.47","2,022.00","7,696.24","21,656.19","24,393.13","34,026.60","88,699.09","103,028.99","159,206.59","20,358.24","272,851.84","364,253.67","404,471.47","33,188.31","10,387.30"
筹资活动产生的现金流量净额,"3,708,417.56","-54,975,794.20","51,475,699.33","36,410,416.66","741,908,583.32","520,468,066.66","520,468,066.66","150,000,000.00","167,859,494.37","419,696,439.21","458,555,042.75","266,281,469.45","133,950,829.45","136,789,424.92","925,350,098.41","-430,800,000.00","-534,920,000.00","-454,844,113.40","442,811,734.09","-112,690,550.89","-283,021,494.19"
处置子公司及其他营业单位收到的现金净额,,,,,,,,,,,,,,,,,,,,,
四、汇率变动对现金的影响,,,,,,,,,,,,,,,"55,136.34","-6,966.80","-19,093.15","-23,585.61","-69,597.59","-50,050.75","48,585.89"
收到其他与投资活动有关的现金,,,,,,,,,"526,245.72",,"524,907.68",,"524,851.18","524,851.18",,,,,,,
四(2)、其他原因对现金的影响,,,,,,,,,,,,,,,,,,,,,
投资活动现金流入小计,"285,987.26","580,916.30","63,670.97","9,870.40","69,791.10","73,271.18","382,845.47","2,022.00","533,941.96","21,656.19","12,549,300.81","48,034,026.60","48,613,550.27","48,627,880.17","125,142,873.26","320,332,399.91","518,256,548.38","518,347,950.21","518,388,168.01","210,887,543.86","1,185,436,623.41"
五、现金及现金等价物净增加额,"7,964,973.03","-482,824.75","134,374,240.14","12,525,856.46","750,427,666.07","451,872,100.39","531,938,178.12","-11,785,824.20","-191,662,336.71","-31,737,577.98","-110,905,652.92","114,340,874.96","12,379,385.45","30,232,559.99","449,127,386.95","-632,632,793.39","-650,699,056.24","-574,955,261.71","548,293,226.84","-1,207,317,485.85","-1,205,118,650.53"
购建固定资产、无形资产和其他长期资产支付的现金,"97,582,170.12","103,753,337.69","145,390,125.80","55,962,346.38","83,068,542.65","124,478,439.61","158,634,112.10","52,293,167.18","91,899,827.10","130,591,782.81","194,042,478.15","38,231,778.90","58,619,151.40","87,907,194.99","146,106,802.21","36,711,472.67","73,623,914.88","101,951,296.25","142,045,530.19","43,540,417.22","67,928,090.11"
期初现金及现金等价物余额,"378,569,019.12","386,533,992.15","386,051,167.40","520,425,407.54","520,425,407.54","520,425,407.54","520,425,407.54","1,056,282,110.33","1,052,363,585.66","1,056,654,968.17","1,052,363,585.66","1,034,442,119.11","1,033,917,267.93","1,033,917,267.93","941,556,376.11","1,390,683,763.06","1,390,683,763.06","1,390,683,763.06","1,390,683,763.06","1,938,976,989.90","1,938,976,989.90"
投资支付的现金,,,,,,,"6,938,631.84",781.84,"241,138,581.84","434,258,581.84","506,727,974.13","27,728,500.00","117,470,100.00","117,470,100.00","390,000,000.00","220,000,000.00","270,000,000.00","245,860,000.00","250,727,042.54","985,000,000.00","2,055,500,000.00"
期末现金及现金等价物余额,"386,533,992.15","386,051,167.40","520,425,407.54","532,951,264.00","1,270,853,073.61","972,297,507.93","1,052,363,585.66","1,044,496,286.13","860,701,248.95","1,024,917,390.19","941,457,932.74","1,148,782,994.07","1,046,296,653.38","1,064,149,827.92","1,390,683,763.06","758,050,969.67","739,984,706.82","815,728,501.35","1,938,976,989.90","731,659,504.05","733,858,339.37"
